# 《手掌心》-何以解忧
# Converted from SkyStudio format
# BPM: 355
# Total chords: 421

Time,Keys,Duration
0.00,D3,0.34
0.34,A2,0.34
0.68,B2F#3,0.68
1.35,C#3F3,0.34
1.69,D#3,0.34
2.03,G#3,0.68
2.70,C3F#3,0.34
3.04,D3,0.34
3.38,A2F3,0.34
3.72,B2E3,0.34
4.06,C#3D3,0.34
4.39,D#3,0.34
4.73,A#2E3,0.34
5.07,D#3,0.34
5.41,D3,0.34
5.75,A2,0.34
6.08,B2F#3,0.68
6.76,C#3F3,0.34
7.10,D#3,0.34
7.44,G#3,0.68
8.11,A3C3,0.34
8.45,D3,0.34
8.79,A2,0.34
9.13,C3,0.34
9.46,A3D3,1.35
10.82,D3,0.34
11.15,A2,0.34
11.49,B2D3,0.34
11.83,F#3,0.34
12.17,C#3F3,0.34
12.51,D#3,0.34
12.84,A#2E3,0.34
13.18,D#3,0.34
13.52,C3D3,0.34
13.86,A2E3,0.34
14.20,D#3,0.34
14.53,C#3,0.34
14.87,B2,0.34
15.21,C#3,0.34
15.55,A2B2,0.34
15.89,C#3,0.34
16.22,C3D3,0.34
16.56,D3,0.34
16.90,A2,0.34
17.24,E3,0.34
17.58,C#3F3,0.34
17.91,D#3F#3,0.17
18.08,F3,0.17
18.25,A#2E3,0.17
18.42,F3,0.17
18.59,F#3,0.34
18.93,A2F#3,0.34
19.27,C#3F3,0.34
19.60,A2,0.34
19.94,B2,0.34
20.28,B2F3,0.34
20.62,C#3,0.34
20.96,A#2,0.68
21.63,D3,0.34
21.97,A2,0.34
22.31,B2D3,0.34
22.65,F#3,0.34
22.98,C#3F3,0.34
23.32,D#3,0.34
23.66,A#2E3,0.34
24.00,D#3,0.34
24.34,C3D3,0.34
24.67,A2E3,0.34
25.01,D#3,0.34
25.35,C#3,0.34
25.69,B2,0.34
26.03,C#3,0.34
26.36,A2B2,0.34
26.70,C#3,0.34
27.04,C3D3,0.34
27.38,D3,0.34
27.72,A2,0.34
28.05,E3,0.34
28.39,C#3F3,0.34
28.73,D#3F#3,0.17
28.90,F3,0.17
29.07,A#2E3,0.34
29.41,D#3,0.34
29.74,D#3D3,0.34
30.08,B2D3,0.34
30.42,D#3,0.34
30.76,A2,0.34
31.10,B2,0.68
31.77,D3,0.34
32.11,E3,0.34
32.45,A#2F#3,0.34
32.79,D3G3,0.34
33.12,C3,0.34
33.46,F3,0.17
33.63,F#3,0.17
33.80,C#3G3,0.34
34.14,A#2A3,0.34
34.48,D#3G#3,0.34
34.81,G3,0.34
35.15,A2F#3,0.34
35.49,C#3,0.34
35.83,A#2,0.34
36.17,B2E3,0.17
36.34,F3,0.17
36.50,C3F#3,0.34
36.84,A2G#3,0.34
37.18,D3G3,0.34
37.52,F#3,0.34
37.86,D#3F3,0.34
38.19,C3,0.34
38.53,A#2,0.34
38.87,D3,0.17
39.04,E3,0.17
39.21,D#3F3,0.34
39.55,A#2G3,0.34
39.88,C#3F#3,0.34
40.22,D#3F3,0.34
40.56,B2F3,0.34
40.90,D#3F#3,0.34
41.24,B2,0.34
41.57,C#3,0.34
41.91,A#2,1.01
42.93,F#3,0.34
43.26,G#3,0.34
43.60,A3C3,0.34
43.94,D3F#3,0.34
44.28,A2F#3,0.34
44.62,G#3,0.34
44.95,C#3F3,0.34
45.29,D#3,0.34
45.63,A#2F3,0.34
45.97,F#3,0.34
46.31,B2G#3,0.34
46.64,C#3F3,0.34
46.98,A#2F3,0.34
47.32,D#3F#3,0.34
47.66,D3,0.34
48.00,A2,0.34
48.33,B2F#3,0.34
48.67,G#3,0.34
49.01,A3C3,0.34
49.35,D3F#3,0.34
49.69,A2F#3,0.34
50.02,C4,0.34
50.36,A#3C#3,0.34
50.70,A3D#3,0.34
51.04,A#2F#3,0.17
51.21,E3,0.51
51.71,A2F3,0.34
52.05,C#3E3,0.34
52.39,A2E3,0.34
52.73,B2F3,0.34
53.07,B2F#3,0.34
53.40,C#3,0.34
53.74,A#2F#3,0.34
54.08,G#3,0.34
54.42,A3C3,0.34
54.76,D3F#3,0.34
55.09,A2F#3,0.34
55.43,G#3,0.34
55.77,C#3F3,0.34
56.11,D#3,0.34
56.45,A#2F3,0.34
56.78,F#3,0.34
57.12,B2G#3,0.34
57.46,A#3D#3,0.34
57.80,A#3B2,0.34
58.14,C4,0.34
58.47,A3,0.34
58.81,A2,0.34
59.15,A3B2,0.34
59.49,G#3,0.34
59.83,C3G3,0.34
60.16,A2G#3,0.34
60.50,A3C3,0.34
60.84,C4D3,0.34
61.18,C#3C4,0.34
61.52,A#2,0.34
61.85,A#3D#3,0.68
62.53,A3D3,0.34
62.87,B2,0.34
63.21,A#2,0.34
63.54,B2,0.34
63.88,A2A3D3F3,1.35
65.23,D3,0.34
65.57,A2,0.34
65.91,B2D3,0.34
66.25,F#3,0.34
66.59,C#3F3,0.34
66.92,D#3,0.34
67.26,A#2E3,0.34
67.60,D#3,0.34
67.94,C3D3,0.34
68.28,A2E3,0.34
68.61,D#3,0.34
68.95,C#3,0.34
69.29,B2,0.34
69.63,C#3,0.34
69.97,A2B2,0.34
70.30,C#3,0.34
70.64,C3D3,0.34
70.98,D3,0.34
71.32,A2,0.34
71.66,E3,0.34
71.99,C#3F3,0.34
72.33,D#3F#3,0.17
72.50,F3,0.17
72.67,A#2E3,0.34
73.01,D#3,0.34
73.35,D#3D3,0.34
73.68,B2D3,0.34
74.02,D#3,0.34
74.36,A2,0.34
74.70,B2,0.68
75.37,D3,0.34
75.71,E3,0.34
76.05,A#2F#3,0.34
76.39,D3G3,0.34
76.73,C3,0.34
77.06,F3,0.17
77.23,F#3,0.17
77.40,C#3G3,0.34
77.74,A#2A3,0.34
78.08,D#3G#3,0.34
78.42,G3,0.34
78.75,A2F#3,0.34
79.09,C#3,0.34
79.43,A#2,0.34
79.77,B2E3,0.17
79.94,F3,0.17
80.11,C3F#3,0.34
80.44,A2G#3,0.34
80.78,D3G3,0.34
