# 《无羁》何以解忧
# Converted from SkyStudio format
# BPM: 690
# Total chords: 430

Time,Keys,Duration
0.00,C4D3,0.34
0.34,B2,0.34
0.69,D3,0.34
1.03,A2,0.34
1.38,A#3B2,0.69
2.06,A3D3,0.69
2.75,B2G#3,0.34
3.10,D#3,0.34
3.44,C#3,0.34
3.78,B2,0.34
4.13,D#3,0.69
4.82,F#3,0.34
5.16,G#3,0.34
5.50,A3C3,0.34
5.85,A2,0.34
6.19,D3,0.69
6.88,C#3G#3,0.34
7.22,A#2,0.34
7.57,A3D#3,0.69
8.26,A2F#3,0.34
8.60,C#3,0.34
8.94,A2,0.34
9.29,A#2,0.34
9.63,B2C#3,0.34
9.98,A#2,0.34
10.32,B2,0.34
10.66,C#3,0.34
11.01,C4D3,0.34
11.35,B2,0.34
11.70,D3,0.34
12.04,A2,0.34
12.38,A#3B2,0.69
13.07,A3D3,0.69
13.76,B2G#3,0.34
14.10,D#3,0.34
14.45,C#3,0.34
14.79,B2,0.34
15.14,D#3,0.69
15.82,F#3,0.34
16.17,G#3,0.34
16.51,A3C3,0.34
16.86,A2,0.34
17.20,D3,0.69
17.89,C#3G#3,0.34
18.23,A#2,0.34
18.58,D#3,0.69
19.26,A3D3,0.34
19.61,B2,0.34
19.95,D3,0.34
20.30,A#2,0.34
20.64,B2,1.38
22.02,D3F#3,0.34
22.36,B2,0.34
22.70,D3,0.34
23.05,D#3,0.34
23.39,E3,0.69
24.08,D3,0.69
24.77,B2D#3,0.34
25.11,D#3,0.34
25.46,C#3,0.34
25.80,B2,0.34
26.14,B2D#3,1.38
27.52,C3D3,0.34
27.86,A2,0.34
28.21,D#3D3,0.34
28.55,E3,0.34
28.90,C#3F3,0.34
29.24,A#2,0.34
29.58,D#3,0.34
29.93,C#3,0.34
30.27,D3,0.34
30.62,B2D3,0.34
30.96,C4D3E3,0.34
31.30,A2,0.34
31.65,A#3B2D#3,0.69
32.34,C#3D3G#3,0.69
33.02,D3F#3,0.34
33.37,B2,0.34
33.71,D3,0.34
34.06,D#3,0.34
34.40,E3,0.69
35.09,D3,0.69
35.78,B2D#3,0.34
36.12,D#3,0.34
36.46,C#3D3,0.34
36.81,B2C#3,0.34
37.15,C#3D#3,0.69
37.84,C#3C3,0.34
38.18,C#3,0.34
38.53,C3D3,0.34
38.87,A2,0.34
39.22,C#3,0.34
39.56,D3,0.34
39.90,A2F3,0.34
40.25,E3,0.34
40.59,C3D#3,0.34
40.94,E3,0.34
41.28,B2D#3,0.34
41.62,D#3,0.34
41.97,B2G#3,0.34
42.31,A#3C#3,0.34
42.66,B2D#3F#3,0.69
43.34,E3,0.34
43.69,F3,0.34
44.03,C3F#3,0.34
44.38,A2,0.34
44.72,C#3,0.34
45.06,D3F3,0.34
45.41,A2E3,0.34
45.75,D#3,0.34
46.10,C3E3,0.34
46.44,D3,0.34
46.78,B2D#3,0.34
47.13,D#3,0.34
47.47,B2G#3,0.34
47.82,A3C#3,0.34
48.16,D#3G#3,0.69
48.85,B2,0.69
49.54,A#2E3,0.34
49.88,D3F3,0.34
50.22,A#2F#3,0.34
50.57,D3G3,0.34
50.91,C#3G#3,0.34
51.26,A#2,0.34
51.60,C#3F3,0.34
51.94,D#3,0.34
52.29,A2F#3,0.34
52.63,B2C#3F#3,0.34
52.98,A#2A2F3,0.34
53.32,A#2B2F#3,0.34
53.66,B2C#3,0.34
54.01,F3,0.34
54.35,A2C#3F#3,0.34
54.70,G#3,0.34
55.04,D3G#3,0.34
55.38,B2E3,0.34
55.73,A2,0.34
56.07,D3,0.34
56.42,B2C#3,0.34
56.76,D#3,0.34
57.10,D3E3,0.34
57.45,F#3,0.34
57.79,C3,0.34
58.14,A2D3,0.34
58.48,D3,0.34
58.82,A2,0.34
59.17,C3,0.34
59.51,C#3,0.34
59.86,A2G#3,0.34
60.20,F#3,0.34
60.54,A#2E3,0.34
60.89,D3,0.34
61.23,A#2,0.34
61.58,B2F3,0.34
61.92,B2F#3,0.34
62.26,D#3F3,0.34
62.61,B2F#3,0.34
62.95,C#3G#3,0.34
63.30,A3D3,0.34
63.64,B2,0.34
63.98,C4,0.09
64.07,A#3,0.09
64.16,A3,0.09
64.24,F#3,0.09
64.33,A3,0.09
64.41,F#3,0.09
64.50,E3,0.09
64.59,D3,0.09
64.67,A2B2D3,0.34
65.02,F3,0.34
65.36,D3E3F#3,0.34
65.70,E3G#3,0.34
66.05,C3C4F#3,0.34
66.39,A2,0.34
66.74,A#3D3F3,0.34
67.08,C3,0.34
67.42,A3C#3E3,0.34
67.77,A#2,0.34
68.11,C#3D#3G#3,0.34
68.46,B2F#3,0.34
68.80,D#3,0.34
69.14,C#3F3,0.34
69.49,G#3,0.34
69.83,A2E3F#3,0.34
70.18,C#3,0.34
70.52,B2,0.69
71.21,C3D3,0.34
71.55,A2D#3,0.34
71.90,D3E3,0.34
72.24,D3,0.34
72.58,C#3D#3,0.34
72.93,A#2,0.17
73.10,A3F#3,0.17
73.27,D#3,0.34
73.62,G#3,0.34
73.96,A2B2G#3,0.34
74.30,C#3,0.34
74.65,A2,0.34
74.99,A#2,0.34
75.34,B2C#3,0.34
75.68,F3,0.34
76.02,A2F#3,0.34
76.37,G#3,0.34
76.71,C3C4F#3,0.34
77.06,A2,0.34
77.40,A#3D3F3,0.34
77.74,C3,0.34
78.09,A3C#3E3,0.34
78.43,A#2,0.34
78.78,C#3D#3G#3,0.34
79.12,B2F#3,0.34
79.46,D#3F3,0.34
79.81,D3F#3,0.34
80.15,A#3,0.34
80.50,A3D3F#3,0.34
80.84,B2,0.34
81.18,A2,0.69
81.87,A3C3,0.34
82.22,A2G#3,0.34
82.56,A3D3,0.34
82.90,A3C3,0.34
83.25,A#3C#3,0.34
83.59,A#2,0.34
83.94,D#3,0.34
84.28,C#3G#3,0.34
84.62,D3,0.34
84.97,A3B2,0.34
85.31,D3,0.34
85.66,A2,0.34
86.00,B2,1.38
87.38,D3F#3,0.34
87.72,B2,0.34
88.06,D3,0.34
88.41,D#3,0.34
88.75,E3,0.69
89.44,D3,0.69
90.13,B2D#3,0.34
90.47,D#3,0.34
90.82,C#3,0.34
91.16,B2,0.34
91.50,B2D#3,1.38
92.88,C3D3,0.34
93.22,A2,0.34
93.57,D#3D3,0.34
93.91,E3,0.34
94.26,C#3F3,0.34
94.60,A#2,0.34
94.94,D#3,0.34
95.29,C#3,0.34
95.63,D3,0.34
95.98,B2D3,0.34
96.32,C4D3E3,0.34
96.66,A2,0.34
97.01,A#3B2D#3,0.69
97.70,C#3D3G#3,0.69
98.38,D3F#3,0.34
98.73,B2,0.34
99.07,D3,0.34
99.42,D#3,0.34
99.76,E3,0.69
