# 《星星失眠》何以解忧
# Converted from SkyStudio format
# BPM: 300
# Total chords: 535

Time,Keys,Duration
0.00,C4,0.40
0.40,A#3,0.40
0.80,G#3,0.40
1.20,F#3,0.40
1.60,C3F3,0.60
2.20,F#3,0.20
2.40,A2,0.40
2.80,E3,0.40
3.20,C#3F3,0.40
3.60,F#3,0.40
4.00,A#2F#3,0.40
4.40,G#3,0.40
4.80,D3,0.40
5.20,F#3,0.40
5.60,B2,0.80
6.40,C4D3,0.40
6.80,A#3,0.40
7.20,G#3,0.40
7.60,F#3,0.40
8.00,C3F3,0.60
8.60,F#3,0.20
8.80,A2,0.40
9.20,E3,0.40
9.60,C#3F3,0.60
10.20,F#3,0.20
10.40,A#2,0.40
10.80,A#3,0.40
11.20,A2,0.40
11.60,G#3,0.40
12.00,B2,0.80
12.80,C#3,1.60
14.40,C3,0.40
14.80,A2,0.40
15.20,C3,0.40
15.60,E3,0.20
15.80,D#3,0.20
16.00,C#3E3,0.40
16.40,A#2D#3,0.20
16.60,E3,0.20
16.80,C#3,0.40
17.20,G#3,0.20
17.40,G#3,0.20
17.60,D3,0.40
18.00,B2,0.40
18.40,D3,0.80
19.20,E3,0.80
20.00,F#3,0.80
20.80,C3,0.40
21.20,A2,0.40
21.60,C3,0.40
22.00,E3,0.20
22.20,D#3,0.20
22.40,C#3E3,0.40
22.80,A#2D#3,0.20
23.00,E3,0.20
23.20,C#3,0.40
23.60,G#3,0.20
23.80,G#3,0.20
24.00,D3,0.40
24.40,B2,0.40
24.80,D3,0.40
25.20,E3,0.40
25.60,F#3,0.80
26.40,E3,0.80
27.20,C3,0.40
27.60,A2,0.40
28.00,C3C4,0.40
28.40,A#3,0.40
28.80,C#3,0.40
29.20,A#2G#3,0.40
29.60,C#3,0.40
30.00,F#3,0.40
30.40,A2,0.40
30.80,C#3F3,0.40
31.20,E3F#3,0.40
31.60,G3,0.40
32.00,C#3F#3,0.40
32.40,A#2F3,0.40
32.80,C#3,0.40
33.20,D#3,0.20
33.40,E3,0.20
33.60,C3E3,0.40
34.00,A2D#3,0.20
34.20,E3,0.20
34.40,C3,0.40
34.80,D#3,0.20
35.00,E3,0.20
35.20,C#3,0.40
35.60,A#2,0.40
36.00,C#3,0.40
36.40,D#3,0.20
36.60,E3,0.20
36.80,D3,0.40
37.20,B2,0.40
37.60,D3,0.40
38.00,B2,0.40
38.40,C#3,0.40
38.80,A#2,0.40
39.20,C#3,0.80
40.00,C3,0.40
40.40,A2,0.40
40.80,C3,0.40
41.20,E3,0.20
41.40,D#3,0.20
41.60,C#3E3,0.40
42.00,A#2D#3,0.20
42.20,E3,0.20
42.40,C#3,0.40
42.80,G#3,0.20
43.00,G#3,0.20
43.20,D3,0.40
43.60,B2,0.40
44.00,D3,0.80
44.80,E3,0.80
45.60,F#3,0.80
46.40,C3,0.40
46.80,A2,0.40
47.20,C3,0.40
47.60,E3,0.20
47.80,D#3,0.20
48.00,C#3E3,0.40
48.40,A#2D#3,0.20
48.60,E3,0.20
48.80,C#3,0.40
49.20,G#3,0.20
49.40,G#3,0.20
49.60,D3,0.40
50.00,B2,0.40
50.40,D3,0.40
50.80,E3,0.40
51.20,F#3,0.80
52.00,E3,0.80
52.80,C3,0.40
53.20,A2,0.40
53.60,C3C4,0.40
54.00,A#3,0.40
54.40,C#3,0.40
54.80,A#2G#3,0.40
55.20,C#3,0.40
55.60,F#3,0.40
56.00,A2,0.40
56.40,C#3F3,0.40
56.80,E3F#3,0.40
57.20,G3,0.40
57.60,C#3F#3,0.40
58.00,A#2F3,0.40
58.40,C#3,0.40
58.80,D#3,0.20
59.00,E3,0.20
59.20,C3E3,0.40
59.60,A2D#3,0.20
59.80,E3,0.20
60.00,C3,0.40
60.40,D#3,0.20
60.60,E3,0.20
60.80,C#3,0.40
61.20,A#2,0.40
61.60,C#3,0.40
62.00,F3,0.20
62.20,E3,0.20
62.40,D3,0.40
62.80,B2,0.40
63.20,D3,0.80
64.00,D#3,1.20
65.20,F3,0.20
65.40,F#3,0.20
65.60,A2C3,0.40
66.00,F3,0.20
66.20,F#3,0.20
66.40,C3,0.40
66.80,F3,0.20
67.00,F#3,0.20
67.20,A#2C#3,0.80
68.00,C#3,0.40
68.40,G3,0.20
68.60,F#3,0.20
68.80,B2D3F#3,0.80
69.60,D3,0.20
69.80,E3,0.20
70.00,E3,0.20
70.20,F3,0.20
70.40,F#3,0.40
70.80,F3,0.40
71.20,F3,0.20
71.40,E3,0.20
71.60,E3,0.40
72.00,A2C3,0.40
72.40,F3,0.20
72.60,F#3,0.20
72.80,C3,0.40
73.20,F3,0.20
73.40,F#3,0.20
73.60,A#2C#3,0.40
74.00,F3,0.20
74.20,F#3,0.20
74.40,C#3,0.40
74.80,F3,0.20
75.00,F#3,0.20
75.20,B2D3,0.80
76.00,D3,0.40
76.40,F3,0.20
76.60,F3,0.20
76.80,C#3,0.80
77.60,A#2,0.80
78.40,C#3,0.40
78.80,A#2,0.40
79.20,C#3,0.40
79.60,A#2,0.40
80.00,C#3C4,0.40
80.40,A#2A#3,0.40
80.80,C#3G#3,0.40
81.20,F#3,0.40
81.60,C3F3,0.40
82.00,A2,0.20
82.20,F#3,0.20
82.40,C3,0.40
82.80,A2E3,0.40
83.20,C#3F3,0.40
83.60,A#2F#3,0.40
84.00,C#3F#3,0.40
84.40,A#2G#3,0.40
84.80,D3,0.40
85.20,B2F#3,0.40
85.60,D3,0.40
86.00,E3,0.40
86.40,C4F#3,0.40
86.80,A#3,0.40
87.20,E3G#3,0.40
87.60,F#3,0.40
88.00,C3F3,0.40
88.40,A2,0.20
88.60,F#3,0.20
88.80,C3,0.40
89.20,A2E3,0.40
89.60,C#3F3,0.40
90.00,A#2,0.20
90.20,F#3,0.20
90.40,C#3F#3,0.40
90.80,A#2A#3,0.40
91.20,D3,0.40
91.60,B2G#3,0.40
92.00,D3,0.40
92.40,E3,0.40
92.80,C4F#3,0.40
93.20,A#3,0.40
93.60,E3G#3,0.40
94.00,F#3,0.40
94.40,C3G#3,0.20
94.60,A3,0.20
94.80,A2,0.20
95.00,G#3,0.20
95.20,A3C3,0.40
95.60,A2G#3,0.20
95.80,A3,0.20
96.00,C#3,0.40
96.40,A#2G#3,0.20
96.60,A3,0.20
96.80,C#3,0.40
97.20,A#2G#3,0.20
97.40,F#3,0.20
97.60,B2G#3,0.40
98.00,D#3F#3,0.40
98.40,B2F#3,0.40
98.80,A#3,0.40
99.20,D3,0.40
99.60,A3B2,0.40
100.00,D3,0.40
100.40,F3,0.20
100.60,F#3,0.20
100.80,C3G#3,0.40
101.20,A2G3,0.40
101.60,C3F#3,0.40
102.00,G3,0.20
102.20,F#3,0.20
102.40,C#3F#3,0.40
102.80,A#2F3,0.40
103.20,C#3F3,0.40
103.60,E3,0.40
104.00,A2E3,0.40
104.40,C#3,0.40
104.80,A2,0.80
105.60,B2,0.80
106.40,C#3,0.80
107.20,C3,0.40
107.60,A2,0.40
108.00,C3,0.40
108.40,E3,0.20
108.60,D#3,0.20
108.80,C#3E3,0.40
109.20,A#2D#3,0.20
109.40,E3,0.20
109.60,C#3,0.40
110.00,G#3,0.20
110.20,G#3,0.20
110.40,D3,0.40
110.80,B2,0.40
111.20,D3,0.80
112.00,E3,0.80
112.80,F#3,0.80
113.60,C3,0.40
114.00,A2,0.40
114.40,C3,0.40
114.80,E3,0.20
115.00,D#3,0.20
115.20,C#3E3,0.40
115.60,A#2D#3,0.20
115.80,E3,0.20
116.00,C#3,0.40
116.40,G#3,0.20
116.60,G#3,0.20
116.80,D3,0.40
117.20,B2,0.40
117.60,D3,0.40
118.00,E3,0.40
118.40,F#3,0.80
119.20,E3,0.80
120.00,C3,0.40
120.40,A2,0.40
120.80,C3C4,0.40
121.20,A#3,0.40
121.60,C#3,0.40
122.00,A#2G#3,0.40
122.40,C#3,0.40
122.80,F#3,0.40
123.20,A2,0.40
123.60,C#3F3,0.40
124.00,E3F#3,0.40
124.40,G3,0.40
124.80,C#3F#3,0.40
125.20,A#2F3,0.40
125.60,C#3,0.40
126.00,D#3,0.20
126.20,E3,0.20
126.40,C3E3,0.40
126.80,A2D#3,0.20
127.00,E3,0.20
127.20,C3,0.40
127.60,D#3,0.20
127.80,E3,0.20
128.00,C#3,0.40
128.40,A#2,0.40
128.80,C#3,0.40
129.20,D#3,0.20
129.40,E3,0.20
129.60,D3,0.40
130.00,B2,0.40
130.40,D3,0.40
130.80,B2,0.40
131.20,C#3,0.40
131.60,A#2,0.40
132.00,C#3,0.80
132.80,C3,0.40
133.20,A2,0.40
133.60,C3,0.40
134.00,E3,0.20
134.20,D#3,0.20
134.40,C#3E3,0.40
134.80,A#2D#3,0.20
135.00,E3,0.20
135.20,C#3,0.40
135.60,G#3,0.20
135.80,G#3,0.20
136.00,D3,0.40
136.40,B2,0.40
136.80,D3,0.80
137.60,E3,0.80
138.40,F#3,0.80
139.20,C3,0.40
139.60,A2,0.40
140.00,C3,0.40
140.40,E3,0.20
140.60,D#3,0.20
140.80,C#3E3,0.40
141.20,A#2D#3,0.20
141.40,E3,0.20
141.60,C#3,0.40
142.00,G#3,0.20
142.20,G#3,0.20
142.40,D3,0.40
142.80,B2,0.40
143.20,D3,0.40
143.60,E3,0.40
144.00,F#3,0.80
144.80,E3,0.80
145.60,C3,0.40
146.00,A2,0.40
146.40,C3C4,0.40
146.80,A#3,0.40
147.20,C#3,0.40
147.60,A#2G#3,0.40
148.00,C#3,0.40
148.40,F#3,0.40
148.80,A2,0.40
149.20,C#3F3,0.40
149.60,E3F#3,0.40
150.00,G3,0.40
150.40,C#3F#3,0.40
150.80,A#2F3,0.40
151.20,C#3,0.40
151.60,D#3,0.20
151.80,E3,0.20
152.00,C3E3,0.40
152.40,A2D#3,0.20
152.60,E3,0.20
152.80,C3,0.40
153.20,D#3,0.20
153.40,E3,0.20
153.60,C#3,0.40
154.00,A#2,0.40
154.40,C#3,0.40
154.80,F3,0.20
155.00,E3,0.20
155.20,D3,0.40
155.60,B2,0.40
156.00,D3,0.80
156.80,D#3,1.20
158.00,F3,0.20
158.20,F#3,0.20
158.40,A2C3,0.40
158.80,F3,0.20
159.00,F#3,0.20
159.20,C3,0.40
159.60,F3,0.20
159.80,F#3,0.20
160.00,A#2C#3,0.80
160.80,C#3,0.40
161.20,G3,0.20
161.40,F#3,0.20
161.60,B2D3F#3,0.80
162.40,D3,0.20
162.60,E3,0.20
162.80,E3,0.20
163.00,F3,0.20
163.20,F#3,0.40
163.60,F3,0.40
164.00,F3,0.20
164.20,E3,0.20
164.40,E3,0.40
164.80,A2C3,0.40
165.20,F3,0.20
165.40,F#3,0.20
165.60,C3,0.40
166.00,F3,0.20
166.20,F#3,0.20
166.40,A#2C#3,0.40
166.80,F3,0.20
167.00,F#3,0.20
167.20,C#3,0.40
167.60,F3,0.20
167.80,F#3,0.20
168.00,B2D3,0.80
168.80,D3,0.40
169.20,F3,0.20
169.40,F3,0.20
169.60,C#3,0.80
170.40,A#2,0.80
171.20,C#3,0.40
171.60,A#2,0.40
172.00,C#3,0.40
172.40,A#2,0.40
172.80,C#3C4,0.40
173.20,A#2A#3,0.40
173.60,C#3G#3,0.40
174.00,F#3,0.40
