# 《红色高跟鞋》何以解忧
# Converted from SkyStudio format
# BPM: 419
# Total chords: 318

Time,Keys,Duration
0.00,hoy,0.29
0.29,y,0.29
0.57,hoy,0.57
1.14,jpu,0.29
1.43,u,0.29
1.72,jpu,0.57
2.29,hik,0.29
2.57,i,0.29
2.86,hik,0.57
3.43,ijp,0.29
3.72,k,0.29
4.00,ijp,0.29
4.29,k,0.29
4.58,hoy,0.29
4.86,y,0.29
5.15,hoy,0.57
5.72,jpu,0.29
6.01,u,0.29
6.29,jpu,0.57
6.86,hik,0.29
7.15,i,0.29
7.44,hik,0.57
8.01,ijp,0.29
8.29,k,0.29
8.58,ijp,0.29
8.87,k,0.29
9.15,hoy,0.57
9.72,hmoy,0.29
10.01,,,0.29
10.30,jpu,0.57
10.87,jmpu,0.29
11.15,m,0.29
11.44,hik,0.29
11.73,;,0.29
12.01,hik,0.57
12.58,ijp,0.29
12.87,k,0.29
13.16,ijp,0.29
13.44,k,0.29
13.73,hoy,0.57
14.30,hmoy,0.29
14.59,,,0.29
14.87,jpu,0.57
15.44,jmpu,0.29
15.73,m,0.29
16.02,hik,0.29
16.30,;,0.29
16.59,hik,0.57
17.16,ijp,0.29
17.45,k,0.29
17.73,ijp,0.29
18.02,k,0.29
18.30,o,0.29
18.59,y,0.29
18.88,;o,0.14
19.02,;,0.14
19.16,;,0.14
19.30,;,0.14
19.45,lp,0.29
19.73,ju,0.29
20.02,p,0.29
20.31,k,0.29
20.59,h,0.29
20.88,ik,0.29
21.16,h,0.29
21.45,k,0.29
21.74,k,0.57
22.31,j,0.57
22.88,o,0.29
23.17,y,0.29
23.45,;o,0.14
23.59,;,0.14
23.74,;,0.14
23.88,;,0.14
24.02,lp,0.29
24.31,mu,0.29
24.60,p,0.29
24.88,j,0.29
25.17,h,0.29
25.45,ik,0.29
25.74,hp,0.29
26.03,j,0.29
26.31,k,0.29
26.60,k,0.29
26.88,j,0.29
27.17,h,0.29
27.46,o,0.29
27.74,y,0.29
28.03,;o,0.14
28.17,l,0.14
28.31,k,0.14
28.46,l,0.14
28.60,lp,0.29
28.89,pu,0.29
29.17,p,0.29
29.46,p,0.29
29.74,i,0.29
30.03,j,0.29
30.32,;i,0.14
30.46,l,0.14
30.60,k,0.29
30.89,hl,0.29
31.17,ij,0.29
31.46,h,0.29
31.75,h,0.29
32.03,o,0.29
32.32,y,0.29
32.60,o,0.29
32.89,p,0.29
33.18,h,0.29
33.46,h,0.29
33.75,;,0.29
34.03,l,0.29
34.32,p,0.29
34.61,u,0.29
34.89,mp,0.29
35.18,h,0.29
35.46,jm,0.29
35.75,;,0.29
36.04,hk,0.29
36.32,h,0.29
36.61,o,0.29
36.89,y,0.29
37.18,mo,0.29
37.47,l,0.29
37.75,p,0.29
38.04,u,0.29
38.32,jp,0.29
38.61,j,0.29
38.90,h,0.29
39.18,i,0.29
39.47,hk,0.57
40.04,km,0.29
40.33,;,0.29
40.61,k,0.29
40.90,,,0.29
41.18,o,0.29
41.47,y,0.29
41.76,mo,0.29
42.04,,,0.29
42.33,p,0.29
42.61,u,0.29
42.90,mp,0.29
43.19,;,0.29
43.47,y,0.29
43.76,p,0.29
44.04,ky,0.29
44.33,mu,0.29
44.62,im,0.29
44.90,;,0.29
45.19,ku,0.29
45.47,k,0.29
45.76,o,0.29
46.05,y,0.29
46.33,mo,0.29
46.62,l,0.29
46.90,p,0.29
47.19,u,0.29
47.48,jp,0.29
47.76,j,0.29
48.05,h,0.29
48.33,ik,0.29
48.62,h,0.29
48.91,j,0.29
49.19,k,0.43
49.62,h,0.14
49.76,k,0.14
49.91,l,0.14
50.05,;,0.29
50.34,;o,0.29
50.62,ly,0.29
50.91,ho,0.29
51.19,kp,0.29
51.48,h,0.29
51.77,l,0.29
52.05,kp,0.29
52.34,l,0.29
52.62,p,0.29
52.91,u,0.29
53.20,;p,0.29
53.48,hm,0.29
53.77,jm,0.29
54.05,;,0.29
54.34,hk,0.29
54.63,h,0.29
54.91,o,0.29
55.20,y,0.29
55.48,mo,0.29
55.77,l,0.29
56.06,p,0.29
56.34,u,0.29
56.63,jp,0.29
56.91,j,0.29
57.20,h,0.29
57.49,i,0.29
57.77,hk,0.29
58.06,j,0.29
58.34,km,0.29
58.63,;,0.29
58.92,k,0.29
59.20,,,0.29
59.49,o,0.29
59.77,y,0.29
60.06,mo,0.29
60.35,,,0.29
60.63,p,0.29
60.92,u,0.29
61.20,mp,0.29
61.49,;,0.29
61.78,y,0.29
62.06,p,0.29
62.35,ky,0.29
62.63,mu,0.29
62.92,im,0.29
63.21,;,0.29
63.49,ku,0.29
63.78,k,0.29
64.06,o,0.29
64.35,y,0.29
64.64,mo,0.29
64.92,l,0.29
65.21,p,0.29
65.49,u,0.29
65.78,jp,0.29
66.07,j,0.29
66.35,h,0.29
66.64,ik,0.29
66.92,h,0.29
67.21,j,0.14
67.35,k,0.14
67.50,km,0.29
67.78,;,0.14
67.92,;,0.29
68.21,l,0.43
68.64,ko,0.29
68.93,y,0.29
69.21,o,0.29
69.50,p,0.29
69.78,h,0.57
70.36,;,0.29
70.64,l,0.29
70.93,p,0.29
71.21,u,0.29
71.50,p,0.29
71.79,hp,0.29
72.07,j,0.29
72.36,k,0.29
72.64,p,0.29
72.93,j,0.29
73.22,hoy,0.29
73.50,y,0.29
73.79,hoy,0.57
74.36,jpu,0.29
74.65,u,0.29
74.93,jpu,0.57
75.50,hik,0.29
75.79,i,0.29
76.08,hik,0.57
76.65,ijp,0.29
76.93,k,0.29
77.22,ijp,0.29
77.51,k,0.29
77.79,hoy,0.29
78.08,y,0.29
78.36,hoy,0.57
78.94,jpu,0.29
79.22,u,0.29
79.51,jpu,0.57
80.08,hik,0.29
80.37,i,0.29
80.65,hik,0.57
81.22,ijp,0.29
81.51,k,0.29
81.80,ijp,0.29
82.08,k,0.29
82.37,hoy,0.57
82.94,hmoy,0.29
83.23,,,0.29
83.51,jpu,0.57
84.08,jmpu,0.29
84.37,m,0.29
84.66,hik,0.29
84.94,;,0.29
85.23,hik,0.57
85.80,ijp,0.29
86.09,k,0.29
86.37,ijp,0.29
86.66,k,0.29
86.94,hoy,0.57
87.52,hmoy,0.29
87.80,,,0.29
88.09,jpu,0.57
88.66,jmpu,0.29
88.95,m,0.29
89.23,hik,0.29
89.52,;,0.29
89.80,hik,0.57
90.38,ijp,0.29
90.66,k,0.29
90.95,ijp,0.29
91.23,k,0.29
91.52,hoy,0.57
92.09,hoy,0.57
92.66,jpu,0.57
93.24,jpu,0.57
93.81,hik,0.57
94.38,hik,0.57
94.95,ijp,0.29
95.24,k,0.29
95.52,ijp,0.29
95.81,k,0.29
96.10,hoy,0.57
96.67,hmoy,0.29
96.95,,,0.29
97.24,jpu,0.57
97.81,m,0.29
98.10,m,0.57
98.67,;,0.50
