# 《芒种》-何以解忧
# Converted from SkyStudio format
# BPM: 393
# Total chords: 441

Time,Keys,Duration
0.00,F#3,0.15
0.15,E3,0.15
0.30,F3,0.30
0.61,D3,0.30
0.91,D3,0.30
1.22,A2B2D3,0.61
1.82,F#3,0.30
2.13,G#3,0.30
2.43,F#3,0.30
2.74,G#3,0.30
3.04,F3,0.15
3.19,F#3,0.46
3.65,A2C3D3,0.30
3.95,D#3,0.30
4.26,E3,0.30
4.56,D3,0.30
4.86,C#3,1.22
6.08,A2B2C#3,0.61
6.69,F#3,0.30
6.99,G#3,0.30
7.30,F#3,0.30
7.60,D3,0.30
7.90,E3,0.61
8.51,A#2C#3D#3F3,0.30
8.82,F3,0.30
9.12,F3,0.30
9.42,E3,0.30
9.73,F#3,0.61
10.34,E3,0.61
10.94,D3,1.22
12.16,A#2,0.15
12.31,B2,0.15
12.46,C#3,0.15
12.62,D3,0.15
12.77,E3,0.15
12.92,F3,0.15
13.07,F#3,0.15
13.22,G#3,0.15
13.38,A2B2D3F#3,0.30
13.68,G#3,0.30
13.98,A3,0.30
14.29,A2B2D3F#3,0.61
14.90,G#3,0.30
15.20,G#3,0.30
15.50,F3,0.30
15.81,A2C3D3E3,0.61
16.42,D3,0.30
16.72,E3,0.30
17.02,C#3,0.61
17.63,D3,0.15
17.78,E3,0.15
17.94,F3,0.30
18.24,A2B2C#3F#3,0.30
18.54,G#3,0.30
18.85,A3,0.30
19.15,A2B2C#3F#3,0.61
19.76,G#3,0.30
20.06,G#3,0.30
20.37,E3,0.30
20.67,A#2C#3D#3F3,0.30
20.98,F#3,0.30
21.28,F#3,0.30
21.58,F3,0.91
22.50,E3,0.30
22.80,F3,0.30
23.10,A2B2D3F#3,0.30
23.41,G#3,0.30
23.71,A3,0.30
24.02,A2B2D3F#3,0.61
24.62,G#3,0.30
24.93,G#3,0.30
25.23,F3,0.30
25.54,A2C3D3E3,0.61
26.14,D3,0.30
26.45,E3,0.30
26.75,C#3,0.61
27.36,D3,0.15
27.51,E3,0.15
27.66,F3,0.30
27.97,A2B2C#3F#3,0.30
28.27,G#3,0.30
28.58,A3,0.30
28.88,A2B2C#3F#3,0.61
29.49,G#3,0.30
29.79,G#3,0.30
30.10,E3,0.30
30.40,A#2C#3D#3F3,0.30
30.70,F#3,0.30
31.01,F#3,0.30
31.31,F3,1.52
32.83,A2B2D3,0.61
33.44,B2,0.30
33.74,A#2,0.30
34.05,B2,0.30
34.35,A#2,0.30
34.66,B2,0.61
35.26,A2C3D3,0.61
35.87,C3,0.30
36.18,A2,0.30
36.48,C3,0.30
36.78,C#3,0.30
37.09,C3,0.61
37.70,A2B2C#3,0.61
38.30,C#3,0.30
38.61,C#3,0.15
38.76,D3,0.15
38.91,C#3,0.30
39.22,C#3,0.30
39.52,C#3,0.30
39.82,A#2,0.15
39.98,B2,0.15
40.13,A#2C#3D#3,1.52
41.65,A2,0.30
41.95,A2,0.30
42.26,D3,0.30
42.56,A2B2D3,0.61
43.17,B2,0.30
43.47,A#2,0.30
43.78,B2,0.30
44.08,A#2,0.30
44.38,B2,0.61
44.99,A2C3D3,0.61
45.60,C3,0.30
45.90,A2,0.30
46.21,C3,0.30
46.51,C#3,0.30
46.82,C3,0.61
47.42,A2B2C#3D#3,0.30
47.73,D3,0.30
48.03,C#3,0.91
48.94,A2,0.30
49.25,D3,0.30
49.55,C#3,0.30
49.86,A#2C#3D#3,1.22
51.07,D3,0.30
51.38,D3,0.30
51.68,D3,0.30
51.98,F#3,0.30
52.29,A2B2D3,0.30
52.59,C#3,0.30
52.90,F#3,1.22
54.11,D3,0.30
54.42,C#3,0.30
54.72,A2C3D3,0.30
55.02,C#3,0.30
55.33,G#3,1.22
56.54,C#3,0.15
56.70,C#3,0.15
56.85,C#3,0.30
57.15,A2B2C#3F#3,0.30
57.46,E3,0.30
57.76,E3,0.30
58.06,E3,0.30
58.37,E3,0.30
58.67,C#3,0.30
58.98,C#3,0.61
59.58,A#2C#3D#3F3,0.30
59.89,E3,0.30
60.19,D#3,0.30
60.50,E3,0.30
60.80,D#3,0.61
61.41,D3,0.30
61.71,C#3,0.30
62.02,A2B2D3,0.30
62.32,C#3,0.30
62.62,F#3,0.91
63.54,G#3,0.30
63.84,A3,0.61
64.45,A2C3D3G#3,0.61
65.06,D3,0.30
65.36,E3,0.91
66.27,C#3,0.15
66.42,C#3,0.15
66.58,C#3,0.30
66.88,A2B2C#3F#3,0.30
67.18,E3,0.30
67.49,E3,0.30
67.79,C#3,0.30
68.10,C#3,0.61
68.70,F#3,0.30
69.01,F3,0.30
69.31,A#2C#3D#3F3,1.22
70.53,F#3,0.15
70.68,E3,0.15
70.83,F3,0.30
71.14,D3,0.30
71.44,D3,0.30
71.74,D3,0.61
72.35,A2B2F#3,0.30
72.66,G#3,0.30
72.96,F#3,0.30
73.26,G#3,0.30
73.57,A2B2F3,0.15
73.72,F#3,0.46
74.18,D3F3,0.30
74.48,F3,0.15
74.63,E3,0.15
74.78,A2C3F3,0.30
75.09,F3,0.15
75.24,E3,0.15
75.39,F3,0.30
75.70,F#3,0.30
76.00,A2C#3C3,0.61
76.61,C#3,0.61
77.22,A2B2F#3,0.30
77.52,G#3,0.30
77.82,F#3,0.30
78.13,D3,0.30
78.43,A2B2E3,0.61
79.04,C#3F3,0.30
79.34,F3,0.15
79.50,E3,0.15
79.65,A#2F3,0.30
79.95,F3,0.15
80.10,E3,0.15
80.26,F#3,0.30
80.56,E3,0.30
80.86,A#2D3,0.30
81.17,E3,0.30
81.47,D3,0.61
82.08,A2B2F#3,0.30
82.38,G#3,0.30
82.69,F#3,0.30
82.99,G#3,0.30
