# 《遇见》-何以解忧
# Converted from SkyStudio format
# BPM: 404
# Total chords: 259

Time,Keys,Duration
0.00,G#3,0.30
0.30,F#3,0.30
0.59,A2,0.30
0.89,C#3,0.30
1.18,G#3,0.30
1.48,F3,0.30
1.78,D#3,0.30
2.07,C#3,0.30
2.37,G#3,0.30
2.66,E3,0.30
2.96,D3,1.48
4.44,B2,0.30
4.74,C#3,0.30
5.03,E3,0.30
5.33,C3,0.30
5.62,C#3,0.30
5.92,G#3,0.30
6.22,E3,0.30
6.51,B2,0.30
6.81,A2,0.30
7.10,E3,0.30
7.40,G#3,0.30
7.70,A#2F3,0.30
7.99,D3,0.30
8.29,A2,0.30
8.58,G3,0.15
8.73,G#3,0.15
8.88,C#3F#3,0.30
9.18,A#2,0.30
9.47,D3G3,0.30
9.77,C#3,0.30
10.06,A2C#3E3F#3,0.30
10.36,C#3,0.30
10.66,B2E3F#3G#3,0.30
10.95,A2,0.30
11.25,A3D#3F3G3,0.30
11.54,C#3,0.30
11.84,A#2A#3F3G#3,0.30
12.14,D#3,0.30
12.43,A#3D3F#3G#3,0.30
12.73,B2,0.30
13.02,A2A3C4F#3,0.30
13.32,D3,0.30
13.62,A#2A#3F3G#3,0.30
13.91,A2,0.30
14.21,C4F#3G#3,0.30
14.50,C#3,0.30
14.80,A3C3C4F#3,0.30
15.10,D3,0.30
15.39,A2,0.30
15.69,C#3C4G3,1.48
17.17,C#3E3F3G#3,2.37
19.54,G#3,0.30
19.83,F#3,0.30
20.13,A2,0.30
20.42,C#3,0.30
20.72,G#3,0.30
21.02,F3,0.30
21.31,D#3,0.30
21.61,C#3,0.30
21.90,F#3,0.30
22.20,F3,0.30
22.50,D3,0.30
22.79,E3,0.30
23.09,B2,0.30
23.38,D3,0.30
23.68,D#3,0.30
23.98,E3,0.30
24.27,E3,0.30
24.57,D#3,0.30
24.86,C3D3,0.30
25.16,A2D#3,0.30
25.46,C3E3,0.30
25.75,D#3,0.30
26.05,C#3,0.30
26.34,A#2E3,0.30
26.64,C#3F3,0.30
26.94,F#3,0.30
27.23,A2,0.30
27.53,C#3,0.30
27.82,F3,0.30
28.12,C#3,0.30
28.42,F#3,0.59
29.01,G#3,0.30
29.30,F#3,0.30
29.60,A2,0.30
29.90,C#3,0.30
30.19,G#3,0.30
30.49,F3,0.30
30.78,D#3,0.30
31.08,C#3,0.30
31.38,F#3,0.30
31.67,F3,0.30
31.97,D3,0.30
32.26,E3,0.30
32.56,B2,0.30
32.86,D3,0.30
33.15,D#3,0.30
33.45,E3,0.30
33.74,E3,0.30
34.04,D#3,0.30
34.34,C3D3,0.30
34.63,A2D#3,0.30
34.93,C3E3,0.30
35.22,D#3,0.30
35.52,C#3,0.30
35.82,A#2E3,0.30
36.11,C#3F3,0.59
36.70,A2C#3E3,0.30
37.00,C#3,0.30
37.30,A2,0.30
37.59,A#2,0.30
37.89,C#3,0.30
38.18,G#3,0.30
38.48,A3,0.30
38.78,A#3,0.30
39.07,A3C3C4G3,0.30
39.37,A2,0.30
39.66,A#3C3,0.30
39.96,C4,0.30
40.26,A#2A#3C3G3,0.30
40.55,A3,0.59
41.14,G#3,0.15
41.29,G3,0.15
41.44,B2D#3G#3,0.30
41.74,A#2C#3,0.30
42.03,D#3,0.30
42.33,G#3,0.30
42.62,C#3D3E3,0.59
43.22,F3,0.30
43.51,F#3,0.30
43.81,A#2D3E3G3,0.30
44.10,A2C#3F#3,0.30
44.40,F3,0.30
44.70,E3,0.30
44.99,A#2C#3,0.59
45.58,E3G#3,0.30
45.88,F#3,0.30
46.18,A2,0.30
46.47,C#3,0.30
46.77,A2B2E3G#3,0.30
47.06,F3,0.30
47.36,D#3,0.30
47.66,C#3,0.30
47.95,A#2C#3D#3F#3,0.30
48.25,F3,0.30
48.54,D3,0.30
48.84,B2E3,0.30
49.14,D3,0.30
49.43,D#3,0.30
49.73,A2B2,0.30
50.02,C#3,0.30
50.32,A2B2C#3E3,0.30
50.62,D#3,0.30
50.91,A2C3D3,0.30
51.21,D#3,0.30
51.50,C3E3,0.30
51.80,D#3,0.30
52.10,C#3,0.30
52.39,A#2C#3E3,0.30
52.69,C#3F3,0.30
52.98,C#3F#3,0.30
53.28,A2,0.30
53.58,C#3,0.30
53.87,A2F3,0.30
54.17,C#3,0.30
54.46,A2C#3F#3,0.59
55.06,E3G#3,0.30
55.35,F#3,0.30
55.65,A2,0.30
55.94,C#3,0.30
56.24,A2B2E3G#3,0.30
56.54,C4F3,0.30
56.83,D#3,0.30
57.13,C#3C4G#3,0.30
57.42,A#2D#3,0.30
57.72,A#3,0.30
58.02,C4D3F#3G#3,0.30
58.31,D3,0.30
58.61,A2,0.30
58.90,B2,0.30
59.20,C#3,0.30
59.50,A2,0.30
59.79,B2C4F#3,0.30
60.09,A#3C#3,0.30
60.38,A3C3E3,0.30
60.68,A#3A2,0.30
60.98,C3C4,0.30
61.27,A#3C3F3,0.30
61.57,C#3,0.30
61.86,A#2C4,0.30
62.16,A#2C#3C4F3G#3,0.59
62.75,A2C4F#3G#3,0.30
63.05,C#3,0.59
63.64,A2,0.30
63.94,A#2C#3,0.30
64.23,C#3D#3G#3,0.30
64.53,A2A3E3,0.30
64.82,A#3F3,0.30
65.12,A3C3C4G3,0.30
65.42,A2,0.30
65.71,A#3C3G3,0.30
66.01,C4D3,0.30
66.30,A#2A#3C3G#3,0.30
66.60,A3,0.30
66.90,G#3,0.30
67.19,A3,0.30
67.49,B2D#3,0.30
67.78,F3G#3,0.30
68.08,D#3,0.30
68.38,A#2,0.30
68.67,A2B2D3,0.30
68.97,E3,0.30
69.26,A2D3F3,0.30
69.56,F#3,0.30
69.86,A#2D3E3G3,0.30
70.15,D3,0.30
70.45,A#2C3F#3,0.30
70.74,G3,0.30
71.04,C#3F3G#3,0.30
71.34,A#2E3,0.30
71.63,A2C#3F3,0.30
71.93,F#3,0.30
72.22,A2,0.30
72.52,C#3F#3,0.30
72.82,A2B2,0.30
73.11,C#3,0.30
73.41,A#2C#3,0.30
73.70,G#3,0.30
74.00,A2A3C#3F#3,0.30
74.30,A#3,0.30
74.59,A3C3C4G3,0.30
74.89,A2,0.30
75.18,C3D#3,0.30
75.48,C3E3,0.30
75.78,C#3D#3F3,0.30
76.07,A2E3,0.30
76.37,A#2F3,0.30
76.66,C#3F#3,0.30
76.96,A2B2C#3,0.30
77.26,A2C#3,0.30
77.55,A#2C#3D#3,0.30
77.85,C#3,0.30
78.14,A2C#3D3,0.30
78.44,E3,0.30
78.74,B2C#3D#3F3,0.30
79.03,F#3,0.30
79.33,C3E3G3,0.30
79.62,A2,0.30
79.92,F#3,0.30
80.22,G3,0.30
80.51,A#2A2C#3F#3,0.30
80.81,F3,0.59
81.40,E3,0.30
81.70,A2D#3,0.30
81.99,C#3E3,0.30
82.29,A2,0.30
82.58,A#2,0.30
82.88,B2,0.50
