# Alone『暴躁』
# Converted from SkyStudio format
# BPM: 282
# Total chords: 391

Time,Keys,Duration
0.00,ky,0.21
0.21,;i,0.21
0.42,ky,0.21
0.64,;i,0.21
0.85,ky,0.21
1.06,;i,0.21
1.27,ky,0.21
1.48,;i,0.21
1.70,ky,0.21
1.91,no,0.21
2.12,ky,0.21
2.33,no,0.21
2.54,ky,0.21
2.76,no,0.21
2.97,ky,0.21
3.18,no,0.21
3.39,ky,0.21
3.60,;,0.21
3.82,ky,0.21
4.03,;i,0.21
4.24,ky,0.21
4.45,;i,0.21
4.66,ky,0.21
4.88,;,0.21
5.09,py,0.21
5.30,lu,0.21
5.51,py,0.21
5.72,lu,0.21
5.94,py,0.21
6.15,lu,0.21
6.36,py,0.21
6.57,lu,0.21
6.78,ky,0.21
7.00,;i,0.21
7.21,ky,0.21
7.42,;i,0.21
7.63,ky,0.21
7.84,;i,0.21
8.06,ky,0.21
8.27,;i,0.21
8.48,ky,0.21
8.69,no,0.21
8.90,ky,0.21
9.12,no,0.21
9.33,ky,0.21
9.54,no,0.21
9.75,ky,0.21
9.96,;i,0.21
10.18,ky,0.21
10.39,;i,0.21
10.60,ky,0.21
10.81,;i,0.21
11.02,ky,0.21
11.24,;i,0.21
11.45,py,0.21
11.66,lu,0.21
11.87,py,0.21
12.08,lu,0.21
12.30,py,0.21
12.51,lu,0.21
12.72,py,0.21
12.93,lu,0.21
13.14,;py,0.42
13.57,iky,0.42
13.99,ikmy,0.42
14.42,hil,0.21
14.63,;py,0.21
14.84,loy,0.85
15.69,noy,0.42
16.11,;iy,0.42
16.54,noy,0.42
16.96,;iy,0.42
17.38,lu,0.21
17.60,ily,0.21
17.81,ky,0.85
18.66,lu,0.42
19.08,;iy,0.42
19.50,ky,0.42
19.93,mpy,0.42
20.35,lu,0.21
20.56,;i,0.21
20.78,lu,0.85
21.62,noy,0.42
22.05,;iy,0.42
22.47,noy,0.42
22.90,;iy,0.42
23.32,luy,0.21
23.53,;iy,0.21
23.74,ky,0.85
24.59,ily,0.42
25.02,ky,0.21
25.23,;i,0.21
25.44,;i,0.42
25.86,ky,0.21
26.08,;i,0.42
26.50,no,0.42
26.92,;i,0.21
27.14,ky,0.42
27.56,lu,0.21
27.77,;i,0.21
27.98,lu,0.21
28.20,ky,0.42
28.62,ky,0.21
28.83,no,0.42
29.26,;i,0.21
29.47,ky,0.42
29.89,no,0.42
30.32,ky,0.21
30.53,;i,0.21
30.74,no,0.21
30.95,mp,0.21
31.16,no,0.21
31.38,ky,0.42
31.80,iky,0.21
32.01,;py,0.21
32.22,;py,0.21
32.44,;py,0.21
32.65,iky,0.21
32.86,;py,0.42
33.28,knoy,0.42
33.71,;py,0.21
33.92,iky,0.42
34.34,loy,0.21
34.56,;py,0.21
34.77,loy,0.21
34.98,iky,0.42
35.40,iky,0.21
35.62,knoy,0.42
36.04,;py,0.21
36.25,iky,0.42
36.68,knoy,0.42
37.10,iky,0.21
37.31,;py,0.21
37.52,knoy,0.21
37.74,kmpy,0.21
37.95,knoy,0.21
38.16,iky,0.21
38.37,/;my,0.42
38.80,;py,0.21
39.01,;py,0.42
39.43,iky,0.21
39.64,;py,0.42
40.07,knoy,0.42
40.49,;py,0.21
40.70,iky,0.42
41.13,;oy,0.21
41.34,;py,0.21
41.55,loy,0.21
41.76,iky,0.42
42.19,iky,0.21
42.40,knoy,0.42
42.82,;py,0.21
43.04,iky,0.42
43.46,knoy,0.42
43.88,iky,0.21
44.10,;py,0.21
44.31,knoy,0.21
44.52,lmpu,0.21
44.73,knoy,0.21
44.94,iky,0.42
45.37,ky,0.21
45.58,;i,0.21
45.79,;i,0.21
46.00,;i,0.21
46.22,ky,0.21
46.43,;i,0.42
46.85,no,0.42
47.28,;i,0.21
47.49,ky,0.42
47.91,lu,0.21
48.12,;i,0.21
48.34,lu,0.21
48.55,ky,0.42
48.97,ky,0.21
49.18,no,0.42
49.61,;i,0.21
49.82,ky,0.42
50.24,no,0.42
50.67,ky,0.21
50.88,;i,0.21
51.09,no,0.21
51.30,mp,0.21
51.52,no,0.21
51.73,ky,0.64
52.36,iky,0.42
52.79,mpy,0.42
53.21,ky,0.21
53.42,luy,0.85
54.27,;iy,0.21
54.48,ikny,0.42
54.91,;iy,0.42
55.33,lou,0.42
55.76,ky,0.85
56.60,iky,0.42
57.03,kmoy,0.42
57.45,iky,0.21
57.66,luy,0.85
58.51,;iy,0.42
58.94,noy,0.21
59.15,;iy,0.42
59.57,ky,0.42
