# 《二十秒即兴》(乱改)
# Converted from SkyStudio format
# BPM: 332
# Total chords: 203

Time,Keys,Duration
0.00,D3,0.18
0.18,F3,0.18
0.36,A3,0.18
0.54,C3F3,0.36
0.90,A2,0.18
1.08,F#3,0.18
1.26,C3,0.18
1.44,D3,0.18
1.62,F3,0.18
1.80,A3,0.18
1.98,C#3F3,0.36
2.34,A#2,0.18
2.52,F#3,0.18
2.70,C#3,0.18
2.88,D3,0.18
3.06,F3,0.18
3.24,A3,0.18
3.42,A2D3,0.36
3.78,B2,0.18
3.96,F#3,0.36
4.32,A2,0.18
4.50,G#3,0.36
4.86,D3F#3,0.36
5.22,B2,0.36
5.58,A3E3,0.18
5.76,A#3,0.18
5.94,A3,0.18
6.12,G#3,0.18
6.30,C3F#3,0.36
6.66,A2,0.18
6.84,F3,0.18
7.02,C3,0.18
7.20,D3,0.18
7.38,F3,0.18
7.56,A3,0.18
7.74,C#3F3,0.36
8.10,A#2,0.18
8.28,F#3,0.54
8.82,C#3G#3,0.36
9.18,A2F#3,0.36
9.54,C#3,0.36
9.90,E3,0.36
10.26,A#2,0.36
10.62,C#3,0.36
10.98,D#3,0.18
11.16,D3,0.18
11.34,F3,0.18
11.52,A3,0.18
11.70,C3F3,0.36
12.06,A2,0.18
12.24,F#3,0.18
12.42,C3,0.18
12.60,D3,0.18
12.78,F3,0.18
12.96,A3,0.18
13.14,C#3F3,0.36
13.50,A#2,0.18
13.68,F#3,0.18
13.86,C#3,0.18
14.04,D3,0.18
14.22,F3,0.18
14.40,A3,0.18
14.58,B2F3,0.36
14.94,D#3,0.18
15.12,F#3,0.18
15.30,B2E3,0.36
15.66,A#3D3,0.36
16.02,B2,0.18
16.20,G#3,0.18
16.38,D3,0.18
16.56,F3,0.36
16.92,B2C3,0.36
17.28,A2,0.18
17.46,C3,0.18
17.64,F#3,0.36
18.00,C#3F3,0.36
18.36,A#2,0.36
18.72,C#3D#3,0.36
19.08,A2D3,0.36
19.44,B2,0.18
19.62,D3,0.36
19.98,E3,0.36
20.34,A3D3E3,0.36
20.70,A3D3E3,0.36
21.06,A3D3E3,0.36
21.42,A#3D3E3,0.36
21.78,A#3D3E3,0.36
22.14,A#3D3E3,0.36
22.50,A3,0.18
22.68,F3,0.18
22.86,A3,0.18
23.04,F3G3,0.36
23.40,E3,0.18
23.58,F#3,0.18
23.76,G3,0.18
23.94,A3,0.18
24.12,F3,0.18
24.30,A3,0.18
24.48,F3G3,0.36
24.84,E3,0.18
25.02,F#3,0.18
25.20,G3,0.18
25.38,A3,0.18
25.56,F3,0.18
25.74,A3,0.18
25.92,F3G3,0.18
26.10,A3,0.18
26.28,F3,0.18
26.46,A3,0.18
26.64,F3G3,0.18
26.82,A3,0.18
27.00,F3,0.18
27.18,A3,0.18
27.36,F3G3,0.18
27.54,D3,0.18
27.72,F3,0.18
27.90,A3,0.18
28.08,A2D3,0.18
28.26,D3,0.18
28.44,F3,0.18
28.62,A3,0.18
28.80,A2D3,0.18
28.98,D3,0.18
29.16,F3,0.18
29.34,A3,0.18
29.52,A2D3,0.18
29.70,D3,0.18
29.88,F3,0.18
30.06,A3,0.18
30.24,C#3F3,0.36
30.60,A#2,0.18
30.78,F#3,0.18
30.96,C#3,0.18
31.14,D3,0.18
31.32,F3,0.18
31.50,A3,0.18
31.68,A2D3,0.36
32.04,B2,0.18
32.22,F#3,0.36
32.58,A2,0.18
32.76,G#3,0.36
33.12,D3F#3,0.36
33.48,B2,0.36
33.84,A3E3,0.18
34.02,A#3,0.18
34.20,A3,0.18
34.38,G#3,0.18
34.56,C3F#3,0.36
34.92,A2,0.18
35.10,F3,0.18
35.28,C3,0.18
35.46,D3,0.18
35.64,F3,0.18
35.82,A3,0.18
36.00,C#3F3,0.36
36.36,A#2,0.18
36.54,F#3,0.54
37.08,C#3G#3,0.36
37.44,A2F#3,0.36
37.80,C#3,0.36
38.16,E3,0.36
38.52,A#2,0.36
38.88,C#3,0.36
39.24,D#3,0.18
39.42,D3,0.18
39.60,F3,0.18
39.78,A3,0.18
39.96,C3F3,0.36
40.32,A2,0.18
40.50,F#3,0.18
40.68,C3,0.18
40.86,D3,0.18
41.04,F3,0.18
41.22,A3,0.18
41.40,C#3F3,0.36
41.76,A#2,0.18
41.94,F#3,0.18
42.12,C#3,0.18
42.30,D3,0.18
42.48,F3,0.18
42.66,A3,0.18
42.84,B2F3,0.36
43.20,D#3,0.18
43.38,F#3,0.18
43.56,B2E3,0.36
43.92,A#3D3,0.36
44.28,B2,0.18
44.46,G#3,0.18
44.64,D3,0.18
44.82,F3,0.36
45.18,B2C3,0.36
45.54,A2,0.18
45.72,C3,0.18
45.90,F#3,0.36
46.26,C#3F3,0.36
46.62,A#2,0.36
46.98,C#3D#3,0.36
47.34,A2D3,0.36
47.70,B2,0.18
47.88,D3,0.36
48.24,E3,0.72
48.96,A3D3E3,0.72
49.68,A3C4D3E3,0.50
