# 不如『暴躁』
# Converted from SkyStudio format
# BPM: 303
# Total chords: 483

Time,Keys,Duration
0.79,;,0.40
1.19,l,0.40
1.58,hy,0.40
1.98,i,0.40
2.38,h,0.79
3.17,jp,0.40
3.56,u,0.40
3.96,p,0.79
4.75,ho,0.40
5.15,y,0.40
5.54,p,0.40
5.94,u,0.40
6.34,iy,0.40
6.73,p,0.40
7.13,y,0.79
7.92,;h,0.40
8.32,i,0.40
8.71,h,0.79
9.50,lp,0.40
9.90,u,0.40
10.30,p,0.79
11.09,ko,0.40
11.48,y,0.40
11.88,jp,0.40
12.28,u,0.40
12.67,h,0.40
13.07,i,0.40
13.46,h,0.79
14.26,h,0.40
14.65,ik,0.20
14.85,k,0.20
15.05,hi,0.40
15.44,k,0.40
15.84,jp,0.20
16.04,j,0.20
16.24,ij,0.20
16.43,j,0.20
16.63,ip,0.40
17.03,j,0.40
17.42,ho,0.20
17.62,h,0.20
17.82,hy,0.20
18.02,h,0.20
18.22,p,0.40
18.61,ou,0.40
19.01,iy,0.20
19.21,i,0.20
19.40,p,0.20
19.60,u,0.20
19.80,iy,0.79
20.59,h,0.40
20.99,ik,0.20
21.19,k,0.20
21.38,hi,0.40
21.78,k,0.40
22.18,jp,0.20
22.37,j,0.20
22.57,ij,0.20
22.77,j,0.20
22.97,ip,0.40
23.36,j,0.40
23.76,o,0.20
23.96,h,0.20
24.16,hy,0.20
24.35,k,0.20
24.55,lp,0.40
24.95,ku,0.20
25.15,j,0.20
25.34,jy,0.20
25.54,k,0.20
25.74,p,0.40
26.14,ky,0.20
26.33,k,0.20
26.53,k,0.20
26.73,k,0.20
26.93,no,0.20
27.13,n,0.20
27.32,ny,0.20
27.52,n,0.20
27.72,ko,0.20
27.92,k,0.20
28.12,k,0.20
28.31,;,0.20
28.51,;p,0.40
28.91,lu,0.40
29.30,p,0.40
29.70,;i,0.40
30.10,;j,0.40
30.49,;i,0.40
30.89,j,0.40
31.28,hk,0.40
31.68,i,0.40
32.08,h,0.20
32.27,k,0.20
32.47,k,0.20
32.67,k,0.20
32.87,no,0.20
33.07,n,0.20
33.26,ny,0.20
33.46,n,0.20
33.66,no,0.20
33.86,n,0.20
34.06,n,0.20
34.25,l,0.20
34.45,np,0.40
34.85,nu,0.40
35.24,p,0.40
35.64,;h,0.40
36.04,;i,0.40
36.43,;h,0.40
36.83,in,0.40
37.22,;h,0.79
38.02,;,0.20
38.21,l,0.20
38.41,l,0.20
38.61,k,0.20
38.81,;h,0.40
39.20,/i,0.40
39.60,.h,0.40
40.00,m,0.40
40.39,;p,0.40
40.79,i,0.40
41.18,;p,0.20
41.38,l,0.20
41.58,l,0.20
41.78,k,0.20
41.98,ko,0.40
42.37,,y,0.40
42.77,mp,0.40
43.16,nu,0.40
43.56,;y,0.40
43.96,p,0.40
44.35,;y,0.20
44.55,l,0.20
44.75,l,0.20
44.95,k,0.20
45.14,;h,0.40
45.54,/i,0.40
45.94,.h,0.40
46.33,m,0.40
46.73,;p,0.40
47.12,i,0.40
47.52,;p,0.20
47.72,l,0.20
47.92,l,0.20
48.11,k,0.20
48.31,ko,0.40
48.71,ny,0.40
49.10,;p,0.40
49.50,ju,0.40
49.90,ky,0.40
50.29,p,0.40
50.69,;y,0.40
51.08,l,0.40
51.48,l,0.40
51.88,k,0.20
52.07,;h,0.40
52.47,/i,0.40
52.87,.h,0.40
53.26,m,0.40
53.66,;p,0.40
54.05,i,0.40
54.45,;p,0.20
54.65,l,0.20
54.85,l,0.20
55.04,k,0.20
55.24,ko,0.40
55.64,,y,0.40
56.03,mp,0.40
56.43,nu,0.40
56.83,;y,0.40
57.22,p,0.40
57.62,;y,0.20
57.82,l,0.20
58.01,l,0.20
58.21,k,0.20
58.41,;h,0.40
58.81,/i,0.40
59.20,.h,0.40
59.60,m,0.40
59.99,;p,0.40
60.39,i,0.40
60.79,;p,0.20
60.98,l,0.20
61.18,l,0.20
61.38,k,0.20
61.58,ko,0.40
61.97,ny,0.40
62.37,;p,0.40
62.77,ju,0.40
63.16,ky,0.40
63.56,p,0.40
63.95,y,0.79
64.75,/h,0.40
65.14,i,0.40
65.54,h,0.79
66.33,.p,0.40
66.73,u,0.40
67.12,p,0.79
67.91,,o,0.40
68.31,y,0.40
68.71,mp,0.40
69.10,u,0.40
69.50,;y,0.40
69.89,p,0.40
70.29,y,0.79
71.08,;h,0.40
71.48,i,0.40
71.87,h,0.79
72.67,lp,0.40
73.06,u,0.40
73.46,p,0.79
74.25,/o,0.40
74.65,y,0.40
75.04,.p,0.40
75.44,u,0.40
75.83,,h,0.40
76.23,i,0.40
76.63,h,0.79
77.42,h,0.20
77.62,ik,0.20
77.81,k,0.20
78.01,;h,0.40
78.41,k,0.40
78.80,jp,0.20
79.00,j,0.20
79.20,ij,0.20
79.40,j,0.20
79.60,;p,0.40
79.99,j,0.40
80.39,ho,0.20
80.59,h,0.20
80.78,hy,0.20
80.98,h,0.20
81.18,p,0.40
81.58,ou,0.40
81.97,iy,0.20
82.17,i,0.20
82.37,p,0.20
82.57,u,0.20
82.76,iy,0.79
83.56,h,0.20
83.75,ik,0.20
83.95,k,0.20
84.15,;h,0.40
84.55,k,0.40
84.94,jp,0.20
85.14,j,0.20
85.34,ij,0.20
85.54,j,0.20
85.73,;p,0.40
86.13,k,0.40
86.53,o,0.20
86.72,h,0.20
86.92,hy,0.20
87.12,k,0.20
87.32,lp,0.40
87.71,ku,0.20
87.91,j,0.20
88.11,jy,0.20
88.31,k,0.20
88.51,p,0.40
88.90,ky,0.20
89.10,k,0.20
89.30,k,0.20
89.50,k,0.20
89.69,no,0.20
89.89,n,0.20
90.09,ny,0.20
90.29,n,0.20
90.49,ko,0.20
90.68,k,0.20
90.88,k,0.20
91.08,;,0.20
91.28,;p,0.40
91.67,lu,0.40
92.07,p,0.79
92.86,;h,0.40
93.26,;j,0.40
93.65,;i,0.40
94.05,j,0.40
94.45,hk,0.40
94.84,i,0.40
95.24,h,0.20
95.44,k,0.20
95.63,k,0.20
95.83,k,0.20
96.03,no,0.20
96.23,n,0.20
96.43,ny,0.20
96.62,no,0.20
96.82,n,0.20
97.02,n,0.20
97.22,l,0.20
97.42,np,0.40
97.81,nu,0.40
98.21,p,0.79
99.00,;h,0.40
99.40,;i,0.40
99.79,;h,0.40
100.19,im,0.40
100.58,;h,0.40
100.98,;,0.20
101.18,l,0.20
101.38,l,0.20
101.57,k,0.20
101.77,;h,0.40
102.17,i,0.40
102.56,.h,0.40
102.96,m,0.40
103.36,;p,0.40
103.75,i,0.40
104.15,;p,0.20
104.35,l,0.20
104.54,l,0.20
104.74,k,0.20
104.94,ko,0.40
105.34,ny,0.40
105.73,mp,0.40
106.13,nu,0.40
106.52,;y,0.40
106.92,p,0.40
107.32,;y,0.20
107.51,l,0.20
107.71,l,0.20
107.91,k,0.20
108.11,;h,0.40
108.50,/i,0.40
108.90,.h,0.40
109.30,m,0.40
109.69,;p,0.40
110.09,i,0.40
110.48,;p,0.20
110.68,l,0.20
110.88,l,0.20
111.08,k,0.20
111.28,ko,0.40
111.67,ny,0.40
112.07,;p,0.40
112.46,ju,0.40
112.86,ky,0.40
113.26,p,0.40
113.65,;y,0.20
113.85,l,0.20
114.05,l,0.20
114.25,k,0.20
114.44,;h,0.40
114.84,/i,0.40
115.24,.h,0.40
115.63,m,0.40
116.03,;p,0.40
116.42,i,0.40
116.82,;p,0.20
117.02,l,0.20
117.22,l,0.20
117.41,k,0.20
117.61,ko,0.40
118.01,,y,0.40
118.40,mp,0.40
118.80,nu,0.40
119.20,;y,0.40
119.59,p,0.40
119.99,;y,0.20
120.19,l,0.20
120.38,l,0.20
120.58,k,0.20
120.78,;h,0.40
121.18,/i,0.40
121.57,.h,0.40
121.97,m,0.40
122.36,;p,0.40
122.76,i,0.40
123.16,;p,0.20
123.35,l,0.20
123.55,l,0.20
123.75,k,0.20
123.95,ko,0.40
124.34,,y,0.40
124.74,mp,0.40
125.14,nu,0.40
125.53,;y,0.40
125.93,p,0.40
126.32,;y,0.20
126.52,l,0.20
126.72,l,0.20
126.92,k,0.20
127.12,;h,0.40
127.51,/i,0.40
127.91,.h,0.40
128.30,m,0.40
128.70,;p,0.40
129.10,i,0.40
129.49,;p,0.20
129.69,l,0.20
129.89,l,0.20
130.09,k,0.20
130.28,ko,0.40
130.68,ny,0.40
131.08,;p,0.40
131.47,ju,0.40
131.87,ky,0.40
132.26,p,0.40
132.66,;y,0.20
132.86,l,0.20
133.06,l,0.20
133.25,k,0.20
133.45,;h,0.40
133.85,/i,0.40
134.24,.j,0.40
134.64,m,0.40
135.04,;p,0.40
135.43,i,0.40
135.83,;p,0.20
136.03,l,0.20
136.22,l,0.20
136.42,k,0.20
136.62,ko,0.40
137.02,,y,0.40
137.41,mp,0.40
137.81,nu,0.40
138.20,;y,0.40
138.60,p,0.40
139.00,;y,0.20
139.19,l,0.20
139.39,l,0.20
139.59,k,0.20
139.79,;h,0.40
140.18,/i,0.40
140.58,.h,0.40
140.98,m,0.40
141.37,;p,0.40
141.77,i,0.40
142.16,;p,0.20
142.36,l,0.20
142.56,l,0.20
142.76,k,0.20
142.96,ko,0.40
143.35,ny,0.40
143.75,;p,0.40
144.14,ju,0.40
144.54,ky,0.40
144.94,p,0.40
145.33,;y,0.20
145.53,l,0.20
145.73,l,0.20
145.93,k,0.20
146.12,;h,0.40
146.52,/i,0.40
146.92,.h,0.40
147.31,m,0.40
147.71,;p,0.40
148.10,i,0.40
148.50,;p,0.20
148.70,l,0.20
148.90,l,0.20
149.09,k,0.20
149.29,ko,0.40
149.69,,y,0.40
150.08,mp,0.40
150.48,nu,0.40
150.88,;y,0.40
151.27,p,0.40
151.67,;y,0.20
151.87,l,0.20
152.06,l,0.20
152.26,k,0.20
152.46,;h,0.40
152.86,/i,0.40
153.25,.h,0.40
153.65,m,0.40
154.04,;p,0.40
154.44,i,0.40
154.84,;p,0.20
155.03,l,0.20
155.23,l,0.20
155.43,k,0.20
155.63,ko,0.20
155.83,n,0.20
156.02,y,0.20
156.22,n,0.40
156.62,jp,0.40
157.01,lu,0.40
157.41,ky,0.50
