# 千本樱『暴躁』
# Converted from SkyStudio format
# BPM: 500
# Total chords: 632

Time,Keys,Duration
0.00,hi,0.48
0.48,hi,0.48
0.96,pu,0.36
1.32,hi,0.48
1.80,hi,0.48
2.28,pu,0.36
2.64,hlo,0.48
3.12,hi,0.48
3.60,pu,0.36
3.96,hi,0.48
4.44,klp,0.60
5.04,;hi,0.48
5.52,hi,0.48
6.00,pu,0.36
6.36,hi,0.48
6.84,hi,0.48
7.32,pu,0.36
7.68,hi,0.48
8.16,hik,0.48
8.64,lpu,0.48
9.12,;pu,0.48
9.60,lo,0.24
9.84,;y,0.24
10.08,hi,0.12
10.20,p,0.12
10.32,hy,0.12
10.44,p,0.12
10.56,lp,0.24
10.80,;u,0.24
11.04,hp,0.12
11.16,p,0.12
11.28,hu,0.12
11.40,p,0.12
11.52,il,0.24
11.76,;y,0.24
12.00,hi,0.12
12.12,p,0.12
12.24,hy,0.12
12.36,p,0.12
12.48,ik,0.24
12.72,jy,0.12
12.84,jk,0.12
12.96,hi,0.24
13.20,py,0.24
13.44,lo,0.24
13.68,;y,0.24
13.92,hi,0.12
14.04,p,0.12
14.16,hy,0.12
14.28,p,0.12
14.40,lp,0.24
14.64,;u,0.24
14.88,hp,0.12
15.00,p,0.12
15.12,hu,0.12
15.24,p,0.12
15.36,hl,0.24
15.60,;i,0.24
15.84,hm,0.24
16.08,ku,0.24
16.32,.h,0.12
16.44,/,0.12
16.56,.u,0.12
16.68,,,0.12
16.80,hm,0.24
17.04,;i,0.24
17.28,lo,0.24
17.52,;y,0.24
17.76,ho,0.12
17.88,p,0.12
18.00,hy,0.12
18.12,p,0.12
18.24,lp,0.24
18.48,;u,0.24
18.72,hp,0.12
18.84,p,0.12
18.96,hu,0.12
19.08,p,0.12
19.20,lu,0.24
19.44,;u,0.24
19.68,hi,0.12
19.80,p,0.12
19.92,hy,0.12
20.04,p,0.12
20.16,ik,0.24
20.40,jy,0.12
20.52,jk,0.12
20.64,hi,0.24
20.88,py,0.24
