# 我好想你
# Converted from SkyStudio format
# BPM: 305
# Total chords: 389

Time,Keys,Duration
0.00,;o,0.39
0.39,,y,0.39
0.78,hm,0.39
1.18,;y,0.39
1.57,;h,0.39
1.96,,y,0.39
2.35,hm,0.39
2.74,;,0.39
3.14,;o,0.39
3.53,y,0.39
3.92,h,0.39
4.31,y,0.39
4.70,h,0.39
5.10,y,0.39
5.49,p,0.78
6.27,il,0.39
6.66,,j,0.39
7.06,mp,0.39
7.45,jl,0.39
7.84,il,0.39
8.23,,j,0.39
8.62,mp,0.39
9.02,l,0.39
9.41,hjp,0.39
9.80,i,0.39
10.19,hk,0.39
10.58,i,0.39
10.98,jly,0.39
11.37,i,0.39
11.76,;ky,0.39
12.15,i,0.39
12.54,;o,0.39
12.94,,y,0.39
13.33,mo,0.39
13.72,;y,0.39
14.11,;h,0.39
14.50,,y,0.39
14.90,;p,0.39
15.29,,u,0.39
15.68,mp,0.39
16.07,lu,0.39
16.46,jl,0.39
16.86,,u,0.39
17.25,mp,0.39
17.64,l,0.39
18.03,il,0.39
18.42,,j,0.39
18.82,im,0.39
19.21,jl,0.39
19.60,lp,0.39
19.99,,j,0.39
20.38,im,0.39
20.78,jl,0.39
21.17,hn,0.39
21.56,in,0.39
21.95,;h,0.39
22.34,;i,0.39
22.74,ny,0.39
23.13,in,0.39
23.52,my,0.39
23.91,m,0.39
24.30,hioy,1.57
25.87,o,0.78
26.66,jopu,1.57
28.22,ju,0.78
29.01,h,0.78
29.79,jopu,1.37
31.16,ijo,0.78
31.95,p,0.78
32.73,hjo,0.39
33.12,i,0.39
33.52,hij,0.39
33.91,i,0.39
34.30,hiy,0.78
35.08,hiu,0.39
35.48,o,0.39
35.87,;y,0.39
36.26,;o,0.39
36.65,;p,0.39
37.04,;,0.39
37.44,;h,0.39
37.83,l,0.39
38.22,;,0.39
38.61,n,0.39
39.00,no,0.39
39.40,;u,0.39
39.79,l,0.39
40.18,lp,0.39
40.57,h,0.39
40.96,jl,0.39
41.36,j,0.39
41.75,p,0.39
42.14,l,0.39
42.53,il,0.39
42.92,j,0.39
43.32,i,0.39
43.71,lp,0.39
44.10,jl,0.39
44.49,j,0.78
45.28,p,0.39
45.67,hk,0.39
46.06,i,0.39
46.45,h,0.39
46.84,i,0.39
47.24,y,0.39
47.63,i,0.39
48.02,h,0.39
48.41,i,0.39
48.80,o,0.39
49.20,;y,0.39
49.59,;o,0.39
49.98,;p,0.39
50.37,;,0.39
50.76,;h,0.39
51.16,l,0.39
51.55,;,0.39
51.94,,,0.39
52.33,,o,0.39
52.72,;u,0.39
53.12,lp,0.39
53.51,h,0.39
53.90,jl,0.39
54.29,j,0.39
54.68,p,0.39
55.08,l,0.39
55.47,il,0.39
55.86,j,0.39
56.25,i,0.39
56.64,lp,0.39
57.04,jl,0.39
57.43,;,0.39
57.82,;,0.39
58.21,n,0.20
58.41,p,0.39
58.80,hn,0.39
59.19,;i,0.39
59.58,;h,0.39
59.98,i,0.39
60.37,ny,0.39
60.76,i,0.39
61.15,hm,0.39
61.54,i,0.39
61.94,;y,0.39
62.33,ky,0.39
62.72,ko,0.39
63.11,hy,0.39
63.50,hk,0.39
63.90,y,0.39
64.29,o,0.39
64.68,l,0.39
65.07,lo,0.39
65.46,ju,0.39
65.86,jp,0.39
66.25,pu,0.39
66.64,.j,0.39
67.03,l,0.39
67.42,p,0.39
67.82,l,0.39
68.21,il,0.39
68.60,j,0.39
68.99,ij,0.39
69.38,jp,0.39
69.78,jp,0.39
70.17,j,0.39
70.56,il,0.39
70.95,jl,0.39
71.34,h,0.39
71.74,i,0.39
72.13,hj,0.39
72.52,i,0.39
72.91,ky,0.39
73.30,i,0.39
73.70,;h,0.39
74.09,i,0.39
74.48,;o,0.39
74.87,ky,0.39
75.26,ko,0.39
75.66,hy,0.39
76.05,hk,0.39
76.44,y,0.39
76.83,o,0.39
77.22,l,0.39
77.62,lo,0.39
78.01,ju,0.39
78.40,jp,0.39
78.79,pu,0.39
79.18,j,0.39
79.58,u,0.39
79.97,p,0.39
80.36,l,0.39
80.75,il,0.39
81.14,j,0.39
81.54,ij,0.39
81.93,jp,0.39
82.32,jp,0.39
82.71,jk,0.39
83.10,il,0.39
83.50,;j,0.39
83.89,,h,0.39
84.28,i,0.39
84.67,h,0.39
85.06,,y,0.39
85.46,,i,0.39
85.85,m,0.39
86.24,m,0.78
87.02,;o,0.39
87.42,y,0.39
87.81,o,0.39
88.20,p,0.39
88.59,,h,0.39
88.98,m,0.39
89.38,m,0.39
89.77,l,0.20
89.96,;,0.20
90.16,lu,0.39
90.55,h,0.39
90.94,u,0.39
91.34,hp,0.39
91.73,jp,0.39
92.12,u,0.20
92.32,k,0.39
92.71,kp,0.39
93.10,n,0.20
93.30,;,0.20
93.49,;y,0.39
93.88,;p,0.39
94.28,;j,0.39
94.67,y,0.39
95.06,i,0.78
95.84,y,0.39
96.24,p,0.39
96.63,j,0.39
97.02,y,0.39
97.41,;i,0.39
97.80,/,0.78
98.59,.,0.39
98.98,.h,0.39
99.37,,i,0.39
99.76,y,0.39
100.16,;i,0.39
100.55,;p,0.39
100.94,,i,0.39
101.33,y,0.39
101.72,,i,0.39
102.12,,o,0.39
102.51,y,0.39
102.90,o,0.39
103.29,y,0.39
103.68,;h,0.39
104.08,/y,0.39
104.47,h,0.39
104.86,.y,0.39
105.25,.h,0.39
105.64,,i,0.39
106.04,y,0.39
106.43,;i,0.39
106.82,;p,0.39
107.21,,i,0.39
107.60,y,0.39
108.00,.i,0.39
108.39,.u,0.39
108.78,,h,0.39
109.17,,u,0.39
109.56,h,0.39
109.96,;p,0.39
110.35,/h,0.39
110.74,u,0.39
111.13,.h,0.39
111.52,.h,0.39
111.92,,i,0.39
112.31,y,0.39
112.70,;i,0.39
113.09,;p,0.39
113.48,,i,0.39
113.88,y,0.39
114.27,,i,0.39
114.66,,o,0.39
115.05,y,0.39
115.44,o,0.39
115.84,y,0.39
116.23,;h,0.39
116.62,/y,0.39
117.01,h,0.39
117.40,.y,0.39
117.80,.h,0.39
118.19,,i,0.39
118.58,y,0.39
118.97,;i,0.39
119.36,;p,0.39
119.76,,i,0.39
120.15,y,0.39
120.54,.i,0.39
120.93,.o,0.39
121.32,,y,0.39
121.72,o,0.39
122.11,,h,0.39
122.50,,y,0.39
122.89,m,0.39
123.28,m,0.78
124.07,;o,0.39
124.46,y,0.39
124.85,o,0.39
125.24,y,0.39
125.64,,h,0.39
126.03,my,0.39
126.42,mo,0.39
126.81,l,0.20
127.01,;,0.20
127.20,lu,0.39
127.60,h,0.39
127.99,lu,0.39
128.38,h,0.20
128.58,p,0.20
128.77,jp,0.39
129.16,l,0.20
129.36,k,0.20
129.56,kp,0.39
129.95,n,0.20
130.14,;,0.39
130.54,;y,0.39
130.93,;p,0.39
131.32,;j,0.39
131.71,y,0.39
132.10,i,0.78
132.89,op,0.39
133.28,hy,0.39
133.67,op,0.39
134.06,hy,0.39
134.46,hp,0.39
134.85,hy,0.39
135.24,ko,0.39
135.63,hy,0.39
136.02,p,0.39
136.42,hu,0.39
136.81,p,0.39
137.20,hu,0.39
137.59,jp,0.39
137.98,hu,0.39
138.38,jl,0.39
138.77,hu,0.39
139.16,ip,0.39
139.55,hj,0.39
139.94,ip,0.39
140.34,h,0.39
140.73,hp,0.39
141.12,hp,0.39
141.51,hp,0.39
141.90,p,0.39
142.30,hp,0.39
142.69,ik,0.39
143.08,hk,0.39
143.47,il,0.39
143.86,ny,0.39
144.26,l,0.39
144.65,;h,0.39
145.04,i,0.39
145.43,op,0.39
145.82,hy,0.39
146.22,op,0.39
146.61,hy,0.39
147.00,hp,0.39
147.39,hy,0.39
147.78,ko,0.39
148.18,hy,0.39
148.57,p,0.39
148.96,hu,0.39
149.35,p,0.39
149.74,hu,0.39
150.14,jp,0.39
150.53,hu,0.39
150.92,jl,0.39
151.31,hu,0.39
151.70,ip,0.39
152.10,hj,0.39
152.49,ip,0.39
152.88,j,0.39
153.27,jp,0.39
153.66,jp,0.39
154.06,jp,0.39
154.45,p,0.39
154.84,hp,0.59
155.43,hi,0.59
156.02,hk,0.59
156.60,hy,0.59
157.19,il,0.59
157.78,h,0.59
158.37,l,0.59
158.96,h,0.59
159.54,hi,0.50
