# 水星记
# Converted from SkyStudio format
# BPM: 368
# Total chords: 495

Time,Keys,Duration
0.00,my,0.65
0.65,ip,0.65
1.30,ip,0.65
1.96,;ip,0.16
2.12,l,0.16
2.28,k,0.33
2.61,,y,0.65
3.26,ho,0.65
3.91,.ho,0.65
4.56,,ho,0.65
5.22,my,0.65
5.87,ip,0.65
6.52,ip,0.65
7.17,;ip,0.16
7.33,l,0.16
7.50,k,0.33
7.82,ly,0.65
8.48,op,0.65
9.13,nop,0.65
9.78,;,0.65
10.43,;py,0.65
11.08,;py,0.33
11.41,p,0.33
11.74,;ipy,0.33
12.06,l,0.16
12.22,l,0.16
12.39,ipy,0.33
12.71,k,0.16
12.88,k,0.16
13.04,hkoy,0.65
13.69,hoy,0.33
14.02,k,0.16
14.18,p,0.16
14.34,;hoy,0.33
14.67,l,0.16
14.83,l,0.16
15.00,hoy,0.33
15.32,l,0.16
15.48,l,0.16
15.65,hiy,0.65
16.30,hiy,0.33
16.63,k,0.16
16.79,p,0.16
16.95,;hiy,0.33
17.28,l,0.16
17.44,l,0.16
17.60,hiy,0.33
17.93,k,0.33
18.26,ijny,0.33
18.58,;,0.33
18.91,ijy,0.33
19.23,k,0.33
19.56,ijpy,0.33
19.89,;,0.16
20.05,l,0.16
20.21,ijy,0.33
20.54,k,0.33
20.86,hoy,0.65
21.52,hoy,0.65
22.17,hopy,0.16
22.33,;,0.16
22.49,l,0.33
22.82,k,0.33
23.15,hloy,0.65
23.80,hoy,0.65
24.45,hoy,1.14
25.59,ipy,0.65
26.24,ipy,0.33
26.57,p,0.16
26.73,;,0.16
26.89,ipy,0.33
27.22,l,0.33
27.55,ilpy,0.33
27.87,k,0.16
28.04,k,0.16
28.20,hiy,0.65
28.85,hiy,0.33
29.18,k,0.16
29.34,p,0.16
29.50,;ipy,0.33
29.83,l,0.33
30.16,hily,0.33
30.48,k,0.16
30.64,k,0.16
30.81,hiky,0.65
31.46,hiy,0.33
31.79,k,0.16
31.95,p,0.16
32.11,;hiy,0.33
32.44,l,0.16
32.60,l,0.16
32.76,hily,0.33
33.09,k,0.33
33.41,ijoy,0.33
33.74,;,0.33
34.07,;ijy,0.33
34.39,k,0.33
34.72,ijmy,0.33
35.05,;,0.16
35.21,l,0.16
35.37,ijy,0.33
35.70,k,0.33
36.02,hoy,0.65
36.67,hoy,0.65
37.33,hmoy,0.33
37.65,;,0.16
37.82,l,0.16
37.98,hloy,0.33
38.30,k,0.16
38.47,k,0.16
38.63,hkoy,0.65
39.28,hoy,0.65
39.94,hmoy,0.33
40.26,;,0.16
40.42,l,0.16
40.59,hloy,0.33
40.91,k,0.33
41.24,impy,0.65
41.89,ipy,0.65
42.54,ipy,0.65
43.20,impy,0.33
43.52,k,0.16
43.68,l,0.16
43.85,;ijy,0.33
44.17,;,0.16
44.34,;,0.16
44.50,;ijy,0.33
44.83,n,0.33
45.15,;ijy,0.65
45.80,ijy,0.33
46.13,l,0.16
46.29,;,0.16
46.45,hnoy,0.33
46.78,;,0.16
46.94,l,0.16
47.11,hloy,0.33
47.43,k,0.33
47.76,hkoy,0.33
48.09,;,0.16
48.25,l,0.16
48.41,hloy,0.33
48.74,jlpu,0.65
49.39,l,0.33
49.72,k,0.33
50.04,l,0.33
50.37,k,0.16
50.53,k,0.33
50.86,ky,0.16
51.02,p,0.16
51.18,i,0.16
51.34,p,0.16
