# 烟袋斜街(暴躁)
# Converted from SkyStudio format
# BPM: 291
# Total chords: 282

Time,Keys,Duration
0.00,C4,0.21
0.21,A#3,0.21
0.41,A3,0.21
0.62,G#3,0.21
0.82,F#3,0.41
1.24,G#3,0.41
1.65,A2C3G#3,0.41
2.06,F#3,0.41
2.47,A2C3,0.41
2.88,F3,0.41
3.30,A#2C#3F3,0.41
3.71,F#3,0.41
4.12,A#2C#3,0.41
4.53,B2G#3,0.41
4.94,B2D3G#3,0.41
5.36,F#3,0.41
5.77,B2D3,0.82
6.59,B2C4D3,0.21
6.80,A#3,0.21
7.00,A3D3,0.21
7.21,G#3,0.21
7.42,B2D3F#3,0.41
7.83,G#3,0.41
8.24,A2C3G#3,0.41
8.65,F#3,0.41
9.06,A2C3,0.41
9.48,F3,0.41
9.89,A#2C#3F3,0.41
10.30,F#3,0.41
10.71,A#2C#3,0.41
11.12,B2G#3,0.41
11.54,B2D3G#3,0.41
11.95,F#3,0.41
12.36,B2D3,0.82
13.18,B2D3,0.21
13.39,D#3,0.21
13.60,D3E3,0.21
13.80,F3,0.21
14.01,B2D3E3,0.21
14.21,F3,0.21
14.42,F#3,0.21
14.63,G#3,0.21
14.83,A2C3G#3,0.41
15.24,A3,0.41
15.66,A2C3,0.41
16.07,A3,0.41
16.48,A#2A3C#3,0.41
16.89,A#3,0.41
17.30,A#2C#3,0.41
17.72,A#3B2,0.41
18.13,A#3B2D3,0.41
18.54,C4,0.41
18.95,B2D3,0.41
19.36,A#3,0.21
19.57,C4,0.21
19.78,B2D3F3,0.21
19.98,C4,0.21
20.19,D3G#3,0.21
20.39,A#3,0.21
20.60,B2C4D3,0.21
20.81,A#3,0.21
21.01,A#3,0.21
21.22,G#3,0.21
21.42,C3G#3,0.41
21.84,A2F#3,0.41
22.25,C3,0.21
22.45,A2,0.21
22.66,D3E3,0.21
22.87,C3,0.21
23.07,C#3F3,0.41
23.48,A#2E3,0.41
23.90,C#3,0.21
24.10,A#2,0.21
24.31,D#3,0.21
24.51,C#3,0.21
24.72,D#3D3,0.41
25.13,E3,0.21
25.34,B2,0.21
25.54,D#3,0.41
25.96,A2,0.41
26.37,C4D3,0.21
26.57,A#3B2,0.21
26.78,A2A3,0.21
26.99,D3G#3,0.21
27.19,D3F#3,0.21
27.40,A2,0.21
27.60,B2G#3,0.21
27.81,D3,0.21
28.02,C3G#3,0.41
28.43,A2C3F#3,0.82
29.25,A2C#3F3,0.41
29.66,C#3F3,0.41
30.08,A#2F#3,0.82
30.90,A#2C#3D3,0.41
31.31,D3G#3,0.41
31.72,D3F#3,0.82
32.55,A2D3,0.41
32.96,C4,0.21
33.17,A#3,0.21
33.37,A3,0.21
33.58,G#3,0.21
33.78,F#3,0.41
34.20,G#3,0.41
34.61,C3G#3,0.41
35.02,A2C3F#3,0.82
35.84,A2C#3F3,0.41
36.26,C#3F3,0.41
36.67,A#2F#3,0.82
37.49,A#2D3G#3,0.41
37.90,D3G#3,0.41
38.32,D3F#3,0.82
39.14,A2D3,0.41
39.55,D3,0.21
39.76,D#3,0.21
39.96,E3,0.21
40.17,F3,0.21
40.38,E3,0.21
40.58,F3,0.21
40.79,F#3,0.21
40.99,G#3,0.21
41.20,C3G#3,0.41
41.61,A2A3,0.82
42.44,A2A3C#3,0.41
42.85,A3C#3,0.41
43.26,A#2A#3,0.82
44.08,A#2A#3D3,0.41
44.50,A#3D3,0.41
44.91,C4D3,0.82
45.73,A#3A2D3,0.21
45.94,C4,0.21
46.14,F3,0.21
46.35,C4,0.21
46.56,G#3,0.21
46.76,A#3,0.21
46.97,C4,0.21
47.17,A#3,0.21
47.38,A#3,0.21
47.59,G#3,0.21
47.79,C3G#3,0.41
48.20,A2C3F#3,0.82
49.03,A2C#3E3,0.41
49.44,C#3F3,0.41
49.85,A#2E3,0.82
50.68,A#2D#3D3,0.41
51.09,D#3D3,0.41
51.50,D3E3,0.82
52.32,C#3,0.41
52.74,D3,0.21
52.94,D#3,0.21
53.15,E3,0.41
53.56,F3,0.21
53.77,F#3,0.21
53.97,C3F3,0.21
54.18,C3,0.21
54.38,D3,0.21
54.59,A2,0.21
54.80,C3,0.21
55.00,D3,0.21
55.21,C3,0.21
55.41,A2,0.21
55.62,D3,0.21
55.83,C#3,0.21
56.03,A#2,0.21
56.24,C#3,0.21
56.44,D3,0.21
56.65,D#3,0.21
56.86,D3,0.21
57.06,C#3E3,0.21
57.27,B2,0.21
57.47,D3F#3,0.82
58.30,A3D3F#3,0.82
59.12,C#3,0.41
59.53,D3,0.21
59.74,D#3,0.21
59.95,E3,0.41
60.36,F3,0.21
60.56,F#3,0.21
60.77,C3F3,0.21
60.98,A2,0.21
61.18,A2C3,0.21
61.39,A2,0.21
61.59,C3,0.21
61.80,A2,0.21
62.01,A2C3,0.21
62.21,A2,0.21
62.42,C#3,0.21
62.62,A#2,0.21
62.83,A#2C#3,0.21
63.04,A#2,0.21
63.24,C#3,0.21
63.45,A#2,0.21
63.65,A#2C#3G#3,0.21
63.86,A#2,0.21
64.07,D3F#3,0.21
64.27,B2,0.21
64.48,D3,0.21
64.68,D#3,0.21
64.89,A2,0.21
65.10,D#3,0.21
65.30,D3,0.21
65.51,B2,0.21
65.71,C#3D3,0.21
65.92,B2,0.21
66.13,A3D3,0.21
66.33,A#3D#3,0.21
66.54,A2E3,0.41
66.95,F3,0.21
67.16,F#3,0.21
67.36,A3C3,0.41
67.77,A2,0.41
68.19,A2C3,0.41
68.60,A2A3,0.41
69.01,A3C#3,0.41
69.42,A#2C4,0.41
69.83,A#2C#3,0.41
70.25,A#3,0.41
70.66,A#3A2,0.41
71.07,C#3C4,0.41
71.48,A2,0.41
71.89,A#2A#3,0.21
72.10,C4,0.21
72.31,B2C4,0.21
72.51,A#3,0.21
72.72,A#2A3,0.21
72.92,G#3,0.21
73.13,A2A3,0.21
73.34,G#3,0.21
73.54,C#3F#3,0.21
73.75,F3,0.21
73.95,A2C3F#3,1.24
75.19,E3,0.41
75.60,A#2C#3F3,1.24
76.84,D#3,0.41
77.25,B2D3E3,1.24
78.49,C4,0.21
78.69,A#3,0.21
78.90,A3,0.21
79.10,G#3,0.21
79.31,F#3,0.41
79.72,G#3,0.41
80.13,A2C3G#3,0.41
80.55,F#3,0.82
81.37,F3,0.41
81.78,A#2C#3F3,0.41
82.19,F#3,0.82
83.02,G#3,0.41
83.43,B2D3G#3,0.41
83.84,F#3,0.82
84.67,D3,0.21
84.87,D#3,0.21
85.08,E3,0.21
85.28,F3,0.21
85.49,E3,0.21
85.70,F3,0.21
85.90,F#3,0.21
86.11,G#3,0.21
86.31,A2C3G#3,0.41
86.73,A3,0.82
87.55,A3,0.41
87.96,A#2A3C#3,0.41
88.37,A#3,0.82
89.20,A#3,0.41
89.61,A#3B2D3,0.41
90.02,C4,0.82
90.85,A#3,0.21
91.05,C4,0.21
91.26,F3,0.21
91.46,C4,0.21
91.67,G#3,0.21
91.88,A#3,0.21
92.08,C4,0.21
92.29,A#3,0.21
92.49,A#3,0.21
92.70,G#3,0.21
92.91,A2C3G#3,0.41
93.32,F#3,0.82
94.14,E3,0.41
94.55,A#2C#3F3,0.41
94.97,E3,0.82
95.79,D#3,0.41
96.20,B2D#3D3,0.41
96.61,E3,0.50
