# 隔岸『暴躁』
# Converted from SkyStudio format
# BPM: 240
# Total chords: 487

Time,Keys,Duration
0.50,,oy,0.50
1.00,;,0.50
1.50,/,0.50
2.00,,,0.50
2.50,mpu,0.50
3.00,l,0.50
3.50,;,0.50
4.00,m,0.50
4.50,;hi,1.75
6.25,l,0.50
6.75,;,0.50
7.25,,oy,0.50
7.75,;,0.50
8.25,/,0.50
8.75,,,0.50
9.25,mpu,0.50
9.75,l,0.50
10.25,;,0.50
10.75,m,0.50
11.25,,hi,1.75
13.00,m,1.00
14.00,,oy,1.00
15.00,o,0.25
15.25,hk,1.25
16.50,mpu,1.00
17.50,p,0.25
17.75,jl,0.50
18.25,,,0.50
18.75,;hi,0.50
19.25,i,0.50
19.75,hkl,0.50
20.25,m,0.50
20.75,;pu,0.50
21.25,p,0.50
21.75,j,1.25
23.00,loy,1.00
24.00,o,0.25
24.25,hk,1.25
25.50,;pu,1.00
26.50,p,0.25
26.75,jlm,1.25
28.00,,hi,1.00
29.00,i,0.25
29.25,;k,0.50
29.75,jl,0.50
30.25,h,1.50
31.75,;,0.25
32.00,l,0.25
32.25,;,0.25
32.50,mpy,0.50
33.00,l,0.50
33.50,l,1.00
34.50,k,1.50
36.00,;,0.25
36.25,l,0.25
36.50,;,0.25
36.75,mpu,0.50
37.25,l,0.50
37.75,l,0.75
38.50,;,1.50
40.00,;,0.25
40.25,l,0.25
40.50,;,0.25
40.75,him,0.50
41.25,l,0.50
41.75,l,0.50
42.25,k,0.25
42.50,l,0.50
43.00,;,1.50
44.50,;,0.25
44.75,l,0.25
45.00,;,0.25
45.25,hoy,0.50
45.75,;,0.50
46.25,;,0.50
46.75,l,0.25
47.00,k,0.50
47.50,l,1.50
49.00,;,0.25
49.25,l,0.25
49.50,;,0.25
49.75,mpy,0.50
50.25,l,0.50
50.75,l,0.75
51.50,k,1.75
53.25,;,0.25
53.50,l,0.25
53.75,;,0.25
54.00,mpu,0.50
54.50,l,0.50
55.00,l,0.75
55.75,;,1.25
57.00,;,0.25
57.25,l,0.25
57.50,;him,0.50
58.00,l,0.50
58.50,l,0.50
59.00,k,0.25
