# いつも何度でも
# Converted from SkyStudio format
# BPM: 230
# Total chords: 761

Time,Keys,Duration
0.00,A2,0.52
0.52,A2C#3,0.52
1.04,B2,0.52
1.56,A2,0.52
2.08,A2C#3,0.52
2.60,B2,0.52
3.12,A2,0.52
3.64,A2C#3,0.52
4.16,B2,0.52
4.68,A2C#3F#3,1.04
5.72,A2,0.26
5.98,A#2,0.26
6.24,A2B2,0.26
6.50,A2,0.26
6.76,B2C#3,0.78
7.54,B2,0.26
7.80,A#2C#3,0.52
8.32,C#3D#3,0.52
8.84,A#2,0.52
9.36,A2D3,0.26
9.62,D3,0.26
9.88,A2B2,0.78
10.66,A2,0.26
10.92,B2D#3,0.52
11.44,B2D#3,0.52
11.96,D#3,0.52
12.48,C3D3,0.52
13.00,A2C3D#3,0.52
13.52,A2,0.26
13.78,A#2,0.26
14.04,B2C#3,0.52
14.56,A2B2,0.52
15.08,A#2,0.26
15.34,B2,0.26
15.60,A#2C3,0.52
16.12,C3D3,0.26
16.38,B2,0.26
16.64,A#2,0.26
16.90,A2,0.26
17.16,A#2C#3,0.52
17.68,A#2C3,0.52
18.20,A2,0.26
18.46,A#2,0.26
18.72,A2B2,0.26
18.98,A2,0.26
19.24,C#3,0.78
20.02,B2,0.26
20.28,A#2C#3D#3,0.52
20.80,C#3C3D#3,0.52
21.32,A#2,0.52
21.84,A2D3,0.26
22.10,D3,0.26
22.36,A2B2D3,0.52
22.88,D#3,0.26
23.14,A2,0.26
23.40,B2C#3,0.52
23.92,B2D#3,0.52
24.44,C#3,0.52
24.96,C3D3,0.52
25.48,A2C3D#3,0.52
26.00,A2,0.26
26.26,A#2,0.26
26.52,B2C#3,0.52
27.04,A2B2,0.52
27.56,A#2,0.26
27.82,B2,0.26
28.08,A#2C3D3,0.52
28.60,C3,0.26
28.86,B2,0.26
29.12,A#2C#3C3,0.26
29.38,A2,0.26
29.64,A2,0.52
30.16,C#3,0.52
30.68,B2,0.52
31.20,A2,0.52
31.72,C#3,0.52
32.24,B2,0.26
32.50,C3,0.26
32.76,A2B2C#3,0.52
33.28,A#2C#3,0.52
33.80,A2B2C#3,0.52
34.32,C#3D#3,0.52
34.84,A#2C#3,0.26
35.10,D3,0.26
35.36,C#3C3,0.26
35.62,C3,0.26
35.88,A2B2D3,0.52
36.40,A2B2D#3,0.52
36.92,B2D3,0.52
37.44,B2C#3,0.52
37.96,B2D#3,0.26
38.22,C3,0.26
38.48,B2,0.26
38.74,A#2,0.26
39.00,A2D3,0.52
39.52,A2,0.52
40.04,A2B2,0.26
40.30,D#3,0.26
40.56,C3D3,0.52
41.08,D#3D3,0.52
41.60,A2D#3,0.26
41.86,A2,0.26
42.12,A#2D3,0.52
42.64,A#2D3,0.26
42.90,B2,0.26
43.16,A#2C3,0.26
43.42,B2,0.26
43.68,A#2C#3D#3,0.52
44.20,A#2D3,0.52
44.72,A2B2C3,0.26
44.98,A#2C3,0.26
45.24,A2B2C#3,0.52
45.76,A#2C#3,0.52
46.28,A2B2C#3,0.52
46.80,C#3D#3,0.52
47.32,A#2C#3,0.26
47.58,D3,0.26
47.84,C#3C3,0.26
48.10,C3,0.26
48.36,A2C#3D3,0.52
48.88,A2C#3D#3,0.52
49.40,B2C#3,0.26
49.66,D3,0.26
49.92,B2C#3,0.26
50.18,C3,0.26
50.44,B2D#3,0.26
50.70,A#2,0.26
50.96,A2B2,0.26
51.22,D#3,0.26
51.48,C3D3,0.52
52.00,A2D3,0.26
52.26,D#3,0.26
52.52,A2C3,0.26
52.78,A#2,0.26
53.04,B2C#3,0.52
53.56,A2,0.52
54.08,A#2B2,0.26
54.34,B2,0.26
54.60,A#2C3,0.52
55.12,A2,0.26
55.38,A#2,0.26
55.64,A#2C3,0.26
55.90,A2,0.26
56.16,A2,0.52
56.68,C#3,0.52
57.20,B2,0.52
57.72,A2,0.52
58.24,C#3,0.52
58.76,B2,0.52
59.28,A2,0.52
59.80,C#3,0.52
60.32,A2B2,0.26
60.58,A#2,0.26
60.84,A2C#3F#3,0.26
61.10,E3,0.26
61.36,B2G#3,0.52
61.88,C#3,0.26
62.14,F#3,0.26
62.40,C#3D#3F3,0.52
62.92,D#3G#3,0.52
63.44,A#2F3,0.52
63.96,D3E3,0.26
64.22,A3,0.26
64.48,A2F#3,0.52
65.00,B2,0.26
65.26,E3,0.26
65.52,B2C#3D#3,0.52
66.04,D#3,0.52
66.56,B2E3,0.26
66.82,D#3,0.26
67.08,C3D3,0.52
67.60,A2D#3,0.52
68.12,C3E3,0.26
68.38,F3,0.26
68.64,B2C#3,0.52
69.16,A2E3,0.52
69.68,B2F3,0.26
69.94,F#3,0.26
70.20,A#2D3E3G3,0.52
70.72,D3G3,0.26
70.98,F#3,0.26
71.24,C3F3,0.26
71.50,E3,0.26
71.76,C#3D#3F3,0.52
72.28,A#2,0.52
72.80,C3E3,0.26
73.06,F3,0.26
73.32,A2C#3F#3,0.26
73.58,E3,0.26
73.84,C#3G#3,0.52
74.36,B2,0.26
74.62,F#3,0.26
74.88,C#3D#3F3,0.52
75.40,D#3G#3,0.52
75.92,C3F3,0.52
76.44,D3E3,0.26
76.70,D3,0.26
76.96,A2D3,0.52
77.48,B2D#3,0.26
77.74,E3,0.26
78.00,B2C#3,0.52
78.52,D#3,0.52
79.04,B2D3,0.52
79.56,C3D3,0.52
80.08,A2D#3,0.52
80.60,C3E3,0.26
80.86,F3,0.26
81.12,B2C#3,0.52
81.64,A2E3,0.52
82.16,B2C#3F3,0.26
82.42,F#3,0.26
82.68,A#2A2C3D3E3F3G3,0.52
83.20,G3,0.26
83.46,F#3,0.26
83.72,C#3C3F3,0.26
83.98,E3,0.26
84.24,A2E3,0.52
84.76,C#3,0.52
85.28,B2,0.52
85.80,A2,0.52
86.32,C#3,0.52
86.84,B2,0.52
87.36,A2,0.52
87.88,C#3,0.52
88.40,A2B2,0.26
88.66,C3,0.26
88.92,A2C#3,0.52
89.44,B2C#3,0.52
89.96,B2C#3,0.52
90.48,C#3,0.52
91.00,A#2C#3C3,0.26
91.26,D3,0.26
91.52,A#2C#3C3,0.26
91.78,C3,0.26
92.04,B2D3,0.52
92.56,A2B2,0.52
93.08,A2B2,0.52
93.60,B2,0.52
94.12,B2D#3,0.26
94.38,C3,0.26
94.64,B2D#3,0.26
94.90,A#2,0.26
95.16,A2D3,0.52
95.68,A2B2,0.52
96.20,A2B2,0.26
96.46,D#3,0.26
96.72,C3D3,0.52
97.24,A2C3D#3,0.52
97.76,A2C3D#3,0.26
98.02,A2,0.26
98.28,A#2,0.52
98.80,A#2C3D3,0.26
99.06,B2,0.26
99.32,A#2C3D3,0.26
99.58,B2,0.26
99.84,A#2C#3,0.52
100.36,A#2C3,0.52
100.88,A#2B2C3,0.26
101.14,C3,0.26
101.40,A2C#3,0.52
101.92,B2C#3,0.52
102.44,B2C#3,0.52
102.96,C#3,0.52
103.48,A#2C#3C3,0.26
103.74,D3,0.26
104.00,A#2C#3C3,0.26
104.26,C3,0.26
104.52,B2D3,0.52
105.04,A2B2,0.52
105.56,A2B2,0.52
106.08,B2,0.26
106.34,C3,0.26
106.60,B2D#3,0.26
106.86,A#2,0.26
107.12,A2B2D#3,0.26
107.38,D#3,0.26
107.64,C3D#3,0.52
108.16,A2C3D3,0.26
108.42,D#3,0.26
108.68,A2C3,0.26
108.94,A#2,0.26
109.20,B2C#3,0.52
109.72,A2B2,0.52
110.24,A#2A2B2,0.26
110.50,B2,0.26
110.76,A#2C3,0.52
111.28,A2C3,0.52
111.80,A#2A2C3,0.26
112.06,A2,0.26
112.32,A2,0.26
112.58,C#3,0.26
112.84,A2,0.26
113.10,A#2,0.26
113.36,B2,0.26
113.62,C#3,0.26
113.88,A2,0.26
114.14,C#3,0.26
114.40,A2,0.26
