# おじゃま虫（麻烦鬼）
# Converted from SkyStudio format
# BPM: 320
# Total chords: 385

Time,Keys,Duration
0.75,kp,0.19
0.94,m,0.37
1.31,k,0.37
1.68,j,0.19
1.87,k,0.37
2.24,kp,0.19
2.43,m,0.37
2.81,k,0.37
3.18,j,0.19
3.37,k,0.37
3.74,p,0.19
3.93,k,0.19
4.11,k,0.19
4.30,k,0.19
4.49,;,0.19
4.67,l,0.19
4.86,k,0.19
5.05,l,0.19
5.24,l,0.37
5.61,;k,0.19
5.80,;k,0.56
6.36,l,0.19
6.54,k,0.19
6.73,k,0.19
6.92,m,0.37
7.29,k,0.37
7.67,j,0.19
7.85,k,0.19
8.04,k,0.19
8.23,k,0.19
8.41,,,0.19
8.60,l,0.19
8.79,l,0.19
8.98,l,0.37
9.35,k,0.37
9.72,p,0.19
9.91,k,0.37
10.29,k,0.19
10.47,;,0.19
10.66,l,0.19
10.85,k,0.19
11.03,k,0.19
11.22,j,0.37
11.59,k,0.19
11.78,k,0.56
12.34,p,0.19
12.53,k,0.19
12.72,y,0.19
12.90,;,0.19
13.09,l,0.19
13.28,k,0.19
13.46,l,0.19
13.65,k,0.37
14.03,p,0.19
14.21,k,0.19
14.40,y,0.19
14.59,;,0.19
14.77,l,0.19
14.96,k,0.19
15.15,l,0.19
15.33,k,0.37
15.71,p,0.19
15.89,k,0.19
16.08,y,0.19
16.27,;,0.19
16.46,l,0.19
16.64,k,0.19
16.83,l,0.19
17.02,k,0.37
17.39,p,0.19
17.58,k,0.19
17.77,y,0.19
17.95,;,0.19
18.14,l,0.19
18.33,k,0.19
18.51,n,0.19
18.70,;,0.37
19.07,p,0.19
19.26,k,0.19
19.45,y,0.19
19.64,;,0.19
19.82,l,0.19
20.01,k,0.19
20.20,l,0.19
20.38,k,0.37
20.76,p,0.19
20.94,k,0.19
21.13,y,0.19
21.32,;,0.19
21.50,l,0.19
21.69,k,0.19
21.88,l,0.19
22.07,k,0.37
22.44,lp,0.19
22.63,k,0.19
22.81,y,0.19
23.00,;,0.19
23.19,l,0.19
23.38,k,0.19
23.56,l,0.19
23.75,k,0.37
24.12,p,0.19
24.31,k,0.19
24.50,y,0.19
24.68,;,0.19
24.87,l,0.19
25.06,k,0.19
25.25,n,0.19
25.43,;,0.75
26.18,p,0.19
26.37,k,0.19
26.55,k,0.37
26.93,k,0.19
27.11,j,0.19
27.30,p,0.37
27.68,p,0.19
27.86,k,0.19
28.05,k,0.37
28.42,k,0.19
28.61,l,0.19
28.80,;,0.37
29.17,p,0.19
29.36,k,0.19
29.55,k,0.37
29.92,k,0.19
30.11,j,0.19
30.29,p,0.37
30.67,p,0.19
30.86,k,0.19
31.04,k,0.37
31.42,k,0.19
31.60,l,0.19
31.79,;,0.37
32.16,p,0.19
32.35,k,0.19
32.54,k,0.19
32.73,k,0.19
32.91,k,0.19
33.10,j,0.19
33.29,p,0.37
33.66,p,0.19
33.85,k,0.19
34.03,k,0.37
34.41,k,0.19
34.59,l,0.19
34.78,;,0.37
35.16,p,0.19
35.34,k,0.19
35.53,k,0.37
35.90,k,0.19
36.09,j,0.19
36.28,p,0.37
36.65,p,0.19
36.84,;,0.19
37.03,l,0.37
37.40,k,0.19
37.59,j,0.19
37.77,k,0.37
38.15,p,0.19
38.34,k,0.19
38.52,k,0.37
38.90,k,0.19
39.08,j,0.19
39.27,p,0.37
