# [CL]だんご大家族
# Converted from SkyStudio format
# BPM: 200
# Total chords: 534

Time,Keys,Duration
1.20,h,0.30
1.50,p,0.30
1.80,k,0.60
2.40,k,0.60
3.00,l,0.60
3.60,l,0.60
4.20,;,0.60
4.80,k,0.60
5.40,p,0.60
6.00,h,0.30
6.30,p,0.30
6.60,k,0.60
7.20,k,0.60
7.80,l,0.60
8.40,l,0.60
9.00,;,0.30
9.30,;,0.30
9.60,k,1.20
10.80,h,0.30
11.10,p,0.30
11.40,k,0.60
12.00,k,0.60
12.60,l,0.60
13.20,l,0.60
13.80,;,0.60
14.40,k,0.60
15.00,p,0.60
15.60,h,0.30
15.90,p,0.30
16.20,k,0.60
16.80,k,0.60
17.40,l,0.30
17.70,l,0.30
18.00,k,2.40
20.40,h,0.30
20.70,p,0.30
21.00,k,0.60
21.60,k,0.60
22.20,l,0.60
22.80,l,0.60
23.40,;,0.60
24.00,k,0.60
24.60,p,0.60
25.20,h,0.30
25.50,p,0.30
25.80,k,0.60
26.40,k,0.60
27.00,l,0.60
27.60,l,0.60
28.20,;,0.60
28.80,l,1.20
30.00,h,0.30
30.30,p,0.30
30.60,k,0.60
31.20,k,0.60
31.80,l,0.60
32.40,l,0.60
33.00,;,0.60
33.60,k,0.60
34.20,p,0.60
34.80,h,0.30
35.10,p,0.30
35.40,k,0.60
36.00,k,0.60
36.60,l,0.60
37.20,k,2.40
39.60,h,0.30
39.90,p,0.30
40.20,k,0.60
40.80,k,0.60
41.40,l,0.60
42.00,l,0.60
42.60,;,0.60
43.20,k,0.60
43.80,p,0.60
44.40,h,0.30
44.70,p,0.30
45.00,k,0.60
45.60,k,0.60
46.20,l,0.60
46.80,l,0.60
47.40,;,0.60
48.00,k,1.20
49.20,h,0.30
49.50,p,0.30
49.80,k,0.60
50.40,k,0.60
51.00,l,0.60
51.60,l,0.60
52.20,;,0.60
52.80,k,0.60
53.40,p,0.60
54.00,h,0.30
54.30,p,0.30
54.60,k,0.60
55.20,k,0.60
55.80,l,0.60
56.40,k,2.40
58.80,n,0.30
59.10,;,0.30
59.40,k,0.30
59.70,h,0.60
60.30,k,0.30
60.60,l,0.30
60.90,h,0.30
61.20,k,0.60
61.80,p,0.60
62.40,h,0.60
63.00,k,0.60
63.60,n,0.30
63.90,;,0.30
64.20,k,0.30
64.50,h,0.60
65.10,k,0.30
65.40,l,0.30
65.70,h,0.30
66.00,k,2.40
68.40,n,0.30
68.70,;,0.30
69.00,k,0.30
69.30,h,0.60
69.90,k,0.30
70.20,l,0.30
70.50,h,0.30
70.80,k,0.60
71.40,p,0.60
72.00,h,0.60
72.60,k,0.60
73.20,p,0.90
74.10,k,0.30
74.40,o,0.90
75.30,o,1.50
76.80,u,0.30
77.10,p,0.30
77.40,k,0.30
77.70,l,0.30
78.00,l,0.60
78.60,k,0.30
78.90,h,0.60
79.50,k,0.30
79.80,l,0.30
80.10,;,0.30
80.40,m,0.30
80.70,l,0.30
81.00,;,0.60
81.60,k,0.30
81.90,p,0.30
82.20,k,0.30
82.50,l,0.30
82.80,l,0.60
83.40,k,0.30
83.70,h,0.60
84.30,l,0.30
84.60,k,0.30
84.90,m,0.30
85.20,;,1.20
86.40,u,0.30
86.70,p,0.30
87.00,k,0.30
87.30,l,0.30
