# 把你mikumiku掉
# Converted from SkyStudio format
# BPM: 550
# Total chords: 319

Time,Keys,Duration
0.00,hoy,0.22
0.22,;,0.22
0.44,jlp,0.22
0.65,;,0.11
0.76,hoy,0.22
0.98,h,0.11
1.09,;,0.22
1.31,jlp,0.22
1.53,;,0.22
1.74,koy,0.22
1.96,;,0.22
2.18,jlp,0.22
2.40,;,0.11
2.51,hoy,0.22
2.73,h,0.11
2.83,;,0.22
3.05,jlp,0.22
3.27,;,0.22
3.49,koy,0.76
4.25,moy,0.76
5.01,;jp,0.87
5.89,;oy,0.22
6.10,n,0.22
6.32,moy,0.22
6.54,n,0.44
6.98,;oy,0.44
7.41,l,0.65
8.07,koy,1.42
9.48,koy,0.76
10.25,moy,0.76
11.01,;oy,0.87
11.88,;oy,0.22
12.10,n,0.22
12.32,moy,0.22
12.54,n,0.44
12.97,;oy,0.44
13.41,koy,0.22
13.62,koy,0.65
14.28,k,0.22
14.50,koy,0.22
14.71,k,0.22
14.93,koy,0.22
15.15,k,0.22
15.37,koy,0.22
15.59,k,0.22
15.80,joy,0.22
16.02,k,0.22
16.24,jlp,0.22
16.46,k,0.44
16.89,k,0.22
17.11,jlp,0.22
17.33,;,0.44
17.77,k,0.22
17.98,koy,0.22
18.20,k,0.22
18.42,koy,0.22
18.64,k,0.22
18.86,joy,0.22
19.07,k,0.22
19.29,;oy,0.44
19.73,n,0.22
19.95,;oy,0.44
20.38,l,0.22
20.60,koy,0.22
20.82,j,0.44
21.25,k,0.22
21.47,koy,0.22
21.69,k,0.22
21.91,koy,0.22
22.13,k,0.22
22.34,koy,0.22
22.56,k,0.22
22.78,joy,0.22
23.00,k,0.22
23.22,jlp,0.22
23.43,k,0.44
23.87,k,0.22
24.09,jlp,0.22
24.31,n,0.44
24.74,koy,0.44
25.18,k,0.22
25.40,koy,0.22
25.61,k,0.22
25.83,joy,0.22
26.05,k,0.98
27.03,k,0.22
27.25,joy,0.22
27.47,k,0.22
27.69,hoy,0.55
28.23,k,0.22
28.45,koy,0.98
29.43,k,0.22
29.65,jlp,0.22
29.87,k,0.22
30.08,jlp,0.22
30.30,k,0.22
30.52,ipy,0.55
31.07,k,0.22
31.28,koy,0.98
32.26,k,0.22
32.48,jlp,0.22
32.70,k,0.22
32.92,jlp,0.22
33.14,;,0.22
33.35,noy,0.22
33.57,;,0.44
34.01,loy,0.44
34.44,k,0.44
34.88,k,0.22
35.10,noy,0.22
35.32,;,0.44
35.75,jlp,0.44
36.19,k,0.44
36.62,k,0.22
36.84,koy,0.55
37.39,l,0.22
37.60,loy,1.09
38.70,l,0.22
38.91,;oy,0.22
39.13,h,0.22
39.35,koy,0.22
39.57,l,0.22
39.78,koy,0.44
40.22,koy,0.22
40.44,jlp,0.44
40.88,jlp,0.44
41.31,jlp,0.44
41.75,koy,0.22
41.97,jlp,0.22
42.18,koy,0.22
42.40,;oy,0.87
43.27,koy,0.44
43.71,koy,0.22
43.93,jlp,0.44
