# もペも（mopemope）
# Converted from SkyStudio format
# BPM: 400
# Total chords: 210

Time,Keys,Duration
0.00,D#3,0.30
0.30,C#3,0.30
0.60,D#3,0.30
0.90,C#3,0.30
1.20,E3,0.30
1.50,C#3,0.30
1.80,E3,0.30
2.10,C#3,0.30
2.40,F3,0.30
2.70,C#3,0.30
3.00,F3,0.30
3.30,C#3,0.30
3.60,F3,0.30
3.90,C#3,0.30
4.20,E3,0.30
4.50,C#3,0.30
4.80,D#3,0.30
5.10,C#3,0.30
5.40,D#3,0.30
5.70,C#3,0.30
6.00,E3,0.30
6.30,C#3,0.30
6.60,E3,0.30
6.90,C#3,0.30
7.20,F3,0.30
7.50,C#3,0.30
7.80,F3,0.30
8.10,C#3,0.30
8.40,E3,0.30
8.70,C#3,0.30
9.00,E3,0.30
9.30,C#3,0.30
9.60,F3,0.30
9.90,C#3,0.30
10.20,F3,0.30
10.50,C#3,0.30
10.80,E3,0.30
11.10,C#3,0.30
11.40,E3,0.30
11.70,C#3,0.30
12.00,F3,0.30
12.30,D#3,0.30
12.60,C#3,0.30
12.90,F3,0.30
13.20,F3,0.15
13.35,F#3,0.15
13.50,F3,0.15
13.65,E3,0.15
13.80,F3,0.30
14.10,F3,0.15
14.25,G#3,0.15
14.40,G3,0.30
14.70,G3,0.15
14.85,F#3,0.15
15.00,F3,0.30
15.30,E3,0.30
15.60,D#3,0.30
15.90,E3,0.30
16.20,F3,0.60
16.80,F3,0.30
17.10,D#3,0.30
17.40,C#3,0.30
17.70,F3,0.30
18.00,F3,0.15
18.15,F#3,0.15
18.30,F3,0.15
18.45,E3,0.15
18.60,F3,0.30
18.90,F#3,0.15
19.05,G3,0.15
19.20,G#3,0.30
19.50,F3,0.15
19.65,D#3,0.15
19.80,E3,0.30
20.10,G3,0.30
20.40,G3,0.30
20.70,F3,0.30
21.00,F3,0.60
21.60,F3,0.15
21.75,F3,0.15
21.90,F3,0.30
22.20,E3,0.30
22.50,E3,0.30
22.80,D#3,0.15
22.95,D#3,0.15
23.10,D#3,0.15
23.25,D#3,0.15
23.40,D3,0.30
23.70,D3,0.30
24.00,C#3,0.30
24.30,C#3,0.15
24.45,C#3,0.15
24.60,D3,0.30
24.90,D3,0.30
25.20,D#3,0.30
25.50,E3,0.30
25.80,F3,0.60
26.40,F3,0.15
26.55,F3,0.15
26.70,F3,0.30
27.00,E3,0.30
27.30,F3,0.30
27.60,F#3,0.15
27.75,F#3,0.15
27.90,F#3,0.30
28.20,G3,0.30
28.50,G#3,0.30
28.80,G3,0.15
28.95,F#3,0.15
29.10,F3,0.30
29.40,F3,0.30
29.70,E3,0.15
29.85,D#3,0.15
30.00,C#3,0.30
30.30,G#3,0.30
30.60,C#3,0.60
31.20,F3,0.30
31.50,D#3,0.30
31.80,C#3,0.30
32.10,F3,0.30
32.40,F3,0.15
32.55,F#3,0.15
32.70,F3,0.15
32.85,E3,0.15
33.00,F3,0.30
33.30,F3,0.15
33.45,G#3,0.15
33.60,G3,0.30
33.90,G3,0.15
34.05,F#3,0.15
34.20,F3,0.30
34.50,E3,0.30
34.80,D#3,0.30
35.10,E3,0.30
35.40,F3,0.60
36.00,F3,0.30
36.30,D#3,0.30
36.60,C#3,0.30
36.90,F3,0.30
37.20,F3,0.15
37.35,F#3,0.15
37.50,F3,0.15
37.65,E3,0.15
37.80,F3,0.30
38.10,F#3,0.15
38.25,G3,0.15
38.40,G#3,0.30
38.70,E3,0.15
38.85,D#3,0.15
39.00,E3,0.30
39.30,G#3,0.30
39.60,G3,0.30
39.90,F#3,0.30
40.20,F3,0.60
40.80,G#3,0.30
41.10,F3,0.30
41.40,G#3,0.30
41.70,F3,0.30
42.00,G3,0.30
42.30,F3,0.30
42.60,G3,0.30
42.90,F3,0.30
43.20,F3,0.30
43.50,D#3,0.30
43.80,F#3,0.30
44.10,D#3,0.30
44.40,F3,0.30
44.70,D#3,0.30
45.00,F3,0.30
45.30,D#3,0.30
45.60,E3,0.30
45.90,C#3,0.30
46.20,E3,0.30
46.50,C#3,0.30
46.80,D#3,0.30
47.10,C#3,0.30
47.40,D#3,0.30
47.70,C#3,0.30
48.00,E3,0.30
48.30,C#3,0.30
48.60,E3,0.30
48.90,C#3,0.30
49.20,F3,0.30
49.50,C#3,0.30
49.80,F3,0.30
50.10,C#3,0.30
50.40,G#3,0.30
50.70,F3,0.30
51.00,G#3,0.30
51.30,F3,0.30
51.60,G#3,0.30
51.90,F3,0.30
52.20,G3,0.30
52.50,F3,0.30
52.80,F#3,0.30
53.10,D#3,0.30
53.40,F#3,0.30
53.70,D#3,0.30
54.00,F3,0.30
54.30,D#3,0.30
54.60,F3,0.30
54.90,D#3,0.30
55.20,C#3,0.15
55.35,C#3,0.15
55.50,C#3,0.30
55.80,D3,0.30
56.10,D#3,0.30
56.40,E3,0.30
56.70,C4,0.30
57.00,A2,0.50
