# アイロニ
# Converted from SkyStudio format
# BPM: 582
# Total chords: 511

Time,Keys,Duration
1.13,E3,0.10
1.24,F#3,0.31
1.54,F3,0.10
1.65,D3E3,0.31
1.96,E3,0.10
2.06,E3,0.41
2.47,C#3E3,0.41
2.88,E3,0.31
3.19,F3,0.10
3.30,C3E3,0.41
3.71,A2,0.41
4.12,C#3,0.31
4.43,E3,0.10
4.53,F#3,0.31
4.84,F3,0.10
4.94,C#3E3,0.31
5.25,E3,0.10
5.36,E3,0.31
5.67,E3,0.10
5.77,C#3E3,0.31
6.08,E3,0.10
6.18,E3,0.31
6.49,F3,0.10
6.59,B2E3,0.41
7.00,A2,0.41
7.42,C#3,0.31
7.72,C#3,0.10
7.83,C#3,0.31
8.14,C#3,0.10
8.24,D3E3,0.31
8.55,E3,0.10
8.65,E3,0.41
9.06,C#3E3,0.31
9.37,E3,0.10
9.48,E3,0.21
9.68,E3,0.21
9.89,C3F#3,0.41
10.30,F3,0.21
10.51,E3,0.21
10.71,C#3,0.31
11.02,C#3,0.10
11.12,C#3,0.31
11.43,C#3,0.10
11.54,C#3E3,0.41
11.95,E3,0.41
12.36,C#3F#3,0.41
12.77,F3,0.21
12.98,E3,0.21
13.18,A2,0.41
13.60,C#3,0.41
14.01,E3,0.31
14.32,E3,0.10
14.42,C#3F#3,0.31
14.73,F3,0.10
14.83,B2D3E3,0.31
15.14,E3,0.10
15.24,B2E3,0.31
15.55,E3,0.10
15.66,C#3F3,0.41
16.07,E3,0.41
16.48,A2C3,0.41
16.89,A2,0.41
17.30,C3F#3,0.31
17.61,F3,0.10
17.72,E3,0.41
18.13,A#2C#3E3,0.31
18.44,E3,0.10
18.54,A#2E3,0.31
18.85,E3,0.10
18.95,C#3E3,0.31
19.26,E3,0.10
19.36,E3,0.31
19.67,F3,0.10
19.78,A2C#3E3,0.41
20.19,A2,0.41
20.60,C#3,0.41
21.01,C#3,0.31
21.32,C#3,0.10
21.42,B2D3E3,0.31
21.73,E3,0.10
21.84,B2E3,0.31
22.14,E3,0.10
22.25,C#3E3,0.41
22.66,E3,0.41
23.07,A2C3F#3,0.31
23.38,F#3,0.10
23.48,A2F3,0.21
23.69,E3,0.21
23.90,C#3,0.31
24.20,C#3,0.10
24.31,C#3,0.31
24.62,C#3,0.10
24.72,A#2C#3E3,0.31
25.03,E3,0.10
25.13,A#2E3,0.41
25.54,C#3E3,0.31
25.85,E3,0.10
25.96,F3,0.41
26.37,A2C#3E3,0.41
26.78,C#3,0.41
27.19,E3,0.41
27.60,C#3,0.41
28.02,B2D3F3,0.10
28.12,F3,0.21
28.32,F3,0.10
28.43,D3F3,0.21
28.63,F3,0.21
28.84,D3F3,0.31
29.15,E3,0.10
29.25,F3,0.41
29.66,A2B2F#3,0.10
29.77,F#3,0.21
29.97,F#3,0.10
30.08,C#3F#3,0.21
30.28,G3,0.21
30.49,C#3F#3,0.31
30.80,F3,0.10
30.90,E3,0.41
31.31,A2C#3F#3,0.10
31.41,F#3,0.21
31.62,F#3,0.10
31.72,C#3F#3,0.21
31.93,F#3,0.21
32.14,C#3F#3,0.10
32.24,F#3,0.21
32.45,F#3,0.10
32.55,F#3,0.21
32.75,F#3,0.21
32.96,A2C#3F#3,0.10
33.06,F#3,0.21
33.27,F#3,0.10
33.37,C#3F#3,0.21
33.58,G3,0.21
33.78,C#3F#3,0.41
34.20,F3,0.21
34.40,E3,0.21
34.61,B2C#3F3,0.41
35.02,C#3F3,0.21
35.23,E3,0.21
35.43,C#3F3,0.41
35.84,F3,0.21
36.05,E3,0.21
36.26,B2C#3F3,0.41
36.67,D#3F3,0.21
36.87,E3,0.21
37.08,D#3F3,0.41
37.49,E3,0.31
37.80,E3,0.10
37.90,A2C#3F#3,0.41
38.32,C#3F#3,0.21
38.52,G3,0.21
38.73,C#3,0.21
38.93,F3,0.21
39.14,F#3,0.41
39.55,A2C#3,0.41
39.96,C#3F#3,0.41
40.38,C#3F3,0.41
40.79,E3,0.41
41.20,A#2C3D3,0.41
41.61,A2,0.41
42.02,C3,0.41
42.44,A2D3,0.41
42.85,A#2C3G3,0.41
43.26,A2G3,0.41
43.67,C3F#3,0.41
44.08,A2G3,0.41
44.50,B2C#3F#3,0.41
44.91,B2F#3,0.41
45.32,D#3G3,0.41
45.73,B2G#3,0.41
46.14,D#3,0.41
46.56,A2,0.21
46.76,B2,0.21
46.97,A3C3E3,0.41
47.38,A2,0.21
47.59,B2E3,0.62
48.20,A2E3,0.41
48.62,A#2A3C3E3,0.41
49.03,A2,0.21
49.23,B2E3,0.62
49.85,A2E3,0.21
50.06,B2,0.21
50.26,A3C3D3F3,0.41
50.68,A3C3D3F3,0.41
51.09,B2D#3F3G#3,0.41
51.50,D#3F3,0.21
51.71,B2,0.21
51.91,D#3F3G#3,0.41
52.32,A3B2D#3F3,0.21
52.53,A#3F3,1.34
53.87,G#3,0.10
53.97,G#3,0.21
54.18,G#3,0.21
54.38,A#3B2D3G#3,0.21
54.59,B2,0.21
54.80,A3C4D3,0.31
55.10,G#3,0.10
55.21,B2D3G#3,0.21
55.41,G#3,0.21
55.62,B2D3,0.21
55.83,A#3G#3,0.21
56.03,A2C3,0.21
56.24,A2,0.21
56.44,C4D3G#3,0.41
56.86,C3D3,0.31
57.16,G#3,0.10
57.27,C3D3G#3,0.21
57.47,G#3,0.21
57.68,A#2A#3C#3G#3,0.21
57.89,C#3,0.21
58.09,A3C4D#3,0.31
58.40,G#3,0.10
58.50,C#3D#3G#3,0.41
58.92,C#3D#3G#3,0.21
