# ストロボライト
# Converted from SkyStudio format
# BPM: 500
# Total chords: 227

Time,Keys,Duration
0.00,koy,0.48
0.48,k,0.48
0.96,joy,0.36
1.32,p,0.36
1.68,p,0.24
1.92,ipy,0.24
2.16,h,0.24
2.40,i,0.48
2.88,i,0.36
3.24,u,0.36
3.60,i,0.24
3.84,y,0.48
4.32,i,0.48
4.80,y,0.48
5.28,i,0.48
5.76,u,0.36
6.12,y,0.36
6.48,u,0.24
6.72,y,0.48
7.20,p,0.48
7.68,koy,0.48
8.16,k,0.48
8.64,joy,0.36
9.00,p,0.36
9.36,p,0.24
9.60,ipy,0.24
9.84,h,0.24
10.08,i,0.48
10.56,i,0.36
10.92,u,0.36
11.28,i,0.24
11.52,y,0.48
12.00,i,0.48
12.48,y,0.48
12.96,i,0.48
13.44,u,0.36
13.80,y,0.36
14.16,u,0.24
14.40,y,0.48
14.88,o,0.48
15.36,iy,1.56
16.92,y,0.24
17.16,u,0.24
17.40,y,0.24
17.64,u,0.24
17.88,y,0.24
18.12,u,0.48
18.60,o,0.48
19.08,iy,1.56
20.64,y,0.24
20.88,u,0.24
21.12,y,0.24
21.36,u,0.24
21.60,o,0.24
21.84,i,0.48
22.32,u,0.48
22.80,iy,1.56
24.36,i,0.48
24.84,ip,0.24
25.08,p,0.24
25.32,ip,0.24
25.56,h,0.24
25.80,ip,0.24
26.04,y,0.24
26.28,u,0.24
26.52,o,0.24
26.76,iy,1.56
28.32,o,0.48
28.80,iy,0.72
29.52,u,0.24
29.76,iy,0.48
30.24,o,0.48
30.72,iy,1.56
32.28,y,0.24
32.52,u,0.24
32.76,y,0.24
33.00,u,0.24
33.24,y,0.24
33.48,u,0.48
33.96,o,0.48
34.44,iy,1.56
36.00,y,0.24
36.24,u,0.24
36.48,y,0.24
36.72,u,0.24
36.96,o,0.24
37.20,i,0.48
37.68,u,0.48
38.16,iy,1.56
39.72,i,0.48
40.20,ip,0.24
40.44,p,0.24
40.68,ip,0.24
40.92,h,0.24
41.16,ip,0.24
41.40,y,0.24
41.64,u,0.24
41.88,o,0.24
42.12,iy,1.56
43.68,o,0.48
44.16,iy,0.72
44.88,u,0.24
45.12,iy,0.72
45.84,u,0.24
46.08,iy,0.48
46.56,i,0.48
47.04,ip,0.48
47.52,i,0.48
48.00,hoy,0.48
48.48,p,0.48
48.96,ip,0.48
49.44,h,0.48
49.92,ip,0.48
50.40,y,0.48
50.88,uy,0.48
51.36,o,0.48
51.84,iy,2.04
53.88,i,0.48
54.36,ip,0.48
54.84,i,0.48
55.32,hoy,0.48
55.80,p,0.48
56.28,ip,0.48
56.76,h,0.48
57.24,ip,0.48
57.72,y,0.48
58.20,uy,0.48
58.68,o,0.48
59.16,iy,0.72
59.88,u,0.24
60.12,y,0.48
60.60,y,0.48
61.08,koy,0.24
61.32,k,0.12
61.44,k,0.36
61.80,k,0.24
62.04,joy,0.24
62.28,p,0.24
62.52,p,0.24
62.76,p,0.24
63.00,hoy,0.24
63.24,y,0.24
63.48,u,0.24
63.72,o,0.24
63.96,iy,0.48
64.44,u,0.48
64.92,y,0.48
65.40,i,0.48
65.88,y,0.48
66.36,i,0.48
66.84,uy,0.24
67.08,i,0.12
67.20,u,0.36
67.56,y,0.24
67.80,y,0.48
68.28,y,0.48
68.76,koy,0.24
69.00,k,0.12
69.12,k,0.36
69.48,k,0.24
69.72,joy,0.24
69.96,p,0.24
70.20,p,0.24
70.44,p,0.24
70.68,hoy,0.24
70.92,y,0.24
71.16,u,0.24
71.40,o,0.24
71.64,iy,0.48
72.12,u,0.48
72.60,y,0.48
73.08,i,0.48
73.56,y,0.48
74.04,i,0.48
74.52,uy,0.24
74.76,i,0.12
74.88,u,0.36
75.24,y,0.24
75.48,y,0.48
75.96,y,0.48
76.44,koy,0.24
76.68,k,0.12
76.80,k,0.36
77.16,k,0.24
77.40,joy,0.24
77.64,p,0.24
77.88,p,0.24
78.12,p,0.24
78.36,hoy,0.24
78.60,y,0.24
78.84,u,0.24
79.08,o,0.24
79.32,iy,0.48
79.80,u,0.48
80.28,y,0.48
80.76,i,0.48
81.24,y,0.48
81.72,i,0.48
82.20,uy,0.24
82.44,i,0.12
82.56,u,0.36
82.92,y,0.24
83.16,y,0.48
83.64,y,0.48
84.12,koy,0.24
84.36,k,0.12
84.48,k,0.36
84.84,k,0.24
85.08,joy,0.24
85.32,p,0.24
85.56,p,0.24
85.80,p,0.24
86.04,hoy,0.24
86.28,y,0.24
86.52,u,0.24
86.76,o,0.24
87.00,iy,0.48
87.48,u,0.48
87.96,y,0.48
88.44,i,0.48
88.92,y,0.48
89.40,i,0.48
89.88,uy,0.24
90.12,i,0.12
90.24,u,0.36
90.60,y,0.24
90.84,y,0.50
