# 火花
# Converted from SkyStudio format
# BPM: 600
# Total chords: 433

Time,Keys,Duration
0.00,B2D3E3,0.20
0.20,B2D3E3,0.20
0.40,B2D3E3,0.20
0.60,B2D3E3,0.20
0.80,B2D3E3,0.20
1.00,B2D3E3,0.20
1.20,B2D3E3,0.20
1.40,B2D3E3,0.20
1.60,B2D3E3,0.20
1.80,B2D3E3,0.30
2.10,A#3C4G#3,0.40
2.50,C3D3F#3,0.20
2.70,A2,0.20
2.90,A2,0.20
3.10,C3D3F#3,0.20
3.30,A2,0.20
3.50,A2,0.20
3.70,C3D3F#3,0.20
3.90,A2,0.20
4.10,A2,0.20
4.30,C3D3F#3,0.50
4.80,C#3D#3F3,0.20
5.00,A#2,0.20
5.20,A#2,0.20
5.40,C#3D#3F3,0.20
5.60,A#2,0.20
5.80,A#2,0.20
6.00,C#3D#3F3,0.20
6.20,A#2,0.20
6.40,A#2,0.20
6.60,C#3D#3F3,0.20
6.80,A#2,0.20
7.00,A#2,0.20
7.20,C#3D#3F3,0.50
7.70,B2D3E3,0.20
7.90,F3,0.20
8.10,F#3,0.20
8.30,B2D3E3,0.20
8.50,F3,0.20
8.70,F#3,0.20
8.90,B2D3F3,0.20
9.10,G#3,0.20
9.30,A2C3F#3,0.20
9.50,F3,0.20
9.70,A2C3F#3,0.20
9.90,F3,0.20
10.10,A2C3C4,0.40
10.50,A#3,0.40
10.90,B2D3E3,0.20
11.10,F3,0.20
11.30,F#3,0.20
11.50,B2D3E3,0.20
11.70,F3,0.20
11.90,F#3,0.20
12.10,B2D3F3,0.20
12.30,G#3,0.20
12.50,A2C3F#3,0.20
12.70,F3,0.20
12.90,A2C3F#3,0.20
13.10,F3,0.20
13.30,A#2C#3E3,0.20
13.50,D#3,0.20
13.70,A#2C#3,0.40
14.10,B2D3E3,0.20
14.30,F3,0.20
14.50,F#3,0.20
14.70,B2D3E3,0.20
14.90,F3,0.20
15.10,F#3,0.20
15.30,B2D3F3,0.20
15.50,G#3,0.20
15.70,A2C3F#3,0.20
15.90,F3,0.20
16.10,A2C3F#3,0.20
16.30,F3,0.20
16.50,A2C3C4,0.40
16.90,A#3,0.40
17.30,B2D3E3,0.20
17.50,F3,0.20
17.70,F#3,0.20
17.90,B2D3E3,0.20
18.10,F3,0.20
18.30,F#3,0.20
18.50,B2D3F3,0.20
18.70,G#3,0.20
18.90,A2C3F#3,0.20
19.10,F3,0.20
19.30,A2C3F#3,0.20
19.50,F3,0.20
19.70,A#2C#3E3,0.20
19.90,D#3,0.20
20.10,A#2C#3,0.40
20.50,A#2C#3,0.20
20.70,D3,0.20
20.90,E3,0.20
21.10,C#3,0.20
21.30,A2A3C3,0.20
21.50,G#3,0.20
21.70,A2C3F#3,0.20
21.90,G#3,0.20
22.10,A#2C#3F3,0.20
22.30,E3,0.20
22.50,A#2C#3F3,0.20
22.70,F#3,0.20
22.90,C4,0.20
23.10,A#3,0.20
23.30,D3,0.40
23.70,B2D3F#3,0.50
24.20,F#3,0.20
24.40,F#3,0.20
24.60,F3,0.20
24.80,E3,0.20
25.00,A2C3F3,0.40
25.40,E3,0.40
25.80,E3,0.40
26.20,C#3,0.20
26.40,E3,0.20
26.60,F3,0.20
26.80,A#2C#3F#3,0.50
27.30,F#3,0.20
27.50,F#3,0.20
27.70,F3,0.20
27.90,E3,0.20
28.10,C#3E3G#3,0.40
28.50,F#3,0.40
28.90,F#3,0.40
29.30,D3,0.40
29.70,B2D3F#3,0.50
30.20,F#3,0.20
30.40,F#3,0.20
30.60,F3,0.20
30.80,E3,0.20
31.00,A2C3F3,0.40
31.40,E3,0.40
31.80,E3,0.40
32.20,C#3,0.30
32.50,F3,0.20
32.70,F3,0.20
32.90,F3,0.20
33.10,F3,0.20
33.30,F3,0.20
33.50,F3,0.20
33.70,F3,0.20
33.90,F3,0.20
34.10,C3,0.20
34.30,B2E3,0.20
34.50,C3F3,0.20
34.70,C#3F#3,0.20
34.90,C3F3,0.20
35.10,B2E3,0.20
35.30,B2D3E3,0.40
35.70,D3,0.40
36.10,B2D3F#3,0.50
36.60,B2D3F#3,0.20
