# メリュー Meru                                                                 daze哒
# Converted from SkyStudio format
# BPM: 260
# Total chords: 214

Time,Keys,Duration
3.22,C#3,0.23
3.45,D3,0.23
3.68,A2B2,0.69
4.37,A2B2,0.69
5.06,F#3,0.23
5.29,F3,0.23
5.52,A2B2,0.69
6.21,A2B2,0.69
6.90,E3,0.23
7.13,F3,0.23
7.36,A2C3,0.69
8.05,A2C3,0.69
8.74,E3,0.23
8.97,F#3,0.23
9.20,A2C3,0.69
9.89,A2C3F3,0.69
10.58,D#3,0.23
10.81,E3,0.23
11.04,A2B2,0.69
11.73,A2B2,0.69
12.42,A3,0.23
12.65,G#3,0.23
12.88,A2B2,0.69
13.57,A2B2,0.69
14.26,E3,0.23
14.49,F3,0.23
14.72,A2C3,0.69
15.41,A2C3,0.69
16.10,E3,0.23
16.33,E3,0.23
16.56,A2C3,0.69
17.25,A2C3,0.69
17.94,C#3,0.23
18.17,D3,0.23
18.40,A2B2,0.69
19.09,A2B2,0.69
19.78,F#3,0.23
20.01,F3,0.23
20.24,A2B2,0.69
20.93,A2B2,0.69
21.62,E3,0.23
21.85,F3,0.23
22.08,A2C3,0.69
22.77,A2C3,0.69
23.46,E3,0.23
23.69,F#3,0.23
23.92,A2C3,0.69
24.61,A2C3,0.69
25.30,D#3,0.23
25.53,E3,0.23
25.76,A#2C#3,0.69
26.45,A#2C#3,0.69
27.14,A3,0.23
27.37,G#3,0.23
27.60,A#2C#3,0.69
28.29,A#2C#3,0.69
28.98,E3,0.23
29.21,F3,0.23
29.44,A2C#3,0.69
30.13,A2C#3,0.69
30.82,E3,0.23
31.05,E3,0.23
31.28,A2C#3,0.69
31.97,A2C#3,0.46
32.43,F3,0.23
32.66,B2C#3E3,0.23
32.89,D#3,0.23
33.12,A2C3E3,0.23
33.35,A2,0.23
33.58,C3F#3,0.23
33.81,A#2C#3G#3,0.46
34.27,A#2D#3,0.23
34.50,C#3,0.23
34.73,B2C#3E3,0.46
35.19,B2,0.23
35.42,C#3,0.69
36.11,F3,0.23
36.34,B2C#3E3,0.23
36.57,D#3,0.23
36.80,A2C3E3,0.23
37.03,A2,0.23
37.26,C3F#3,0.23
37.49,A#2C#3G#3,0.46
37.95,A#2D#3,0.23
38.18,C#3,0.23
38.41,B2D3E3,0.46
38.87,B2,0.23
39.10,D3,0.69
39.79,F3,0.23
40.02,B2D3E3,0.23
40.25,D#3,0.23
40.48,A2C3E3,0.69
41.17,A2C3,0.46
41.63,D3,0.23
41.86,A2C3,0.23
42.09,D#3,0.23
42.32,C3D3E3,0.23
42.55,C#3,0.23
42.78,C#3,0.23
43.01,C3D3G3,0.46
43.47,F#3,0.23
43.70,C3D3E3,0.23
43.93,F3,0.23
44.16,A#2C#3,0.23
44.39,E3,0.23
44.62,F3,0.23
44.85,F#3,0.23
45.08,C#3D#3F3,0.23
45.31,C#3,0.23
45.54,C#3,0.23
45.77,B2D#3F#3F3,0.46
46.23,F3,0.23
46.46,F#3,0.23
46.69,G3,0.23
46.92,F#3,0.23
47.15,A#2B2D#3,0.23
47.38,A#2B2D#3,0.46
47.84,B2D3F#3,0.69
48.53,A2C3G#3,0.46
48.99,G#3,0.23
49.22,A2C3G3,0.23
49.45,A2F#3,0.23
49.68,A#2C#3,0.23
49.91,E3,0.23
50.14,E3,0.23
50.37,C#3E3F#3,0.46
50.83,G3,0.23
51.06,B2D#3F#3,0.23
51.29,F3,0.23
51.52,B2D3F#3,0.69
52.21,A2C3G#3,0.46
52.67,G#3,0.23
52.90,A2C3G3,0.23
53.13,A2F#3,0.23
53.36,A#2C#3,0.23
53.59,E3,0.23
53.82,D#3,0.23
54.05,A2C#3E3,0.69
54.74,A2B2,0.46
55.20,B2D3F#3,0.69
55.89,A2C3G#3,0.46
56.35,G#3,0.23
56.58,A2C3G3,0.23
56.81,A2F#3,0.23
57.04,A#2C#3,0.23
57.27,E3,0.23
57.50,E3,0.23
57.73,C#3E3F#3,0.46
58.19,G3,0.23
58.42,B2D#3F#3,0.23
58.65,F3,0.23
58.88,B2D3F#3,0.46
59.34,E3,0.23
59.57,A2C3C4,0.46
60.03,E3,0.23
60.26,E3,0.23
60.49,A#2C#3F3,0.46
60.95,E3,0.23
61.18,D#3,0.23
61.41,B2C#3E3,0.46
61.87,A2,0.23
62.10,C#3,0.23
62.33,E3,0.23
62.56,D3F3,0.46
63.02,F3,0.23
63.25,C3F#3,0.23
63.48,F3,0.23
63.71,F#3,0.23
63.94,C3F3,0.23
64.17,E3,0.23
64.40,C#3E3,0.46
64.86,C#3,0.23
65.09,E3F#3,0.46
65.55,C#3,0.23
65.78,D#3G#3,0.23
66.01,F#3,0.23
66.24,D3F3,0.46
66.70,F#3G#3,0.23
66.93,A3C3,0.46
67.39,G#3,0.23
67.62,C3F#3,0.23
67.85,F3,0.23
68.08,C#3,0.23
68.31,F#3,0.23
68.54,F3,0.23
68.77,A2E3,0.46
69.23,A2,0.23
69.46,B2C#3,0.23
69.69,E3,0.23
69.92,D3F3,0.46
70.38,F3,0.23
70.61,C3F#3,0.23
70.84,F3,0.23
71.07,F#3,0.23
71.30,C3F3,0.23
71.53,E3,0.23
71.76,C#3E3,0.46
72.22,C#3,0.23
72.45,E3F#3,0.46
72.91,C#3,0.23
73.14,D#3G#3,0.23
73.37,F#3,0.23
73.60,D3,0.23
73.83,F#3,0.23
74.06,G#3,0.23
74.29,A3C3,0.46
74.75,G#3,0.23
74.98,C3F#3,0.23
75.21,F3,0.23
75.44,C#3,0.23
75.67,F#3,0.23
75.90,F3,0.23
76.13,A2E3,0.23
76.36,B2C#3E3,0.50
