# リテラチュア
# Converted from SkyStudio format
# BPM: 472
# Total chords: 467

Time,Keys,Duration
0.00,C#3,0.38
0.38,A2,0.38
0.76,C#3,0.25
1.02,A#2,0.38
1.40,D3,0.38
1.78,D#3,0.25
2.03,E3,0.38
2.41,D#3,0.38
2.79,C#3,0.25
3.05,A#2,0.25
3.30,A2,0.25
3.56,A2,0.25
3.81,C#3,0.25
4.06,D3,0.38
4.45,A2,0.38
4.83,A#2,0.25
5.08,C#3,0.38
5.46,E3,0.38
5.84,G#3,0.25
6.10,G#3,1.40
7.49,C#3,0.64
8.13,E3,0.25
8.38,D#3,0.13
8.51,E3,0.25
8.76,D#3,0.13
8.89,E3,0.51
9.40,E3,0.25
9.65,E3,0.25
9.91,E3,0.25
10.16,E3,0.38
10.54,F3,0.38
10.92,F3,1.02
11.94,C#3,0.25
12.19,F3,0.25
12.45,E3,0.13
12.57,F3,0.25
12.83,E3,0.13
12.95,F3,0.51
13.46,E3,0.25
13.72,F3,0.25
13.97,F#3,0.25
14.22,A3,0.38
14.61,G#3,0.38
14.99,G#3,0.76
15.75,F#3,0.25
16.00,G#3,0.25
16.26,G3,0.25
16.51,F#3,0.13
16.64,F3,0.38
17.02,E3,0.25
17.27,E3,0.76
18.03,F#3,0.13
18.16,G#3,0.13
18.29,G3,0.25
18.54,F#3,0.13
18.67,F3,0.38
19.05,E3,0.25
19.30,F#3,0.51
19.81,E3,0.76
20.57,E3,0.25
20.83,E3,0.25
21.08,C#3,0.13
21.21,E3,0.38
21.59,E3,0.25
21.84,E3,0.25
22.10,E3,0.25
22.35,E3,0.38
22.73,F3,0.38
23.11,F3,1.52
24.64,F3,0.25
24.89,F3,0.25
25.15,E3,0.13
25.27,F3,0.38
25.65,E3,0.25
25.91,F3,0.25
26.16,F#3,0.25
26.42,A3,0.38
26.80,G#3,0.38
27.18,G#3,0.76
27.94,F#3,0.25
28.19,G#3,0.25
28.45,G3,0.25
28.70,F#3,0.13
28.83,F3,0.38
29.21,E3,0.25
29.46,E3,0.76
30.23,F#3,0.13
30.35,G#3,0.13
30.48,G3,0.25
30.73,F#3,0.13
30.86,F3,0.38
31.24,E3,0.25
31.50,F#3,1.02
32.51,D3,0.25
32.77,D#3,0.25
33.02,E3,0.25
33.27,D#3,0.51
33.78,D3,0.25
34.04,C#3,0.25
34.29,D3,0.51
34.80,C#3,0.25
35.05,C3,0.25
35.31,C#3,1.27
36.58,D3,0.25
36.83,D#3,0.25
37.08,E3,0.25
37.34,E3,0.51
37.85,F3,0.25
38.10,F#3,0.25
38.35,F#3,0.51
38.86,F3,0.25
39.12,E3,0.25
39.37,F3,1.52
40.89,F3,0.25
41.15,F3,0.25
41.40,F3,0.25
41.66,F3,0.38
