# 罗密欧与灰姑娘
# Converted from SkyStudio format
# BPM: 350
# Total chords: 456

Time,Keys,Duration
0.00,A2C3D3,0.17
0.17,D#3,0.17
0.34,E3,0.17
0.51,C#3,0.17
0.68,A2C3E3,0.68
1.37,A2F3,0.68
2.05,A2C3E3,0.68
2.74,E3,0.17
2.91,D#3,0.17
3.08,E3,0.17
3.25,F3,0.17
3.42,A2B2F#3,0.34
3.76,F#3,0.17
3.93,A2B2F#3,0.34
4.28,F#3,0.34
4.62,G3,0.17
4.79,A2C3F#3,0.34
5.13,F3,0.34
5.47,A2C3E3,0.34
5.81,F3,0.34
6.16,A2C3D3,0.34
6.50,F#3,0.17
6.67,A2C3F#3,0.34
7.01,F#3,0.34
7.35,F#3,0.17
7.52,A2C3F3,0.34
7.87,E3,0.34
8.21,A2C3D#3,0.34
8.55,E3,0.34
8.89,A2C3D#3,0.17
9.06,D3,0.34
9.40,A2C3D3,1.03
10.43,A2B2,0.17
10.60,D3,0.17
10.77,D3,0.17
10.94,D3,0.34
11.29,B2C#3,0.34
11.63,A2B2,0.17
11.80,D#3,0.17
11.97,D#3,0.17
12.14,D#3,0.17
12.31,A2C3D#3,0.17
12.48,E3,0.17
12.65,D#3,0.17
12.82,B2,0.17
13.00,A2B2,0.17
13.17,E3,0.17
13.34,D#3,0.17
13.51,B2,0.17
13.68,A2C3E3,0.17
13.85,D#3,0.17
14.02,B2,0.17
14.19,A#2,0.17
14.36,A2B2,0.17
14.54,D#3,0.17
14.71,D#3,0.17
14.88,D#3,0.17
15.05,A2C3D#3,0.17
15.22,E3,0.17
15.39,D#3,0.17
15.56,B2,0.17
15.73,A2B2,0.17
15.90,E3,0.17
16.07,D#3,0.17
16.25,B2,0.17
16.42,A2C3E3,0.17
16.59,D#3,0.17
16.76,B2,0.17
16.93,A#2,0.17
17.10,A2B2,0.17
17.27,D#3,0.17
17.44,D#3,0.17
17.61,D#3,0.17
17.78,A2C3D#3,0.17
17.95,E3,0.17
18.13,D#3,0.17
18.30,B2,0.17
18.47,A2B2,0.17
18.64,E3,0.17
18.81,D#3,0.17
18.98,B2,0.17
19.15,A2C3E3,0.17
19.32,D#3,0.17
19.49,B2,0.17
19.66,A#2,0.17
19.84,A2B2,0.17
20.01,D#3,0.17
20.18,D#3,0.17
20.35,D#3,0.17
20.52,A2C3D#3,0.17
20.69,E3,0.17
20.86,D#3,0.17
21.03,B2,0.17
21.20,A2B2,0.17
21.38,E3,0.17
21.55,D#3,0.17
21.72,B2,0.17
21.89,A2C3E3,0.17
22.06,D#3,0.17
22.23,B2,0.17
22.40,A#2,0.34
22.74,A2B2,0.17
22.91,D#3,0.17
23.09,D#3,0.17
23.26,A2C3D#3,0.17
23.43,D3,0.17
23.60,B2,0.17
23.77,D3,0.17
23.94,A2C3D#3,0.34
24.28,E3,0.17
24.45,A2C3D#3,0.34
24.80,D3,0.17
24.97,A2B2,0.17
25.14,D3,0.34
25.48,A2B2,0.17
25.65,D#3,0.17
25.82,D#3,0.17
25.99,A2C3D#3,0.17
26.16,D3,0.17
26.33,B2,0.17
26.50,D3,0.17
26.68,A2C3D#3,0.34
27.02,E3,0.17
27.19,A2C3D#3,0.34
27.53,D3,0.17
27.70,A2B2,0.17
27.87,D3,0.34
28.21,A#2,0.17
28.39,A2C3D3,0.17
28.56,D3,0.17
28.73,A2C3D3,0.85
29.58,A#2,0.17
29.75,A2C3D3,0.17
29.93,C#3,0.17
30.10,A2C3D3,0.34
30.44,D#3,0.34
30.78,A2B2,0.51
31.29,C#3,0.17
31.46,B2C#3,0.85
32.32,A2C3D3,0.17
32.49,D#3,0.17
32.66,B2,0.17
32.83,A2C3E3,0.17
33.00,D#3,0.17
33.17,C#3,0.17
33.34,A#2,0.34
33.69,A2B2,0.17
33.86,D#3,0.17
34.03,D#3,0.17
34.20,A2C3D#3,0.17
34.37,D3,0.17
34.54,B2,0.17
34.71,D3,0.17
34.88,A2C3D#3,0.34
35.23,E3,0.17
35.40,A2C3D#3,0.34
35.74,D3,0.17
35.91,A2B2,0.17
36.08,D3,0.34
36.42,A2B2C3,0.17
36.59,D#3,0.17
36.77,D#3,0.17
36.94,A2C3D#3,0.17
37.11,D3,0.17
37.28,B2,0.17
37.45,D3,0.17
37.62,A2C3D#3,0.34
37.96,E3,0.17
38.13,A2C3D#3,0.34
38.48,E3,0.17
38.65,A2C3D#3,0.17
38.82,D3,0.34
39.16,A#2,0.17
39.33,A2C3D3,0.17
39.50,D3,0.17
39.67,A2C3D3,0.85
40.53,A#2,0.17
40.70,A2C3D3,0.17
40.87,C#3,0.17
41.04,A2C3D3,0.34
41.38,F3,0.34
41.72,A2C3D#3,0.51
42.24,E3,0.17
42.41,A2C3E3,1.20
43.60,D3,0.17
43.78,D#3,0.17
43.95,E3,0.17
44.12,D3,0.17
44.29,A2C3F#3,0.34
44.63,G3,0.17
44.80,A2C3F#3,0.34
45.14,F3,0.17
45.31,E3,0.17
45.49,F3,0.17
45.66,A2C3F#3,0.34
46.00,G3,0.17
46.17,A2C3F#3,0.34
46.51,F3,0.17
46.68,E3,0.17
46.85,F3,0.17
47.02,A2C3F3,0.34
47.37,F#3,0.17
47.54,A2C3F3,0.34
47.88,E3,0.17
48.05,D#3,0.17
48.22,C#3,0.17
48.39,A2C3F3,0.17
48.56,E3,0.17
48.73,D#3,0.17
48.91,A2C3E3,0.34
49.25,C#3,0.34
49.59,C#3,0.17
49.76,A2C3,0.17
49.93,B2,0.17
