# 一剪梅 烛子ikina
# Converted from SkyStudio format
# BPM: 320
# Total chords: 156

Time,Keys,Duration
2.62,;,0.19
2.81,m,0.19
2.99,,h,0.75
3.74,h,0.75
4.49,;,0.75
5.24,/;,0.19
5.42,.,0.19
5.61,,,0.19
5.80,m,0.19
5.98,;k,0.19
6.17,m,0.19
6.36,;,0.37
6.73,k,0.75
7.48,i,0.75
8.23,i,0.37
8.60,h,0.19
8.79,k,0.19
8.98,lo,0.75
9.72,o,0.75
10.47,p,0.75
11.22,;p,0.19
11.41,l,0.19
11.59,k,0.19
11.78,l,0.19
11.97,ik,0.19
12.15,j,0.19
12.34,h,0.37
12.72,i,0.75
13.46,h,1.12
14.59,h,0.37
14.96,hy,1.12
16.08,l,0.19
16.27,k,0.19
16.46,ju,0.37
16.83,j,0.37
17.20,j,0.37
17.58,h,0.19
17.77,p,0.19
17.95,hy,1.50
19.45,i,1.12
20.57,h,0.37
20.94,ho,1.12
22.07,h,0.19
22.25,k,0.19
22.44,lp,0.37
22.81,l,0.37
23.19,;,0.19
23.38,n,0.19
23.56,;,0.19
23.75,l,0.19
23.94,;k,1.50
25.43,j,1.12
26.55,;,0.19
26.74,m,0.19
26.93,,h,1.12
28.05,m,0.19
28.24,;,0.19
28.42,lp,1.12
29.55,k,0.19
29.73,l,0.19
29.92,;i,1.12
31.04,l,0.19
31.23,k,0.19
31.42,hy,1.50
32.91,ho,0.37
33.29,h,0.37
33.66,p,0.37
34.03,h,0.37
34.41,u,0.37
34.78,p,0.19
34.97,i,0.19
35.16,p,0.37
35.53,j,0.37
35.90,hy,1.50
37.40,y,1.50
38.90,hi,0.37
39.27,,,0.75
40.02,m,0.37
40.39,;h,0.19
40.58,m,0.19
40.77,;,0.19
40.95,m,0.19
41.14,,,0.75
41.89,mp,0.37
42.26,l,0.37
42.64,l,0.37
43.01,;,0.19
43.20,m,0.19
43.38,;y,0.19
43.57,l,0.19
43.76,;,1.12
44.88,ik,0.37
45.25,h,1.12
46.38,ik,0.37
46.75,h,0.75
47.50,,,0.37
47.87,;k,0.19
48.06,l,0.19
48.25,;,1.12
49.37,j,1.50
50.86,hi,0.37
51.24,,,0.75
51.99,m,0.37
52.36,;h,0.19
52.55,m,0.19
52.73,;,0.19
52.92,m,0.19
53.11,,,0.75
53.86,mp,0.37
54.23,l,0.37
54.60,l,0.37
54.98,;,0.19
55.16,m,0.19
55.35,;y,0.19
55.54,l,0.19
55.73,;,1.12
56.85,ik,0.37
57.22,h,1.12
58.34,;y,0.19
58.53,l,0.19
58.72,;,0.75
59.47,m,0.19
59.65,,,0.19
59.84,k,0.37
60.21,;,0.19
60.40,l,0.19
60.59,;,0.75
61.34,j,1.50
62.83,hi,0.37
63.21,,,0.75
63.95,m,0.37
64.33,;h,0.19
64.52,m,0.19
64.70,;,0.19
64.89,m,0.19
65.08,,,0.75
65.82,mp,0.37
66.20,l,0.37
66.57,l,0.37
66.95,;,0.19
67.13,m,0.19
67.32,;y,0.19
67.51,l,0.19
67.69,;,1.12
68.82,ik,0.37
69.19,h,1.12
70.31,y,1.50
71.81,;h,0.19
72.00,l,0.19
72.18,;,1.12
73.30,i,1.50
74.80,p,1.12
75.92,;,0.37
76.30,mp,1.12
77.42,p,0.37
77.79,hy,0.50
