# 一千年以后
# Converted from SkyStudio format
# BPM: 240
# Total chords: 207

Time,Keys,Duration
0.00,/y,0.50
0.50,k,0.25
0.75,l,0.25
1.00,;,0.50
1.50,,,0.50
2.00,mp,1.00
3.00,j,0.50
3.50,l,0.50
4.00,my,0.50
4.50,o,0.25
4.75,p,0.25
5.00,h,0.50
5.50,;,0.50
6.00,jlp,0.50
6.50,u,0.25
6.75,p,0.25
7.00,h,0.25
7.25,j,0.25
7.50,p,0.50
8.00,/y,0.50
8.50,k,0.25
8.75,l,0.25
9.00,;,0.50
9.50,,,0.50
10.00,.jlp,0.75
10.75,m,0.75
11.50,;,0.25
11.75,l,0.25
12.00,hko,0.50
12.50,y,0.25
12.75,o,0.25
13.00,p,0.25
13.25,h,0.25
13.50,j,0.50
14.00,l,2.00
16.00,/y,0.25
16.25,i,0.25
16.50,k,0.25
16.75,l,0.25
17.00,;,0.50
17.50,,,0.50
18.00,mp,0.50
18.50,j,0.50
19.00,l,1.00
20.00,ny,0.25
20.25,o,0.25
20.50,;,0.25
20.75,k,0.75
21.50,l,0.50
22.00,jlp,0.25
22.25,u,0.25
22.50,p,0.25
22.75,h,0.25
23.00,j,0.50
23.50,p,0.50
24.00,/y,0.25
24.25,i,0.25
24.50,k,0.25
24.75,l,0.25
25.00,;,0.50
25.50,,,0.50
26.00,.jlp,0.75
26.75,m,0.75
27.50,;,0.50
28.00,,hko,1.00
29.00,y,0.50
29.50,i,0.50
30.00,j,0.25
30.25,j,0.25
30.50,j,0.25
30.75,k,0.25
31.00,l,0.25
31.25,k,0.25
31.50,j,0.50
32.00,hik,0.50
32.50,j,0.25
32.75,k,0.25
33.00,y,0.50
33.50,;,0.50
34.00,jpu,0.50
34.50,h,0.25
34.75,j,0.50
35.25,p,0.75
36.00,hiy,0.25
36.25,h,0.25
36.50,j,0.25
36.75,k,0.25
37.00,l,0.25
37.25,k,0.25
37.50,l,0.25
37.75,n,0.25
38.00,;y,0.25
38.25,i,0.25
38.50,l,0.25
38.75,l,0.25
39.00,u,0.25
39.25,l,0.25
39.50,k,0.25
39.75,l,0.25
40.00,hik,0.50
40.50,j,0.25
40.75,k,0.25
41.00,y,0.25
41.25,;,0.75
42.00,jpu,0.50
42.50,h,0.25
42.75,j,0.50
43.25,p,0.75
44.00,hoy,0.50
44.50,k,0.50
45.00,y,0.50
45.50,o,0.50
46.00,ky,0.25
46.25,k,0.25
46.50,k,0.25
46.75,l,0.25
47.00,;,0.50
47.50,l,0.25
47.75,k,0.25
48.00,u,0.25
48.25,p,0.25
48.50,j,0.25
48.75,l,2.25
51.00,j,0.25
51.25,k,0.25
51.50,l,0.50
52.00,;iy,0.50
52.50,l,0.25
52.75,k,0.50
53.25,p,0.75
54.00,jlpu,1.00
55.00,u,0.50
55.50,;,0.25
55.75,l,0.25
56.00,hik,0.50
56.50,j,0.25
56.75,h,0.50
57.25,i,0.75
58.00,ijp,1.00
59.00,i,0.50
59.50,k,0.25
59.75,j,0.25
60.00,hoy,0.50
60.50,j,0.25
60.75,k,0.75
61.50,l,0.50
62.00,py,0.50
62.50,;,0.25
62.75,;,0.25
63.00,y,0.50
63.50,p,0.25
63.75,;,0.25
64.00,hnu,0.50
64.50,;,0.50
65.00,k,0.50
65.50,l,0.50
66.00,jlp,0.50
66.50,u,0.50
67.00,p,0.25
67.25,j,0.25
67.50,k,0.25
67.75,l,0.25
68.00,;ipy,0.50
68.50,l,0.25
68.75,k,0.50
69.25,p,0.75
70.00,jlp,0.25
70.25,u,0.25
70.50,p,0.25
70.75,h,0.25
71.00,j,0.25
71.25,l,0.25
71.50,;,0.25
71.75,l,0.25
72.00,hik,0.50
72.50,j,0.25
72.75,h,0.50
73.25,l,0.75
74.00,ijp,1.00
75.00,i,0.50
75.50,k,0.25
75.75,j,0.25
76.00,hoy,0.50
76.50,p,0.25
76.75,h,0.75
77.50,k,0.50
78.00,ipy,0.50
78.50,l,0.25
78.75,k,0.25
79.00,iy,0.50
79.50,;,0.25
79.75,;,0.25
80.00,hnu,0.50
80.50,;,0.25
80.75,l,0.25
81.00,u,0.25
81.25,o,0.25
81.50,k,0.25
81.75,l,0.25
82.00,n,0.50
82.50,;,0.25
82.75,l,0.25
83.00,n,0.25
83.25,;,0.25
83.50,k,0.50
84.00,p,0.50
84.50,ikpy,0.50
