# 一吻天荒
# Converted from SkyStudio format
# BPM: 325
# Total chords: 323

Time,Keys,Duration
2.58,i,0.18
2.76,h,0.18
2.94,;o,0.37
3.31,i,0.37
3.68,h,0.37
4.05,lp,0.74
4.78,u,0.37
5.15,p,0.37
5.52,l,0.37
5.89,ij,0.37
6.26,k,0.37
6.62,j,0.37
6.99,iy,0.74
7.73,k,0.37
8.10,j,0.55
8.65,u,0.18
8.83,ho,1.10
9.94,jp,0.74
10.67,k,0.37
11.04,j,0.37
11.41,p,0.37
11.78,hi,0.37
12.14,y,0.37
12.51,i,0.18
12.70,h,0.18
12.88,,,1.84
14.72,hi,0.37
15.09,j,0.37
15.46,k,0.37
15.82,hl,0.37
16.19,;,0.37
16.56,m,0.37
16.93,,;h,0.37
17.30,m,0.37
17.66,ij,0.37
18.03,;,0.37
18.40,;,0.37
18.77,ij,0.74
19.50,l,0.37
19.87,mp,0.74
20.61,;o,0.37
20.98,l,0.37
21.34,k,0.37
21.71,hl,0.37
22.08,jp,0.37
22.45,k,0.37
22.82,j,0.37
23.18,p,0.37
23.55,y,0.37
23.92,i,0.37
24.29,iy,0.37
24.66,ilp,0.74
25.39,j,0.37
25.76,ik,0.37
26.13,m,0.37
26.50,hi,0.37
26.86,j,0.37
27.23,k,0.37
27.60,hl,0.37
27.97,;,0.37
28.34,m,0.37
28.70,,;h,0.37
29.07,m,0.37
29.44,ij,0.37
29.81,;,0.37
30.18,;,0.37
30.54,ij,0.74
31.28,;,0.37
31.65,.p,0.37
32.02,;p,0.37
32.38,ho,0.37
32.75,l,0.37
33.12,k,0.37
33.49,hl,0.37
33.86,jp,0.37
34.22,k,0.37
34.59,j,0.37
34.96,p,0.37
35.33,y,0.18
35.51,i,0.18
35.70,h,0.55
36.25,i,0.18
36.43,km,0.37
36.80,;h,0.37
37.17,k,0.37
37.54,hi,0.18
37.72,k,0.37
38.09,;k,0.18
38.27,oy,0.37
38.64,h,0.37
39.01,h,0.18
39.19,k,0.18
39.38,y,0.18
39.56,;k,0.18
39.74,pu,0.37
40.11,h,0.37
40.48,h,0.18
40.66,k,0.18
40.85,u,0.18
41.03,;k,0.18
41.22,ij,0.37
41.58,jl,0.37
41.95,jm,0.37
42.32,;p,0.37
42.69,hi,0.37
43.06,y,0.37
43.42,hi,0.18
43.61,k,0.37
43.98,;k,0.18
44.16,ou,0.37
44.53,h,0.37
44.90,h,0.18
45.08,h,0.18
45.26,y,0.18
45.45,h,0.18
45.63,pu,0.37
46.00,p,0.37
46.37,k,0.37
46.74,jp,0.37
47.10,y,0.18
47.29,i,0.18
47.47,hk,0.74
48.21,i,0.37
48.58,hm,0.37
48.94,k,0.37
49.31,hi,0.18
49.50,k,0.37
49.86,;k,0.18
50.05,oy,0.37
50.42,h,0.37
50.78,h,0.18
50.97,k,0.18
51.15,y,0.18
51.34,;k,0.18
51.52,pu,0.37
51.89,h,0.37
52.26,h,0.18
52.44,k,0.18
52.62,u,0.18
52.81,;k,0.18
52.99,ij,0.37
53.36,jl,0.37
53.73,jm,0.37
54.10,;p,0.37
54.46,hi,0.37
54.83,y,0.37
55.20,,i,0.18
55.38,m,0.55
55.94,,hou,0.74
56.67,,,0.18
56.86,m,0.18
57.04,y,0.18
57.22,jl,0.18
57.41,pu,0.74
58.14,k,0.37
58.51,j,0.37
58.88,h,0.37
59.25,ik,0.37
59.62,j,0.37
59.98,hiky,0.74
60.72,;,0.37
61.09,;,0.37
61.46,m,0.37
61.82,.moy,0.37
62.19,,/,0.37
62.56,.moy,0.37
62.93,m,0.37
63.30,.mpu,0.37
63.66,,/,0.37
64.03,.mpu,0.37
64.40,m,0.37
64.77,.imp,0.37
65.14,,/,0.37
65.50,.imp,0.37
65.87,m,0.37
66.24,hi,0.37
66.61,l,0.37
66.98,hil,0.37
67.34,k,0.37
67.71,lou,0.74
68.45,;ou,0.37
68.82,j,0.37
69.18,jpu,0.74
69.92,kpu,0.37
70.29,;k,0.37
70.66,py,0.74
71.39,kpy,0.74
72.13,kpy,0.37
72.50,;y,0.37
72.86,;jp,0.37
73.23,m,0.37
73.60,.moy,0.37
73.97,,/,0.37
74.34,.moy,0.37
74.70,m,0.37
75.07,jlpu,0.37
75.44,k,0.37
75.81,jpu,0.37
76.18,p,0.37
76.54,;ip,0.37
76.91,l,0.37
77.28,ikp,0.37
77.65,l,0.37
78.02,hik,0.74
78.75,,hi,0.37
79.12,m,0.18
79.30,,,0.18
79.49,u,0.37
79.86,o,0.37
80.22,,k,0.37
80.59,m,0.18
80.78,l,0.18
80.96,p,0.37
81.33,u,0.37
81.70,kp,0.37
82.06,j,0.37
82.43,hi,0.37
82.80,hk,0.74
83.54,y,0.37
83.90,hi,0.37
84.27,.,0.18
84.46,m,0.18
84.64,l,0.18
84.82,k,0.18
85.01,j,0.18
85.19,p,0.18
85.38,ko,0.18
85.56,;,0.18
85.74,y,0.18
85.93,k,0.18
86.11,;h,0.37
86.48,k,0.18
86.66,;,0.18
86.85,p,0.18
87.03,k,0.18
87.22,;j,0.37
87.58,kp,0.18
87.77,;,0.37
88.14,k,0.18
88.32,;i,0.37
88.69,kp,0.18
88.87,;,0.18
89.06,j,0.18
89.24,k,0.18
89.42,;,0.37
89.79,/hi,0.37
90.16,y,0.18
90.34,.i,0.37
90.71,m,0.18
90.90,;h,0.18
91.08,l,0.18
91.26,ko,0.18
91.45,;,0.18
91.63,y,0.18
91.82,k,0.18
92.00,;h,0.37
92.37,k,0.18
92.55,;,0.18
92.74,p,0.18
92.92,k,0.18
93.10,;j,0.37
93.47,kp,0.18
93.66,;,0.37
94.02,k,0.18
94.21,;j,0.37
94.58,p,0.18
94.76,j,0.37
95.13,k,0.18
95.31,l,0.18
95.50,p,0.18
95.68,;h,0.37
96.05,h,0.18
96.23,m,0.37
96.60,,,0.18
96.78,.,0.37
97.15,ko,0.18
97.34,;,0.18
97.52,y,0.18
97.70,k,0.18
97.89,;h,0.37
98.26,k,0.18
98.44,;,0.18
98.62,p,0.18
98.81,k,0.18
98.99,;j,0.37
99.36,kp,0.18
99.54,;,0.37
99.91,k,0.18
100.10,;i,0.37
100.46,kp,0.18
100.65,;,0.18
100.83,j,0.18
101.02,k,0.18
101.20,;,0.37
101.57,/hi,0.37
101.94,y,0.18
102.12,.i,0.37
102.49,m,0.18
102.67,;h,0.18
102.86,l,0.18
103.04,ko,0.18
103.22,;,0.18
103.41,y,0.18
103.59,k,0.18
103.78,;h,0.37
104.14,k,0.18
104.33,;,0.18
104.51,p,0.18
104.70,k,0.18
104.88,;j,0.37
105.25,kp,0.18
105.43,;,0.37
105.80,k,0.18
105.98,;j,0.37
106.35,p,0.18
106.54,j,0.37
106.90,k,0.18
107.09,l,0.18
107.27,;,0.18
107.46,,h,0.55
108.01,k,0.18
108.19,j,0.74
108.93,hiy,0.50
