# 一天一天
# Converted from SkyStudio format
# BPM: 520
# Total chords: 533

Time,Keys,Duration
0.69,F#3,0.23
0.92,C4,0.23
1.15,A#3,0.23
1.38,G#3,0.23
1.61,F#3,0.23
1.84,C3,0.23
2.07,D3,0.23
2.30,E3,0.23
2.53,F#3,0.23
2.76,C4,0.23
2.99,A#3,0.23
3.22,G#3,0.23
3.45,F3,0.23
3.68,C#3,0.23
3.91,D#3,0.23
4.14,F3,0.46
4.60,C4,0.23
4.83,A#3,0.23
5.06,G#3,0.23
5.29,E3,0.23
5.52,A2,0.23
5.75,B2,0.23
5.98,D3,0.23
6.21,B2,0.23
6.44,D#3,0.23
6.67,B2,0.23
6.90,E3,0.46
7.36,D3,0.23
7.59,B2,0.23
7.82,D#3,0.23
8.05,F#3,0.23
8.28,C4,0.23
8.51,A#3,0.23
8.74,G#3,0.23
8.97,F#3,0.23
9.20,C3,0.23
9.43,D3,0.23
9.66,E3,0.23
9.89,F#3,0.23
10.12,C4,0.23
10.35,A#3,0.23
10.58,G#3,0.23
10.81,F3,0.23
11.04,C#3,0.23
11.27,D#3,0.23
11.50,F3,0.46
11.96,C4,0.23
12.19,A#3,0.23
12.42,G#3,0.23
12.65,E3,0.23
12.88,D3,0.23
13.11,B2,0.23
13.34,D#3,0.23
13.57,B2,0.23
13.80,E3,0.92
14.72,D3,0.23
14.95,B2,0.23
15.18,D#3,0.23
15.41,F#3,0.23
15.64,C4,0.23
15.87,A#3,0.23
16.10,G#3,0.23
16.33,F#3,0.23
16.56,C3,0.23
16.79,A2,0.23
17.02,B2,0.23
17.25,A2F#3,0.23
17.48,C3C4,0.23
17.71,A#3,0.23
17.94,G#3,0.23
18.17,F3,0.23
18.40,C#3,0.23
18.63,A#2,0.23
18.86,C#3,0.23
19.09,A#2,0.23
19.32,C4D3,0.23
19.55,A#3,0.23
19.78,G#3,0.23
20.01,E3,0.23
20.24,D3,0.23
20.47,B2,0.23
20.70,D#3,0.23
20.93,B2,0.23
21.16,E3,0.46
21.62,F3,0.46
22.08,D3,0.23
22.31,B2,0.23
22.54,D#3,0.23
22.77,F#3,0.23
23.00,C4,0.23
23.23,A#3,0.23
23.46,G#3,0.23
23.69,F#3,0.23
23.92,C3,0.23
24.15,A2,0.23
24.38,B2,0.23
24.61,A2F#3,0.23
24.84,C3C4,0.23
25.07,A#3,0.23
25.30,G#3,0.23
25.53,F3,0.23
25.76,C#3,0.23
25.99,A#2,0.23
26.22,C#3,0.23
26.45,A#2,0.23
26.68,C4D3,0.23
26.91,A#3,0.23
27.14,G#3,0.23
27.37,E3,0.23
27.60,D3,0.23
27.83,B2,0.23
28.06,D#3,0.23
28.29,B2,0.23
28.52,E3,0.92
29.44,D3,0.23
29.67,B2,0.23
29.90,D#3,0.23
30.13,E3,0.23
30.36,C4,0.23
30.59,A#3,0.23
30.82,G#3,0.23
31.05,F#3,0.23
31.28,C3,0.23
31.51,A2,0.23
31.74,C3,0.23
31.97,A2B2,0.23
32.20,C#3E3,0.23
32.43,D#3,0.23
32.66,D3E3,0.23
32.89,D#3F3,0.23
33.12,C#3,0.23
33.35,A#2,0.23
33.58,D3,0.23
33.81,A#2,0.23
34.04,C4D#3,0.23
34.27,A#2,0.23
34.50,A#3C#3G#3,0.23
34.73,A3C4,0.23
34.96,A2,0.23
35.19,B2,0.23
35.42,D3,0.23
35.65,B2,0.23
35.88,D#3,0.23
36.11,B2,0.23
36.34,D3,0.23
36.57,B2,0.23
36.80,A2,0.23
37.03,B2,0.23
37.26,D#3,0.23
37.49,B2F#3,0.23
37.72,C4D3,0.23
37.95,A#3B2,0.23
38.18,G#3,0.23
38.41,F#3,0.23
38.64,C3,0.23
38.87,A2,0.23
39.10,C3,0.23
39.33,A2B2,0.23
39.56,C#3E3,0.23
39.79,D#3,0.23
40.02,D3E3,0.23
40.25,D#3F3,0.23
40.48,C#3,0.23
40.71,A#2,0.23
40.94,D3,0.23
41.17,E3,0.23
41.40,C#3C4,0.23
41.63,A#2,0.23
41.86,A#3C#3G#3,0.23
42.09,A3C4,0.23
42.32,D3,0.23
42.55,B2,0.23
42.78,D#3,0.23
43.01,B2,0.23
43.24,E3,0.23
43.47,B2,0.23
43.70,F3,0.23
43.93,B2,0.23
44.16,A2,0.23
44.39,B2,0.23
44.62,D3,0.23
44.85,D#3F#3,0.23
45.08,C4E3,0.23
45.31,A#3,0.23
45.54,G#3,0.23
45.77,F#3,0.23
46.00,C3,0.23
46.23,A2,0.23
46.46,B2,0.23
46.69,A2F#3,0.23
46.92,C3C4,0.23
47.15,A#3,0.23
47.38,G#3,0.23
47.61,F3,0.23
47.84,C#3,0.23
48.07,A#2,0.23
48.30,C#3,0.23
48.53,A#2,0.23
48.76,C4D3,0.23
48.99,A#3,0.23
49.22,G#3,0.23
49.45,E3,0.23
49.68,D3,0.23
49.91,B2,0.23
50.14,D#3,0.23
50.37,B2,0.23
50.60,E3,0.92
51.52,D3,0.23
51.75,B2,0.23
51.98,D#3,0.23
52.21,E3F#3,0.23
52.44,C4,0.23
52.67,A#3,0.23
52.90,G#3,0.23
53.13,F#3,0.23
53.36,C3,0.23
53.59,A2,0.23
53.82,C3,0.23
54.05,A2B2,0.23
54.28,C#3E3,0.23
54.51,D#3,0.23
54.74,D3E3,0.23
54.97,D#3F3,0.23
55.20,C#3,0.23
55.43,A#2,0.23
55.66,D3,0.23
55.89,E3,0.23
56.12,C#3C4,0.23
56.35,A#2,0.23
56.58,A#3C#3G#3,0.23
56.81,A3C4,0.23
57.04,A2,0.23
57.27,B2,0.23
57.50,D3,0.23
57.73,B2,0.23
57.96,D#3,0.92
58.88,A2,0.23
59.11,B2,0.23
59.34,D3,0.23
59.57,B2,0.23
59.80,D#3,0.23
60.03,B2,0.23
60.26,E3,0.46
60.72,C3E3F#3,0.23
60.95,E3,0.23
61.18,F#3,0.46
61.64,D#3F3,0.23
61.87,C#3,0.23
62.10,D#3,0.23
62.33,E3,0.23
62.56,D3,0.23
62.79,F#3,0.23
63.02,G#3,0.23
63.25,A3,0.69
63.94,D3,0.12
64.06,D#3,0.12
64.17,E3,0.12
64.28,F3,0.12
64.40,C3E3F#3,0.23
64.63,A2,0.23
64.86,B2,0.23
65.09,F#3,0.23
65.32,D#3F3,0.23
65.55,A#2,0.23
65.78,G#3,0.23
66.01,E3,0.23
66.24,D3,0.23
66.47,B2,0.23
66.70,D#3,0.23
66.93,C#3,0.46
67.39,C#3,0.23
67.62,D3,0.23
67.85,E3,0.23
68.08,C3E3F#3,0.23
68.31,E3,0.23
68.54,F#3,0.23
68.77,F#3,0.23
69.00,D#3F3,0.23
69.23,C#3,0.23
69.46,D#3,0.23
69.69,E3,0.23
69.92,D3,0.23
70.15,F#3,0.23
70.38,A#3,0.23
70.61,G#3,0.46
71.07,B2,0.23
71.30,D3,0.12
71.42,D#3,0.12
71.53,E3,0.12
71.64,F3,0.12
71.76,C3E3F#3,0.23
71.99,A2,0.23
72.22,B2,0.23
72.45,F#3,0.23
72.68,D#3F3,0.23
72.91,A#2,0.23
73.14,G#3,0.23
73.37,E3,0.23
73.60,D3,0.23
73.83,F3,0.23
74.06,A#3,0.92
74.98,D3,0.23
75.21,D#3,0.23
75.44,C3D3E3,0.23
75.67,A2,0.23
75.90,C#3,0.23
76.13,D3E3,0.23
76.36,C#3D#3F3,0.23
76.59,A#2E3,0.23
76.82,C#3D#3,0.23
77.05,E3,0.23
77.28,D3,0.23
77.51,B2,0.23
77.74,D#3,0.23
77.97,B2,0.23
78.20,E3,0.23
78.43,B2,0.23
78.66,A3E3,0.23
78.89,A#3,0.23
79.12,A3C3C4,0.23
79.35,E3,0.23
79.58,F#3,0.23
79.81,C4E3,0.23
80.04,A#3C#3G#3,0.23
80.27,C4D#3,0.23
80.50,A#3F3,0.23
80.73,A#3D#3,0.23
80.96,D3,0.23
81.19,A3B2,0.23
81.42,D#3,0.23
81.65,B2,0.23
81.88,F3,0.23
82.11,E3,0.23
82.34,D3,0.23
82.57,D#3,0.23
82.80,C3D3E3,0.23
83.03,A2,0.23
83.26,B2,0.23
83.49,E3,0.23
83.72,C#3D#3F3,0.23
83.95,A#2E3,0.23
84.18,D#3,0.23
84.41,E3,0.23
84.64,D3,0.23
84.87,B2F#3,0.46
85.33,B2D3,0.46
85.79,B2,0.23
86.02,A2D3,0.23
86.25,D#3,0.23
86.48,C3D3E3,0.23
86.71,A2,0.23
86.94,B2E3,0.23
87.17,A2,0.23
87.40,C#3D#3F3,0.23
87.63,A#2E3,0.23
87.86,C#3D#3,0.23
88.09,D#3,0.23
88.32,A2,0.23
88.55,B2D3,0.23
88.78,D#3,0.46
89.24,E3,0.23
89.47,B2,0.23
89.70,A3E3,0.23
89.93,A#3,0.23
90.16,A3C3C4,0.23
90.39,E3,0.23
90.62,F#3,0.23
90.85,C4E3,0.23
91.08,A#3C#3G#3,0.23
91.31,F3,0.23
91.54,G#3,0.23
91.77,A3,0.23
92.00,D3,0.23
92.23,B2,0.23
92.46,D#3,0.23
92.69,B2,0.23
92.92,E3,0.23
93.15,B2,0.23
93.38,D3,0.23
93.61,D#3,0.23
93.84,C3D3E3,0.23
94.07,A2,0.23
94.30,B2E3,0.23
94.53,A2,0.23
94.76,C#3D#3F3,0.23
94.99,A#2,0.23
95.22,C#3D#3,0.23
95.45,C#3D#3,0.23
95.68,D3,0.23
95.91,B2D3E3,0.46
96.37,B2,0.23
96.60,E3,0.23
96.83,B2,0.23
97.06,D3,0.12
97.17,D#3,0.12
97.29,E3,0.12
97.41,F3,0.12
97.52,C3F#3,0.23
97.75,A2,0.23
97.98,B2,0.23
98.21,F#3,0.23
98.44,C#3F3,0.23
98.67,A#2,0.23
98.90,C#3D#3,0.23
99.13,D#3,0.23
99.36,D3,0.23
99.59,B2E3,0.46
100.05,B2,0.23
100.28,D3E3,0.23
100.51,B2F#3,0.23
100.74,A3,0.23
100.97,A#3,0.23
101.20,A3C3C4,0.23
101.43,A2,0.23
101.66,B2,0.23
101.89,C4,0.23
102.12,A#3C#3,0.23
102.35,A3D#3,0.23
102.58,F3G#3,0.23
102.81,C4G#3,0.23
103.04,D3,0.23
103.27,A3B2,0.23
103.50,D#3,0.23
103.73,F#3F3G#3,0.46
104.19,A3F#3,2.53
106.72,C3E3F#3,0.23
106.95,D3,0.23
107.18,E3,0.23
107.41,F#3,0.23
107.64,C4,0.23
107.87,A#3,0.23
108.10,G#3,0.23
108.33,F3,0.23
108.56,C#3,0.23
108.79,D#3,0.23
109.02,F3,0.23
109.25,F#3,0.23
109.48,C4,0.23
109.71,A#3,0.23
109.94,G#3,0.23
110.17,E3,0.23
110.40,D3,0.23
110.63,B2,0.23
110.86,D#3,0.23
111.09,B2,0.23
111.32,E3,0.92
112.24,D3,0.23
112.47,B2,0.23
112.70,D#3,0.23
112.93,F#3,0.23
113.16,C4,0.23
113.39,A#3,0.23
113.62,G#3,0.23
113.85,F#3,0.23
114.08,C3,0.23
114.31,D3,0.23
114.54,E3,0.23
114.77,F#3,0.23
115.00,C4,0.23
115.23,A#3,0.23
