# 一生所爱版本1
# Converted from SkyStudio format
# BPM: 272
# Total chords: 556

Time,Keys,Duration
0.00,D3F#3,0.44
0.44,B2,0.44
0.88,D3,0.44
1.32,D#3,0.44
1.76,E3,0.88
2.64,F#3,0.44
3.08,G3,0.44
3.52,A#2F3,0.44
3.96,D3,0.44
4.40,A#2,0.44
4.84,B2,0.44
5.28,C3,0.88
6.16,D#3,0.44
6.60,E3,0.44
7.04,C#3D#3,0.44
7.48,A#2,0.44
7.92,C#3,0.44
8.36,D3,0.44
8.80,D#3,0.88
9.68,E3,0.44
10.12,F3,0.44
10.56,A2F#3,0.44
11.00,C#3,0.44
11.44,A2,0.44
11.88,A#2,0.44
12.32,B2,0.88
13.20,F#3,0.88
14.08,A3D3,0.44
14.52,B2,0.44
14.96,D3,0.44
15.40,D#3,0.44
15.84,E3,0.88
16.72,F#3,0.44
17.16,A3,0.44
17.60,A#2F3,0.44
18.04,D3,0.44
18.48,A#2,0.44
18.92,B2,0.44
19.36,C3,0.88
20.24,D#3,0.44
20.68,E3,0.44
21.12,C#3D#3,0.44
21.56,A#2,0.44
22.00,C#3,0.44
22.44,D3E3,0.44
22.88,D#3,0.88
23.76,D3,0.44
24.20,C#3,0.44
24.64,D3,0.44
25.08,B2,0.44
25.52,D3,0.44
25.96,D#3,0.44
26.40,E3,0.44
26.84,F#3,0.44
27.28,E3,0.44
27.72,D#3,0.44
28.16,D3,0.44
28.60,B2,0.44
29.04,D3,0.44
29.48,D#3,0.44
29.92,E3,0.44
30.36,F#3,0.44
30.80,E3,0.44
31.24,D#3,0.44
31.68,D3,0.44
32.12,B2D3,0.44
32.56,D#3D3,0.44
33.00,D#3,0.22
33.22,E3,0.66
33.88,E3,0.44
34.32,A2F3,0.44
34.76,F#3,0.44
35.20,D3,0.44
35.64,B2,0.44
36.08,D3,0.44
36.52,D#3,0.44
36.96,E3,1.76
38.72,C3D3,0.44
39.16,A2D3,0.44
39.60,C3D#3,0.44
40.04,D#3D3,0.22
40.26,E3,0.22
40.48,A2,0.44
40.92,E3,0.44
