# 一花一剑（和弦版）
# Converted from SkyStudio format
# BPM: 340
# Total chords: 567

Time,Keys,Duration
0.00,C4D3E3,0.70
0.70,A#3,0.70
1.41,A3,0.70
2.11,G#3,0.70
2.82,C#3D#3F#3,0.70
3.52,G#3,0.70
4.22,A3,0.70
4.93,A#3,0.70
5.63,C3C4D3,0.70
6.34,A#3,0.70
7.04,A3,0.70
7.74,G#3,0.70
8.45,B2C#3D#3F#3,0.70
9.15,F3,0.70
9.86,A2E3,0.18
10.03,A#2F3,0.18
10.21,B2E3,0.18
10.38,C#3D#3,0.18
10.56,D3,0.18
10.74,B2,0.18
10.91,A#2,0.18
11.09,A2,0.18
11.26,B2D3F#3,0.35
11.62,A2,0.18
11.79,A#2,0.18
11.97,B2,0.18
12.14,C#3,0.18
12.32,B2D3E3F#3,0.18
12.50,D#3,0.18
12.67,A2E3,0.35
13.02,A2C#3D#3E3,0.35
13.38,B2C#3D#3,0.35
13.73,A2C#3E3,0.35
14.08,B2D3F#3,0.35
14.43,A2,0.18
14.61,A#2,0.18
14.78,B2,0.18
14.96,C#3,0.18
15.14,B2D3G#3,0.18
15.31,D#3,0.18
15.49,E3,0.18
15.66,F3,0.18
15.84,F#3,0.18
16.02,G#3,0.18
16.19,D3F#3,0.18
16.37,B2,0.18
16.54,F3,0.18
16.72,D#3,0.18
16.90,B2D3,0.35
17.25,A2,0.18
17.42,A#2,0.18
17.60,B2,0.18
17.78,D3,0.18
17.95,A3D#3F#3,0.18
18.13,E3,0.18
18.30,C3F3,0.18
18.48,C#3,0.18
18.66,A#2C#3D#3E3F#3,0.18
18.83,B2,0.18
19.01,A#2C#3C3D3F3,0.35
19.36,B2C#3D#3F#3,0.35
19.71,A#2A#3D#3F3G#3,0.18
19.89,D3,0.18
20.06,E3,0.18
20.24,F3,0.18
20.42,D3F#3,0.35
20.77,F3,0.18
20.94,D3E3,0.18
21.12,D#3,1.41
22.53,A3D3E3F#3,0.18
22.70,F#3,0.18
22.88,G#3,0.18
23.06,C4,0.35
23.41,A#3,0.53
23.94,C#3,0.18
24.11,F3,0.18
24.29,G#3,0.18
24.46,C4,0.35
24.82,A#3,0.53
25.34,A3D3E3F#3,0.18
25.52,E3,0.18
25.70,G#3,0.18
25.87,C4,0.35
26.22,A#3,0.53
26.75,A3D#3D3E3F#3,0.35
27.10,B2C#3D#3F#3,0.35
27.46,A2,0.35
27.81,A#2C#3D#3F3,0.35
28.16,B2D3E3F#3,0.18
28.34,B2,0.18
28.51,C#3,0.18
28.69,E3,0.35
29.04,D#3,0.53
29.57,C#3,0.18
29.74,A#2,0.18
29.92,C#3,0.18
30.10,E3,0.35
30.45,D#3,0.53
30.98,B2D3E3F#3,0.18
31.15,B2,0.18
31.33,C#3,0.18
31.50,E3,0.35
31.86,D#3,0.53
32.38,B2C#3,0.70
33.09,A2,0.35
33.44,A#2,0.35
33.79,B2D3,0.18
33.97,B2,0.18
34.14,C#3,0.18
34.32,A2,0.18
34.50,D3,0.35
34.85,E3,0.18
35.02,D#3,0.35
35.38,A#2,0.18
35.55,C#3,0.18
35.73,A2,0.18
35.90,B2,0.35
36.26,C#3,0.35
36.61,C#3,0.18
36.78,B2,0.18
36.96,C#3D3,0.18
37.14,A2D3,1.06
38.19,B2,0.18
38.37,C#3,0.18
38.54,F3,0.35
38.90,D#3,0.53
39.42,D3,0.18
39.60,B2,0.18
39.78,C#3,0.18
39.95,A2,0.18
40.13,D3,0.35
40.48,E3,0.18
40.66,D#3,0.35
41.01,A#2,0.18
41.18,C#3,0.18
41.36,A2,0.18
41.54,B2,0.35
41.89,C#3,0.35
42.24,A2F3,0.18
42.42,B2,0.18
42.59,C#3F#3,0.18
42.77,G#3,0.18
42.94,F#3,0.18
43.12,B2,0.53
43.65,A2,0.18
43.82,B2,0.18
44.00,C#3,0.18
44.18,G#3,0.35
44.53,B2,0.53
45.06,F3,0.18
45.23,B2,0.18
45.41,C#3E3,0.18
45.58,A2,0.18
45.76,F3,0.18
45.94,D#3,0.18
46.11,F#3,0.18
46.29,F3,0.35
46.64,A#2,0.18
46.82,C#3E3,0.18
46.99,A2,0.18
47.17,D#3D3,0.35
47.52,E3,0.35
47.87,F3,0.18
48.05,B2,0.18
48.22,C#3,0.18
48.40,A2E3,0.35
48.75,A#2,0.18
48.93,C#3,0.53
49.46,B2,0.18
49.63,C#3,0.18
49.81,A2,0.53
50.34,B2,0.18
50.51,C#3,0.18
50.69,A#2D3,0.53
51.22,A2,0.35
51.57,C3F#3,0.35
51.92,D#3,0.18
52.10,C#3F3,0.70
52.80,E3,0.35
53.15,D#3,0.35
53.50,A#2B2C#3D#3,0.53
54.03,B2D3,0.35
54.38,A#2,0.53
54.91,A2,1.41
56.32,D3,0.18
56.50,B2,0.18
56.67,C#3,0.18
56.85,A2,0.18
57.02,D3,0.35
57.38,E3,0.18
57.55,D#3,0.35
57.90,A#2,0.18
58.08,C#3,0.18
58.26,A2,0.18
58.43,B2,0.35
58.78,C#3,0.35
59.14,C#3,0.18
59.31,B2,0.18
59.49,C#3D3,0.18
59.66,A2D3,1.58
61.25,A2,0.35
61.60,A#2,0.35
61.95,D3,0.18
62.13,B2,0.18
62.30,C#3,0.18
62.48,A2,0.18
62.66,D3,0.35
63.01,E3,0.18
63.18,D#3,0.35
63.54,A#2,0.18
63.71,C#3,0.18
63.89,A2,0.18
64.06,B2,0.35
64.42,C#3,0.35
64.77,A2F3,0.18
64.94,B2,0.18
65.12,C#3F#3,0.18
65.30,C#3F#3,0.35
65.65,B2,0.53
66.18,A2,0.18
66.35,B2,0.18
