# 七友
# Converted from SkyStudio format
# BPM: 400
# Total chords: 376

Time,Keys,Duration
1.20,A#2,0.30
1.50,C#3,0.30
1.80,A2C#3F3,0.15
1.95,E3,0.15
2.10,F3,0.15
2.25,E3,0.15
2.40,C#3,0.30
2.70,F3,0.15
2.85,E3,0.15
3.00,F3,0.15
3.15,E3,0.15
3.30,C#3,0.30
3.60,A#2D3F3,0.15
3.75,E3,0.15
3.90,F3,0.15
4.05,E3,0.15
4.20,F3,0.15
4.35,E3,0.15
4.50,D3F3,0.15
4.65,E3,0.15
4.80,A#2F3,0.15
4.95,E3,0.15
5.10,C#3,0.30
5.40,A2C3F#3,0.15
5.55,F3,0.15
5.70,F#3,0.15
5.85,F3,0.15
6.00,D3,0.30
6.30,A#2C#3F#3,0.15
6.45,F3,0.15
6.60,F#3,0.15
6.75,F3,0.15
6.90,D3,0.30
7.20,B2D3F#3,0.90
8.10,A#3B2G#3,0.30
8.40,C#3,0.30
8.70,E3,0.30
9.00,A2C#3F3,0.15
9.15,E3,0.15
9.30,F3,0.15
9.45,E3,0.15
9.60,C#3,0.30
9.90,C#3F3,0.15
10.05,E3,0.15
10.20,F3,0.15
10.35,E3,0.15
10.50,C#3,0.30
10.80,A#2C#3F3,0.15
10.95,E3,0.15
11.10,F3,0.15
11.25,E3,0.15
11.40,F3,0.15
11.55,E3,0.15
11.70,C#3F3,0.15
11.85,E3,0.15
12.00,A#2F3,0.15
12.15,E3,0.15
12.30,C#3G#3,0.30
12.60,A2C3F#3,0.15
12.75,F3,0.15
12.90,F#3,0.15
13.05,F3,0.15
13.20,D3,0.30
13.50,A#2C#3F#3,0.15
13.65,F3,0.15
13.80,F#3,0.15
13.95,F3,0.15
14.10,A3D3,0.30
14.40,B2D3F#3,0.60
15.00,B2D3,0.30
15.30,B2,0.30
15.60,C3,0.30
15.90,B2C#3G#3,0.30
16.20,E3,0.30
16.50,F#3,0.30
16.80,C#3G#3,0.30
17.10,B2,0.30
17.40,C#3,0.30
17.70,A2E3,0.30
18.00,E3,0.30
18.30,A2F#3,0.30
18.60,A2A3,0.30
18.90,A#2,0.30
19.20,B2,0.30
19.50,A2C#3C3,0.30
19.80,E3,0.30
20.10,C#3G3,0.30
20.40,C3E3,0.60
21.00,A2,0.30
21.30,A#2A#3C#3,0.30
21.60,D#3,0.30
21.90,F3,0.30
22.20,D#3F3,0.30
22.50,D#3,0.30
22.80,F3,0.30
23.10,C#3F3,0.30
23.40,D#3,0.30
23.70,F3,0.30
24.00,A#2C#3G#3,0.90
24.90,A3F#3,0.90
25.80,B2,0.30
26.10,C3,0.30
26.40,C#3E3,0.30
26.70,G#3,0.30
27.00,C4,0.30
27.30,C#3,0.30
27.60,B2C4,0.30
27.90,C3G#3,0.30
28.20,C#3D#3,0.30
28.50,C#3G#3,0.30
28.80,A#3C#3,0.30
29.10,A#2C#3,0.30
29.40,D#3F3,0.30
29.70,A#3D#3,0.30
30.00,D3F3,0.30
30.30,F#3,0.30
30.60,A3,0.30
30.90,C4,0.30
31.20,A3B2,0.30
31.50,C3F#3,0.30
31.80,C#3G#3,0.30
32.10,C#3F#3,0.30
32.40,C#3G#3,0.30
32.70,C#3C4,0.30
33.00,D3G#3,0.30
33.30,C#3F#3,0.30
33.60,A2G3,0.30
33.90,E3,0.30
34.20,G3,0.30
34.50,A3,0.30
34.80,A2G3,0.30
35.10,A#2E3,0.30
35.40,B2F#3,0.30
35.70,B2E3,0.30
36.00,B2F#3,0.30
36.30,B2G#3,0.30
36.60,C3F#3,0.30
36.90,A2E3,0.30
37.20,A#2F3,0.30
37.50,D#3,0.30
37.80,F3,0.30
38.10,A#2G3,0.30
38.40,B2F3,0.30
38.70,C3D#3,0.30
39.00,C#3F3G#3,0.90
39.90,A#3F3,0.30
40.20,B2,0.30
40.50,C3,0.30
40.80,C#3E3,0.30
41.10,G#3,0.30
41.40,C4,0.30
41.70,F#3,0.30
42.00,B2C4,0.30
42.30,C3G#3,0.30
42.60,C#3D#3,0.30
42.90,C#3G#3,0.30
43.20,A#3C#3,0.30
43.50,C#3F3,0.30
43.80,A#3F3,0.30
44.10,D#3G#3,0.30
44.40,A3E3,0.30
44.70,F#3,0.30
45.00,D3,0.30
45.30,A2,0.30
45.60,D3E3,0.30
45.90,B2F3,0.30
46.20,C#3F#3,0.30
46.50,B2F#3,0.30
46.80,C#3F#3,0.30
47.10,A2F#3,0.30
47.40,C#3G3,0.30
47.70,B2F#3,0.30
48.00,C3E3,0.30
48.30,A2,0.30
48.60,C#3,0.30
48.90,D3E3,0.30
49.20,C3D#3,0.30
