# 三叶的主题曲
# Converted from SkyStudio format
# BPM: 248
# Total chords: 440

Time,Keys,Duration
3.37,k,0.24
3.62,l,0.24
3.86,;o,0.48
4.34,m,0.48
4.82,np,0.48
5.30,;,0.48
5.78,il,0.48
6.27,k,0.48
6.75,;o,3.37
10.12,p,0.24
10.36,h,0.24
10.60,hko,0.48
11.09,l,0.48
11.57,;p,0.48
12.05,j,0.48
12.53,ik,0.48
13.01,p,0.48
13.50,ho,3.37
16.87,k,0.24
17.11,l,0.24
17.35,;o,0.48
17.83,m,0.48
18.32,np,0.48
18.80,;,0.48
19.28,il,0.48
19.76,k,0.48
20.24,;o,3.37
23.62,p,0.24
23.86,h,0.24
24.10,hko,0.48
24.58,l,0.48
25.06,;p,0.48
25.55,j,0.48
26.03,ik,0.48
26.51,p,0.48
26.99,ho,3.86
30.85,hk,0.24
31.09,m,0.24
31.33,k,0.24
31.57,m,0.24
31.81,k,1.45
33.26,k,0.24
33.50,m,0.24
33.74,k,0.24
33.98,m,0.24
34.22,k,0.48
34.70,hko,0.24
34.95,m,0.24
35.19,k,0.24
35.43,m,0.24
35.67,k,1.45
37.11,k,0.24
37.35,l,0.24
37.60,k,0.24
37.84,;,0.24
38.08,k,0.48
38.56,hko,0.24
38.80,m,0.24
39.04,k,0.24
39.28,m,0.24
39.52,k,1.45
40.97,k,0.24
41.21,m,0.24
41.45,k,0.24
41.69,m,0.24
41.93,k,0.48
42.42,hk,0.24
42.66,m,0.24
42.90,k,0.24
43.14,m,0.24
43.38,k,0.96
44.34,p,0.24
44.59,/,0.24
44.83,.,0.24
45.07,m,0.24
45.31,,,0.24
45.55,;,0.24
45.79,m,0.24
46.03,j,0.24
46.27,hko,0.24
46.51,m,0.24
46.75,k,0.24
46.99,m,0.24
47.24,k,1.45
48.68,k,0.24
48.92,m,0.24
49.16,k,0.24
49.41,m,0.24
49.65,k,0.48
50.13,hk,0.24
50.37,m,0.24
50.61,k,0.24
50.85,m,0.24
51.09,k,0.96
52.06,p,0.48
52.54,k,0.24
52.78,l,0.24
53.02,k,0.24
53.26,;,0.24
53.50,k,0.48
53.98,hko,0.24
54.23,l,0.24
54.47,k,0.24
54.71,;,0.24
54.95,k,1.45
56.39,k,0.24
56.63,l,0.24
56.88,k,0.24
57.12,;,0.24
57.36,k,0.48
57.84,hko,0.24
58.08,l,0.24
58.32,k,0.24
58.56,;,0.24
58.80,k,2.89
61.70,my,0.48
62.18,p,0.48
62.66,k,0.48
63.14,p,0.48
63.62,l,0.48
64.11,p,0.48
64.59,k,0.48
65.07,p,0.48
65.55,him,0.48
66.03,h,0.48
66.52,k,0.48
67.00,h,0.48
67.48,l,0.48
67.96,h,0.48
68.44,n,0.24
68.69,;,0.24
68.93,l,0.24
69.17,k,0.24
69.41,hko,0.48
69.89,o,0.48
70.37,p,0.48
70.85,o,0.48
71.34,k,0.48
71.82,o,0.48
72.30,p,0.48
72.78,o,0.48
73.26,y,0.48
73.75,p,0.48
74.23,k,0.48
74.71,p,0.48
75.19,jlu,0.48
75.67,p,0.48
76.16,k,0.48
76.64,p,0.48
77.12,my,0.48
77.60,p,0.48
78.08,k,0.48
78.57,p,0.48
79.05,l,0.48
79.53,p,0.48
80.01,k,0.48
80.49,p,0.48
80.98,him,0.48
81.46,h,0.48
81.94,k,0.48
82.42,h,0.48
82.90,l,0.48
83.39,h,0.48
83.87,n,0.24
84.11,;,0.24
84.35,l,0.24
84.59,k,0.24
84.83,hko,0.48
85.31,o,0.48
85.80,p,0.48
86.28,o,0.48
86.76,k,0.48
87.24,o,0.48
87.72,p,0.48
88.21,o,0.48
88.69,y,0.48
89.17,p,0.48
89.65,k,0.48
90.13,p,0.48
90.62,jlu,0.48
91.10,p,0.48
91.58,k,0.48
92.06,p,3.86
95.92,k,0.24
96.16,l,0.24
96.40,;o,0.48
96.88,m,0.48
97.36,np,0.48
97.85,;,0.48
98.33,il,0.48
98.81,k,0.48
99.29,;o,3.37
102.67,p,0.24
102.91,h,0.24
103.15,ko,0.48
103.63,l,0.48
104.11,;p,0.48
104.59,j,0.48
105.08,ik,0.48
105.56,p,0.48
106.04,ho,3.37
109.41,k,0.24
109.66,l,0.24
109.90,;o,0.48
110.38,m,0.48
110.86,np,0.48
111.34,;,0.48
111.82,il,0.24
112.06,k,0.24
112.31,j,0.24
112.55,ho,2.65
115.20,p,0.24
115.44,j,0.24
115.68,lo,0.24
115.92,k,0.24
116.16,l,0.24
116.40,;p,0.24
116.64,l,0.24
116.89,;,0.24
117.13,in,0.24
117.37,;,0.24
117.61,n,0.24
117.85,mo,0.48
118.33,n,0.48
118.81,;ip,0.72
119.54,;ip,1.93
121.46,lu,0.96
122.43,j,0.96
123.39,hko,0.24
123.63,m,0.24
123.87,k,0.24
124.11,m,0.24
124.36,k,1.45
125.80,k,0.24
126.04,m,0.24
126.28,k,0.24
126.53,m,0.24
126.77,k,0.48
127.25,hk,0.24
127.49,m,0.24
127.73,k,0.24
127.97,m,0.24
128.21,k,0.96
129.18,p,0.48
129.66,k,0.24
129.90,l,0.24
130.14,k,0.24
130.38,;,0.24
130.62,k,0.48
131.10,ko,0.24
131.34,m,0.24
131.59,k,0.24
131.83,m,0.24
132.07,k,1.45
133.51,k,0.24
133.75,m,0.24
134.00,k,0.24
134.24,m,0.24
134.48,k,0.48
134.96,hk,0.24
135.20,m,0.24
135.44,k,0.24
135.68,m,0.24
135.92,k,0.96
136.89,p,0.24
137.13,/,0.24
137.37,.,0.24
137.61,m,0.24
137.85,,,0.24
138.09,;,0.24
138.33,m,0.24
138.57,j,0.24
138.82,hko,0.24
139.06,l,0.24
139.30,k,0.24
139.54,;,0.24
139.78,k,1.45
141.23,k,0.24
141.47,l,0.24
141.71,k,0.24
141.95,;,0.24
142.19,k,0.48
142.67,hko,0.24
142.91,l,0.24
143.15,k,0.24
143.40,;,0.24
143.64,k,2.89
146.53,hko,0.24
146.77,m,0.24
147.01,k,0.24
147.25,;,0.24
147.49,k,2.89
150.38,k,0.24
150.62,l,0.24
150.87,;,0.24
151.11,m,0.24
151.35,,o,0.48
151.83,;,0.48
152.31,mp,0.48
152.79,l,0.48
153.28,;hk,0.48
153.76,k,0.48
154.24,ly,0.24
154.48,m,0.24
154.72,;,3.37
158.10,op,0.48
158.58,k,0.48
159.06,jp,0.48
159.54,l,0.48
160.02,hk,0.48
160.51,;,0.48
160.99,ly,0.48
161.47,m,2.41
163.88,k,0.24
164.12,l,0.24
164.36,;,0.24
164.60,m,0.24
164.84,,o,0.48
