# 下雨天
# Converted from SkyStudio format
# BPM: 266
# Total chords: 528

Time,Keys,Duration
0.90,i,0.45
1.35,o,0.45
1.80,py,0.45
2.25,p,0.23
2.48,p,0.23
2.70,py,0.45
3.15,p,0.23
3.38,p,0.23
3.60,pu,0.45
4.05,p,0.45
4.50,jpu,0.68
5.17,k,0.23
5.40,ip,0.23
5.62,k,0.68
6.30,ip,0.90
7.20,ip,0.90
8.10,ip,0.45
8.55,;,0.23
8.78,;,0.23
9.00,;oy,0.45
9.45,n,0.23
9.68,k,0.23
9.90,oy,0.68
10.57,h,0.23
10.80,pu,0.45
11.25,p,0.45
11.70,lpu,0.45
12.15,;,0.23
12.38,;,0.23
12.60,ip,0.90
13.50,ip,0.90
14.40,py,0.90
15.30,py,0.23
15.53,;,0.23
15.75,;,0.23
15.97,;,0.23
16.20,;oy,0.45
16.65,n,0.23
16.88,m,0.23
17.10,oy,0.45
17.55,k,0.23
17.77,;,0.23
18.00,pu,0.23
18.23,l,0.68
18.90,pu,0.90
19.80,;ip,0.45
20.25,n,0.23
20.48,m,0.23
20.70,ip,0.45
21.15,p,0.23
21.38,l,0.23
21.60,hi,0.23
21.82,k,0.68
22.50,;hi,0.23
22.73,n,0.45
23.18,m,0.23
23.40,loy,0.23
23.62,k,0.68
24.30,;oy,0.23
24.52,n,0.45
24.98,m,0.23
25.20,lpu,0.23
25.43,k,0.68
26.10,;pu,0.23
26.32,n,0.45
26.77,m,0.23
27.00,lpy,0.68
27.68,k,0.23
27.90,py,0.90
28.80,;,0.90
29.70,l,0.45
30.15,i,0.23
30.38,o,0.23
30.60,ipy,0.45
31.05,py,0.23
31.27,p,0.23
31.50,iy,0.45
31.95,py,0.23
32.17,p,0.23
32.40,iy,0.45
32.85,py,0.45
33.30,ijy,0.45
33.75,y,0.23
33.98,k,0.23
34.20,hi,0.23
34.42,k,0.23
34.65,y,0.45
35.10,hi,0.45
35.55,y,0.45
36.00,hi,0.45
36.45,y,0.45
36.90,hi,0.45
37.35,;y,0.23
37.58,;,0.23
37.80,;ho,0.45
38.25,ny,0.23
38.48,k,0.23
38.70,ho,0.45
39.15,y,0.23
39.38,h,0.23
39.60,pu,0.45
40.05,pu,0.45
40.50,lpu,0.45
40.95,;u,0.23
41.17,;,0.23
41.40,kp,0.45
41.85,i,0.45
42.30,kp,0.45
42.75,i,0.45
43.20,kp,0.45
43.65,i,0.45
44.10,kp,0.23
44.33,;,0.23
44.55,;i,0.23
44.77,;,0.23
45.00,;ho,0.45
45.45,ny,0.23
45.67,m,0.23
45.90,ho,0.45
46.35,ky,0.23
46.58,;,0.23
46.80,jp,0.23
47.02,l,0.23
47.25,u,0.45
47.70,jp,0.45
48.15,u,0.45
48.60,;kp,0.45
49.05,in,0.23
49.27,m,0.23
49.50,kp,0.45
49.95,ip,0.23
50.17,l,0.23
50.40,hi,0.23
50.62,k,0.23
50.85,y,0.45
51.30,;hi,0.23
51.52,n,0.23
51.75,y,0.23
51.98,m,0.23
52.20,hlo,0.23
52.42,k,0.23
52.65,y,0.45
53.10,;ho,0.23
53.33,n,0.23
53.55,y,0.23
53.77,m,0.23
54.00,jlp,0.23
54.23,k,0.23
54.45,u,0.45
54.90,;jp,0.23
55.12,n,0.23
55.35,u,0.23
55.58,m,0.23
55.80,klp,0.45
56.25,i,0.23
56.48,k,0.23
56.70,kp,0.45
57.15,i,0.45
57.60,ikpy,0.45
58.05,ipy,0.45
58.50,m,0.45
58.95,n,0.45
59.40,;ho,0.45
59.85,py,0.45
60.30,hmo,0.45
60.75,ny,0.23
60.98,l,0.23
61.20,jp,0.45
61.65,pu,0.45
62.10,jmp,0.45
62.55,nu,0.45
63.00,klp,0.23
63.23,k,0.23
63.45,il,0.23
63.67,k,0.23
63.90,klp,0.23
64.12,;,0.23
64.35,i,0.23
64.58,;,0.23
64.80,hi,0.45
65.25,py,0.45
65.70,him,0.45
66.15,ny,0.23
66.38,;,0.23
66.60,ho,0.45
67.05,py,0.45
67.50,hmo,0.45
67.95,,y,0.23
68.17,l,0.23
68.40,jp,0.45
68.85,lu,0.45
69.30,jkp,0.23
69.53,l,0.23
69.75,u,0.45
70.20,knp,0.45
70.65,;i,0.23
70.88,k,0.23
71.10,kp,0.23
71.33,l,0.23
71.55,i,0.23
71.78,;,0.23
72.00,hi,0.45
72.45,y,0.45
72.90,him,0.23
73.12,,,0.23
73.35,y,0.23
73.58,,,0.23
73.80,ho,0.23
74.03,m,0.23
74.25,,y,0.23
74.47,m,0.23
74.70,,ho,0.23
74.92,,,0.23
75.15,my,0.23
75.38,/,0.23
75.60,jp,0.23
75.83,,,0.23
76.05,u,0.23
76.28,/,0.23
76.50,jp,0.23
76.72,,,0.23
76.95,u,0.23
77.17,,,0.23
77.40,kmp,0.23
77.62,;,0.23
77.85,im,0.23
78.08,;,0.23
78.30,kmp,0.23
78.53,,,0.23
78.75,i,0.23
78.97,;,0.23
79.20,hi,0.45
79.65,y,0.45
80.10,him,0.45
80.55,ny,0.23
80.78,;,0.23
81.00,ho,0.45
81.45,ny,0.23
81.67,h,0.23
81.90,ho,0.45
82.35,ky,0.23
82.58,;,0.23
82.80,jp,0.23
83.03,l,0.23
83.25,u,0.23
83.47,l,0.23
83.70,jp,0.23
83.92,k,0.23
84.15,u,0.45
84.60,klp,0.45
85.05,i,0.45
85.50,kp,0.23
85.72,k,0.23
85.95,i,0.23
86.17,l,0.23
86.40,;hi,0.45
86.85,y,0.45
87.30,him,0.45
87.75,ny,0.23
87.97,;,0.23
88.20,ho,0.23
88.42,n,0.23
88.65,y,0.23
88.88,h,0.23
89.10,ho,0.23
89.33,k,0.23
89.55,y,0.23
89.78,j,0.23
90.00,jpu,0.90
90.90,jpu,0.90
91.80,jpu,1.35
93.15,i,0.23
93.38,o,0.23
93.60,py,0.45
94.05,ip,0.23
94.28,p,0.23
94.50,ip,0.45
94.95,ip,0.23
95.17,p,0.23
95.40,y,0.45
95.85,ip,0.45
96.30,ijp,0.45
96.75,i,0.23
96.97,kp,0.23
97.20,i,0.23
97.42,k,0.23
97.65,h,0.45
98.10,hk,0.45
98.55,i,0.23
98.78,h,0.23
99.00,i,0.45
99.45,h,0.45
99.90,hk,0.45
100.35,;i,0.23
100.58,;h,0.23
100.80,;y,0.45
101.25,no,0.23
101.47,k,0.23
101.70,ho,0.45
102.15,y,0.23
102.38,ho,0.23
102.60,pu,0.45
103.05,p,0.45
103.50,jlp,0.45
103.95,;u,0.23
104.17,;p,0.23
104.40,i,0.45
104.85,p,0.45
105.30,kp,0.45
105.75,i,0.23
105.97,p,0.23
106.20,i,0.45
