# 不为谁而作的歌
# Converted from SkyStudio format
# BPM: 296
# Total chords: 625

Time,Keys,Duration
0.00,;,0.20
0.20,k,0.20
0.40,j,0.20
0.61,k,0.20
0.81,/;,0.20
1.01,k,0.20
1.21,j,0.20
1.41,k,0.20
1.62,;m,0.20
1.82,k,0.20
2.02,j,0.20
2.22,k,0.20
2.42,;,0.20
2.63,k,0.20
2.83,j,0.20
3.03,k,0.20
3.23,;i,0.20
3.43,k,0.20
3.64,j,0.20
3.84,k,0.20
4.04,/;,0.20
4.24,k,0.20
4.44,j,0.20
4.65,k,0.20
4.85,;m,0.20
5.05,k,0.20
5.25,j,0.20
5.45,k,0.20
5.66,;,0.20
5.86,k,0.20
6.06,j,0.20
6.26,k,0.20
6.46,;h,0.20
6.67,k,0.20
6.87,j,0.20
7.07,k,0.20
7.27,/;,0.20
7.47,k,0.20
7.68,j,0.20
7.88,k,0.20
8.08,;m,0.20
8.28,k,0.20
8.48,j,0.20
8.69,k,0.20
8.89,;,0.40
9.29,m,0.40
9.70,my,0.40
10.10,,y,0.40
10.50,ko,0.40
10.91,h,0.40
11.31,lo,0.81
12.12,n,0.40
12.52,;,0.40
12.93,;y,0.20
13.13,k,0.20
13.33,j,0.20
13.53,k,0.20
13.74,;k,0.20
13.94,k,0.20
14.14,j,0.20
14.34,k,0.20
14.54,;m,0.20
14.75,k,0.20
14.95,j,0.20
15.15,k,0.20
15.35,;,0.20
15.55,k,0.20
15.76,j,0.20
15.96,k,0.20
16.16,;i,0.20
16.36,k,0.20
16.56,j,0.20
16.77,k,0.20
16.97,/;,0.20
17.17,k,0.20
17.37,j,0.20
17.57,k,0.20
17.78,;m,0.20
17.98,k,0.20
18.18,j,0.20
18.38,k,0.20
18.58,;,0.20
18.79,k,0.20
18.99,j,0.20
19.19,k,0.20
19.39,;h,0.20
19.59,k,0.20
19.80,j,0.20
20.00,k,0.20
20.20,;k,0.20
20.40,k,0.20
20.60,j,0.20
20.81,k,0.20
21.01,;m,0.20
21.21,k,0.20
21.41,j,0.20
21.61,k,0.20
21.82,;,0.20
22.02,k,0.20
22.22,jm,0.20
22.42,k,0.20
22.62,my,0.40
23.03,,y,0.40
23.43,ko,0.81
24.24,l,0.81
25.05,k,0.81
25.86,y,0.40
26.26,y,0.40
26.66,py,0.40
27.07,iy,0.40
27.47,py,0.81
28.28,p,0.20
28.48,h,0.40
28.89,j,0.20
29.09,y,0.40
29.49,y,0.40
29.90,il,0.20
30.10,l,0.20
30.30,p,0.40
30.70,jl,0.20
30.91,;,0.61
31.51,;,0.40
31.92,p,0.20
32.12,h,0.20
32.32,y,0.40
32.72,i,0.40
33.13,hk,0.40
33.53,hi,0.20
33.73,k,0.20
33.94,y,0.61
34.54,h,0.20
34.74,ik,0.40
35.15,l,0.40
35.55,ly,0.40
35.96,ly,0.40
36.36,ko,0.40
36.76,y,0.40
37.17,p,0.40
37.57,p,0.81
38.38,o,0.20
38.58,p,0.20
38.78,y,0.40
39.19,i,0.40
39.59,py,0.40
40.00,i,0.40
40.40,py,0.81
41.21,p,0.20
41.41,h,0.40
41.81,j,0.20
42.02,y,0.40
42.42,p,0.40
42.82,jl,0.20
43.03,l,0.20
43.23,p,0.40
43.63,il,0.20
43.83,;,0.61
44.44,;,0.40
44.84,h,0.20
45.05,k,0.20
45.25,y,0.40
45.65,i,0.40
46.06,h,0.40
46.46,hi,0.40
46.86,ky,0.81
47.67,i,0.20
47.87,h,0.20
48.08,k,0.20
48.28,l,0.20
48.48,ly,0.40
48.88,y,0.40
49.29,lo,0.40
49.69,ky,0.40
50.10,p,1.21
51.31,p,0.40
51.71,hy,0.20
51.91,k,0.20
52.12,y,0.40
52.52,u,0.40
52.92,y,0.20
53.13,p,0.20
53.33,h,0.20
53.53,k,0.61
54.14,k,0.40
54.54,l,0.40
54.94,jy,0.40
55.35,u,0.40
55.75,p,0.40
56.16,u,0.40
56.56,j,0.81
57.37,u,0.40
57.77,p,0.40
58.18,hy,0.40
58.58,ky,0.40
58.98,u,0.40
59.39,y,0.20
59.59,p,0.20
59.79,h,0.20
59.99,k,0.61
60.60,k,0.40
61.00,h,0.40
61.41,ly,0.40
61.81,u,0.40
62.22,p,0.40
62.62,u,0.40
63.02,j,0.40
63.43,u,0.40
63.83,p,0.40
64.24,pu,0.40
64.64,p,0.81
65.45,p,0.81
66.26,p,1.62
67.87,py,0.81
68.68,;ipy,0.20
68.88,m,0.61
69.49,;ipy,0.20
69.69,m,0.61
70.30,inpy,0.20
70.50,;,0.40
70.90,j,0.20
71.10,ij,0.81
71.91,;ijp,0.20
72.11,m,0.61
72.72,;ijp,0.20
72.92,m,0.61
73.53,ijnp,0.20
73.73,;,0.40
74.13,k,0.20
74.34,iy,0.81
75.14,;hiy,0.40
75.55,m,0.40
75.95,;hiy,0.20
76.15,m,0.61
76.76,,hiy,0.40
77.16,k,0.40
77.57,kpy,0.40
77.97,p,0.20
78.17,k,0.20
78.38,py,0.61
78.98,p,0.20
79.18,npu,0.20
79.39,;,0.20
79.59,k,0.40
79.99,npu,0.20
80.19,;,0.20
80.40,k,0.40
80.80,py,0.81
81.61,;ipy,0.20
