# 不及
# Converted from SkyStudio format
# BPM: 320
# Total chords: 409

Time,Keys,Duration
0.00,C3F#3,0.37
0.37,A2D3,0.37
0.75,C#3,0.37
1.12,D3,0.56
1.68,E3,0.56
2.24,C#3C3D#3F#3,0.37
2.62,F3,0.37
2.99,B2F3,0.37
3.37,C#3,0.37
3.74,B2,0.37
4.11,C#3,0.37
4.49,D#3,0.56
5.05,A#2C#3D#3D3,0.37
5.42,B2,0.37
5.80,C#3D#3,0.37
6.17,D3E3,0.37
6.54,D#3,0.37
6.92,E3,0.37
7.29,C#3D#3,0.37
7.67,C#3,0.37
8.04,A#2A2C3D3,0.37
8.41,A#2,0.37
8.79,C3,0.37
9.16,D3,0.75
9.91,A2D3,0.37
10.29,D#3,0.37
10.66,E3,0.56
11.22,B2C#3D#3F3,0.37
11.59,B2,0.37
11.97,C#3,0.37
12.34,A#2,0.56
12.90,D#3F3G#3,0.75
13.65,C3,0.37
14.03,A2E3G#3,0.37
14.40,B2F#3G#3,0.37
14.77,C#3F#3,0.37
15.15,C#3E3,0.56
15.71,C#3,0.56
16.27,A2C3F#3G#3,0.37
16.64,A2,0.37
17.02,B2,0.37
17.39,C#3,0.75
18.14,A2,0.37
18.51,B2E3,0.56
19.07,C#3C3D3F3,0.37
19.45,F3,0.37
19.82,C#3,0.37
20.20,A2,0.75
20.94,A#2,0.37
21.32,D3,0.37
21.69,E3,0.56
22.25,C#3D#3F3G#3,1.31
23.56,C3,0.37
23.94,E3F#3,0.37
24.31,B2F#3,0.37
24.68,A3F#3,0.37
25.06,F#3,0.37
25.43,E3F#3,0.37
25.81,F#3,0.37
26.18,A3,0.37
26.55,A3C3,0.37
26.93,D#3F#3,0.37
27.30,E3F3,0.37
27.68,F3G#3,0.37
28.05,F3,0.75
28.80,B2,0.37
29.17,D#3F3,0.37
29.55,A#2F3,0.37
29.92,F3G#3,0.37
30.29,F3,0.37
30.67,D#3F3,0.37
31.04,F3,0.37
31.42,G#3,0.37
31.79,D3G#3,0.37
32.16,B2E3,0.37
32.54,C#3D#3,0.37
32.91,A2E3,0.37
33.29,E3,0.56
33.85,A#2,0.37
34.22,D3G3,0.37
34.59,B2F#3,0.37
34.97,C3G3,0.37
35.34,G3,0.37
35.72,G3,0.37
36.09,F#3,0.37
36.47,F3,0.37
36.84,C#3F3,0.37
37.21,A#2,0.37
37.59,D3,0.37
37.96,E3,0.37
38.34,E3,0.37
38.71,D#3F3,0.37
39.08,F#3,0.37
39.46,A2F#3,0.37
39.83,C#3,0.37
40.20,A#2,0.37
40.58,C#3,0.75
41.33,F3,0.56
41.89,A2D#3F3G#3,0.56
42.45,B2C#3D#3F3,0.37
42.82,D#3,0.37
43.20,A#2C#3,0.37
43.57,C3,0.37
43.95,A2F#3,0.37
44.32,B2F#3,0.37
44.69,D3F#3,0.37
45.07,F#3,0.37
45.44,A2F#3,0.37
45.81,F#3,0.37
46.19,A3,0.37
46.56,C#3D3,0.37
46.94,A#2F#3,0.37
47.31,C#3F3,0.37
47.69,A#2F3,0.37
48.06,C3F3,0.37
48.43,A#2,0.37
48.81,C#3D#3,0.37
49.18,A#2,0.37
49.55,F#3,0.37
49.93,D#3F3,0.37
50.30,A#2F3,0.37
50.68,C#3F3,0.75
51.42,D#3F3,0.37
51.80,F3,0.37
52.17,G#3,0.37
52.55,D3G#3,0.37
52.92,B2E3,0.37
53.30,C#3D#3,0.37
53.67,A2E3,0.75
54.42,D#3,0.37
54.79,C#3,0.37
55.16,A#2C3,0.37
55.54,D3G3,0.37
55.91,A2F#3,0.37
56.29,C3G3,0.37
56.66,F#3,0.37
57.03,F3,0.37
57.41,E3,0.75
58.16,C#3F3,0.37
58.53,A#2G3,0.37
58.91,C#3F#3,0.37
59.28,A2G3,0.37
59.65,F#3,0.37
60.03,A#2,0.37
60.40,F3,0.37
60.77,E3,0.37
61.15,A2F3,0.37
61.52,C#3,0.37
61.90,A#2,0.37
62.27,C3E3,0.75
63.02,C#3,0.37
63.39,A#2,0.37
63.77,C#3,0.37
64.14,C#3D#3,0.37
64.52,A#2,0.37
64.89,C#3F3,0.37
65.26,C#3,0.37
65.64,A2D#3F#3,0.37
66.01,C#3D3,0.37
66.39,B2D3,0.37
66.76,C3E3,0.37
67.13,A2G#3,0.37
67.51,C#3G#3,0.37
67.88,D3E3,0.75
68.63,A2G#3,0.37
69.00,C3G#3,0.37
69.38,A2E3,0.37
69.75,C3E3,0.37
70.12,A#2E3,0.37
70.50,F3,0.37
70.87,D#3F3,0.75
71.62,A#2D#3,0.37
72.00,C#3D#3,0.37
72.37,A#2E3,0.37
72.74,B2D#3,0.37
73.12,B2G#3,0.37
73.49,C#3G#3,0.37
73.86,D#3,0.75
74.61,A#2G#3,0.37
74.99,C#3G#3,0.37
75.36,A#2D#3,0.37
