# 不知所措
# Converted from SkyStudio format
# BPM: 300
# Total chords: 186

Time,Keys,Duration
0.00,G#3,0.40
0.40,G#3,0.40
0.80,G3,0.40
1.20,F#3,0.40
1.60,F3,0.40
2.00,E3,0.40
2.40,D3,0.40
2.80,E3,0.40
3.20,F#3,0.40
3.60,E3,0.40
4.00,F3,1.00
5.00,G#3,0.40
5.40,G#3,0.40
5.80,G3,0.40
6.20,F#3,0.40
6.60,F3,0.40
7.00,D#3,0.40
7.40,C#3,0.40
7.80,E3,0.40
8.20,F3,0.40
8.60,F#3,0.40
9.00,F#3,1.00
10.00,D3,0.40
10.40,E3,0.40
10.80,D3,0.40
11.20,G3,0.40
11.60,G3,0.40
12.00,D3,0.40
12.40,F#3,0.40
12.80,F3,0.40
13.20,F3,0.40
13.60,C#3,0.40
14.00,F#3,0.40
14.40,G3,0.40
14.80,G3,0.40
15.20,F#3,0.40
15.60,F3,0.40
16.00,F#3,2.00
18.00,G#3,0.40
18.40,G#3,0.40
18.80,G3,0.40
19.20,F#3,0.40
19.60,C3F3,0.40
20.00,A2,0.40
20.40,C3E3,0.40
20.80,D3,0.40
21.20,C3E3,0.40
21.60,F#3,0.40
22.00,A2E3,0.40
22.40,C#3F3,0.40
22.80,F3,0.40
23.20,G#3,0.40
23.60,G#3,0.40
24.00,C#3G#3,0.40
24.40,C3G3,0.40
24.80,F#3,0.40
25.20,B2F3,0.40
25.60,D#3,0.40
26.00,A2,0.40
26.40,C#3,0.40
26.80,B2E3,0.40
27.20,F3,0.40
27.60,D#3F#3,0.40
28.00,F#3,0.40
28.40,A2,0.40
28.80,B2,0.40
29.20,D3,0.40
29.60,B2E3,0.40
30.00,D3,0.40
30.40,C3G3,0.40
30.80,A2G3,0.40
31.20,G3,0.40
31.60,C3,0.40
32.00,D3,0.40
32.40,A2,0.40
32.80,C#3F#3,0.40
33.20,A#2F3,0.40
33.60,F3,0.40
34.00,A2,0.40
34.40,A#2C#3,0.40
34.80,C#3,0.40
35.20,A2F#3,0.40
35.60,C#3G3,0.40
36.00,G3,0.40
36.40,A2,0.40
36.80,C#3F#3,0.40
37.20,F3,0.40
37.60,A2B2,0.40
38.00,C#3,0.40
38.40,G#3,0.40
38.80,G#3,0.40
39.20,G3,0.40
39.60,F#3,0.40
40.00,C3F3,0.40
40.40,A2,0.40
40.80,C3E3,0.40
41.20,D3,0.40
41.60,C3E3,0.40
42.00,F#3,0.40
42.40,A2E3,0.40
42.80,C#3F3,0.40
43.20,F3,0.40
43.60,G#3,0.40
44.00,G#3,0.40
44.40,C#3G#3,0.40
44.80,G3,0.40
45.20,A#2F#3,0.40
45.60,B2F3,0.40
46.00,D#3,0.40
46.40,A2C#3,0.40
46.80,B2E3,0.40
47.20,F3,0.40
47.60,D#3F#3,0.40
48.00,F#3,0.40
48.40,A2,0.40
48.80,B2,0.40
49.20,D3,0.40
49.60,B2E3,0.40
50.00,D3,0.40
50.40,C3G3,0.40
50.80,A2G3,0.40
51.20,G3,0.40
51.60,C3,0.40
52.00,D3,0.40
52.40,A2,0.40
52.80,C#3F#3,0.40
53.20,A#2F3,0.40
53.60,F3,0.40
54.00,A2,0.40
54.40,A#2C#3,0.40
54.80,C#3,0.40
55.20,A2F#3,0.40
55.60,C#3G3,0.40
56.00,A2G3,0.40
56.40,C#3F#3,0.40
56.80,F3,0.40
57.20,A2B2,0.40
57.60,C#3,0.40
58.00,G#3,0.40
58.40,A2G#3,0.40
58.80,G3,0.40
59.20,C#3F#3,0.40
59.60,F3,0.40
60.00,C3,0.40
60.40,E3,0.40
60.80,A2,0.40
61.20,D3,0.40
61.60,C3E3,0.40
62.00,F#3,0.40
62.40,A2E3,0.40
62.80,C#3F3,0.40
63.20,A#2,0.40
63.60,C#3,0.40
64.00,G#3,0.40
64.40,C#3G#3,0.40
64.80,A3,0.40
65.20,A#2A#3,0.40
65.60,A#3,0.40
66.00,B2,0.40
66.40,D#3,0.40
66.80,A#3F#3,0.40
67.20,B2,0.40
67.60,D#3G#3,0.40
68.00,D3F#3,0.40
68.40,E3,0.40
68.80,F#3,0.40
69.20,D3F#3,0.40
69.60,G3,0.40
70.00,B2G#3,0.40
70.40,F#3,0.40
70.80,C3,0.40
71.20,A2,0.40
71.60,D3E3,0.40
72.00,D3,0.40
72.40,C3E3,0.40
72.80,A2D3,0.40
73.20,A2C#3,0.40
73.60,A2,0.40
74.00,A#2F#3,0.40
74.40,C#3F3,0.40
74.80,A#2,0.40
75.20,C#3,0.40
75.60,A2F3,0.40
76.00,E3,0.40
76.40,E3,0.40
76.80,E3,0.50
