# 不能说的秘密
# Converted from SkyStudio format
# BPM: 288
# Total chords: 173

Time,Keys,Duration
0.00,C#3,0.21
0.21,G3,0.42
0.62,G3,0.42
1.04,G3,0.42
1.46,G3,0.42
1.87,G3,0.42
2.29,F#3,0.21
2.50,F#3,1.04
3.54,G3,0.42
3.95,G3,0.42
4.37,G3,0.42
4.78,G#3,0.42
5.20,F#3,0.42
5.62,F3,0.42
6.03,E3,0.42
6.45,D#3,0.42
6.86,D#3,0.42
7.28,E3,2.70
9.98,G#3,0.21
10.19,G#3,0.42
10.61,G#3,0.42
11.02,G#3,0.42
11.44,G#3,0.42
11.86,G#3,0.42
12.27,G3,0.21
12.48,F#3,1.04
13.52,G#3,0.42
13.94,G#3,0.42
14.35,G#3,0.42
14.77,G#3,0.42
15.18,G#3,0.42
15.60,G3,0.21
15.81,G3,0.62
16.43,F#3,0.42
16.85,F#3,0.42
17.26,F3,2.70
19.97,C#3,0.21
20.18,G3,0.42
20.59,G3,0.42
21.01,G3,0.42
21.42,G3,0.42
21.84,G3,0.42
22.26,F#3,0.21
22.46,F#3,1.04
23.50,G3,0.42
23.92,G3,0.42
24.34,G3,0.42
24.75,G#3,0.42
25.17,F#3,0.42
25.58,F3,0.42
26.00,E3,0.42
26.42,D#3,0.42
26.83,D#3,0.42
27.25,F3,0.83
28.08,E3,2.29
30.37,D3,0.42
30.78,E3,0.42
31.20,G#3,0.83
32.03,A3,0.83
32.86,E3,1.66
34.53,G#3,0.42
34.94,G#3,0.42
35.36,G#3,0.42
35.78,G#3,0.21
35.98,G#3,0.62
36.61,G3,0.42
37.02,G3,0.42
37.44,F#3,0.42
37.86,F#3,0.42
38.27,F3,2.50
40.77,E3,0.42
41.18,C4,0.42
41.60,A#3,0.42
42.02,C4,0.42
42.43,C4,0.83
43.26,G#3,0.42
43.68,G#3,0.42
44.10,G#3,0.42
44.51,G#3,0.83
45.34,G3,0.42
45.76,G3,0.83
46.59,F#3,0.83
47.42,E3,0.42
47.84,C4,0.42
48.26,A#3,0.42
48.67,C4,0.42
49.09,C4,0.83
49.92,G#3,0.42
50.34,G#3,0.42
50.75,G#3,0.42
51.17,G#3,0.83
52.00,G3,0.42
52.42,G3,0.83
53.25,F#3,0.83
54.08,E3,0.42
54.50,C4,0.42
54.91,A#3,0.42
55.33,C4,0.42
55.74,A#3,0.83
56.58,A3,0.83
57.41,E3,0.42
57.82,A#3,0.42
58.24,A3,0.42
58.66,A#3,0.42
59.07,A3,0.83
59.90,G#3,0.83
60.74,E3,0.42
61.15,A3,0.42
61.57,G#3,0.42
61.98,A3,0.42
62.40,G#3,0.83
63.23,G3,0.42
63.65,G3,0.42
64.06,F#3,0.42
64.48,G3,0.42
64.90,G#3,0.42
65.31,A3,0.42
65.73,A3,0.83
66.56,G#3,0.83
67.39,E3,0.42
67.81,C4,0.42
68.22,A#3,0.42
68.64,C4,0.42
69.06,C4,0.83
69.89,G#3,0.42
70.30,G#3,0.42
70.72,G#3,0.42
71.14,G#3,0.83
71.97,G3,0.42
72.38,G3,0.83
73.22,F#3,0.83
74.05,E3,0.42
74.46,C4,0.42
74.88,A#3,0.42
75.30,C4,0.42
75.71,C4,0.83
76.54,G#3,0.42
76.96,G#3,0.42
77.38,G#3,0.42
77.79,G#3,0.83
78.62,F3,0.42
79.04,F3,0.83
79.87,C4,0.83
80.70,E3,0.42
81.12,C4,0.42
81.54,A#3,0.42
81.95,C4,0.42
82.37,A#3,0.83
83.20,A3,0.83
84.03,E3,0.42
84.45,A#3,0.42
84.86,A3,0.42
85.28,A#3,0.42
85.70,A3,0.83
86.53,G#3,0.83
87.36,E3,0.42
87.78,A3,0.42
88.19,G#3,0.42
88.61,A3,0.42
89.02,G#3,0.83
89.86,G3,0.42
90.27,G3,0.42
90.69,F#3,0.42
91.10,G3,0.42
91.52,G#3,0.42
91.94,A3,0.42
92.35,A3,0.83
93.18,G#3,0.83
94.02,G3,0.42
94.43,F#3,0.83
95.26,D#3,0.42
95.68,F3,0.83
96.51,E3,0.50
