# 世界上的另一个我
# Converted from SkyStudio format
# BPM: 250
# Total chords: 618

Time,Keys,Duration
0.96,A2C3F#3,0.48
1.44,A2C3,0.24
1.68,F#3,0.24
1.92,A2C3F#3,0.24
2.16,E3,0.24
2.40,A2C3,0.24
2.64,F3,0.24
2.88,A#2C#3,0.48
3.36,A#2C#3,0.24
3.60,F3,0.24
3.84,A#2C#3F3,0.48
4.32,A#2C#3D#3,0.48
4.80,B2C#3,0.48
5.28,B2C#3,0.24
5.52,E3,0.24
5.76,B2C#3,0.48
6.24,B2C#3,0.48
6.72,A2B2,0.48
7.20,A2B2,0.48
7.68,A2B2,0.24
7.92,G#3,0.24
8.16,A2A3B2,0.24
8.40,F#3,0.24
8.64,A2C3F#3,0.48
9.12,A2C3G#3,0.48
9.60,A2A3C3,0.48
10.08,A2C3F#3,0.24
10.32,G#3,0.24
10.56,A#2C#3,0.24
10.80,A3,0.24
11.04,A#2C#3,0.24
11.28,F#3,0.24
11.52,A#2C#3,0.24
11.76,G#3,0.24
12.00,A#2A3C#3,0.24
12.24,F#3,0.24
12.48,B2C#3F#3,0.48
12.96,B2C#3G#3,0.48
13.44,A3B2C#3,0.48
13.92,B2C#3F#3,0.24
14.16,G#3,0.24
14.40,B2D3,0.24
14.64,A3,0.24
14.88,B2D3,0.24
15.12,F#3,0.24
15.36,B2D3,0.24
15.60,G#3,0.24
15.84,A3B2D3,0.24
16.08,F#3,0.24
16.32,A2C3F#3,0.48
16.80,A2C3G#3,0.48
17.28,A2A3C3,0.48
17.76,A2C3F#3,0.24
18.00,G#3,0.24
18.24,A#2C#3,0.24
18.48,G#3,0.24
18.72,A#2C#3,0.24
18.96,F3,0.24
19.20,A#2C#3,0.24
19.44,F3,0.24
19.68,A#2C#3F3,0.24
19.92,E3,0.24
20.16,B2C#3F#3,0.48
20.64,B2C#3,0.48
21.12,B2C#3,0.24
21.36,F3,0.24
21.60,B2C#3F3,0.24
21.84,E3,0.24
22.08,B2D3F#3,0.48
22.56,B2D3,0.48
23.04,B2D3,0.24
23.28,E3G#3,0.24
23.52,A3B2D3E3,0.24
23.76,E3F#3,0.24
24.00,A2C3E3F#3,0.48
24.48,A2C3E3G#3,0.48
24.96,A2A3C3E3,0.48
25.44,A2C3E3F#3,0.24
25.68,E3G#3,0.24
25.92,A#2C#3,0.24
26.16,A3E3,0.24
26.40,A#2C#3,0.24
26.64,E3F#3,0.24
26.88,A#2C#3,0.24
27.12,E3G#3,0.24
27.36,A#2A3C#3E3,0.24
27.60,E3F#3,0.24
27.84,B2C#3E3F#3,0.48
28.32,B2C#3E3G#3,0.48
28.80,A3B2C#3E3,0.48
29.28,B2C#3E3F#3,0.24
29.52,E3G#3,0.24
29.76,B2D3,0.24
30.00,A3E3,0.24
30.24,B2D3,0.24
30.48,E3F#3,0.24
30.72,B2D3,0.24
30.96,E3G#3,0.24
31.20,A3B2D3E3,0.24
31.44,E3F#3,0.24
31.68,A2C3E3F#3,0.48
32.16,A2C3E3G#3,0.48
32.64,A2A3C3E3,0.48
33.12,A2C3E3F#3,0.24
33.36,E3G#3,0.24
33.60,A#2C#3,0.24
33.84,E3G#3,0.24
34.08,A#2C#3,0.24
34.32,F3,0.24
34.56,A#2C#3,0.24
34.80,F3,0.24
35.04,A#2C#3F3,0.24
35.28,E3,0.24
35.52,B2C#3E3F#3,0.48
36.00,B2C#3,0.48
36.48,B2C#3,0.24
36.72,F3,0.24
36.96,B2C#3F3,0.24
37.20,E3,0.24
37.44,B2D3E3F#3,0.48
37.92,B2D3,0.48
38.40,B2D3F#3,0.24
38.64,F3,0.24
38.88,B2D3,0.24
39.12,E3,0.24
39.36,A2C3E3,0.48
39.84,A2C3,0.48
40.32,A2C3E3,0.48
40.80,A2C3,0.48
41.28,A#2C#3D#3,0.48
41.76,A#2C#3,0.48
42.24,A#2C#3F#3,0.48
42.72,A#2C#3E3,0.48
43.20,B2C#3E3,0.24
43.44,E3,0.24
43.68,B2C#3G#3,0.24
43.92,G#3,0.24
44.16,B2C#3F#3,0.48
44.64,B2C#3F3,0.24
44.88,E3,0.24
45.12,B2D3E3,0.24
45.36,E3,0.24
45.60,B2D3G#3,0.24
45.84,G#3,0.24
46.08,B2D3F#3,0.48
46.56,B2D3F3,0.24
46.80,E3,0.24
47.04,A2C3D3E3,0.48
47.52,A2C3,0.48
48.00,A2C3D3E3,0.48
48.48,A2C3,0.48
48.96,A#2C#3D#3,0.48
49.44,A#2C#3,0.48
49.92,A#2C#3E3F#3,0.48
50.40,A#2C#3E3,0.48
50.88,B2C#3E3,0.24
51.12,E3,0.24
51.36,B2C#3E3G#3,0.24
51.60,E3G#3,0.24
51.84,B2C#3E3F#3,0.48
52.32,B2C#3F3,0.24
52.56,E3,0.24
52.80,B2D3E3,0.24
53.04,E3,0.24
53.28,B2D3E3G#3,0.24
53.52,E3G#3,0.24
53.76,B2D3E3F#3,0.48
54.24,B2D3F3,0.24
54.48,E3,0.24
54.72,A2C4,0.24
54.96,A#3C3,0.24
55.20,D3G#3,0.24
55.44,C3C4,0.24
55.68,A#3A2,0.24
55.92,C3G#3,0.24
56.16,C4D3,0.24
56.40,A#3C3,0.24
56.64,A#2,0.24
56.88,C#3,0.24
57.12,E3,0.24
57.36,C#3F3,0.24
57.60,A#2F#3,0.24
57.84,C#3F3,0.24
58.08,E3,0.24
58.32,C#3,0.24
58.56,B2C4,0.24
58.80,A#3C#3,0.24
59.04,E3G#3,0.24
59.28,C#3C4,0.24
59.52,A#3B2,0.24
59.76,C#3G#3,0.24
60.00,C4E3,0.24
60.24,A#3C#3,0.24
