# 两只老虎爱跳舞
# Converted from SkyStudio format
# BPM: 240
# Total chords: 75

Time,Keys,Duration
0.00,A2E3,0.50
0.50,F3,0.50
1.00,A2F#3,0.50
1.50,E3,0.50
2.00,C#3F3,0.50
2.50,G#3,0.50
3.00,C#3G#3,0.50
3.50,D#3,0.50
4.00,D3F#3,0.50
4.50,A3,0.25
4.75,A3,0.25
5.00,A3D3,0.50
5.50,A3,0.50
6.00,B2G#3,0.50
6.50,G#3,0.50
7.00,B2F#3,0.50
7.50,D#3,0.50
8.00,D3E3,0.50
8.50,B2D3,0.50
9.00,E3,0.25
9.25,C3E3,0.25
9.50,A3,0.25
9.75,A3,0.25
10.00,B2G#3,0.50
10.50,F#3,0.50
11.00,B2G#3,0.50
11.50,B2D3,0.50
12.00,A#2D3F3,0.25
12.25,F3,0.25
12.50,A#2D3,0.25
12.75,F#3,0.25
13.00,A#2F#3,0.25
13.25,F3,0.25
13.50,A#2D3E3,0.25
13.75,F#3,0.25
14.00,C#3F3,0.25
14.25,C#3F3,0.25
14.50,C#3,0.50
15.00,C#3,1.00
16.00,A2E3,0.50
16.50,F3,0.50
17.00,A2F#3,0.50
17.50,E3,0.50
18.00,C#3F3,0.50
18.50,G#3,0.50
19.00,C#3G#3,0.50
19.50,D#3,0.50
20.00,D3F#3,0.50
20.50,A3,0.25
20.75,A3,0.25
21.00,A3D3,0.50
21.50,A3,0.50
22.00,A#3F3,0.50
22.50,A3,0.50
23.00,C#3G#3,0.50
23.50,B2D3,0.50
24.00,C3E3,0.50
24.50,B2D3,0.25
24.75,E3,0.25
25.00,C3E3,0.50
25.50,A3,0.25
25.75,A3,0.25
26.00,B2G#3,0.50
26.50,F#3,0.50
27.00,B2G#3,0.50
27.50,B2D3,0.50
28.00,A#2D3F3,0.25
28.25,F3,0.25
28.50,A#2D3,0.25
28.75,F#3,0.25
29.00,A#2F#3,0.25
29.25,F3,0.25
29.50,E3,0.25
29.75,F#3,0.25
30.00,C#3F3,0.50
