# 亲爱的，那不是爱情
# Converted from SkyStudio format
# BPM: 141
# Total chords: 337

Time,Keys,Duration
3.40,A2C#3C4,0.42
3.83,A#3,0.42
4.25,G#3,0.42
4.67,A#3,0.42
5.10,B2C#3C4,0.85
5.95,F#3G#3,0.85
6.80,A2C#3,0.85
7.65,A2C#3C4,0.42
8.07,A#3,0.42
8.50,C4F#3G#3,0.85
9.35,F#3G#3,0.85
10.20,A2C3C4,0.42
10.62,A#3,0.42
11.05,A2A3C3,0.42
11.47,A#3,0.42
11.90,A#2C#3C4,0.85
12.75,A#3C#3,0.85
13.60,B2D3E3,0.85
14.45,B2D#3F3,0.85
15.30,B2D#3F#3,0.85
16.15,C3G3,0.85
17.00,A2C#3C4,0.42
17.43,A#3,0.42
17.85,G#3,0.42
18.27,A#3,0.42
18.70,B2C#3C4,0.85
19.55,F#3G#3,0.85
20.40,A2C#3,0.85
21.25,C4F#3,0.42
21.68,A#3F3,0.42
22.10,C4F#3,0.85
22.95,F#3G#3,0.85
23.80,A2C3C4,0.42
24.23,A#3,0.42
24.65,A2A3C3,0.42
25.07,A#3,0.42
25.50,A2C3C4,0.85
26.35,G#3,1.27
27.62,B2D3,0.42
28.05,C4F#3,0.42
28.48,B2C4D3F#3,0.42
28.90,C4F#3,0.42
29.32,A#3B2D#3F3,0.42
29.75,A3E3,0.42
30.18,A3B2D#3,0.42
30.60,G#3,0.42
31.02,A3C3E3,0.42
31.45,G#3,0.42
31.88,C3E3G#3,0.42
32.30,G3,0.42
32.73,A2C#3F#3,0.42
33.15,A2C#3G#3,0.42
33.58,A2,0.42
34.00,E3,0.42
34.42,A2A3C3E3,0.42
34.85,A3,0.42
35.27,A2A3C3E3,0.42
35.70,A3,0.42
36.12,A2F#3G#3,0.42
36.55,A2,0.42
36.98,C4F#3,0.42
37.40,A2C#3F#3,0.42
37.83,A2C3F#3,0.42
38.25,C3F3,0.42
38.67,A2C3F3,0.42
39.10,C3E3,0.42
39.52,A#2C#3D#3F3,0.42
39.95,A#2,0.42
40.38,C#3F#3,0.42
40.80,C3F3,0.42
41.23,B2D3E3,0.42
41.65,D#3,0.42
42.08,B2D3E3,0.42
42.50,G#3,0.42
42.92,B2D#3G#3,0.42
43.35,B2,0.42
43.77,G#3,0.42
44.20,E3,0.42
44.62,A3C3E3,0.42
45.05,G#3,0.42
45.48,C3E3G#3,0.42
45.90,G3,0.42
46.33,B2E3G#3,0.42
46.75,A2,0.42
47.17,A3E3,0.42
47.60,A#3F3,0.42
48.02,A#2C4D3F#3,0.42
48.45,C4F#3,0.42
48.88,C3C4D3,0.42
49.30,G#3,0.42
49.73,C#3D#3F3G3,0.42
50.15,C#3F#3,0.42
50.58,A#2C#3D#3F3,0.42
51.00,A#2C#3,0.42
51.42,A2E3,0.42
51.85,C#3,0.42
52.27,C3,0.42
52.70,C#3,0.42
53.12,B2,0.85
53.98,B2C#3D#3,0.85
54.83,B2D3,0.42
55.25,C4F#3,0.42
55.67,C4D3F#3,0.42
56.10,C4F#3,0.42
56.52,A#3B2D#3F#3,0.42
56.95,A3,0.42
57.38,A3B2D#3,0.42
57.80,G#3,0.42
58.23,A3C3E3,0.42
58.65,G#3,0.42
59.08,C3E3G#3,0.42
59.50,G3,0.42
59.92,A2C#3F#3,0.42
60.35,A2C#3G#3,0.42
60.77,A2,0.42
61.20,E3,0.42
61.62,A3C3E3,0.42
62.05,A3,0.42
62.48,A3C3E3,0.42
62.90,A3,0.42
63.33,B2E3G#3,0.42
63.75,A2,0.42
64.17,C4F#3,0.42
64.60,C#3F#3,0.42
65.03,A2C3D3F#3,0.42
65.45,A2C3D3F3,0.42
65.88,C3F3,0.42
66.30,A2C3D3E3,0.42
66.72,A#2C#3D#3F3,0.42
67.15,A#2C#3,0.42
67.58,A#2C#3D#3F#3,0.42
68.00,A#2C#3D#3F3,0.42
68.42,B2D3E3,0.42
68.85,B2D#3,0.42
69.28,B2D3E3,0.42
69.70,G#3,0.42
70.12,B2E3G#3,0.42
70.55,E3,0.42
70.97,B2E3G#3,0.42
71.40,E3,0.42
71.83,A3C3E3,0.42
72.25,G#3,0.42
72.67,C3E3G#3,0.42
73.10,G3,0.42
73.53,B2E3G#3,0.85
74.38,A2A3E3,0.42
74.80,A#3F3,0.42
75.22,A#2C4D3F#3,0.42
75.65,C3C4D3,0.42
76.08,A2C3C4,0.42
76.50,G#3,0.42
76.92,C#3D#3F3G3,0.42
77.35,C#3D#3F#3,0.42
77.78,A#2C#3D#3F3,0.42
78.20,A#2C#3,0.42
78.62,A2C#3E3,0.85
79.47,A2C#3F#3,0.42
79.90,B2C#3,0.42
80.33,A2C#3F#3,0.42
80.75,A2C#3G#3,0.42
81.17,B2D#3F3,0.42
81.60,F#3,0.42
82.03,B2C#3,0.42
82.45,B2C#3D#3,0.42
82.88,A2C3D#3,0.42
83.30,A2,0.42
83.72,C3,0.42
84.15,C3E3,0.42
84.58,A2C3D3,0.42
85.00,C#3,0.42
85.42,C3,0.42
85.85,B2,0.42
86.28,A#2C3,0.42
86.70,A2,0.42
87.12,A#2C3,0.42
87.55,A2C3D3,0.42
87.97,C3E3G#3,0.42
88.40,G3,0.42
88.83,A2C3D3,0.42
89.25,C3E3,0.42
89.67,A#2C#3E3,0.42
90.10,A#2,0.42
90.53,C#3,0.42
90.95,F3,0.42
91.38,A#2C#3D#3,0.42
91.80,D3,0.42
92.22,C#3,0.42
92.65,C3,0.42
93.08,B2C#3,0.42
93.50,B2,0.42
93.92,B2C#3,0.42
94.35,B2,0.42
94.78,B2C#3D#3F3,0.42
95.20,B2E3,0.42
95.62,B2C#3D#3F3,0.42
96.05,B2C#3D#3F#3,0.42
96.47,B2D3F3,0.42
96.90,A2,0.42
97.33,B2,0.42
97.75,E3,0.42
98.17,A2B2,0.42
98.60,B2,0.42
99.03,C#3,0.42
99.45,E3,0.42
99.88,A2C3E3,0.42
100.30,A2C#3C3,0.42
100.72,C#3C3,0.42
101.15,C3E3,0.42
101.58,C#3D#3,0.42
102.00,E3,0.42
102.42,A#2C#3,0.42
102.85,A#2C#3F#3,0.42
103.28,A#2C#3D#3F#3,0.42
103.70,A#2,0.42
104.12,C#3,0.42
104.55,D#3G3,0.42
104.97,C#3D#3F3,0.42
105.40,A#2,0.42
105.83,C#3,0.42
106.25,D#3,0.42
106.67,A2B2,0.42
107.10,A2,0.42
107.53,A2B2,0.42
107.95,A2B2C#3,0.42
108.38,B2C#3D#3F3,0.42
108.80,F#3,0.42
109.22,B2C#3,0.42
109.65,B2C#3D#3,0.42
110.08,A2C3D#3,0.42
110.50,A2,0.42
110.92,C3,0.42
111.35,E3,0.42
111.78,A2C3D3,0.42
112.20,C#3,0.42
112.62,C3,0.42
113.05,B2,0.42
