# 你从未离去（完整版） 边晴画.LTPC
# Converted from SkyStudio format
# BPM: 495
# Total chords: 1032

Time,Keys,Duration
0.00,ip,0.24
0.24,y,0.24
0.48,p,0.24
0.73,y,0.24
0.97,p,0.24
1.21,y,0.24
1.45,p,0.24
1.69,y,0.24
1.94,iy,0.24
2.18,y,0.24
2.42,p,0.24
2.66,y,0.24
2.90,p,0.24
3.15,y,0.24
3.39,p,0.24
3.63,y,0.24
3.87,ou,0.24
4.11,y,0.24
4.36,p,0.24
4.60,y,0.24
4.84,p,0.24
5.08,y,0.24
5.32,p,0.24
5.57,y,0.24
5.81,iy,0.24
6.05,p,0.24
6.29,y,0.24
6.53,p,0.24
6.78,y,0.24
7.02,p,0.24
7.26,y,0.24
7.50,p,0.24
7.74,ip,0.24
7.99,y,0.24
8.23,p,0.24
8.47,y,0.24
8.71,p,0.24
8.95,y,0.24
9.20,p,0.24
9.44,y,0.24
9.68,iy,0.24
9.92,y,0.24
10.16,p,0.24
10.41,y,0.24
10.65,p,0.24
10.89,y,0.24
11.13,p,0.24
11.37,y,0.24
11.62,ou,0.24
11.86,y,0.24
12.10,p,0.24
12.34,y,0.24
12.58,p,0.24
12.83,y,0.24
13.07,p,0.24
13.31,y,0.24
13.55,iy,0.24
13.79,y,0.24
14.04,p,0.24
14.28,y,0.24
14.52,p,0.24
14.76,y,0.24
15.00,p,0.24
15.25,y,0.24
15.49,ip,0.48
15.97,i,0.48
16.46,i,0.48
16.94,p,0.24
17.18,p,0.48
17.67,y,1.69
19.36,iy,0.48
19.84,i,0.24
20.09,i,0.24
20.33,i,0.48
20.81,i,0.24
21.05,u,0.24
21.30,iy,0.24
21.54,u,1.69
23.23,iy,0.48
23.72,i,0.48
24.20,i,0.48
24.68,p,0.24
24.93,p,0.48
25.41,y,0.73
26.14,y,0.48
26.62,p,0.48
27.10,iy,0.48
27.59,h,0.24
27.83,p,0.24
28.07,p,0.48
28.56,i,0.24
28.80,i,0.48
29.28,u,1.69
30.98,py,0.48
31.46,i,0.48
31.94,iy,0.48
32.43,p,0.24
32.67,p,0.24
32.91,iy,0.24
33.15,k,0.73
33.88,hpy,0.48
34.36,p,0.48
34.85,iy,0.48
35.33,h,0.24
35.57,p,0.24
35.82,ipy,0.48
36.30,i,0.24
36.54,p,0.24
36.78,y,0.24
37.03,i,0.24
37.27,u,0.48
37.75,y,0.24
37.99,i,0.24
38.24,u,0.24
38.48,y,0.24
38.72,y,1.45
40.17,hko,0.97
41.14,y,0.24
41.38,y,0.24
41.62,p,0.97
42.59,ipy,1.45
44.04,u,0.12
44.16,i,0.36
44.53,u,1.94
46.46,y,0.24
46.71,y,0.24
46.95,;ip,0.24
47.19,y,0.24
47.43,;ip,0.24
47.67,y,0.24
47.92,ijm,0.24
48.16,jmy,0.24
48.40,y,0.24
48.64,iky,0.24
48.88,i,0.24
49.13,y,0.24
49.37,i,0.24
49.61,y,0.24
49.85,i,0.24
50.09,y,0.24
50.34,y,0.24
50.58,i,0.24
50.82,;kp,0.24
51.06,;ky,0.24
51.30,;kp,0.24
51.55,y,0.24
51.79,;kp,0.24
52.03,hly,0.24
52.27,;y,0.24
52.51,ilp,0.24
52.76,p,0.24
53.00,y,0.24
53.24,p,0.24
53.48,y,0.24
53.72,p,0.24
53.97,y,0.24
54.21,y,0.24
54.45,y,0.24
54.69,;ip,0.24
54.93,y,0.24
55.18,;ip,0.24
55.42,y,0.24
55.66,ikm,0.24
55.90,kmy,0.24
56.14,y,0.24
56.39,koy,0.24
56.63,i,0.24
56.87,y,0.24
57.11,iko,0.24
57.35,y,0.24
57.60,imp,0.24
57.84,y,0.24
58.08,y,0.24
58.32,i,0.24
58.56,,kp,0.24
58.81,kmy,0.24
59.05,kmp,0.24
59.29,y,0.24
59.53,;kp,0.24
59.77,;my,0.24
60.02,y,0.24
60.26,;y,0.24
60.50,ilp,0.24
60.74,y,0.24
60.98,i,0.24
61.23,y,0.24
61.47,i,0.24
61.71,y,0.24
61.95,y,0.24
62.19,i,0.24
62.44,;kp,0.24
62.68,y,0.24
62.92,;kp,0.24
63.16,y,0.24
63.40,kmp,0.24
63.65,kmy,0.24
63.89,y,0.24
64.13,/;y,0.24
64.37,i,0.24
64.61,y,0.24
64.86,,ik,0.24
65.10,y,0.24
65.34,ikm,0.24
65.58,y,0.24
65.82,y,0.24
66.07,i,0.24
66.31,,hp,0.24
66.55,kmy,0.24
66.79,kmp,0.24
67.03,y,0.24
67.28,;kp,0.24
67.52,kmy,0.24
67.76,y,0.24
68.00,;py,0.24
68.24,ilp,0.24
68.49,y,0.24
68.73,i,0.24
68.97,;jy,0.24
69.21,il,0.24
69.45,ky,0.24
69.70,hky,0.24
69.94,y,0.24
70.18,mp,0.24
70.42,ky,0.24
70.66,mp,0.24
70.91,ky,0.24
71.15,y,0.24
71.39,y,0.24
71.63,i,0.24
71.87,y,0.24
72.12,i,0.24
72.36,py,0.24
72.60,ik,0.24
72.84,jmy,0.24
73.08,i,0.24
73.33,y,0.24
73.57,jmpy,0.24
73.81,y,0.24
74.05,mp,0.24
74.29,jy,0.24
74.54,mp,0.24
74.78,jy,0.24
75.02,y,0.24
75.26,y,0.24
75.50,iy,0.97
76.47,;,0.24
76.71,m,0.73
77.44,/y,0.24
77.68,u,0.24
77.92,i,0.24
78.17,o,0.24
78.41,p,0.24
78.65,y,0.24
78.89,,p,0.24
79.13,y,0.24
79.38,my,0.24
79.62,u,0.24
79.86,i,0.24
80.10,mo,0.24
80.34,mp,0.24
80.59,y,0.24
80.83,kp,0.24
81.07,;y,0.24
81.31,y,0.24
81.55,;u,0.24
81.80,i,0.24
82.04,o,0.24
82.28,p,0.24
82.52,ny,0.24
82.76,;p,0.24
83.01,y,0.24
83.25,ly,0.24
83.49,u,0.24
83.73,i,0.24
83.97,o,0.24
84.22,;iy,0.24
84.46,p,0.24
84.70,mpy,0.24
84.94,p,0.24
85.18,/ky,0.24
85.43,u,0.24
85.67,i,0.24
85.91,o,0.24
86.15,p,0.24
86.39,y,0.24
86.64,,hp,0.24
86.88,y,0.24
87.12,mpy,0.24
87.36,y,0.24
87.60,i,0.24
87.85,mpy,0.24
88.09,/ik,0.24
88.33,y,0.24
88.57,imp,0.24
88.81,/ky,0.24
89.06,y,0.24
89.30,u,0.24
89.54,/ik,0.24
89.78,o,0.24
90.02,/kp,0.24
90.27,ly,0.24
90.51,p,0.24
90.75,ly,0.24
90.99,y,0.24
91.23,u,0.24
91.48,i,0.24
91.72,o,0.24
91.96,kp,0.24
92.20,ky,0.24
92.44,lp,0.24
92.69,ky,0.24
92.93,;y,0.24
93.17,u,0.24
93.41,;i,0.24
93.65,o,0.24
93.90,;p,0.24
94.14,y,0.24
94.38,mp,0.24
94.62,my,0.24
94.86,y,0.24
95.11,ku,0.24
95.35,i,0.24
95.59,o,0.24
95.83,p,0.24
96.07,ky,0.24
96.32,lp,0.24
96.56,ky,0.24
96.80,;y,0.24
97.04,u,0.24
97.28,;i,0.24
97.53,o,0.24
97.77,;p,0.24
98.01,y,0.24
98.25,np,0.24
98.49,;y,0.24
98.74,y,0.24
98.98,lu,0.24
99.22,i,0.24
99.46,o,0.24
99.70,p,0.24
99.95,;iy,0.24
100.19,lpu,0.24
100.43,ky,0.24
