# 你离开的真相(暴躁)
# Converted from SkyStudio format
# BPM: 389
# Total chords: 930

Time,Keys,Duration
0.00,C#3D3,0.31
0.31,A2D3,0.31
0.62,A2C3,0.31
0.92,C#3,0.31
1.23,C#3,0.31
1.54,D3,0.31
1.85,A2C3,0.31
2.16,C#3,0.31
2.46,A#2C#3,0.31
2.77,A#2D3,0.31
3.08,A2C#3,0.31
3.39,C#3,0.31
3.70,C#3,0.31
4.00,D3,0.15
4.16,C#3,0.15
4.31,A2,0.31
4.62,D3,0.31
4.93,A2B2,0.31
5.24,D3,0.31
5.54,A2,0.31
5.85,A2,0.15
6.01,D3,0.15
6.16,A2,0.31
6.47,D3,0.31
6.78,A#2B2,0.31
7.08,D3,0.31
7.39,B2,0.15
7.55,D3,0.15
7.70,C3,0.15
7.85,C#3,0.15
8.01,D3,0.31
8.32,C3G#3,0.31
8.62,A2D3,0.31
8.93,C3E3,0.31
9.24,D3G#3,0.31
9.55,A2G#3,0.31
9.86,D3,0.31
10.16,C3E3,0.31
10.47,G#3,0.31
10.78,C#3G#3,0.31
11.09,A#2D3,0.31
11.40,A2C#3,0.31
11.70,D#3G#3,0.31
12.01,A#2G#3,0.31
12.32,D3,0.31
12.63,C#3F#3,0.31
12.94,C3,0.31
13.24,D3,0.31
13.55,B2G#3,0.31
13.86,D3,0.31
14.17,D#3,0.31
14.48,A2,0.31
14.78,D3,0.31
15.09,A2,0.31
15.40,D3,0.31
15.71,B2,0.31
16.02,D3,0.31
16.32,A#2,0.62
16.94,B2,0.31
17.25,D3,0.31
17.56,C3,0.31
17.86,A2C#3E3,0.31
18.17,A2C#3C3,0.31
18.48,A2C#3,0.31
18.79,A2C#3,0.31
19.10,A#2,0.31
19.40,A#2C3,0.31
19.71,A#2,0.31
20.02,C#3,0.31
20.33,A#2A2C#3,0.31
20.64,A2C#3,0.31
20.94,A2C#3,0.31
21.25,A2C#3,0.31
21.56,A#2,0.31
21.87,B2C#3,0.31
22.18,C3,0.31
22.48,D3,0.31
22.79,B2F#3,0.31
23.10,D3,0.31
23.41,A2,0.62
24.02,F#3,0.15
24.18,B2,0.15
24.33,D#3,0.31
24.64,D3,0.31
24.95,B2,0.31
25.26,D3,0.31
25.56,D#3,0.31
25.87,A2,0.31
26.18,B2,0.15
26.33,C#3,0.15
26.49,D3,0.31
26.80,C3,0.31
27.10,A2C#3D3,0.31
27.41,C#3C3D3,0.31
27.72,C#3D3,0.31
28.03,C#3D3,0.31
28.34,A#2,0.31
28.64,A#2C3,0.31
28.95,A#2,0.31
29.26,C#3,0.31
29.57,A#2A2C#3F3,0.31
29.88,A2C#3F3,0.31
30.18,A2C#3F3,0.31
30.49,A2C#3F3,0.31
30.80,A#2,0.31
31.11,B2C#3,0.31
31.42,C3,0.31
31.72,D3,0.31
32.03,B2C#3,0.31
32.34,D3,0.31
32.65,D#3,0.31
32.96,A2,0.31
33.26,A#2,0.31
33.57,B2D3,0.31
33.88,C3,0.31
34.19,D3,0.31
34.50,B2,0.31
34.80,D3,0.31
35.11,D#3,0.31
35.42,D3,0.31
35.73,D#3,0.31
36.04,A2C3,0.31
36.34,C#3,0.31
36.65,A#2,0.31
36.96,D3,0.31
37.27,A#2,0.31
37.58,B2,0.31
37.88,C3,0.31
38.19,C3D3,0.31
38.50,A#2B2,0.31
38.81,A#2,0.31
39.12,A#2C#3,0.31
39.42,A#2,0.31
39.73,C#3,0.31
