# 假如爱有天意
# Converted from SkyStudio format
# BPM: 240
# Total chords: 319

Time,Keys,Duration
2.00,D3F#3,0.25
2.25,B2,0.25
2.50,D3,0.25
2.75,E3,0.25
3.00,D3F#3,0.25
3.25,B2,0.25
3.50,C#3F3,0.25
3.75,A#2,0.25
4.00,C#3,0.25
4.25,E3,0.25
4.50,C#3D#3,0.25
4.75,A#2,0.25
5.00,A2C#3E3,0.25
5.25,B2,0.25
5.50,C#3,0.25
5.75,E3,0.25
6.00,C#3F3,0.25
6.25,B2,0.25
6.50,A2C#3F#3,0.25
6.75,B2,0.25
7.00,C#3,0.25
7.25,E3,0.25
7.50,C#3F#3,0.25
7.75,G#3,0.25
8.00,A2A3C3,0.25
8.25,D3,0.25
8.50,E3,0.25
8.75,G3,0.25
9.00,A3E3,0.25
9.25,C3,0.25
9.50,A#2A#3F3,0.25
9.75,C#3,0.25
10.00,D#3,0.25
10.25,A3F3,0.25
10.50,D#3G#3,0.25
10.75,F3,0.25
11.00,A2C#3F#3,0.25
11.25,B2,0.25
11.50,C#3,0.25
11.75,B2C#3E3,0.25
12.00,F3,0.25
12.25,C#3F#3,0.25
12.50,G#3,0.25
12.75,A2A3C3,0.25
13.00,D3,0.25
13.25,E3,0.25
13.50,G3,0.25
13.75,A3E3,0.25
14.00,A2,0.25
14.25,C#3D#3F3G#3,0.25
14.50,A#2,0.25
14.75,C#3,0.25
15.00,D#3,0.25
15.25,D#3G3,0.50
15.75,B2D3F#3,0.25
16.00,B2,0.25
16.25,D3,0.25
16.50,D#3G3,0.25
16.75,E3F#3,0.25
17.00,F3,0.25
17.25,B2D3E3,0.25
17.50,B2,0.25
17.75,D3,0.25
18.00,E3,0.25
18.25,D3,0.25
18.50,D#3,0.25
18.75,C3D3E3,0.25
19.00,A2,0.25
19.25,C3,0.25
19.50,D3,0.25
19.75,E3F#3,0.25
20.00,C3,0.25
20.25,A#2C#3D#3F3,0.25
20.50,A#2,0.25
20.75,C#3,0.25
21.00,D#3,0.25
21.25,A#2C#3,0.25
21.50,A#2,0.25
21.75,B2D3,0.25
22.00,B2,0.25
22.25,D3,0.25
22.50,D#3,0.25
22.75,E3,0.25
23.00,F#3,0.25
23.25,A3E3,1.00
24.25,D3F#3,0.25
24.50,B2,0.25
24.75,D3,0.25
25.00,E3,0.25
25.25,D3F#3,0.25
25.50,B2,0.25
25.75,C#3F3,0.25
26.00,A#2,0.25
26.25,C#3,0.25
26.50,E3,0.25
26.75,C#3D#3,0.25
27.00,A#2,0.25
27.25,A2C#3E3,0.25
27.50,B2,0.25
27.75,C#3,0.25
28.00,E3,0.25
28.25,C#3F3,0.25
28.50,B2,0.25
28.75,A2C#3F#3,0.25
29.00,B2,0.25
29.25,C#3,0.25
29.50,E3,0.25
29.75,C#3F#3,0.25
30.00,G#3,0.25
30.25,A2A3C3,0.25
30.50,D3,0.25
30.75,E3,0.25
31.00,G3,0.25
31.25,A3E3,0.25
31.50,C3,0.25
31.75,A#2A#3F3,0.25
32.00,C#3,0.25
32.25,D#3,0.25
32.50,A3F3,0.25
32.75,D#3G#3,0.25
33.00,F3,0.25
33.25,A2C#3F#3,0.25
33.50,B2,0.25
33.75,C#3,0.25
34.00,B2C#3E3,0.25
34.25,F3,0.25
34.50,C#3F#3,0.25
34.75,G#3,0.25
35.00,A2A3C3,0.25
35.25,D3,0.25
35.50,E3,0.25
35.75,G3,0.25
36.00,A3E3,0.25
36.25,A2,0.25
36.50,C#3D#3F3G#3,0.25
36.75,A#2,0.25
37.00,C#3,0.25
37.25,D#3,0.25
37.50,D#3G3,0.50
38.00,B2D3F#3,0.25
38.25,B2,0.25
38.50,D3,0.25
38.75,D#3G3,0.25
39.00,E3F#3,0.25
39.25,F3,0.25
39.50,B2D3E3,0.25
39.75,B2,0.25
40.00,D3,0.25
40.25,E3,0.25
40.50,D3,0.25
