# 偏食
# Converted from SkyStudio format
# BPM: 350
# Total chords: 209

Time,Keys,Duration
0.00,G#3,0.34
0.34,A2C3F#3,0.68
1.03,G#3,0.34
1.37,C#3D#3F3,0.51
1.88,E3,0.17
2.05,A2C3E3,0.17
2.22,D#3,0.17
2.39,A2C3E3,0.34
2.74,D#3,0.34
3.08,A2C3E3,0.17
3.25,F3,0.17
3.42,A2C3F#3,0.68
4.10,G3,0.34
4.45,A2C3D3,0.68
5.13,G#3,0.34
5.47,C#3D#3F3,0.68
6.16,A2C3D#3,0.17
6.33,D#3,0.17
6.50,A2C3E3,0.34
6.84,D3,0.34
7.18,A2C3G#3,0.17
7.35,G3,0.17
7.52,A2C3F#3,0.68
8.21,G#3,0.34
8.55,A2C3F#3,0.68
9.23,A3,0.34
9.58,C#3D#3F3,0.68
10.26,A2C3D#3,0.17
10.43,D#3,0.17
10.60,A2C3E3,0.34
10.94,D3,0.34
11.29,A2C3E3,0.17
11.46,F3,0.17
11.63,A2C3F#3,0.68
12.31,G3,0.34
12.65,A2C3D3,0.68
13.34,G#3,0.34
13.68,C#3D#3F3,0.51
14.19,E3,0.17
14.36,A2C3E3,0.17
14.54,D#3,0.17
14.71,A2C3E3,1.03
15.73,A2C3G#3,0.68
16.42,A2C3G3,0.34
16.76,A2C3F#3,1.71
18.47,A2C3E3,0.51
18.98,D3,0.17
19.15,A2C3D3,0.17
19.32,D#3,0.17
19.49,A2C3E3,0.51
20.01,D3,0.17
20.18,A2C3D3,0.17
20.35,F#3,0.17
20.52,A2C3F3,1.03
21.55,A2C3F#3,0.68
22.23,D3,0.17
22.40,A2C3E3,0.17
22.57,D#3,0.17
22.74,A2C3D3,0.51
23.26,D3,0.17
23.43,A2C3E3,0.17
23.60,D#3,0.17
23.77,A2C3D3,0.51
24.28,D3,0.17
24.45,A2C3D3,0.17
24.62,F#3,0.17
24.80,A2C3F3,1.03
25.82,A2C3E3,0.68
26.50,A2C3D3,0.17
26.68,C#3,0.17
26.85,A2C3D3,0.34
27.19,A2C3F#3,0.68
27.87,A2C3D3,0.34
28.21,A2C3G#3,0.34
28.56,A2C3G#3,0.17
28.73,G#3,0.17
28.90,C#3D#3F3,0.68
29.58,A2C3E3,0.34
29.93,C#3D#3F3,0.68
30.61,A2C3D3,0.17
30.78,D#3,0.17
30.95,A2C3E3,0.68
31.64,A2C3D3,0.17
31.81,D3,0.17
31.98,A2C3F#3,0.51
32.49,F#3,0.17
32.66,C#3D#3F3,0.17
32.83,E3,0.17
33.00,A2C3D3,1.88
34.88,A2C3E3,0.51
35.40,D3,0.17
35.57,A2C3D3,0.17
35.74,D#3,0.17
35.91,A2C3E3,0.51
36.42,D3,0.17
36.59,A2C3D3,0.17
36.77,F#3,0.17
36.94,A2C3F3,0.68
37.62,E3,0.34
37.96,C#3D#3F3,0.68
38.65,D3,0.17
38.82,A2C3D3,0.17
38.99,D#3,0.17
39.16,A2C3E3,0.51
39.67,D3,0.17
39.84,A2C3D3,0.17
40.01,D#3,0.17
40.19,A2C3E3,0.51
40.70,D3,0.17
40.87,A2C3D3,0.17
41.04,F#3,0.17
41.21,C#3D#3F3,0.68
41.90,A2C3E3,0.34
42.24,A2C3D3,0.68
42.92,A2C3D3,0.17
43.09,C#3,0.17
43.26,A2C3D3,0.34
43.60,A2C3F#3,0.68
44.29,A2C3D3,0.34
44.63,A2C3G#3,0.34
44.97,A2C3G#3,0.17
45.14,G#3,0.17
45.31,C#3D#3F3,0.68
46.00,A2C3E3,0.34
46.34,C#3D#3F3,0.68
47.02,A2C3D3,0.17
47.20,D#3,0.17
47.37,A2C3E3,0.68
48.05,A2C3D3,0.17
48.22,D3,0.17
48.39,A2C3F#3,0.51
48.91,F#3,0.17
49.08,C#3D#3F3,0.17
49.25,E3,0.17
49.42,A2C3D3,1.54
50.96,G3,0.34
51.30,A2C3F#3,1.54
52.84,F3,0.34
53.18,A2C3F#3,0.68
53.87,F3,0.34
54.21,A2C3E3,0.68
54.89,D3,0.17
55.06,A2C3E3,0.34
55.40,D3,0.51
55.92,D3,0.17
56.09,A2C3E3,0.68
56.77,A2C3D3,0.17
56.94,F#3,0.17
57.11,C#3D#3F3,0.68
57.80,E3,0.34
58.14,A2C3F#3,0.68
58.82,G3,0.34
59.17,A2C3F#3,1.54
60.70,F#3,0.34
61.05,A2A3C3,0.68
61.73,G#3,0.34
62.07,A2C3F#3,0.68
62.76,F3,0.34
63.10,A2C3E3,0.68
63.78,D3,0.34
64.12,A2C3E3,0.68
64.81,F#3,0.34
65.15,A2C3F3,1.03
66.18,A2C3F#3,0.68
66.86,G#3,0.34
67.20,A2C3F#3,0.68
67.89,G#3,0.34
68.23,C#3D#3F3,0.51
68.74,E3,0.17
68.91,A2C3E3,0.17
69.08,D#3,0.17
69.25,A2C3E3,0.34
69.60,D#3,0.34
69.94,A2C3E3,0.17
70.11,F3,0.17
70.28,A2C3F#3,0.68
70.97,G3,0.34
71.31,A2C3D3,0.68
71.99,G#3,0.34
72.33,C#3D#3F3,0.68
73.02,A2C3D#3,0.17
73.19,D#3,0.17
73.36,A2C3E3,0.34
73.70,D3,0.34
74.04,A2C3G#3,0.17
74.21,G3,0.17
74.39,A2C3F#3,0.68
75.07,G#3,0.34
75.41,A2C3F#3,0.68
76.09,A3,0.34
76.44,C#3D#3F3,0.68
77.12,A2C3D#3,0.17
77.29,D#3,0.17
77.46,A2C3E3,0.34
77.81,D3,0.34
78.15,A2C3E3,0.17
78.32,F3,0.17
78.49,A2C3F#3,0.68
79.17,G3,0.34
79.52,A2C3D3,0.68
80.20,G#3,0.34
80.54,C#3D#3F3,0.51
81.05,E3,0.17
81.22,A2C3E3,0.17
81.40,D#3,0.17
81.57,A2C3E3,1.03
82.59,A2C3G#3,0.68
83.28,A2C3G3,0.34
83.62,A2C3F#3,0.50
