# 像我这样的人—毛不易（沫忆）
# Converted from SkyStudio format
# BPM: 240
# Total chords: 321

Time,Keys,Duration
0.00,D3E3,0.50
0.50,B2C4,0.50
1.00,A#3D3,0.50
1.50,F#3,0.50
2.00,B2G#3,0.50
2.50,C#3,0.50
3.00,D#3,0.50
3.50,E3,0.50
4.00,C3D3,0.50
4.50,A2A3,0.50
5.00,C3G#3,0.50
5.50,E3,0.50
6.00,A2F#3,0.50
6.50,C#3,0.50
7.00,D#3,0.50
7.50,E3,0.50
8.00,D3,0.50
8.50,B2C4,0.50
9.00,A#3D3,0.50
9.50,F#3,0.50
10.00,B2G#3,0.50
10.50,C#3,0.50
11.00,D#3,0.50
11.50,E3F#3,0.25
11.75,F3,0.25
12.00,C3E3,0.50
12.50,A2,0.50
13.00,C3,0.50
13.50,A2,0.50
14.00,A#2C#3F3,2.00
16.00,A2F3,0.25
16.25,F#3,0.25
16.50,G#3,0.25
16.75,F#3,0.25
17.00,A2G#3,0.50
17.50,F#3,0.25
17.75,F3,0.25
18.00,D#3F#3,0.50
18.50,E3,0.50
19.00,B2C#3,0.50
19.50,A2,0.50
20.00,D3F3,0.25
20.25,F#3,0.25
20.50,G#3,0.25
20.75,F#3,0.25
21.00,D3G#3,0.25
21.25,F#3,0.25
21.50,F3,0.50
22.00,D#3F#3,1.00
23.00,B2C#3,0.50
23.50,A2,0.50
24.00,C#3C3,0.25
24.25,D3,0.25
24.50,E3,0.25
24.75,D3,0.25
25.00,C3E3,0.50
25.50,D3,0.25
25.75,E3,0.25
26.00,A2C#3,0.50
26.50,D3,0.25
26.75,E3,0.25
27.00,A2,0.50
27.50,B2,0.50
28.00,A#2C3F3,0.25
28.25,F#3,0.25
28.50,F3,0.25
28.75,F#3,0.25
29.00,A#2D3,0.50
29.50,E3,0.25
29.75,F3,0.25
30.00,C#3,0.25
30.25,A#2,0.25
30.50,C3,0.25
30.75,E3,0.25
31.00,C#3F3,0.50
31.50,A#2,0.50
32.00,A2F3,0.25
32.25,F#3,0.25
32.50,C#3G#3,0.25
32.75,F#3,0.25
33.00,E3G#3,0.25
33.25,F#3,0.25
33.50,C#3,0.25
33.75,F3,0.25
34.00,D#3F#3,0.50
34.50,E3,0.50
35.00,B2C#3,0.50
35.50,A2,0.50
36.00,D3F3,0.25
36.25,F#3,0.25
36.50,B2G#3,0.25
36.75,F#3,0.25
37.00,D3F3,0.25
37.25,G#3,0.25
