# 光辉岁月
# Converted from SkyStudio format
# BPM: 280
# Total chords: 193

Time,Keys,Duration
0.21,j,0.43
0.64,k,0.43
1.07,l,0.43
1.50,;y,0.86
2.35,;,0.21
2.57,jly,0.21
2.78,jlp,0.86
3.64,kp,0.21
3.85,j,0.21
4.07,h,0.86
4.92,hi,0.21
5.14,u,0.21
5.35,i,0.86
6.21,i,0.43
6.63,o,0.43
7.06,p,0.43
7.49,h,0.43
7.92,o,0.43
8.35,p,0.43
8.77,k,0.21
8.99,j,0.21
9.20,k,0.43
9.63,jp,0.43
10.06,ky,0.86
10.91,;my,0.43
11.34,jmp,0.86
12.20,j,0.21
12.41,k,0.21
12.63,p,0.21
12.84,l,0.43
13.27,;ky,0.86
14.12,;ky,0.21
14.34,jl,0.21
14.55,jlp,0.86
15.41,kp,0.21
15.62,j,0.21
15.84,k,0.43
16.26,j,0.43
16.69,i,0.21
16.91,u,0.21
17.12,i,0.86
17.98,i,0.43
18.40,o,0.43
18.83,p,0.43
19.26,h,0.86
20.12,p,0.21
20.33,h,0.43
20.76,k,0.21
20.97,jp,0.21
21.19,k,0.43
21.61,y,0.43
22.04,p,0.43
22.47,y,0.43
22.90,p,1.50
24.40,;m,0.21
24.61,;m,0.21
24.82,;my,0.21
25.04,;m,0.21
25.25,jmp,0.43
25.68,jm,0.21
25.89,jm,0.43
26.32,jnp,0.43
26.75,;hk,0.86
27.61,h,0.43
28.03,i,0.43
28.46,l,0.21
28.68,;,0.21
28.89,;,0.21
29.10,j,0.21
29.32,i,0.21
29.53,hko,0.86
30.39,o,0.43
30.82,p,0.43
31.24,jl,0.21
31.46,jl,0.21
31.67,k,0.21
31.89,l,0.21
32.10,p,0.21
32.31,;k,0.21
32.53,;ky,0.86
33.38,ny,0.21
33.60,;,0.21
33.81,jlp,0.86
34.67,p,0.43
35.10,y,0.86
35.95,;m,0.21
36.17,;m,0.21
36.38,;my,0.21
36.59,;m,0.21
36.81,;mp,0.43
37.24,jm,0.21
37.45,jm,0.43
37.88,jnp,0.43
38.31,;hk,0.86
39.16,h,0.43
39.59,i,0.43
40.02,l,0.21
40.23,;,0.21
40.45,;,0.21
40.66,j,0.21
40.87,i,0.21
41.09,hko,0.86
41.94,o,0.43
42.37,p,0.43
42.80,jl,0.21
43.01,jl,0.21
43.23,k,0.21
43.44,l,0.21
43.66,p,0.21
43.87,;k,0.21
44.08,;ky,0.86
44.94,ny,0.21
45.15,;,0.21
45.37,jlp,0.86
46.22,p,0.43
46.65,h,0.86
47.51,,;,0.21
47.72,.,0.21
47.94,h,0.21
48.15,/,0.21
48.36,.p,0.43
48.79,jm,0.43
49.22,jm,0.43
49.65,;jp,0.43
50.08,,ko,1.07
51.15,,,0.43
51.57,jmp,1.50
53.07,,;,0.21
53.29,.,0.21
53.50,h,0.21
53.71,/,0.21
53.93,.p,0.43
54.36,jm,0.43
54.78,jm,0.43
55.21,;jp,0.43
55.64,,ko,0.86
56.50,o,0.43
56.92,.lp,0.86
57.78,p,0.43
58.21,y,0.86
59.06,;p,0.21
59.28,;p,0.21
59.49,;py,0.21
59.71,k,0.21
59.92,jlp,0.43
60.35,l,0.21
60.56,ln,0.21
60.78,ln,0.21
60.99,;kp,0.43
61.42,hk,0.86
62.27,h,0.21
62.49,k,0.21
62.70,;ip,0.43
63.13,l,0.43
63.56,k,0.21
63.77,j,0.21
63.99,i,0.21
64.20,ho,0.86
65.06,ho,0.43
65.48,p,0.43
65.91,h,0.21
66.13,p,0.21
66.34,p,0.43
66.77,ho,0.43
67.20,iy,1.07
68.27,ju,0.86
69.12,p,0.43
69.55,y,0.86
70.41,;p,0.21
70.62,;p,0.21
70.83,;py,0.21
71.05,k,0.21
71.26,jlp,0.43
71.69,jl,0.21
71.90,ln,0.21
72.12,ln,0.21
72.33,;kp,0.43
72.76,hk,0.86
73.62,h,0.21
73.83,k,0.21
74.04,;ip,0.43
74.47,l,0.43
74.90,k,0.21
75.11,j,0.21
75.33,i,0.21
75.54,ho,0.86
76.40,ho,0.43
76.83,p,0.43
77.25,h,0.21
77.47,p,0.21
77.68,p,0.21
77.90,ho,0.43
78.32,iky,0.50
