# 光遇小王子新季节bgm原创
# Converted from SkyStudio format
# BPM: 249
# Total chords: 431

Time,Keys,Duration
0.96,A2E3F#3,0.24
1.20,B2,0.24
1.44,D3E3,0.24
1.68,B2,0.24
1.92,A2D3,0.24
2.16,B2,0.24
2.40,A2E3F#3,0.24
2.64,B2,0.24
2.88,D3E3G3,0.24
3.12,B2,0.24
3.36,A2E3F#3,0.24
3.60,B2,0.24
3.84,B2E3F#3,0.24
4.08,C#3,0.24
4.32,D#3F3,0.24
4.56,C#3,0.24
4.80,B2E3F#3,0.24
5.04,C#3,0.24
5.28,B2E3F#3,0.24
5.52,C#3,0.24
5.76,D#3,0.24
6.00,C#3,0.24
6.24,B2,0.24
6.48,C#3,0.24
6.72,A2E3F#3,0.24
6.96,C3,0.24
7.20,D3E3,0.24
7.44,C3,0.24
7.68,A2D3,0.24
7.92,C3,0.24
8.16,A2E3F#3,0.24
8.40,C3,0.24
8.64,D3E3G3,0.24
8.88,C3,0.24
9.12,A2E3F#3,0.24
9.36,C3,0.24
9.60,B2E3F#3,0.24
9.84,C#3,0.24
10.08,D#3F3,0.24
10.32,C#3,0.24
10.56,B2E3F#3,0.24
10.80,C#3,0.24
11.04,B2E3F#3,0.24
11.28,C#3,0.24
11.52,D#3,0.24
11.76,C#3,0.24
12.00,B2,0.24
12.24,C#3,0.24
12.48,A#2D#3F3,0.24
12.72,C#3,0.24
12.96,D#3,0.24
13.20,C#3,0.24
13.44,A#2C#3,0.24
13.68,C#3,0.24
13.92,A#2D#3F3,0.24
14.16,C#3,0.24
14.40,D#3F#3,0.24
14.64,C#3,0.24
14.88,A#2D#3F3,0.24
15.12,C#3,0.24
15.36,B2E3,0.24
15.60,C#3,0.24
15.84,D#3,0.24
16.08,C#3,0.24
16.32,B2E3,0.24
16.56,C#3,0.24
16.80,B2E3,0.24
17.04,C#3,0.24
17.28,E3,0.24
17.52,C#3,0.24
17.76,B2,0.24
18.00,C#3,0.24
18.24,B2D#3,0.24
18.48,C#3,0.24
18.72,C#3D#3,0.24
18.96,C#3,0.24
19.20,B2,0.24
19.44,C#3,0.24
19.68,B2D#3,0.24
19.92,C#3,0.24
20.16,E3,0.24
20.40,C#3,0.24
20.64,B2D#3,0.24
20.88,C#3,0.24
21.12,A2D3,0.24
21.36,B2,0.24
21.60,C#3,0.24
21.84,B2,0.24
22.08,A2D3,0.24
22.32,B2,0.24
22.56,A2D3,0.24
22.80,B2,0.24
23.04,D3,0.24
23.28,B2,0.24
23.52,A2,0.24
23.76,B2,0.24
24.00,A2E3F#3,0.24
24.24,B2,0.24
24.48,D3E3,0.24
24.72,B2,0.24
24.96,A2D3,0.24
25.20,B2,0.24
25.44,A2E3F#3,0.24
25.68,B2,0.24
25.92,D3E3G3,0.24
26.16,B2,0.24
26.40,A2E3F#3,0.24
26.64,B2,0.24
26.88,B2E3F#3,0.24
27.12,C#3,0.24
27.36,D#3F3,0.24
27.60,C#3,0.24
27.84,B2E3F#3,0.24
28.08,C#3,0.24
28.32,B2E3F#3,0.24
28.56,C#3,0.24
28.80,D#3,0.24
29.04,C#3,0.24
29.28,B2,0.24
29.52,C#3,0.24
29.76,A2E3F#3,0.24
30.00,C3,0.24
30.24,D3E3,0.24
30.48,C3,0.24
30.72,A2D3,0.24
30.96,C3,0.24
31.20,A2E3F#3,0.24
31.44,C3,0.24
31.68,D3E3G3,0.24
31.92,C3,0.24
32.16,A2E3F#3,0.24
32.40,C3,0.24
32.64,B2E3F#3,0.24
32.88,C#3,0.24
33.12,D#3F3,0.24
33.36,C#3,0.24
33.60,B2E3F#3,0.24
33.84,C#3,0.24
34.08,B2E3F#3,0.24
34.32,C#3,0.24
34.56,D#3,0.24
34.80,C#3,0.24
35.04,B2,0.24
35.28,C#3,0.24
35.52,A#2D#3F3,0.24
35.76,C#3,0.24
36.00,D#3,0.24
36.24,C#3,0.24
36.48,A#2C#3,0.24
36.72,C#3,0.24
36.96,A#2D#3F3,0.24
37.20,C#3,0.24
