# 克罗地亚狂想曲
# Converted from SkyStudio format
# BPM: 720
# Total chords: 800

Time,Keys,Duration
0.33,A#3D3F#3,0.17
0.50,C4,0.17
0.66,A3,0.41
1.08,A3C3F#3,0.17
1.25,G3,0.17
1.41,F3,0.50
1.91,A#3B2F3,0.17
2.08,F#3,0.17
2.24,D#3,0.33
2.57,A#3F#3,0.33
2.90,D#3F#3,0.17
3.07,E3,0.17
3.24,A2B2D3,0.41
3.65,D#3F#3,0.17
3.82,E3,0.17
3.98,D3,0.41
4.40,A#3D3F#3,0.17
4.57,C4,0.17
4.73,A3,0.41
5.15,C4,0.17
5.31,A3,0.17
5.48,A3C3F#3,0.17
5.64,G3,0.17
5.81,F3,0.41
6.22,A#3B2F3,0.17
6.39,F#3,0.17
6.56,D#3,0.33
6.89,A#3F#3,0.33
7.22,D#3F#3,0.17
7.39,E3,0.17
7.55,A2B2D3,0.33
7.88,D#3F#3,0.17
8.05,E3,0.17
8.22,D3,0.41
8.63,A2B2D#3,0.17
8.80,E3,0.17
8.96,D3,0.41
9.38,F#3,0.17
9.54,D3,0.17
9.71,C3D#3,0.17
9.88,E3,0.17
10.04,D3,0.41
10.46,F#3,0.17
10.62,D3,0.17
10.79,B2D#3,0.17
10.96,E3,0.17
11.12,D3,0.33
11.45,D3,0.17
11.62,C#3,0.17
11.79,D3,0.17
11.95,A2B2,0.41
12.37,D#3,0.17
12.53,E3,0.17
12.70,D3,0.41
13.11,A2B2D#3F#3,0.17
13.28,E3,0.17
13.45,D3,0.41
13.86,F#3,0.17
14.03,D3,0.17
14.19,C3D#3F#3,0.17
14.36,E3,0.17
14.53,D3,0.41
14.94,F#3,0.17
15.11,D3,0.17
15.27,B2D#3F#3,0.17
15.44,E3,0.17
15.60,D3,0.33
15.94,D3F#3,0.33
16.27,C#3,0.17
16.43,D3,0.17
16.60,A2B2,0.33
16.93,D#3F#3,0.17
17.10,E3,0.17
17.26,D3,0.41
17.68,A#3D3F#3,0.17
17.84,C4,0.17
18.01,A3,0.33
18.34,B2E3,0.33
18.68,C4,0.17
18.84,A3,0.17
19.01,A#2A3F#3,0.17
19.17,G3,0.17
19.34,F3,0.33
19.67,C3D3,0.41
20.09,A#3B2F3,0.17
20.25,F3,0.17
20.42,D#3,0.33
20.75,A#2A#3B2F#3,0.33
21.08,D#3F#3,0.17
21.25,E3,0.17
21.41,B2D3,0.33
21.75,D#3F#3,0.17
21.91,E3,0.17
22.08,A2B2D3,0.41
22.49,A#3D3F#3,0.17
22.66,C4,0.17
22.82,A3,0.33
23.16,B2E3,0.33
23.49,C4,0.17
23.66,D3,0.17
23.82,A#2A3F#3,0.17
23.99,G3,0.17
24.15,F3,0.33
24.48,C3D3,0.41
24.90,A#3B2F3,0.17
25.07,F#3,0.17
25.23,D#3,0.33
25.56,A#2A#3B2F#3,0.33
25.90,D#3F#3,0.17
26.06,E3,0.17
26.23,B2D3,0.33
26.56,D#3F#3,0.17
26.73,E3,0.17
26.89,A2B2D3,0.41
27.31,A2D#3,0.17
27.47,E3,0.17
27.64,D#3,0.17
27.80,B2,0.17
27.97,D3,0.17
28.14,B2,0.17
28.30,A2F#3,0.17
28.47,D3,0.17
28.64,A#2D#3,0.17
28.80,E3,0.17
28.97,D3,0.17
29.13,C3,0.17
29.30,D3,0.17
29.46,C3,0.17
29.63,A#2F#3,0.17
29.80,D3,0.17
29.96,B2D#3,0.17
30.13,E3,0.17
30.30,D3,0.33
30.63,A#2B2D3,0.41
31.04,C#3,0.17
31.21,D3,0.17
31.37,B2,0.33
31.71,D#3,0.17
31.87,E3,0.17
32.04,A2B2D3,0.41
32.45,A2D#3F#3,0.17
32.62,E3,0.17
32.78,D3,0.17
32.95,B2,0.17
33.12,D3,0.17
33.28,B2,0.17
33.45,A2F#3,0.17
33.62,D3,0.17
33.78,A#2D3F#3,0.17
33.95,E3,0.17
34.11,D3,0.17
34.28,C3,0.17
34.45,D3,0.17
34.61,C3,0.17
34.78,A#2F#3,0.17
34.94,D3,0.17
35.11,B2D#3F#3,0.17
35.27,E3,0.17
35.44,D3,0.33
35.77,A#2B2D3F#3,0.33
36.10,C#3,0.17
36.27,D3,0.17
36.44,B2,0.33
36.77,D3F#3,0.17
36.94,E3,0.17
37.10,A2B2D3,0.58
37.68,D3E3,0.17
37.85,B2,0.17
38.01,D3,0.17
38.18,D#3,0.17
38.35,A2E3,0.17
38.51,B2,0.17
38.68,D3,0.17
38.84,E3,0.17
39.01,C3F3,0.17
39.18,B2,0.17
39.34,E3,0.17
39.51,B2,0.17
39.67,A#2D#3,0.17
39.84,B2,0.17
40.01,D3,0.17
40.17,B2,0.17
40.34,B2D#3,0.17
40.50,B2,0.17
40.67,C#3,0.17
40.84,D3,0.17
41.00,A#2D#3,0.17
41.17,B2,0.17
41.33,C#3,0.17
41.50,D#3,0.17
41.67,D3E3,0.17
41.83,B2,0.17
42.00,D#3,0.17
