# 六兆年と一夜物語(简谱)
# Converted from SkyStudio format
# BPM: 744
# Total chords: 794

Time,Keys,Duration
0.64,B2,0.32
0.96,C#3,0.32
1.28,D3,0.64
1.92,B2,0.32
2.24,C#3,0.32
2.56,D3,0.64
3.20,D3,0.32
3.52,F#3,0.32
3.84,F3,0.32
4.16,F#3,0.32
4.48,F3,0.32
4.80,E3,0.32
5.12,D#3,0.64
5.76,C#3,0.32
6.08,B2,0.32
6.40,A#2,0.64
7.04,A#2,0.32
7.36,B2,0.32
7.68,A#2,0.48
8.16,B2,0.08
8.24,A#2,0.08
8.32,A2,0.32
8.64,A#2,2.56
11.20,B2,0.08
11.28,C#3,0.08
11.36,D3,0.08
11.44,E3,0.08
11.52,F3,0.32
11.84,F#3,0.32
12.16,F3,0.08
12.24,F#3,0.08
12.32,F3,0.08
12.40,E3,0.08
12.48,D3,0.16
12.64,E3,0.16
12.80,F3,0.32
13.12,F#3,0.32
13.44,F3,0.08
13.52,F#3,0.08
13.60,F3,0.08
13.68,E3,0.08
13.76,C#3,0.16
13.92,E3,0.16
14.08,F3,0.32
14.40,F#3,0.32
14.72,F3,0.08
14.80,F#3,0.08
14.88,F3,0.08
14.96,E3,0.08
15.04,C#3,0.16
15.20,E3,0.16
15.36,F3,0.16
15.52,F#3,0.16
15.68,F3,0.08
15.76,F#3,0.08
15.84,F3,0.08
15.92,E3,0.08
16.00,D3,0.32
16.32,D3,0.16
16.48,E3,0.16
16.64,F3,0.32
16.96,F#3,0.32
17.28,F3,0.08
17.36,F#3,0.08
17.44,F3,0.08
17.52,E3,0.08
17.60,D3,0.16
17.76,E3,0.16
17.92,F3,0.32
18.24,F#3,0.32
18.56,F3,0.08
18.64,F#3,0.08
18.72,F3,0.08
18.80,E3,0.08
18.88,C#3,0.16
19.04,E3,0.16
19.20,F3,0.08
19.28,F#3,0.08
19.36,F3,0.08
19.44,E3,0.08
19.52,D3,0.16
19.68,C#3,0.08
19.76,D3,0.08
19.84,C#3,0.08
19.92,B2,0.08
20.00,A#2,0.16
20.16,D#3,0.08
20.24,E3,0.08
20.32,D#3,0.08
20.40,C#3,0.08
20.48,B2,0.16
20.64,F3,0.08
20.72,F#3,0.08
20.80,G#3,0.08
20.88,C4,0.08
20.96,A3,0.16
21.12,C#3,0.32
21.44,E3,0.32
21.76,F3,0.48
22.24,F#3,0.16
22.40,F3,0.48
22.88,F#3,0.16
23.04,F3,0.32
23.36,E3,0.16
23.52,E3,0.16
23.68,E3,0.32
24.00,C#3,0.16
24.16,E3,0.16
24.32,F3,0.48
24.80,F#3,0.16
24.96,F3,0.32
25.28,F3,0.16
25.44,F#3,0.16
25.60,F3,0.32
25.92,E3,0.32
26.24,E3,0.64
26.88,F3,0.48
27.36,E3,0.16
27.52,E3,0.48
28.00,E3,0.16
28.16,F3,0.48
28.64,E3,0.16
28.80,E3,0.32
29.12,F#3,0.32
29.44,F3,0.32
29.76,F#3,0.16
29.92,F3,0.48
30.40,E3,0.16
30.56,E3,0.80
31.36,D3,0.32
31.68,E3,0.32
32.00,F3,0.48
32.48,F#3,0.16
32.64,F3,0.48
33.12,F#3,0.16
33.28,F3,0.16
33.44,F3,0.16
33.60,E3,0.32
33.92,E3,0.32
34.24,D3,0.16
34.40,E3,0.16
34.56,F3,0.48
35.04,F#3,0.16
35.20,F3,0.08
35.28,F#3,0.08
35.36,F3,0.32
35.68,F#3,0.16
35.84,F3,0.32
36.16,E3,0.16
36.32,E3,0.16
36.48,E3,0.64
37.12,F3,0.48
37.60,E3,0.16
37.76,E3,0.48
38.24,E3,0.16
38.40,F3,0.48
38.88,E3,0.16
39.04,E3,0.32
39.36,F#3,0.32
39.68,F3,0.32
40.00,F#3,0.16
40.16,F3,0.48
40.64,E3,0.16
40.80,E3,0.80
41.60,F#3,0.32
41.92,G#3,0.32
42.24,A3,0.32
42.56,C4,0.16
42.72,G#3,0.32
43.04,A3,0.16
43.20,F#3,0.96
44.16,F#3,0.32
44.48,G#3,0.32
44.80,F3,0.32
45.12,F#3,0.16
45.28,F3,0.32
45.60,E3,0.16
45.76,F#3,0.96
46.72,F#3,0.32
47.04,G#3,0.32
47.36,A3,0.32
47.68,C4,0.32
48.00,G#3,0.32
48.32,A3,0.32
48.64,F#3,0.64
49.28,F3,0.32
49.60,E3,0.32
49.92,F3,0.32
50.24,F#3,0.32
50.56,G#3,0.32
50.88,F#3,0.32
51.20,A3,0.64
51.84,F#3,0.32
52.16,G#3,0.32
52.48,A3,0.32
52.80,F#3,0.16
52.96,G#3,0.16
53.12,A3,0.24
53.36,A3,0.08
53.44,G#3,0.16
53.60,F#3,0.16
53.76,F3,0.24
54.00,E3,0.08
54.08,F3,0.16
54.24,F#3,0.16
54.40,E3,0.32
54.72,D3,0.16
54.88,E3,0.16
55.04,F3,0.32
55.36,F3,0.16
55.52,F#3,0.16
55.68,G#3,0.16
55.84,F#3,0.08
55.92,F#3G#3,0.08
56.00,F3,0.16
56.16,E3,0.16
56.32,F3,0.32
56.64,F3,0.16
56.80,E3,0.16
56.96,F#3,0.32
57.28,F#3,0.16
57.44,G#3,0.16
57.60,A3,0.32
57.92,F#3,0.16
58.08,G#3,0.16
58.24,A3,0.32
58.56,D3,0.16
58.72,F#3,0.16
58.88,F3,0.16
59.04,F#3,0.16
59.20,F3,0.16
59.36,E3,0.16
59.52,D3,0.32
59.84,D3,0.16
60.00,E3,0.16
60.16,F3,0.16
60.32,F3,0.08
60.40,E3,0.08
60.48,F3,0.16
60.64,F3,0.08
60.72,E3,0.08
60.80,F3,0.16
60.96,F3,0.08
61.04,E3,0.08
61.12,F3,0.16
61.28,F3,0.08
61.36,E3,0.08
61.44,D3,0.16
61.60,E3,0.16
61.76,D3,0.16
61.92,C#3,0.16
62.08,D3,0.32
62.40,F#3,0.16
62.56,G#3,0.16
62.72,A3,0.32
63.04,F#3,0.16
63.20,G#3,0.16
63.36,A3,0.24
63.60,A3,0.08
63.68,G#3,0.16
63.84,F#3,0.16
64.00,F3,0.24
64.24,E3,0.08
64.32,F3,0.16
64.48,F#3,0.16
64.64,E3,0.32
64.96,D3,0.16
65.12,E3,0.16
65.28,F3,0.32
65.60,F3,0.16
65.76,F#3,0.16
65.92,G#3,0.16
66.08,F#3,0.08
66.16,F#3G#3,0.08
66.24,F3,0.16
66.40,E3,0.16
66.56,F3,0.32
66.88,F3,0.16
67.04,E3,0.16
67.20,F#3,0.32
67.52,F#3,0.16
67.68,G#3,0.16
67.84,A3,0.32
68.16,F#3,0.16
68.32,G#3,0.16
68.48,A3,0.32
68.80,D3,0.16
68.96,F#3,0.16
69.12,F3,0.16
69.28,F#3,0.16
69.44,F3,0.16
69.60,E3,0.16
69.76,D3,0.32
70.08,D3,0.16
70.24,E3,0.16
70.40,F3,0.16
70.56,F3,0.08
70.64,E3,0.08
70.72,F3,0.16
70.88,F3,0.08
70.96,E3,0.08
71.04,F3,0.16
71.20,F3,0.08
71.28,E3,0.08
71.36,F3,0.16
71.52,F3,0.08
71.60,E3,0.08
71.68,D3,0.16
71.84,E3,0.16
72.00,D3,0.16
72.16,C#3,0.16
72.32,D3,0.64
72.96,A3,0.32
73.28,F#3,0.16
73.44,G#3,0.16
73.60,A3,0.24
73.84,A3,0.08
73.92,G#3,0.16
74.08,F#3,0.16
74.24,F3,0.16
74.40,E3,0.16
74.56,D#3,0.16
74.72,E3,0.16
74.88,D3,0.64
75.52,E3,0.48
76.00,G3,0.16
76.16,F#3,0.16
76.32,G3,0.08
76.40,F#3,0.08
76.48,F3,0.16
76.64,D#3,0.16
76.80,E3,0.24
77.04,F3,0.08
77.12,E3,0.16
77.28,F3,0.16
77.44,F#3,0.32
77.76,F#3,0.16
77.92,G#3,0.16
78.08,A3,0.08
78.16,C4,0.08
78.24,A3,0.08
78.32,C4,0.08
78.40,A3,0.08
78.48,C4,0.08
78.56,A3,0.08
78.64,C4,0.08
78.72,A3,0.08
78.80,C4,0.08
78.88,A3,0.08
78.96,C4,0.08
79.04,G#3,0.16
79.20,F#3,0.16
79.36,F3,0.16
79.52,G#3,0.16
79.68,F3,0.08
79.76,F#3,0.08
79.84,F3,0.08
79.92,E3,0.08
80.00,D3,0.08
80.08,E3,0.08
80.16,D3,0.08
80.24,C#3,0.08
80.32,B2,0.16
80.48,C#3,0.16
80.64,C3,0.08
80.72,C#3,0.08
80.80,E3,0.08
80.88,C#3,0.08
80.96,C3,0.08
81.04,C#3,0.08
81.12,E3,0.08
81.20,C#3,0.08
81.28,G3,0.08
81.36,G#3,0.08
81.44,A3,0.08
81.52,C4,0.08
81.60,F3,0.08
81.68,F#3,0.08
81.76,G#3,0.08
81.84,C4,0.08
81.92,A#3,0.08
82.00,C4,0.08
82.08,A#3,0.08
82.16,C4,0.08
82.24,A#3,0.08
82.32,C4,0.08
82.40,A#3,0.08
82.48,C4,0.08
82.56,A#3,0.08
82.64,C4,0.08
82.72,A#3,0.08
82.80,C4,0.08
82.88,A#3A3G#3,0.08
82.96,E3F#3F3,0.08
83.04,B2C#3C3,0.16
83.20,A3,0.48
83.68,C4,0.16
83.84,A3,0.16
84.00,C4,0.08
84.08,A3,0.08
84.16,G#3,0.16
84.32,F#3,0.16
84.48,F3,0.16
84.64,F#3,0.08
84.72,F3,0.08
84.80,E3,0.16
84.96,F3,0.16
85.12,F#3,0.64
85.76,F3,0.32
86.08,E3,0.16
86.24,F3,0.16
86.40,F3,0.16
86.56,F#3,0.08
86.64,F3,0.08
86.72,E3,0.16
86.88,F3,0.16
87.04,F3,0.16
87.20,E3,0.16
87.36,F3,0.32
87.68,F#3,0.64
88.32,D3,0.32
88.64,F#3,0.16
88.80,F#3,0.16
88.96,F3,0.32
89.28,G#3,0.16
89.44,A3,0.16
89.60,F#3,0.16
89.76,G#3,0.16
89.92,F3,0.16
90.08,F#3,0.16
90.24,E3,0.32
90.56,E3,0.16
90.72,E3,0.16
90.88,F3,0.48
91.36,F#3,0.16
91.52,G#3,0.16
91.68,F#3,0.08
91.76,G#3,0.08
91.84,F3,0.16
92.00,E3,0.16
92.16,F3,0.32
92.48,F3,0.16
92.64,E3,0.16
92.80,F#3,0.32
93.12,E3,0.32
93.44,F3,0.32
93.76,F3,0.16
93.92,F#3,0.16
94.08,G#3,0.16
94.24,F#3,0.16
94.40,G#3,0.16
94.56,A3,0.16
94.72,A3,0.32
95.04,A3,0.16
95.20,A3,0.16
95.36,A#3,0.16
95.52,A#3,0.08
95.60,A#3,0.08
95.68,A#3,0.08
95.76,A#3,0.08
95.84,A#3,0.80
96.64,F#3,0.32
96.96,G#3,0.32
97.28,A3,0.32
97.60,F#3,0.16
97.76,G#3,0.16
97.92,A3,0.24
98.16,A3,0.08
98.24,G#3,0.16
98.40,F#3,0.16
98.56,F3,0.24
98.80,E3,0.08
98.88,F3,0.16
99.04,F#3,0.16
99.20,E3,0.32
99.52,D3,0.16
99.68,E3,0.16
99.84,F3,0.32
100.16,F3,0.16
100.32,F#3,0.16
100.48,G#3,0.16
100.64,F#3,0.08
100.72,F#3G#3,0.08
100.80,F3,0.16
100.96,E3,0.16
101.12,F3,0.32
101.44,F3,0.16
101.60,E3,0.16
101.76,F#3,0.32
102.08,F#3,0.16
102.24,G#3,0.16
102.40,A3,0.32
102.72,F#3,0.16
102.88,G#3,0.16
103.04,A3,0.32
103.36,D3,0.16
103.52,F#3,0.16
103.68,F3,0.16
103.84,F#3,0.16
104.00,F3,0.16
104.16,E3,0.16
104.32,D3,0.32
104.64,D3,0.16
104.80,E3,0.16
104.96,F#3,0.16
105.12,F#3,0.08
105.20,F3,0.08
105.28,F#3,0.16
105.44,F#3,0.08
105.52,F3,0.08
105.60,F#3,0.16
105.76,F#3,0.08
105.84,F3,0.08
105.92,F#3,0.16
106.08,F#3,0.08
106.16,F3,0.08
