# 冬眠
# Converted from SkyStudio format
# BPM: 720
# Total chords: 85

Time,Keys,Duration
0.66,C#3,0.66
1.33,G#3,0.66
1.99,E3,0.50
2.49,A2,0.08
2.57,C3,0.08
2.66,F3,0.66
3.32,A2F#3,0.33
3.65,F#3,0.33
3.98,C3,0.66
4.65,D3E3,0.33
4.98,F3,0.33
5.31,A#2,0.66
5.98,C#3,0.66
6.64,G#3,0.66
7.30,E3,0.50
7.80,B2,0.08
7.88,C#3,0.08
7.97,F3,0.66
8.63,B2F#3,0.33
8.96,F#3,0.33
9.30,C#3,0.66
9.96,D#3,0.50
10.46,B2,0.08
10.54,D3,0.08
10.62,E3,0.66
11.29,C#3,0.66
11.95,G#3,0.66
12.62,E3,0.50
13.11,A#2,0.08
13.20,C3,0.08
13.28,F3,0.66
13.94,A#2F#3,0.33
14.28,F#3,0.33
14.61,C3,0.66
15.27,D3E3,0.66
15.94,A#2F3,0.66
16.60,C#3E3,0.66
17.26,D#3F3,0.66
17.93,C#3,0.66
18.59,A2F#3,0.66
19.26,C#3,0.66
19.92,E3,0.66
20.58,G3,0.33
20.92,G#3,0.33
21.25,A2,0.66
21.91,C#3,0.66
22.58,B2G#3,0.66
23.24,E3,0.50
23.74,A2,0.08
23.82,C3,0.08
23.90,F3,0.66
24.57,A2F#3,0.33
24.90,F#3,0.33
25.23,C3,0.66
25.90,D3E3,0.33
26.23,F3,0.33
26.56,A#2,0.66
27.22,C#3,0.66
27.89,G#3,0.66
28.55,E3,0.50
29.05,B2,0.08
29.13,C#3,0.08
29.22,F3,0.66
29.88,B2F#3,0.33
30.21,F#3,0.33
30.54,C#3,0.66
31.21,D#3,0.50
31.71,B2,0.08
31.79,D3,0.08
31.87,E3,0.66
32.54,B2,0.66
33.20,F#3,0.66
33.86,E3,0.66
34.53,C3G#3,0.66
35.19,A2G3,0.66
35.86,C3F#3,0.66
36.52,E3,0.66
37.18,A#2D#3,0.66
37.85,C#3,0.50
38.35,C#3,0.08
38.43,D#3,0.08
38.51,F3,1.16
39.67,A2,0.08
39.76,C#3,0.08
39.84,E3,0.50
