# 冰柜
# Converted from SkyStudio format
# BPM: 240
# Total chords: 441

Time,Keys,Duration
1.00,B2D3E3,0.50
1.50,A2,0.25
1.75,B2D3E3,0.50
2.25,A2,0.25
2.50,B2D3E3,0.25
2.75,A2,0.25
3.00,B2D3E3,0.25
3.25,F#3,0.25
3.50,B2D3E3F#3,0.25
3.75,F#3,0.25
4.00,B2D3E3F#3,0.25
4.25,F3,0.25
4.50,B2D3E3,0.25
4.75,E3,0.25
5.00,B2D3E3,0.50
5.50,A2,0.25
5.75,B2D3E3,0.50
6.25,A2,0.25
6.50,B2D3E3,0.25
6.75,A2,0.25
7.00,B2D3E3,0.25
7.25,F#3,0.25
7.50,A2F#3,0.25
7.75,B2D3E3F#3,0.25
8.00,F#3,0.25
8.25,A2F3,0.25
8.50,B2D3E3,0.25
8.75,A2F#3,0.25
9.00,C3D3F3,0.50
9.50,A#2,0.25
9.75,C3D3,0.50
10.25,A#2,0.25
10.50,C3D3,0.25
10.75,A#2,0.25
11.00,C3D3,0.25
11.25,F3,0.25
11.50,A#2F3,0.25
11.75,C3D3F3,0.25
12.00,F3,0.25
12.25,A#2F#3,0.25
12.50,C3D3G3,0.25
12.75,A#2A#3,0.25
13.00,D#3F#3,0.50
13.50,B2,0.25
13.75,D#3F#3,0.50
14.25,B2,0.25
14.50,D#3F#3,0.25
14.75,B2,0.25
15.00,D#3F#3,0.25
15.25,A#3,0.25
15.50,A#3B2,0.25
15.75,A#3D#3F#3,0.25
16.00,A#3,0.25
16.25,A3B2,0.25
16.50,D#3F3,0.25
16.75,B2F#3,0.25
17.00,B2D3E3,0.50
17.50,A2,0.25
17.75,B2D3E3,0.50
18.25,A2,0.25
18.50,B2D3E3,0.25
18.75,A2,0.25
19.00,B2D3E3,0.25
19.25,E3F#3,0.25
19.50,B2D3E3F#3,0.25
19.75,E3F#3,0.25
20.00,B2D3E3F#3,0.25
20.25,D#3F3,0.25
20.50,B2D3E3,0.25
20.75,E3,0.25
21.00,B2D3E3,0.50
21.50,A2,0.25
21.75,B2D3E3,0.50
22.25,A2,0.25
22.50,B2D3E3,0.25
22.75,A2,0.25
23.00,B2D3E3,0.25
23.25,E3F#3,0.25
23.50,A2E3F#3,0.25
23.75,B2D3E3F#3,0.25
24.00,E3F#3,0.25
24.25,A2F3,0.25
24.50,B2D3E3,0.25
24.75,A2F#3,0.25
25.00,C3D3F3,0.50
25.50,A#2,0.25
25.75,C3D3,0.50
26.25,A#2,0.25
26.50,C3D3,0.25
26.75,A#2,0.25
27.00,C3D3,0.25
27.25,D#3F3,0.25
27.50,A#2D#3F3,0.25
27.75,C3D#3D3F3,0.25
28.00,D#3F3,0.25
28.25,A#2E3F#3,0.25
28.50,C3D3E3G3,0.25
28.75,A#2A#3F3,0.25
29.00,D#3F#3,0.50
29.50,B2,0.25
29.75,D#3F#3,0.50
30.25,B2C4F#3,0.25
30.50,C4D#3F#3,0.25
30.75,A#3B2F3,0.25
31.00,D#3F#3,0.25
31.25,C4F#3,0.25
31.50,B2C4F#3,0.25
31.75,C4D#3F#3,0.25
32.00,C4F#3,0.25
32.25,A#3B2F3,0.25
32.50,D#3F3,0.25
32.75,B2F#3,0.25
33.00,B2D3E3,0.50
33.50,A2,0.25
33.75,B2D3E3,0.50
34.25,A2,0.25
34.50,B2D3E3,0.25
34.75,A2,0.25
35.00,B2D3E3,0.50
35.50,A2D#3,0.25
35.75,B2D3E3,0.25
36.00,E3,0.25
36.25,A2,0.25
36.50,B2D3E3F#3,0.25
36.75,A2A3E3,0.25
37.00,C3D3E3,0.50
37.50,A2,0.25
37.75,C3D3E3,0.50
38.25,A2,0.25
38.50,C3D3E3,0.25
38.75,A2,0.25
39.00,C3D3E3,0.25
39.25,A3E3,0.25
39.50,A2A3E3,0.25
39.75,A3C3D3E3,0.25
40.00,A3E3,0.25
40.25,A2E3G#3,0.25
40.50,C3D3E3F3,0.25
40.75,A2F#3,0.25
41.00,C#3E3F#3,0.50
41.50,B2,0.25
41.75,C#3E3F#3,0.50
42.25,B2,0.25
42.50,C#3E3F#3,0.25
42.75,B2,0.25
43.00,B2D3,0.50
43.50,B2D#3,0.25
43.75,B2D3,0.25
44.00,E3,0.25
44.25,B2,0.25
44.50,B2D3F#3,0.25
44.75,A3B2E3,0.25
45.00,C3D3E3,0.50
45.50,A2,0.25
45.75,C3D3E3,0.50
46.25,A2,0.25
46.50,C3D3E3,0.25
46.75,A2,0.25
47.00,C3D3E3,0.25
47.25,A3E3,0.25
47.50,A2A3E3,0.25
47.75,A3C3D3E3,0.25
48.00,A3E3,0.25
48.25,A2E3G#3,0.25
48.50,C3D3E3F3,0.25
48.75,A2F#3,0.25
49.00,C#3E3F#3,0.50
49.50,B2,0.25
49.75,C#3E3F#3,0.50
50.25,B2,0.25
50.50,C#3E3F#3,0.25
50.75,B2,0.25
51.00,C#3E3F#3,0.50
51.50,B2,0.50
52.00,B2,0.25
52.25,B2,0.25
52.50,B2,0.25
52.75,B2D3E3F#3,0.50
53.25,A2,0.25
53.50,C3D3F3,0.50
54.00,A#2,0.25
54.25,C3D3,0.25
54.50,A#2,0.25
54.75,C3D3,0.25
55.00,F3,0.25
55.25,A#2F3,0.25
55.50,C3D3F3,0.25
55.75,F3,0.25
56.00,A#2F#3,0.25
56.25,C3D3F3,0.25
56.50,A#2E3,0.25
56.75,B2D3E3,0.50
57.25,A2,0.25
57.50,B2D3E3,0.50
58.00,A2,0.25
58.25,B2D3E3,0.25
58.50,A2,0.25
58.75,B2D3E3,0.50
59.25,A2,0.25
59.50,B2D3E3,0.50
60.00,A2,0.25
60.25,B2D3E3,0.25
60.50,A2,0.25
60.75,C3D3E3F#3,0.50
61.25,A2,0.25
61.50,C3D3F3,0.50
62.00,A2,0.25
62.25,C3D3,0.25
62.50,A2,0.25
62.75,C3D3,0.25
63.00,F3,0.25
63.25,A#2F3,0.25
63.50,C3D3F3,0.25
63.75,F#3,0.25
64.00,A#2F3,0.25
64.25,C3D3E3,0.25
64.50,A#2E3,0.25
64.75,B2D3E3,0.50
65.25,A2,0.25
65.50,B2D3E3,0.50
66.00,A2,0.25
66.25,B2D3E3,0.25
66.50,A2,0.25
66.75,B2D3E3,0.50
67.25,A2,0.25
67.50,B2D3E3,0.50
68.00,A2,0.25
68.25,B2D3E3,0.25
68.50,A2,0.25
68.75,B2D3E3F#3,0.50
69.25,A2,0.25
69.50,C3D3F3,0.50
70.00,A#2,0.25
70.25,C3D3,0.25
70.50,A#2,0.25
70.75,C3D3F3,0.50
71.25,A#2,0.25
71.50,B2D3E3,0.50
72.00,A2,0.25
72.25,B2D3E3,0.25
72.50,A2,0.25
72.75,B2D3E3F#3,0.50
73.25,A2,0.25
73.50,C3D3F3,0.50
74.00,A#2,0.25
74.25,C3D3,0.25
74.50,A#2,0.25
