# 千本桜
# Converted from SkyStudio format
# BPM: 614
# Total chords: 1419

Time,Keys,Duration
0.00,B2D3,0.29
0.29,B2D3,0.29
0.58,A#2C#3,0.19
0.78,B2D3,0.29
1.07,B2D3,0.29
1.36,A#2C#3,0.19
1.55,B2D3E3,0.29
1.84,B2D3,0.29
2.13,A#2C#3,0.19
2.33,B2D3,0.39
2.72,A2B2D3F3,0.39
3.10,B2D3F#3,0.29
3.40,B2D3,0.29
3.69,A#2C#3,0.19
3.88,B2D3,0.29
4.17,B2D3,0.29
4.46,A#2C#3,0.19
4.66,B2C#3D3,0.39
5.04,A2B2C#3E3,0.39
5.43,A#2D3F3,0.39
5.82,B2D3F#3,0.39
6.21,A#2D3F3,0.19
6.40,B2C3F#3,0.19
6.60,A2D3,0.10
6.69,C#3,0.10
6.79,C3D3,0.10
6.89,C#3,0.10
6.98,A#2C#3F3,0.19
7.18,A#2B2F#3,0.19
7.37,D#3D3,0.10
7.47,C#3,0.10
7.57,A#2D3,0.10
7.66,C#3,0.10
7.76,A#2D3F3,0.19
7.95,B2F#3,0.19
8.15,A2D3,0.10
8.24,C#3,0.10
8.34,B2D3,0.10
8.44,C#3,0.10
8.54,A2B2E3,0.19
8.73,B2D#3F#3,0.10
8.83,E3F3,0.10
8.92,D#3D3,0.19
9.12,B2C#3,0.19
9.31,B2C#3D3F3,0.19
9.51,A#2C3F#3,0.19
9.70,A2D3,0.10
9.80,C#3,0.10
9.89,C3D3,0.10
9.99,C#3,0.10
10.09,A#2C#3F3,0.19
10.28,A#2B2F#3,0.19
10.48,D#3D3,0.10
10.57,C#3,0.10
10.67,A#2D3,0.10
10.77,C#3D3,0.10
10.86,D3E3F3,0.19
11.06,B2F#3,0.19
11.25,A2G#3,0.19
11.45,B2C4F#3,0.19
11.64,A#3A2F#3,0.10
11.74,E3F3,0.10
11.83,A#3B2,0.10
11.93,A3,0.10
12.03,D#3G#3,0.19
12.22,B2F#3,0.10
12.32,E3,0.10
12.42,A#2C#3D3F3,0.19
12.61,B2C3F#3,0.19
12.80,A2D3,0.10
12.90,C#3,0.10
13.00,C3D3,0.10
13.10,B2C#3E3,0.10
13.19,A#2C#3F3,0.19
13.39,A#2C#3F#3,0.19
13.58,D#3D3,0.10
13.68,C#3,0.10
13.77,A#2D3,0.10
13.87,C#3,0.10
13.97,A#2D3F#3,0.19
14.16,B2C3F#3,0.19
14.36,A2D3,0.10
14.45,C#3,0.10
14.55,B2D3,0.10
14.65,C#3,0.10
14.74,A2E3,0.19
14.94,B2D#3,0.10
15.04,E3,0.10
15.13,D#3D3,0.19
15.33,B2C#3,0.19
15.52,B2D3,0.19
15.71,C#3,0.10
15.81,D3,0.10
15.91,A2D3E3,0.19
16.10,D3,0.10
16.20,E3,0.10
16.30,A2B2F3,0.10
16.39,G#3,0.10
16.49,A#2F#3F3,0.10
16.59,F#3,0.10
16.68,A2G#3,0.10
16.78,C4,0.10
16.88,D#3F#3,0.10
16.98,F3G#3,0.10
17.07,A2C#3C4,0.19
17.27,A#3,0.10
17.36,A#3C4,0.10
17.46,A3D3,0.19
17.65,C#3D#3G#3,0.19
17.85,A2A3B2D3,0.19
18.04,G#3,0.19
18.24,A3F#3,0.19
18.43,C4G#3,0.19
18.62,D3F3G#3,0.19
18.82,C3F#3,0.19
19.01,A2A3,0.10
19.11,G#3,0.10
19.21,A3C3,0.10
19.30,G#3,0.10
19.40,C#3F3,0.19
19.59,A#2F#3,0.19
19.79,A3D#3,0.10
19.89,G#3,0.10
19.98,A#2A3,0.10
20.08,G#3,0.10
20.18,D3F3,0.19
20.37,B2F#3,0.19
20.56,A2A3,0.10
20.66,G#3,0.10
20.76,A3B2,0.10
20.86,G#3,0.10
20.95,A2C4G#3,0.19
21.15,A#3B2,0.10
21.24,A#3C4,0.10
21.34,A3D#3,0.19
21.53,B2G#3,0.19
21.73,D3F3G#3,0.19
21.92,C3F#3,0.19
22.12,A2A3,0.10
22.21,G#3,0.10
22.31,A3C3,0.10
22.41,G#3,0.10
22.50,C#3F3,0.19
22.70,A#2F#3,0.19
22.89,A3D#3,0.10
22.99,G#3,0.10
23.09,A#2A3,0.10
23.18,G#3,0.10
23.28,D3E3F3,0.19
23.47,B2F#3,0.19
23.67,A2G#3,0.19
23.86,B2C4F#3,0.19
24.06,A#3A2G#3,0.10
24.15,C4,0.10
24.25,A#3B2,0.10
24.35,A3,0.10
24.44,D#3G#3,0.19
24.64,B2F#3,0.19
24.83,D3F3G#3,0.19
25.03,C3F#3,0.19
25.22,A2A3,0.10
25.32,G#3,0.10
25.41,A3C3,0.10
25.51,G#3,0.10
25.61,C#3F3,0.19
25.80,A#2F#3,0.19
26.00,A3D#3,0.10
26.09,G#3,0.10
26.19,A#2A3,0.10
26.29,G#3,0.10
26.38,D3F3,0.19
26.58,B2F#3,0.19
26.77,A2A3,0.10
26.87,G#3,0.10
26.97,A3B2,0.10
27.06,G#3,0.10
27.16,A2C4G#3,0.19
27.35,A#3B2,0.10
27.45,A#3C4,0.10
27.55,A3D#3,0.19
27.74,B2G#3,0.19
27.94,A3C3C4F3,0.19
28.13,A2F#3,0.10
28.23,G#3,0.10
28.32,A3C#3,0.10
28.42,G#3,0.10
28.52,A#2F#3,0.10
28.61,F3,0.10
28.71,A3B2D#3,0.19
28.91,C4,0.19
29.10,A3C#3D#3F3,0.19
29.29,F#3G#3,0.19
29.49,A3B2C4D3F#3,0.29
29.78,A3B2C4D3F#3,0.29
30.07,A#2A#3C#3F3G#3,0.19
30.26,A3B2C4D3F#3,0.29
30.55,B2D3,0.10
30.65,F#3,0.19
30.85,A#2B2C#3,0.19
31.04,B2D3,0.39
31.43,B2D3,0.29
31.72,A#2C#3,0.10
31.82,B2D3E3,0.19
32.01,C#3E3,0.19
32.20,A#2F3,0.19
32.40,B2F#3,0.19
32.59,A2B2D3,0.39
32.98,A2B2D3,0.29
33.27,A#2C#3,0.10
33.37,A#2C#3D3E3,0.19
33.56,C#3,0.19
33.76,A#2B2C#3,0.19
33.95,C#3,0.19
34.14,B2D3E3,0.39
34.53,B2D3E3,0.29
34.82,A#2C#3D#3,0.10
34.92,A#2B2C#3D3,0.19
35.11,B2D3,0.19
35.31,A#2C#3E3,0.19
35.50,B2D3F3,0.19
35.70,B2D3E3F#3,0.39
36.08,A2D3F3,0.10
36.18,F#3,0.10
36.28,F3,0.19
36.47,A#2C#3E3,0.39
36.86,A#2D#3D3,0.39
37.25,B2D3E3,0.19
37.44,C#3,0.10
37.54,B2D3,0.10
37.64,B2D3E3,0.29
37.93,A#2C#3D#3,0.10
38.02,B2C#3D3,0.19
38.22,D3,0.19
38.41,A#2E3,0.19
38.61,B2F3,0.19
38.80,A2B2D3,0.19
38.99,D#3,0.10
39.09,C#3E3,0.10
39.19,A2B2D3,0.29
39.48,C#3,0.10
39.58,A2C3D3,0.19
39.77,C#3,0.19
39.96,B2C#3D#3,0.19
40.16,C#3,0.19
40.35,B2D3E3,0.19
40.55,C#3,0.10
40.64,B2D3,0.10
40.74,B2D3E3,0.29
41.03,A#2C#3D#3,0.10
41.13,B2C#3D3,0.19
41.32,D3,0.19
41.52,A#2E3,0.19
41.71,B2F3,0.19
41.90,B2D3F#3,0.19
42.10,F#3,0.19
42.29,A2D3F3G#3,0.19
42.49,F#3,0.10
42.58,F3,0.10
42.68,A#2C#3E3,0.39
43.07,A#2B2D#3D3,0.19
43.26,C#3,0.19
43.46,B2C#3C3D3E3,0.39
43.84,B2C#3C3D#3D3,0.39
44.23,A2C3D3,0.39
44.62,A2C#3C3D3,0.39
