# 千本樱 Senbonzakura 烛子ikina
# Converted from SkyStudio format
# BPM: 616
# Total chords: 930

Time,Keys,Duration
0.00,hi,0.29
0.29,hi,0.29
0.58,pu,0.19
0.78,hi,0.29
1.07,hi,0.29
1.36,pu,0.19
1.55,hik,0.29
1.84,hi,0.29
2.13,pu,0.19
2.33,hi,0.39
2.72,klp,0.39
3.10,;hi,0.29
3.40,hi,0.29
3.69,pu,0.19
3.88,hi,0.29
4.17,hi,0.29
4.46,pu,0.19
4.66,hi,0.39
5.04,hik,0.39
5.43,lpu,0.39
5.82,;pu,0.39
6.21,lo,0.19
6.40,;y,0.19
6.60,ho,0.10
6.69,p,0.10
6.79,hy,0.10
6.89,p,0.10
6.98,lp,0.19
7.18,;u,0.19
7.37,hp,0.10
7.47,p,0.10
7.57,hu,0.10
7.66,p,0.10
7.76,il,0.19
7.95,;y,0.19
8.15,hi,0.10
8.24,p,0.10
8.34,hy,0.10
8.44,p,0.10
8.54,ik,0.19
8.73,jy,0.10
8.83,jk,0.10
8.92,hi,0.19
9.12,py,0.19
9.31,lo,0.19
9.51,;y,0.19
9.70,ho,0.10
9.80,p,0.10
9.89,hy,0.10
9.99,p,0.10
10.09,lp,0.19
10.28,;u,0.19
10.48,hp,0.10
10.57,p,0.10
10.67,hu,0.10
10.77,p,0.10
10.86,hl,0.19
11.06,;i,0.19
11.25,hm,0.19
11.45,/i,0.19
11.64,.h,0.10
11.74,/,0.10
11.83,.i,0.10
11.93,,,0.10
12.03,hm,0.19
12.22,;i,0.19
12.42,lo,0.19
12.61,;y,0.19
12.80,ho,0.10
12.90,p,0.10
13.00,hy,0.10
13.10,p,0.10
13.19,lp,0.19
13.39,;u,0.19
13.58,hp,0.10
13.68,p,0.10
13.77,hu,0.10
13.87,p,0.10
13.97,il,0.19
14.16,;y,0.19
14.36,hi,0.10
14.45,p,0.10
14.55,hy,0.10
14.65,p,0.10
14.74,ik,0.19
14.94,jy,0.10
15.04,jk,0.10
15.13,hi,0.19
15.33,py,0.19
15.52,ho,0.19
15.71,py,0.10
15.81,h,0.10
15.91,ko,0.19
16.10,hy,0.10
16.20,l,0.10
16.30,;p,0.19
16.49,lu,0.10
16.59,;,0.10
16.68,mp,0.10
16.78,/,0.10
16.88,;u,0.10
16.98,m,0.10
