# 千本樱 Senbonzakura 简易版easy 烛子ikina
# Converted from SkyStudio format
# BPM: 616
# Total chords: 470

Time,Keys,Duration
0.00,B2D3,0.29
0.29,B2D3,0.29
0.58,A#2C#3,0.19
0.78,B2D3,0.29
1.07,B2D3,0.29
1.36,A#2C#3,0.19
1.55,B2D3,0.29
1.84,B2D3,0.29
2.13,A#2C#3,0.19
2.33,B2D3,0.39
2.72,C#3E3,0.39
3.10,B2D3,0.29
3.40,B2D3,0.29
3.69,A#2C#3,0.19
3.88,B2D3,0.29
4.17,B2D3,0.29
4.46,A#2C#3,0.19
4.66,B2D3,0.39
5.04,B2E3,0.39
5.43,A#2F3,0.39
5.82,A#2F#3,0.39
6.21,C3F3,0.19
6.40,F#3,0.19
6.60,D3,0.10
6.69,C#3,0.10
6.79,D3,0.10
6.89,C#3,0.10
6.98,C#3F3,0.19
7.18,F#3,0.19
7.37,D3,0.10
7.47,C#3,0.10
7.57,D3,0.10
7.66,C#3,0.10
7.76,D3F3,0.19
7.95,F#3,0.19
8.15,D3,0.10
8.24,C#3,0.10
8.34,D3,0.10
8.44,C#3,0.10
8.54,E3,0.19
8.73,D#3,0.10
8.83,D#3E3,0.10
8.92,D3,0.19
9.12,C#3,0.19
9.31,C3F3,0.19
9.51,F#3,0.19
9.70,D3,0.10
9.80,C#3,0.10
9.89,D3,0.10
9.99,C#3,0.10
10.09,C#3F3,0.19
10.28,F#3,0.19
10.48,D3,0.10
10.57,C#3,0.10
10.67,D3,0.10
10.77,C#3,0.10
10.86,D3F3,0.19
11.06,F#3,0.19
11.25,G#3,0.19
11.45,C4,0.19
11.64,A#3,0.10
11.74,C4,0.10
11.83,A#3,0.10
11.93,A3,0.10
12.03,G#3,0.19
12.22,F#3,0.19
12.42,C3F3,0.19
12.61,F#3,0.19
12.80,D3,0.10
12.90,C#3,0.10
13.00,D3,0.10
13.10,C#3,0.10
13.19,C#3F3,0.19
13.39,F#3,0.19
13.58,D3,0.10
13.68,C#3,0.10
13.77,D3,0.10
13.87,C#3,0.10
13.97,D3F3,0.19
14.16,F#3,0.19
14.36,D3,0.10
14.45,C#3,0.10
14.55,D3,0.10
14.65,C#3,0.10
14.74,E3,0.19
14.94,D#3,0.10
15.04,D#3E3,0.10
15.13,D3,0.19
15.33,C#3,0.19
15.52,C3D3,0.19
15.71,C#3,0.10
15.81,D3,0.10
15.91,E3,0.19
16.10,D3,0.10
16.20,F3,0.10
16.30,C#3F#3,0.19
16.49,F3,0.10
16.59,F#3,0.10
16.68,G#3,0.10
16.78,C4,0.10
16.88,F#3,0.10
16.98,G#3,0.10
17.07,C4D3,0.19
17.27,A#3C4,0.10
17.36,A#3,0.10
17.46,A3,0.19
17.65,G#3,0.19
17.85,A3,0.39
18.24,D3,0.19
18.43,E3,0.19
18.62,C3F3,0.19
18.82,F#3,0.19
19.01,D3,0.10
19.11,C#3,0.10
19.21,D3,0.10
19.30,C#3,0.10
19.40,C#3F3,0.19
19.59,F#3,0.19
19.79,D3,0.10
19.89,C#3,0.10
19.98,D3,0.10
20.08,C#3,0.10
20.18,D3F3,0.19
20.37,F#3,0.19
20.56,D3,0.10
20.66,C#3,0.10
20.76,D3,0.10
20.86,C#3,0.10
20.95,E3,0.19
21.15,D#3,0.10
21.24,D#3E3,0.10
21.34,D3,0.19
21.53,C#3,0.19
21.73,C3F3,0.19
21.92,F#3,0.19
22.12,D3,0.10
22.21,C#3,0.10
22.31,D3,0.10
22.41,C#3,0.10
22.50,C#3F3,0.19
22.70,F#3,0.19
22.89,D3,0.10
22.99,C#3,0.10
23.09,D3,0.10
23.18,C#3,0.10
23.28,D3F3,0.19
23.47,F#3,0.19
23.67,G#3,0.19
23.86,C4,0.19
24.06,A#3,0.10
24.15,C4,0.10
24.25,A#3,0.10
24.35,A3,0.10
24.44,G#3,0.19
24.64,F#3,0.19
24.83,C3F3,0.19
25.03,F#3,0.19
25.22,D3,0.10
25.32,C#3,0.10
25.41,D3,0.10
25.51,C#3,0.10
25.61,C#3F3,0.19
25.80,F#3,0.19
26.00,D3,0.10
26.09,C#3,0.10
26.19,D3,0.10
26.29,C#3,0.10
26.38,D3F3,0.19
26.58,F#3,0.19
26.77,D3,0.10
26.87,C#3,0.10
26.97,D3,0.10
27.06,C#3,0.10
27.16,E3,0.19
27.35,D#3,0.10
27.45,D#3E3,0.10
27.55,D3,0.19
27.74,C#3,0.19
27.94,C3F3,0.10
28.03,E3,0.10
28.13,F#3,0.10
28.23,G#3,0.10
28.32,A3,0.10
28.42,G#3,0.10
28.52,F#3,0.10
28.61,F3,0.10
28.71,C#3D3,0.19
28.91,E3,0.19
29.10,F3,0.19
29.29,F#3,0.19
29.49,B2D3,0.29
29.78,B2D3,0.29
30.07,A#2C#3,0.19
30.26,B2D3,0.78
31.04,B2D3,0.39
31.43,D3,0.29
31.72,C#3,0.10
31.82,B2D3,0.19
32.01,E3,0.19
32.20,E3,0.19
32.40,F3,0.19
32.59,C3D3,0.39
32.98,D3,0.29
33.27,C#3,0.10
33.37,A#2D3,0.19
33.56,C#3,0.19
33.76,B2,0.19
33.95,C#3,0.19
34.14,B2D3,0.39
34.53,D3,0.29
34.82,C#3,0.10
34.92,B2D3,0.19
35.11,E3,0.19
35.31,F3,0.19
35.50,F#3,0.19
35.70,C3F#3,0.39
36.08,F3,0.10
36.18,F#3,0.10
36.28,F3,0.19
36.47,C#3E3,0.39
36.86,D3,0.39
37.25,B2D3,0.39
37.64,D3,0.29
37.93,C#3,0.10
38.02,B2D3,0.19
38.22,E3,0.19
38.41,E3,0.19
38.61,F3,0.19
38.80,C3D3,0.39
39.19,D3,0.29
39.48,C#3,0.10
39.58,A#2D3,0.19
39.77,C#3,0.19
39.96,C#3,0.19
40.16,B2,0.19
40.35,B2D3,0.39
40.74,D3,0.29
41.03,C#3,0.10
41.13,B2D3,0.19
41.32,E3,0.19
41.52,F3,0.19
41.71,F#3,0.19
41.90,C3F#3,0.39
42.29,F3,0.10
42.39,F#3,0.10
42.49,F3,0.19
42.68,C#3E3,0.39
43.07,D3,0.39
43.46,C3E3,0.39
43.84,D#3,0.39
44.23,C3D3,0.39
44.62,C#3,0.39
45.01,A2C#3,0.19
45.20,C#3,0.10
45.30,D3,0.10
45.40,B2,0.19
45.59,A#2,0.19
45.78,A2B2,0.78
46.56,A2B2,0.19
46.75,C#3,0.19
46.95,D3,0.39
47.34,A#2F3,0.39
47.72,D#3,0.39
48.11,B2E3,0.39
48.50,D#3,0.19
48.69,C#3,0.19
48.89,D3,0.78
49.66,C3E3,0.39
50.05,D#3,0.39
50.44,C3D3,0.39
50.83,C#3,0.39
51.22,A2C#3,0.19
51.41,C#3,0.10
51.51,D3,0.10
51.60,B2,0.19
51.80,A#2,0.19
51.99,A2B2,0.39
52.38,B2,0.19
52.57,C#3,0.19
52.77,A#2D3,0.19
52.96,A#2D3,0.39
53.35,A#2D3,0.19
53.54,B2E3,0.39
53.93,C3F3,0.39
54.32,B2D#3,0.39
54.71,B2,0.19
54.90,B2,0.58
55.48,D3,0.19
55.68,E3,0.19
55.87,D3F3,0.29
56.16,F3,0.29
56.45,F#3,0.19
56.65,C3F#3,0.58
57.23,F#3,0.19
57.42,C#3G#3,0.19
57.62,A3,0.19
57.81,F3,0.19
58.01,E3,0.19
58.20,A2F#3,0.39
58.59,D3,0.19
58.78,E3,0.19
58.98,D3F3,0.29
59.27,F3,0.29
59.56,F#3,0.19
59.75,C3F#3,0.58
60.33,F#3,0.19
60.53,C#3G3,0.19
60.72,F#3,0.19
60.92,F3,0.19
61.11,E3,0.19
