# 卡农 canon 烛子ikina
# Converted from SkyStudio format
# BPM: 363
# Total chords: 192

Time,Keys,Duration
0.00,A2C#3E3F#3,1.32
1.32,A#2C#3D#3F3,1.32
2.64,A2B2D3E3,1.32
3.96,B2C#3D#3,1.32
5.28,A2C3D3,1.32
6.60,A2B2C#3,1.32
7.92,A2C3D3,1.32
9.24,A#2C#3D#3,1.32
10.56,A2B2E3F#3,1.32
11.88,A#2C#3D#3F3,0.66
12.54,C3,0.66
13.20,A2B2D3E3,1.32
14.52,B2C#3D#3,0.66
15.18,C#3,0.66
15.84,A2C3D3,1.32
17.16,A2B2C#3,0.66
17.82,A2,0.66
18.48,A2C3D3,1.32
19.80,A#2C#3D#3,0.66
20.46,C3,0.66
21.12,A2B2E3,0.33
21.45,D#3,0.33
21.78,E3,0.33
22.11,B2,0.33
22.44,A#2C#3,0.66
23.10,C#3D#3,0.33
23.43,C3,0.33
23.76,A2B2D3E3,0.66
24.42,F#3,0.33
24.75,E3,0.33
25.08,B2D#3G#3,0.33
25.41,F#3,0.33
25.74,G#3,0.33
26.07,A3,0.33
26.40,A2D3G3,0.33
26.73,F#3,0.33
27.06,F3,0.33
27.39,G3,0.33
27.72,A2C#3F#3,0.33
28.05,F3,0.33
28.38,E3,0.33
28.71,D#3,0.33
29.04,A2C3D3,0.33
29.37,C#3,0.33
29.70,C3,0.66
30.36,A#2C#3E3,0.66
31.02,E3,0.33
31.35,D#3,0.33
31.68,A2B2E3,0.33
32.01,D#3,0.33
32.34,B2C#3E3,0.33
32.67,B2,0.33
33.00,A#2C#3,0.66
33.66,A#2C#3D#3,0.33
33.99,C3,0.33
34.32,A2B2D3E3,0.66
34.98,B2D3F#3,0.33
35.31,E3,0.33
35.64,B2D#3G#3,0.33
35.97,F#3,0.33
36.30,C#3D#3G#3,0.33
36.63,A3,0.33
36.96,A2D3G3,0.33
37.29,F#3,0.33
37.62,A2C3F3,0.33
37.95,G3,0.33
38.28,A2C#3F#3,0.33
38.61,F3,0.33
38.94,A2B2E3,0.33
39.27,D#3,0.33
39.60,A2C3D3,0.33
39.93,C#3,0.33
40.26,C3,0.66
40.92,A#2C#3E3,0.49
41.41,C#3,0.17
41.58,D#3,0.17
41.74,E3,0.17
41.91,F3,0.17
42.08,D#3,0.17
42.24,A2C#3F#3G#3,0.33
42.57,F#3,0.17
42.73,G3,0.17
42.90,G#3,0.33
43.23,F#3,0.17
43.40,G3,0.17
43.56,A#2D#3G#3,0.17
43.73,C#3,0.17
43.89,D3,0.17
44.05,D#3,0.17
44.22,E3,0.17
44.38,F3,0.17
44.55,F#3,0.17
44.72,G3,0.17
44.88,B2D3F#3,0.33
45.21,E3,0.17
45.38,F3,0.17
45.54,F#3,0.33
45.87,B2,0.17
46.03,C3,0.17
46.20,A2B2C#3,0.17
46.37,D3,0.17
46.53,C#3,0.17
46.70,C3,0.17
46.86,C#3,0.17
47.02,E3,0.17
47.19,D#3,0.17
47.35,E3,0.17
47.52,A2C3D3,0.33
47.85,E3,0.17
48.02,D#3,0.17
48.18,D3,0.33
48.51,C#3,0.17
48.67,C3,0.17
48.84,A2B2C#3,0.17
49.01,C3,0.17
49.17,B2,0.17
49.34,C3,0.17
49.50,C#3,0.17
49.66,D3,0.17
49.83,D#3,0.17
49.99,E3,0.17
50.16,A2C3D3,0.33
50.49,E3,0.17
50.66,D#3,0.17
50.82,E3,0.33
51.15,D#3,0.17
51.31,E3,0.17
51.48,A#2C#3D#3,0.17
51.65,D3,0.17
51.81,D#3,0.17
51.98,E3,0.17
52.14,F3,0.17
52.30,F#3,0.17
52.47,G3,0.17
52.63,G#3,0.17
52.80,A2C#3F#3G#3,0.33
53.13,F#3,0.17
53.30,G3,0.17
53.46,A2C#3G#3,0.33
53.79,F#3,0.17
53.95,G3,0.17
54.12,A#2G#3,0.17
54.28,C#3,0.17
54.45,D3,0.17
54.62,D#3,0.17
54.78,A#2E3,0.17
54.95,F3,0.17
55.11,F#3,0.17
55.27,G3,0.17
55.44,B2D3F#3,0.33
55.77,E3,0.17
55.94,F3,0.17
56.10,B2D3F#3,0.33
56.43,B2,0.17
56.59,C3,0.17
56.76,A2B2C#3,0.17
56.92,D3,0.17
57.09,C#3,0.17
57.26,C3,0.17
57.42,A2B2C#3,0.17
57.59,E3,0.17
57.75,D#3,0.17
57.91,E3,0.17
58.08,A2C3D3,0.33
58.41,E3,0.17
58.58,D#3,0.17
58.74,A2C3D3,0.33
59.07,C#3,0.17
59.23,C3,0.17
59.40,A2B2C#3,0.17
59.56,C3,0.17
59.73,B2,0.17
59.90,C3,0.17
60.06,A2B2C#3,0.17
60.23,D3,0.17
60.39,D#3,0.17
60.55,E3,0.17
60.72,A2C3D3,0.33
61.05,E3,0.17
61.22,D#3,0.17
61.38,A2C3E3,0.33
61.71,D#3,0.17
61.88,E3,0.17
62.04,A#2C#3D#3,0.17
62.20,D3,0.17
62.37,D#3,0.17
62.53,E3,0.17
62.70,A#2C#3F3,0.17
62.87,E3,0.17
63.03,D3,0.17
63.20,D#3,0.17
63.36,A2B2E3,0.50
