# 原神庆云顶音乐
# Converted from SkyStudio format
# BPM: 121
# Total chords: 91

Time,Keys,Duration
0.00,E3,0.49
0.49,F3,0.49
0.99,E3,0.49
1.49,A2C#3G#3,0.49
1.98,F#3,1.49
3.46,D3,0.49
3.96,C#3,0.49
4.46,E3,0.49
4.95,F3,0.49
5.45,A3B2D3,0.49
5.94,F#3,0.49
6.43,A#2,0.49
6.93,E3,0.49
7.42,F3,0.49
7.92,E3,0.49
8.41,C3G#3,0.49
8.91,A2F#3,0.49
9.40,C#3D3,0.49
9.90,F3,0.49
10.39,E3,0.49
10.89,C3E3G#3,0.49
11.38,A2F#3,0.49
11.88,C3,0.49
12.38,F#3F3,0.49
12.87,F3,0.49
13.37,E3,0.49
13.86,A2G#3,0.49
14.36,C#3,0.49
14.85,A#2,0.49
15.35,B2C#3,1.49
16.83,D#3,0.99
17.82,E3,0.49
18.32,F3,0.49
18.81,E3,0.49
19.30,A2G#3,0.49
19.80,A2F#3,0.49
20.30,A#2,0.49
20.79,B2,0.99
21.78,C#3,0.49
22.27,A2,0.49
22.77,A#2,0.49
23.27,B2,0.49
23.76,A2C#3,0.49
24.25,E3,0.49
24.75,F3,0.49
25.25,E3,0.49
25.74,A2A3,0.49
26.23,A2F#3,0.49
26.73,A2,0.49
27.23,A2,0.49
27.72,B2,0.49
28.21,D3,0.49
28.71,D#3,0.99
29.70,A2,0.49
30.20,B2D3,2.48
32.67,E3,0.49
33.16,F3,0.49
33.66,E3,0.49
34.16,A2G#3,0.49
34.65,A2F#3,0.49
35.15,C#3,0.49
35.64,A2B2D3,0.49
36.13,F3,0.49
36.63,E3,0.99
37.62,A2E3G#3,0.49
38.12,A2F#3,0.49
38.61,C#3,0.49
39.10,A2,0.49
39.60,F3,0.49
40.09,E3,0.49
40.59,A2E3,0.49
41.09,A2,0.49
41.58,A#2,0.49
42.08,B2C#3,1.98
44.05,D#3,1.49
45.54,E3,0.49
46.03,F3,0.49
46.53,E3,0.49
47.02,A2C#3G#3,0.49
47.52,F#3,0.49
48.02,E3,0.49
48.51,F3,0.49
49.01,E3,0.99
49.99,D3G#3,0.99
50.98,F#3,0.99
51.98,E3,0.49
52.47,F3,0.49
52.97,E3,0.49
53.46,A3B2D3,0.49
53.95,F#3,1.49
55.44,E3,0.50
