# 可乐
# Converted from SkyStudio format
# BPM: 1024
# Total chords: 393

Time,Keys,Duration
0.46,p,0.46
0.93,,,0.46
1.39,m,0.46
1.86,;y,0.46
2.32,p,0.23
2.55,n,0.23
2.78,k,0.35
3.13,k,0.06
3.19,;,0.06
3.25,m,2.32
5.57,mu,0.46
6.03,p,0.46
6.50,j,0.46
6.96,p,0.46
7.42,l,0.46
7.89,k,0.46
8.35,j,0.46
8.82,p,0.35
9.16,i,0.06
9.22,h,0.06
9.28,/,0.46
9.74,i,0.46
10.21,h,0.46
10.67,k,0.46
11.14,.,1.39
12.53,;,0.35
12.88,i,0.06
12.93,p,0.06
12.99,m,0.46
13.46,i,0.46
13.92,p,0.46
14.38,j,0.46
14.85,;,0.46
15.31,j,0.46
15.78,k,0.46
16.24,j,0.35
16.59,y,0.06
16.65,o,0.06
16.70,h,0.46
17.17,y,0.46
17.63,o,0.46
18.10,h,0.35
18.44,u,0.06
18.50,p,0.06
18.56,j,0.46
19.02,u,0.23
19.26,k,0.23
19.49,p,0.46
19.95,jl,0.35
20.30,i,0.06
20.36,j,0.06
20.42,n,0.46
20.88,i,0.23
21.11,;,0.23
21.34,j,0.46
21.81,l,0.35
22.16,i,0.06
22.21,h,0.06
22.27,;,1.74
24.01,y,0.06
24.07,o,0.06
24.13,n,0.46
24.59,y,0.46
25.06,o,0.46
25.52,h,0.35
25.87,h,0.06
25.93,k,0.06
25.98,n,1.74
27.72,u,0.06
27.78,p,0.06
27.84,l,3.25
31.09,i,0.23
31.32,o,0.23
31.55,py,0.46
32.02,i,0.46
32.48,p,0.46
32.94,i,0.46
33.41,p,0.46
33.87,i,0.46
34.34,p,0.46
34.80,;,0.46
35.26,lo,0.35
35.61,k,0.35
35.96,h,1.16
37.12,y,0.46
37.58,o,0.46
38.05,h,0.46
38.51,;,0.46
38.98,lp,0.46
39.44,k,0.23
39.67,l,0.93
40.60,p,0.23
40.83,pu,0.46
41.30,i,0.46
41.76,p,0.46
42.22,l,0.46
42.69,ly,0.70
43.38,j,0.70
44.08,k,1.39
45.47,k,0.35
45.82,l,0.35
46.17,;,0.23
46.40,;o,0.46
46.86,y,0.46
47.33,ho,0.46
47.79,l,0.46
48.26,p,0.46
48.72,u,0.46
49.18,kp,0.35
49.53,l,0.35
49.88,;,0.23
50.11,;j,0.46
50.58,i,0.46
51.04,p,0.46
51.50,k,0.46
51.97,i,0.46
52.43,h,0.46
52.90,k,0.35
53.24,l,0.35
53.59,;,0.23
53.82,;o,0.46
54.29,hy,0.23
54.52,j,0.23
54.75,o,0.23
54.98,k,0.46
55.45,k,0.23
55.68,o,0.46
56.14,jy,0.46
56.61,ko,0.46
57.07,l,0.35
57.42,u,0.06
57.48,p,0.06
57.54,;,0.46
58.00,l,0.46
58.46,j,0.46
