# 可惜没如果
# Converted from SkyStudio format
# BPM: 306
# Total chords: 300

Time,Keys,Duration
0.00,ky,0.39
0.39,i,0.20
0.59,h,0.20
0.78,k,0.39
1.18,i,0.39
1.57,k,0.39
1.96,i,0.20
2.16,h,0.20
2.35,k,0.39
2.74,i,0.39
3.14,jp,0.39
3.53,u,0.20
3.72,p,0.20
3.92,j,0.39
4.31,u,0.39
4.70,l,0.39
5.10,p,0.39
5.49,m,0.78
6.27,ky,0.39
6.66,i,0.20
6.86,h,0.20
7.06,k,0.39
7.45,i,0.39
7.84,k,0.39
8.23,i,0.39
8.62,;,0.39
9.02,,,0.39
9.41,jp,0.39
9.80,u,0.20
10.00,p,0.20
10.19,j,0.39
10.58,u,0.39
10.98,l,0.39
11.37,p,0.39
11.76,m,0.78
12.54,/k,0.39
12.94,i,0.39
13.33,/k,0.39
13.72,i,0.39
14.11,/k,0.39
14.50,i,0.39
14.90,/k,0.39
15.29,;,0.39
15.68,.j,0.39
16.07,u,0.39
16.46,.j,0.39
16.86,u,0.39
17.25,jlp,1.57
18.82,y,0.39
19.21,ik,0.39
19.60,hk,0.39
19.99,j,0.39
20.38,hk,0.39
20.78,k,0.39
21.17,hk,0.39
21.56,l,0.20
21.76,l,0.20
21.95,u,0.39
22.34,p,0.39
22.74,j,0.59
23.32,l,0.20
23.52,jl,0.39
23.91,l,0.39
24.30,jl,0.20
24.50,k,0.20
24.70,k,0.20
24.89,k,0.20
25.09,y,0.39
25.48,ik,0.20
25.68,k,0.20
25.87,h,0.39
26.26,k,0.39
26.66,hk,0.39
27.05,k,0.20
27.24,k,0.20
27.44,h,0.39
27.83,k,0.20
28.03,j,0.20
28.22,ju,0.39
28.62,lp,0.39
29.01,j,0.39
29.40,p,0.39
29.79,jl,0.39
30.18,p,0.39
30.58,lm,0.78
31.36,y,0.39
31.75,ik,0.39
32.14,hk,0.39
32.54,k,0.39
32.93,hk,0.39
33.32,j,0.39
33.71,hk,0.59
34.30,l,0.39
34.69,lu,0.39
35.08,p,0.39
35.48,j,0.59
36.06,l,0.20
36.26,jl,0.39
36.65,l,0.20
36.85,l,0.20
37.04,j,0.39
37.44,;,0.20
37.63,;,0.20
37.83,y,0.39
38.22,p,0.39
38.61,;k,0.39
39.00,p,0.39
39.40,;k,0.39
39.79,l,0.20
39.98,k,0.20
40.18,p,0.20
40.38,l,0.39
40.77,l,0.20
40.96,u,0.39
41.36,p,0.39
41.75,l,0.39
42.14,p,0.39
42.53,m,0.39
42.92,j,0.20
43.12,h,0.59
43.71,j,0.20
43.90,k,0.20
44.10,iy,0.20
44.30,h,1.37
45.67,i,0.39
46.06,i,0.20
46.26,i,0.59
46.84,k,0.20
47.04,j,0.20
47.24,pu,1.18
48.41,u,0.39
48.80,j,0.39
49.20,j,0.20
49.39,h,0.59
49.98,j,0.39
50.37,hko,0.78
51.16,ho,0.78
51.94,ho,0.39
52.33,k,0.78
