# 后来
# Converted from SkyStudio format
# BPM: 300
# Total chords: 731

Time,Keys,Duration
0.80,A2B2C#3E3F#3,0.40
1.20,C#3,0.40
1.60,A2B2C#3E3F#3,0.40
2.00,E3G3,0.40
2.40,A#2C#3E3F#3,0.40
2.80,C#3,0.40
3.20,A#2C#3E3F#3,0.40
3.60,E3G3,0.40
4.00,B2C#3E3F#3,0.40
4.40,C#3,0.40
4.80,B2C#3E3F#3,0.40
5.20,E3G3,0.40
5.60,A#2C#3E3F#3G#3,0.80
6.40,A#2C#3,0.40
6.80,E3,0.40
7.20,A2A3E3,0.20
7.40,C3,0.20
7.60,D3,0.20
7.80,C3,0.20
8.00,A2,0.20
8.20,C3,0.20
8.40,A3D3E3,0.20
8.60,C3,0.20
8.80,A#2E3G#3,0.20
9.00,C#3,0.20
9.20,D#3,0.20
9.40,C#3,0.20
9.60,A#2A3E3,0.20
9.80,C#3E3G#3,0.20
10.00,D#3E3G3,0.20
10.20,C#3E3F#3,0.20
10.40,A2E3G3,0.20
10.60,C3,0.20
10.80,D3,0.20
11.00,C3,0.20
11.20,A2,0.20
11.40,C3,0.20
11.60,D3E3F#3,0.20
11.80,C3,0.20
12.00,A#2D#3F3,0.20
12.20,C#3,0.20
12.40,D#3,0.20
12.60,C#3,0.20
12.80,A#2E3F#3,0.20
13.00,C#3,0.20
13.20,D#3F3,0.20
13.40,C#3,0.20
13.60,A2C#3E3,0.80
14.40,A2C#3,0.40
14.80,E3,0.40
15.20,A2C#3E3,0.40
15.60,F3,0.40
16.00,A2C#3F#3,0.40
16.40,G3,0.40
16.80,A#2C#3F#3,0.80
17.60,A#2C#3,0.40
18.00,G3,0.40
18.40,A#2C#3F3,0.40
18.80,E3,0.20
19.00,F3,0.20
19.20,A#2C#3,0.40
19.60,D#3,0.20
19.80,D#3,0.20
20.00,B2D3E3,0.80
20.80,B2D3,0.20
21.00,D3,0.20
21.20,D3,0.20
21.40,D#3,0.20
21.60,B2D3E3,0.60
22.20,E3,0.20
22.40,B2D3,0.40
22.80,F3,0.40
23.20,A#2C#3F#3,0.40
23.60,D#3,0.20
23.80,D#3,0.20
24.00,A#2C#3,0.80
24.80,A#2C#3,0.80
25.60,A#2C#3E3,0.40
26.00,D#3,0.40
26.40,A2C3D3,0.80
27.20,A2C3,0.40
27.60,A3,0.20
27.80,G#3,0.20
28.00,A#2C#3,0.40
28.40,G3,0.20
28.60,F#3,0.20
28.80,A#2C#3,0.40
29.20,G3,0.40
29.60,B2C#3G#3,0.80
30.40,B2C#3,0.40
30.80,D#3,0.40
31.20,B2D3E3,0.80
32.00,B2D3,0.40
32.40,F3,0.20
32.60,F#3,0.20
32.80,A2C3G3,0.80
33.60,A2C3,0.40
34.00,G3,0.20
34.20,G3,0.20
34.40,A#2C#3F#3,0.40
34.80,F3,0.40
35.20,A#2C#3E3,0.40
35.60,D#3,0.20
35.80,F3,0.20
36.00,A2C#3,0.40
36.40,E3,0.40
36.80,A2C#3,0.80
37.60,A2C#3,0.80
38.40,A2C#3,0.80
39.20,A2C#3E3,0.80
40.00,A2B2E3,0.40
40.40,D#3,0.20
40.60,E3,0.20
40.80,A2B2,0.40
41.20,E3,0.40
41.60,A2B2,0.40
42.00,C3,0.40
42.40,A#2C#3,0.80
43.20,A#2C#3,0.80
44.00,A#2C#3,0.80
44.80,A#2C#3,0.80
45.60,A2C3,0.80
46.40,A2C3D3,0.40
46.80,D3,0.20
47.00,D3,0.20
47.20,A2C3,0.40
47.60,C#3,0.40
48.00,A2C3,0.40
48.40,D3,0.40
48.80,A#2C#3,0.40
49.20,A#2,0.20
49.40,B2,0.20
49.60,A2B2,0.80
50.40,A2B2,0.80
51.20,A2B2,0.40
51.60,C3,0.40
52.00,A2C3,0.40
52.40,C3,0.40
52.80,A2C3,0.40
53.20,C#3,0.40
53.60,A#2C#3,0.80
54.40,A#2C#3,0.40
54.80,B2,0.40
55.20,A#2C#3,0.40
55.60,C#3,0.40
56.00,A#2C#3,0.40
56.40,D3,0.40
56.80,B2D3,0.80
57.60,B2D3,0.80
58.40,A2C3,0.40
58.80,D3,0.40
59.20,A2C3D3,0.40
59.60,E3,0.40
60.00,A2C3,0.40
60.40,E3,0.20
60.60,F3,0.20
60.80,A#2C#3D#3,0.40
61.20,D3,0.40
61.60,A#2C#3D3,0.40
62.00,C#3,0.40
62.40,A#2C#3,0.80
63.20,A#2C#3,0.80
64.00,A2B2,0.40
64.40,E3,0.40
64.80,A2B2E3,0.40
65.20,D#3,0.20
65.40,E3,0.20
65.60,A2B2,0.40
66.00,E3,0.40
66.40,A2B2,0.40
66.80,C3,0.40
67.20,A#2C#3,0.80
68.00,A#2C#3,0.80
68.80,A2C3D3,0.40
69.20,C#3,0.40
69.60,A2C3,0.40
70.00,B2,0.40
70.40,A2C3,0.80
71.20,A2C3,0.40
71.60,C3,0.20
71.80,C3,0.20
72.00,A2C3D3,0.60
72.60,D3,0.20
72.80,A2C3,0.40
73.20,C#3,0.20
73.40,C3,0.20
73.60,B2D3,0.40
74.00,C#3,0.40
74.40,A2B2,0.80
75.20,A2B2,0.80
76.00,A2B2,0.80
76.80,A2C3,0.80
77.60,A2C3D3,0.40
78.00,D#3,0.40
78.40,A2C3E3,0.40
78.80,E3,0.40
79.20,A2C3E3,0.40
79.60,D#3F3,0.40
80.00,B2C#3E3F#3,0.80
80.80,B2C#3,0.40
81.20,E3F#3,0.40
81.60,A2C3E3G3,0.40
82.00,E3F#3,0.40
82.40,A2C3D#3F3,0.40
82.80,E3,0.40
83.20,A#2C#3D#3F3,0.80
84.00,A#2C#3,0.40
84.40,D#3,0.20
84.60,D#3,0.20
84.80,A#2C#3,0.80
85.60,A#2C#3D#3,0.40
86.00,E3,0.20
86.20,F3,0.20
86.40,A2C#3F3,0.60
87.00,E3,0.20
87.20,A2C#3,0.80
88.00,A2C#3,0.80
88.80,A2C#3,0.80
89.60,A2E3,0.40
90.00,C#3,0.40
90.40,E3,0.40
90.80,C#3D#3,0.20
91.00,E3,0.20
91.20,A2,0.40
91.60,B2E3,0.40
92.00,A2B2,0.40
92.40,C3,0.40
92.80,A#2C#3,0.40
93.20,C#3,0.40
93.60,D#3,0.40
94.00,C#3,0.40
94.40,A#2,0.40
94.80,C#3,0.40
95.20,D#3,0.40
95.60,C#3,0.40
96.00,A2,0.40
96.40,C3,0.40
96.80,D3,0.40
97.20,C3D3,0.20
97.40,D3,0.20
97.60,A2,0.40
98.00,B2C#3,0.40
98.40,C3,0.40
98.80,B2D3,0.40
99.20,A#2C#3,0.40
99.60,A#2,0.20
99.80,B2,0.20
100.00,A2,0.40
100.40,B2,0.40
100.80,C#3,0.40
101.20,B2,0.40
101.60,A2,0.40
102.00,C3,0.40
102.40,A2C3,0.40
102.80,C3,0.40
103.20,C3,0.40
103.60,C#3,0.40
104.00,A#2C#3,0.40
104.40,C#3,0.40
104.80,D#3,0.40
105.20,B2,0.40
105.60,A#2C#3,0.40
106.00,C#3,0.40
106.40,C#3,0.40
106.80,D3,0.40
107.20,A2D3,0.40
107.60,B2,0.40
108.00,D3,0.40
108.40,B2,0.40
108.80,A2,0.40
109.20,C3D3,0.40
109.60,D3,0.40
110.00,C3E3,0.40
110.40,A2,0.40
110.80,C3E3,0.20
111.00,F3,0.20
111.20,A#2D#3,0.40
111.60,C#3D3,0.40
112.00,A#2D3,0.40
