# 吹梦到西洲（笛）[By北北]
# Converted from SkyStudio format
# BPM: 290
# Total chords: 915

Time,Keys,Duration
0.00,C3D3,0.21
0.21,D3,0.21
0.41,D#3,0.21
0.62,D#3,0.21
0.82,E3,0.21
1.03,E3,0.21
1.24,F#3,0.21
1.44,F#3,0.21
1.65,D#3F3,0.21
1.85,F3,0.21
2.06,G#3,0.21
2.27,G#3,0.21
2.47,G#3,0.41
2.88,F3,0.21
3.09,E3,0.21
3.30,B2D#3,0.21
3.50,D#3,0.21
3.71,E3,0.21
3.91,E3,0.21
4.12,F3,0.21
4.33,F3,0.21
4.53,F#3,0.21
4.74,F#3,0.21
4.94,D3E3,0.21
5.15,E3,0.21
5.36,E3,0.21
5.56,E3,0.21
5.77,D#3,0.21
5.97,D#3,0.21
6.18,E3,0.21
6.39,D#3,0.21
6.59,C3D3,0.21
6.80,D3,0.21
7.00,D3,0.21
7.21,D3,0.21
7.42,D3,0.21
7.62,D3,0.21
7.83,D3,0.21
8.03,D3,0.21
8.24,A#2C3,0.21
8.45,C3,0.21
8.65,C3,0.21
8.86,C3,0.21
9.06,C#3,0.21
9.27,C#3,0.21
9.48,C#3,0.21
9.68,C#3,0.21
9.89,A#2E3,0.21
10.09,E3,0.21
10.30,E3,0.21
10.51,E3,0.21
10.71,E3,0.21
10.92,E3,0.21
11.12,E3,0.21
11.33,E3,0.21
11.54,C#3D#3,0.21
11.74,D#3,0.21
11.95,D#3,0.21
12.15,D#3,0.21
12.36,G#3,0.21
12.57,G#3,0.62
13.18,A2,0.41
13.60,G#3,0.21
13.80,G#3,0.21
14.01,G3,0.21
14.21,G3,0.21
14.42,F#3,0.21
14.63,F3,0.21
14.83,C#3F3,0.21
15.04,E3,0.62
15.66,E3,0.21
15.86,E3,0.21
16.07,F3,0.21
16.27,F3,0.21
16.48,D#3F#3,0.21
16.69,F#3,0.21
16.89,F#3,0.21
17.10,F#3,0.21
17.30,F#3,0.21
17.51,F#3,0.21
17.72,D#3,0.41
18.13,B2D#3,0.21
18.33,D#3,0.21
18.54,D#3,0.21
18.75,D#3,0.62
19.36,D3,0.21
19.57,D#3,0.21
19.78,C3E3,0.21
19.98,E3,0.21
20.19,D3,0.21
20.39,D3,0.21
20.60,E3,0.21
20.81,E3,0.21
21.01,F#3,0.21
21.22,F3,0.21
21.42,C#3F3,0.21
21.63,F3,0.41
22.04,F3,0.21
22.25,E3,0.21
22.45,E3,0.21
22.66,F3,0.21
22.87,F3,0.21
23.07,A2F#3,0.21
23.28,F#3,0.21
23.48,F#3,0.21
23.69,F#3,0.21
23.90,F#3,0.21
24.10,F#3,0.21
24.31,F#3,0.21
24.51,F#3,0.21
24.72,B2C#3,0.82
25.54,F3,0.21
25.75,F3,0.21
25.96,F3,0.21
26.16,F3,0.21
26.37,D3,0.41
26.78,A3,0.21
26.99,A3,0.21
27.19,F#3,0.21
27.40,F#3,0.21
27.60,A3,0.21
27.81,A3,0.21
28.02,A3E3,0.21
28.22,A3,0.62
28.84,F#3,0.21
29.05,F#3,0.21
29.25,A3,0.21
29.46,A3,0.21
29.66,D#3G#3,0.21
29.87,G#3,0.21
30.08,G#3,0.21
30.28,G#3,0.21
30.49,G#3,0.21
30.69,G#3,0.21
30.90,F3,0.21
31.11,F3,0.21
31.31,D#3F#3,0.21
31.52,F#3,0.21
31.72,F#3,0.41
32.14,F3,0.21
32.34,F3,0.21
32.55,F#3,0.21
32.75,F#3,0.21
32.96,A#2G3,0.21
33.17,G3,0.21
33.37,F#3,0.21
33.58,F#3,0.21
33.78,G3,0.21
33.99,G3,0.21
34.20,G#3,0.21
34.40,G3,0.21
34.61,E3G3,0.21
34.81,G3,0.41
35.23,F#3,0.21
35.43,E3,0.21
35.64,E3,0.21
35.84,F#3,0.21
36.05,F#3,0.21
36.26,C#3F3,0.21
36.46,F3,0.21
36.67,F3,0.21
36.87,F3,0.21
37.08,F3,0.21
37.29,F3,0.21
37.49,F3,0.21
37.70,F3,0.21
37.90,C#3D#3,0.82
38.73,G#3,0.21
38.93,G#3,0.21
39.14,G#3,0.21
39.35,G#3,0.21
39.55,A2C#3,0.41
39.96,G#3,0.21
40.17,G#3,0.21
40.38,G3,0.21
40.58,G3,0.21
40.79,F#3,0.21
40.99,F3,0.21
41.20,A2C#3F3,0.21
41.41,F3,0.62
42.02,E3,0.21
42.23,E3,0.21
42.44,F3,0.21
42.64,F3,0.21
42.85,B2D#3F#3,0.21
43.05,F#3,0.21
43.26,F#3,0.21
43.47,F#3,0.21
43.67,F#3,0.21
43.88,F#3,0.21
44.08,G3,0.21
44.29,F#3,0.21
44.50,B2D#3F#3,0.21
44.70,F#3,0.21
44.91,F#3,0.21
45.11,F#3,0.62
45.73,G3,0.21
45.94,G#3,0.21
46.14,A2A3C3,0.21
46.35,A3,0.21
46.56,G3,0.41
46.97,G3,0.21
47.17,G3,0.21
47.38,A3,0.21
47.59,G#3,0.21
47.79,A#2C#3G#3,0.21
48.00,G#3,0.41
48.41,G#3,0.21
48.62,F3,0.21
48.82,F3,0.21
49.03,G3,0.21
49.23,G3,0.21
49.44,A2F#3,0.21
49.65,F#3,0.21
49.85,F#3,0.21
50.06,F#3,0.21
50.26,F#3,0.21
50.47,F#3,0.21
50.68,G3,0.21
50.88,G3,0.21
51.09,A2F#3,0.21
51.29,F#3,0.21
51.50,F#3,0.21
51.71,F#3,1.03
52.74,B2D3,0.41
53.15,A3,0.21
53.35,A3,0.21
53.56,F#3,0.21
53.77,F#3,0.21
53.97,A3,0.21
54.18,A3,0.21
54.38,A3B2D3,0.21
54.59,A3,0.62
55.21,A3,0.21
55.41,A3,0.21
55.62,A#3,0.21
55.83,C4,0.21
56.03,A#3B2D#3,0.21
56.24,A#3,0.21
56.44,A3,0.21
56.65,A3,0.21
56.86,G#3,0.21
57.06,G#3,0.21
57.27,F3,0.21
57.47,F#3,0.21
57.68,B2D#3F#3,0.21
57.89,F#3,0.62
58.50,F3,0.21
58.71,F3,0.21
58.92,F#3,0.21
59.12,F#3,0.21
59.33,A#2C3G3,0.21
59.53,G3,0.21
59.74,F#3,0.21
59.95,F#3,0.21
60.15,F3,0.21
60.36,F3,0.21
60.56,F#3,0.21
60.77,G3,0.21
60.98,C3E3G3,0.21
61.18,G3,0.62
61.80,F#3,0.21
62.01,F#3,0.21
62.21,F3,0.21
62.42,F3,0.21
62.62,A2C#3F3,0.21
62.83,F3,0.21
63.04,F#3,0.21
63.24,E3,0.21
63.45,E3,0.21
63.65,E3,0.21
63.86,E3,0.21
64.07,E3,0.21
64.27,A2C#3E3,0.21
64.48,E3,0.21
64.68,E3,0.21
64.89,E3,0.21
65.10,A2,0.82
65.92,B2D3,0.41
66.33,E3,0.21
66.54,E3,0.21
66.74,D#3,0.21
66.95,D#3,0.21
67.16,E3,0.21
67.36,F3,0.21
67.57,B2C#3F3,0.21
67.77,F3,0.21
67.98,F3,0.21
68.19,C#3,0.21
68.39,F3,0.21
68.60,F3,0.21
68.80,G#3,0.21
69.01,G#3,0.21
69.22,A2C3G3,0.21
69.42,G3,0.21
69.63,F#3,0.21
69.83,F3,0.21
70.04,F3,0.21
70.25,F3,0.21
70.45,G3,0.21
70.66,G3,0.21
70.86,A2C#3F#3,0.21
71.07,F#3,0.21
71.28,F#3,0.21
71.48,F#3,0.21
71.69,F3,0.21
71.89,F3,0.21
72.10,E3,0.21
72.31,E3,0.21
72.51,B2D3,0.41
72.92,E3,0.41
73.34,E3,0.21
73.54,E3,0.21
73.75,A3,0.21
73.95,A3,0.21
74.16,B2C#3G#3,0.21
74.37,G#3,0.21
74.57,G#3,0.21
74.78,F#3,0.21
74.98,F#3,0.21
75.19,F#3,0.21
75.40,G#3,0.21
75.60,G#3,0.21
75.81,A3C3E3,0.21
76.01,A3,0.21
76.22,A3,0.21
76.43,A3,0.21
76.63,A3,0.21
76.84,A3,0.21
77.04,A3,0.21
77.25,A3,0.21
77.46,C3E3,0.41
77.87,F#3,0.41
78.28,F#3,0.21
78.49,F#3,0.21
78.69,A3,0.41
79.10,A#2A3E3,0.21
79.31,A3,0.21
79.52,A3,0.21
79.72,A3,0.21
79.93,A#2E3,0.21
80.13,A3,0.21
80.34,A3,0.21
80.55,A3,0.21
80.75,A#3B2D#3,0.21
80.96,A#3,0.21
81.16,A#3,0.21
81.37,A#3,0.21
81.58,A#3,0.21
81.78,A#3,0.21
81.99,A#3,0.21
82.19,A#3,0.21
82.40,B2D#3,2.06
84.46,D3,0.21
84.67,D3,0.21
84.87,D#3,0.21
85.08,D#3,0.21
85.28,E3,0.21
85.49,E3,0.21
85.70,A2C3F#3,0.21
85.90,F#3,0.21
86.11,D3,0.21
86.31,D3,0.21
86.52,A2C3,0.41
86.93,C4,0.21
87.14,C4,0.21
87.34,A#2A#3C#3,0.41
87.76,A#3,0.21
87.96,A#3,0.21
88.17,A#2A3C#3,0.21
88.37,A3,0.21
88.58,G#3,0.21
88.79,G#3,0.21
88.99,A2C#3F3,0.21
89.20,F3,0.21
89.40,F#3,0.21
89.61,F#3,0.21
89.82,A2C#3,0.41
90.23,F#3,0.21
90.43,F#3,0.21
90.64,B2C4D3,0.21
90.85,C4,0.21
91.05,A#3,0.21
91.26,A#3,0.21
91.46,A3B2D3,0.21
91.67,A3,0.21
91.88,G#3,0.41
92.29,A#2C3G#3,0.21
92.49,G#3,0.21
92.70,A3,0.21
92.91,A3,0.21
93.11,A#2A3C3,0.21
93.32,A3,0.21
93.52,E3,0.21
93.73,E3,0.21
93.94,A#2C#3D#3,0.21
94.14,D#3,0.21
94.35,C#3,0.21
94.55,C#3,0.21
94.76,A#2C#3D#3,0.21
94.97,D#3,0.21
95.17,F3,0.41
95.58,A2C#3F3,0.21
95.79,F3,0.21
96.00,E3,0.21
96.20,E3,0.21
96.41,A2C#3E3,0.21
96.61,E3,0.21
96.82,F3,0.21
97.03,F3,0.21
97.23,A2C#3F#3,0.21
97.44,F#3,0.21
97.64,C4,0.21
97.85,C4,0.21
98.06,A#3A2C#3,0.21
98.26,A#3,0.21
98.47,C4,0.21
98.67,C4,0.21
98.88,A#3A2C3,0.21
99.09,A#3,0.21
99.29,A3,0.21
99.50,A3,0.21
99.70,A2A3C3,0.21
99.91,A3,0.21
100.12,F3,0.21
100.32,F3,0.21
100.53,A#2C#3E3,0.21
100.73,E3,0.21
100.94,D#3,0.21
101.15,D#3,0.21
101.35,A#2C#3D#3,0.21
101.56,D#3,0.21
101.76,D3,0.21
101.97,D3,0.21
102.18,A#2B2C#3,0.21
102.38,C#3,0.21
102.59,B2,0.21
102.79,B2,0.21
103.00,B2C#3F#3,0.21
103.21,F#3,0.21
103.41,D#3,0.21
103.62,D#3,0.21
103.82,B2C#3F3,0.21
104.03,F3,0.21
104.24,E3,0.21
104.44,E3,0.21
104.65,B2C#3E3,0.21
104.85,E3,0.21
105.06,A#3,0.21
105.27,A#3,0.21
105.47,A#2A3C3,0.21
105.68,A3,0.21
105.88,A3,0.21
106.09,A3,0.21
106.30,A#2C3G3,0.21
106.50,G3,0.21
106.71,G#3,0.21
106.91,A3,0.21
107.12,A#2A3C3,0.21
107.33,A3,0.21
107.53,G#3,0.21
107.74,G#3,0.21
107.94,A#2A3C3,0.21
108.15,A3,0.21
108.36,A#3,0.21
108.56,A#3,0.21
108.77,A2C3C4,0.21
108.97,C4,0.21
109.18,G3,0.21
109.39,G3,0.21
109.59,A2C3G3,0.21
109.80,G3,0.21
110.00,C4,0.21
110.21,C4,0.21
110.42,A#2C#3C4,0.21
110.62,C4,0.21
110.83,A#3,0.21
111.03,A#3,0.21
111.24,A#2A#3C#3,0.21
111.45,A#3,0.21
111.65,A3,0.21
111.86,A3,0.21
112.06,A#2C#3G#3,0.21
112.27,G#3,0.21
112.48,G#3,0.21
112.68,G#3,0.21
112.89,A#2A#3C#3,0.21
113.09,A#3,0.21
113.30,A#3,0.21
113.51,A#3,0.21
113.71,A3B2D3,0.21
113.92,A3,0.21
114.12,A3,0.21
114.33,A3,0.21
114.54,E3,0.21
114.74,E3,0.21
114.95,F#3,0.21
115.15,F#3,0.21
115.36,C#3F3,0.21
115.57,F3,0.21
115.77,G#3,0.21
115.98,G#3,0.21
116.18,C#3G#3,0.41
116.60,F3,0.21
116.80,E3,0.21
117.01,A#2C#3D#3,0.21
117.21,D#3,0.21
117.42,D#3,0.21
117.63,D#3,0.21
117.83,A#2C#3F3,0.21
118.04,F3,0.21
118.24,F3,0.21
118.45,F3,0.21
118.66,B2D#3,0.21
118.86,D#3,0.41
119.27,D#3,0.21
119.48,B2E3,0.21
119.69,E3,0.21
119.89,F3,0.21
120.10,F3,0.21
120.30,B2D#3F#3,0.21
120.51,F#3,0.21
120.72,F#3,0.21
120.92,F#3,0.21
121.13,F#3,0.21
121.33,F#3,0.21
121.54,F#3,0.21
121.75,F#3,0.62
122.36,D3,0.21
122.57,D3,0.21
122.78,D#3,0.21
122.98,D#3,0.21
123.19,E3,0.21
123.39,E3,0.21
123.60,C3F#3,0.21
123.81,F#3,0.21
124.01,D3,0.21
124.22,D3,0.21
124.42,D3,0.21
124.63,D3,0.21
124.84,C4,0.21
125.04,C4,0.21
125.25,A#3C#3,0.41
125.66,A#3,0.21
125.87,A#3,0.21
126.07,A3,0.21
126.28,A3,0.21
126.48,G#3,0.21
126.69,G#3,0.21
126.90,A2F3,0.21
127.10,F3,0.21
127.31,F#3,0.21
127.51,F#3,0.21
127.72,F#3,0.41
128.13,F#3,0.41
128.54,D3F#3,0.21
128.75,F#3,0.21
128.96,F3,0.21
129.16,F3,0.21
129.37,F#3,0.21
129.57,F#3,0.21
129.78,G#3,0.21
129.99,G#3,0.21
130.19,C3E3,0.21
130.40,E3,0.21
130.60,E3,0.21
130.81,E3,0.62
131.43,G#3,0.21
131.63,G#3,0.21
131.84,C#3G3,0.21
132.05,G3,0.21
132.25,F#3,0.21
132.46,F3,0.21
132.66,F3,0.21
132.87,F3,0.21
133.08,G3,0.21
133.28,G3,0.21
133.49,B2G3,0.21
133.69,G3,0.21
133.90,F#3,0.21
134.11,F#3,0.21
134.31,F#3,0.21
134.52,F#3,0.21
134.72,F#3,0.21
134.93,F#3,0.21
135.14,D3,0.41
135.55,C4,0.21
135.75,C4,0.21
135.96,A#3F#3,0.21
136.17,A#3,0.21
136.37,C4,0.21
136.58,C4,0.21
136.78,A#3C3,0.21
136.99,A#3,0.21
137.20,A3,0.21
137.40,A3,0.21
137.61,A3E3,0.41
138.02,G#3,0.41
138.43,C#3G#3,0.41
138.84,G#3,0.21
139.05,G#3,0.21
139.26,F3G3,0.21
139.46,G3,0.21
139.67,G#3,0.21
139.87,G#3,0.21
140.08,B2G3,0.21
140.29,G3,0.21
140.49,F#3,0.21
140.70,F#3,0.21
140.90,D#3F#3,0.21
141.11,F#3,0.21
141.32,F3,0.21
141.52,F3,0.21
141.73,D3E3,0.21
141.93,E3,0.21
142.14,E3,0.21
142.35,E3,0.21
142.55,B2,0.41
142.96,E3,0.21
143.17,F3,0.21
143.38,A#2F#3,0.21
143.58,F#3,0.21
143.79,F3,0.21
143.99,F3,0.21
144.20,C3F#3,0.21
