# 咆哮
# Converted from SkyStudio format
# BPM: 240
# Total chords: 58

Time,Keys,Duration
2.00,F#3,0.25
2.25,F#3,0.25
2.50,F#3,0.25
2.75,F#3,0.25
3.00,F#3,0.25
3.25,F#3,0.25
3.50,F#3,0.25
3.75,F#3,0.25
4.00,F#3,0.25
4.25,F#3,0.25
4.50,G#3,0.25
4.75,A3,0.25
5.00,A#3,0.25
5.25,A#3,0.25
5.50,A3,0.25
5.75,G#3,0.25
6.00,A3,0.25
6.25,G#3,0.25
6.50,B2F#3,0.25
6.75,F#3,0.25
7.00,B2G#3,0.25
7.25,A3,0.25
7.50,A#3,0.25
7.75,A#3B2,0.25
8.00,A3,0.25
8.25,G#3,0.25
8.50,A3B2,0.25
8.75,G#3,0.25
9.00,A3B2,0.25
9.25,G#3,0.25
9.50,B2F#3,0.25
9.75,F#3,0.25
10.00,B2G#3,0.25
10.25,A3,0.25
10.50,A#3,0.25
10.75,A#3B2,0.25
11.00,A3,0.25
11.25,G#3,0.25
11.50,A3B2,0.25
11.75,A#3,0.25
12.00,B2F#3,0.25
12.25,F#3,0.25
12.50,B2G#3,0.25
12.75,A3,0.25
13.00,A#3,0.25
13.25,A#3B2,0.25
13.50,A3,0.25
13.75,G#3,0.25
14.00,A3B2,0.25
14.25,G#3,0.25
14.50,A3F#3,0.25
14.75,G#3,0.25
15.00,B2F#3,0.25
15.25,F#3,0.25
15.50,B2G#3,0.25
15.75,A3,0.25
16.00,A#3,0.25
16.25,B2,0.50
