# 嘿咻狂想曲
# Converted from SkyStudio format
# BPM: 480
# Total chords: 202

Time,Keys,Duration
0.00,C#3,0.25
0.25,A#2,0.25
0.50,D#3,0.25
0.75,F3,1.25
2.00,C#3,0.25
2.25,A2,0.25
2.50,B2,0.25
2.75,C#3,1.25
4.00,C#3,0.25
4.25,A#2,0.25
4.50,D#3,0.25
4.75,C#3,1.25
6.00,A2,0.25
6.25,B2,0.25
6.50,C#3,0.25
6.75,D3,1.25
8.00,A#3C#3,0.25
8.25,A#2,0.25
8.50,D#3,0.25
8.75,F3,1.25
10.00,C#3F#3,0.25
10.25,A2,0.25
10.50,B2,0.25
10.75,C#3,1.25
12.00,C#3G#3,0.25
12.25,B2,0.25
12.50,C#3,0.25
12.75,D#3,0.75
13.50,C#3,0.50
14.00,D3G3,0.25
14.25,A#2,0.25
14.50,C3,0.25
14.75,D3,1.25
16.00,A#3C#3,0.25
16.25,A#2,0.25
16.50,D#3,0.25
16.75,F3,1.25
18.00,C#3F#3,0.25
18.25,A2,0.25
18.50,B2,0.25
18.75,C#3,1.25
20.00,A#3C#3,0.25
20.25,A#2,0.25
20.50,D#3,0.25
20.75,C#3,1.25
22.00,A2F#3,0.25
22.25,B2,0.25
22.50,C#3,0.25
22.75,D3,1.25
24.00,A#3C#3,0.25
24.25,A#2,0.25
24.50,D#3,0.25
24.75,F3,0.25
25.00,C3,0.25
25.25,D3,0.25
25.50,F3,0.50
26.00,C#3G#3,0.25
26.25,A2,0.25
26.50,B2,0.25
26.75,C#3,0.75
27.50,D3,0.50
28.00,A#3C#3,0.25
28.25,A#2,0.25
28.50,D#3,0.25
28.75,C#3,0.25
29.00,C3F3,0.25
29.25,D3,0.25
29.50,F3,0.50
30.00,C#3E3,0.25
30.25,A2,0.25
30.50,B2,0.25
30.75,C#3,0.75
31.50,C3,0.50
32.00,A#3C#3,0.25
32.25,A#2,0.25
32.50,D#3,0.25
32.75,F3,0.25
33.00,C3F3,0.25
33.25,D3,0.25
33.50,F3,0.50
34.00,C#3G#3,0.25
34.25,A2,0.25
34.50,B2,0.25
34.75,C#3,0.25
35.00,E3,0.50
35.50,B2F#3,0.50
36.00,C#3F3,0.25
36.25,A#2,0.25
36.50,D#3,0.25
36.75,C#3,0.25
37.00,B2E3,0.25
37.25,C#3,0.25
37.50,E3,0.50
38.00,C#3G#3,0.25
38.25,D#3,0.25
38.50,A#2,0.25
38.75,C#3F3,1.25
40.00,A#3C#3,0.25
40.25,A#2,0.25
40.50,D#3,0.25
40.75,C#3,0.25
41.00,C3F3,0.25
41.25,D3,0.25
41.50,F3,0.50
42.00,C#3G#3,0.25
42.25,A2,0.25
42.50,B2,0.25
42.75,C#3,0.75
43.50,D3,0.50
44.00,A#3C#3,0.25
44.25,A#2,0.25
44.50,D#3,0.25
44.75,C#3,0.25
45.00,C3F3,0.25
45.25,D3,0.25
45.50,F3,0.50
46.00,A2E3,0.25
46.25,B2,0.25
46.50,C#3,0.25
46.75,D3,0.75
47.50,C3,0.50
48.00,A#3C#3,0.25
48.25,A#2,0.25
48.50,D#3,0.25
48.75,F3,0.25
49.00,C3F3,0.25
49.25,D3,0.25
49.50,F3,0.50
50.00,C#3G#3,0.25
50.25,A2,0.25
50.50,B2C#3,0.25
50.75,C#3,0.25
51.00,E3,0.50
51.50,B2F#3,0.50
52.00,C#3F3,0.25
52.25,A#2,0.25
52.50,D#3,0.25
52.75,C#3,0.25
53.00,B2E3,0.25
53.25,C#3,0.25
53.50,E3,0.50
54.00,C#3G#3,0.25
54.25,D#3,0.25
54.50,A#2,0.25
54.75,C#3,1.25
56.00,A#3C#3F3G#3,0.25
56.25,A#2,0.25
56.50,D#3,0.25
56.75,C#3,0.25
57.00,A3C3F3G3,0.25
57.25,D3,0.25
57.50,A#2,0.50
58.00,A#3A2F3G#3,0.25
58.25,B2,0.25
58.50,C#3,0.25
58.75,D3G3,0.50
59.25,A#2,0.25
59.50,C#3,0.25
59.75,D3,0.25
60.00,A#3C#3F3G#3,0.25
60.25,A#2,0.25
60.50,D#3,0.25
60.75,C#3,0.25
61.00,A3C3D3F3G3,0.25
61.25,D3,0.25
61.50,A#2,0.50
62.00,A2D#3F3G#3,0.25
62.25,B2,0.25
62.50,C#3,0.25
62.75,A3D3F3G3,0.50
63.25,A#2,0.25
63.50,C#3,0.25
63.75,D3,0.25
64.00,A#3C#3F3G#3,0.25
64.25,A#2,0.25
64.50,D#3,0.25
64.75,A#2,0.25
65.00,A3C3D3F3G3,0.25
65.25,D3,0.25
65.50,A#2,0.50
66.00,A2D#3F3G#3,0.25
66.25,B2,0.25
66.50,C#3,0.25
66.75,D3F3G#3,0.50
67.25,A#2,0.25
67.50,C#3,0.25
67.75,D3,0.25
68.00,A#3C#3F3G#3,0.25
68.25,A#2,0.25
68.50,D#3,0.25
68.75,C#3,0.25
69.00,A3C3D3F3G3,0.25
69.25,D3,0.25
69.50,A#2,0.50
70.00,C#3D#3F3G#3,0.25
70.25,D#3,0.25
70.50,A#2F3G3,0.25
70.75,A#3C#3D#3G#3,0.50
71.25,A#2,0.25
71.50,C#3,0.25
71.75,D3,0.25
72.00,C#3G#3,0.50
