# 四季予你
# Converted from SkyStudio format
# BPM: 570
# Total chords: 529

Time,Keys,Duration
0.00,ky,0.42
0.42,;i,0.42
0.84,ik,0.42
1.26,;i,0.42
1.68,ik,0.42
2.10,lo,1.26
3.36,ky,0.42
3.78,;i,0.42
4.20,ik,0.42
4.62,;i,0.32
4.93,p,0.10
5.04,l,0.10
5.14,m,0.73
5.88,k,0.42
6.30,l,0.42
6.72,;oy,0.42
7.14,k,0.42
7.56,k,0.42
7.98,m,0.42
8.40,;pu,0.42
8.82,k,0.42
9.24,k,0.42
9.66,m,0.42
10.08,;ip,0.42
10.50,k,0.42
10.92,l,0.42
11.34,;,0.21
11.55,;,0.21
11.76,hi,0.84
12.60,;,0.21
12.81,l,0.21
13.02,k,0.21
13.23,u,0.10
13.34,o,0.10
13.44,l,0.84
14.28,h,0.42
14.70,p,0.21
14.91,u,0.10
15.02,p,0.10
15.12,;,0.84
15.96,l,0.42
16.38,l,0.84
17.22,k,1.89
19.11,k,0.21
19.32,/,0.21
19.53,.,0.21
19.74,m,0.21
19.95,k,0.21
20.16,oy,0.42
20.58,y,0.21
20.79,k,0.21
21.00,/,0.21
21.21,.,0.21
21.42,m,0.21
21.63,l,0.21
21.84,pu,0.42
22.26,u,0.21
22.47,l,0.21
22.68,/,0.21
22.89,.,0.21
23.10,m,0.21
23.31,;,0.21
23.52,h,0.21
23.73,i,0.21
23.94,j,0.21
24.15,k,0.42
24.57,i,0.21
24.78,j,0.21
24.99,k,0.21
25.20,h,0.21
25.41,i,0.21
25.62,j,0.21
25.83,k,0.21
26.04,/,0.21
26.25,.,0.21
26.46,m,0.21
26.67,k,0.21
26.88,oy,0.42
27.30,y,0.21
27.51,k,0.21
27.72,/,0.21
27.93,.,0.21
28.14,m,0.21
28.35,l,0.21
28.56,pu,0.42
28.98,u,0.21
29.19,k,0.21
29.40,/,0.21
29.61,m,0.21
29.82,.,0.21
30.03,/,0.21
30.24,y,0.42
30.66,p,0.21
30.87,k,0.21
31.08,n,0.42
31.50,p,0.32
31.82,k,0.10
31.92,;,1.57
33.49,m,0.10
33.60,,y,0.42
34.02,p,0.42
34.44,k,0.42
34.86,;m,1.26
36.12,l,0.42
36.54,k,0.42
36.96,,i,0.42
37.38,j,0.42
37.80,l,0.42
38.22,m,0.84
39.06,p,0.42
39.48,l,0.42
39.90,k,0.42
40.32,/h,0.42
40.74,i,0.42
41.16,p,0.42
41.58,k,0.84
42.42,/,0.42
42.84,.,0.42
43.26,m,0.42
43.68,,o,0.42
44.10,y,0.42
44.52,o,0.42
44.94,hp,0.84
45.78,o,0.42
46.20,p,0.42
46.62,k,0.42
47.04,,y,0.42
47.46,p,0.42
47.88,k,0.42
48.30,;m,0.84
49.14,;,0.42
49.56,l,0.42
49.98,k,0.42
50.40,,i,0.42
50.82,j,0.42
51.24,l,0.42
51.66,m,0.84
52.50,;,0.42
52.92,l,0.42
53.34,;,0.42
53.76,hk,0.42
54.18,/i,0.42
54.60,p,0.42
55.02,/;km,0.42
55.44,p,0.42
55.86,/;,0.42
56.28,.m,0.42
56.70,/;,0.42
57.12,o,0.42
57.54,,y,0.21
57.75,o,0.21
57.96,p,0.21
58.17,h,0.21
58.38,k,0.21
58.59,o,0.21
58.80,hknp,0.42
59.22,o,0.42
59.64,y,0.42
60.06,p,0.42
60.48,;hu,0.21
60.69,l,0.21
60.90,k,0.21
61.11,hu,0.21
61.32,hko,0.42
61.74,hu,0.21
61.95,k,0.21
62.16,hoy,0.21
62.37,h,0.21
62.58,ku,0.21
62.79,h,0.21
63.00,hkoy,0.21
63.21,h,0.21
63.42,ik,0.21
63.63,l,0.21
63.84,;h,0.21
64.05,l,0.21
64.26,k,0.21
64.47,h,0.21
64.68,ikpy,0.42
65.10,hy,0.21
65.31,k,0.21
65.52,ip,0.21
65.73,h,0.21
65.94,ky,0.21
66.15,h,0.21
66.36,ikp,0.21
66.57,l,0.21
66.78,i,0.42
67.20,;o,0.21
67.41,l,0.21
67.62,ky,0.21
67.83,p,0.21
68.04,kpy,0.42
68.46,p,0.21
68.67,k,0.21
68.88,oy,0.21
69.09,p,0.21
69.30,kpy,0.21
69.51,p,0.21
69.72,ky,0.42
70.14,ly,0.42
70.56,lpu,0.42
70.98,hpu,0.21
71.19,u,0.21
71.40,jpu,0.21
71.61,u,0.21
71.82,kpu,0.21
72.03,u,0.21
72.24,jlmpu,0.84
73.08,ky,0.42
73.50,lu,0.42
73.92,;hkoy,0.42
74.34,ky,0.21
74.55,o,0.21
74.76,hk,0.21
74.97,o,0.21
75.18,my,0.21
75.39,o,0.21
75.60,;jpu,0.42
76.02,ku,0.21
76.23,p,0.21
76.44,jk,0.21
76.65,p,0.21
76.86,jm,0.21
77.07,p,0.21
77.28,;ijp,0.42
77.70,ik,0.21
77.91,p,0.21
78.12,jl,0.21
78.33,p,0.21
78.54,;j,0.21
78.75,;p,0.21
78.96,hi,0.21
79.17,i,0.21
79.38,h,0.21
79.59,k,0.21
79.80,hik,0.21
80.01,h,0.21
80.22,il,0.42
80.64,;hou,0.21
80.85,u,0.21
81.06,ko,0.21
81.27,h,0.21
81.48,ko,0.21
81.69,u,0.21
81.90,,o,0.21
82.11,h,0.21
82.32,;jmp,0.42
82.74,jn,0.21
82.95,p,0.21
83.16,;ij,0.42
83.58,jn,0.21
83.79,;i,0.21
84.00,hi,0.21
84.21,i,0.21
84.42,h,0.21
84.63,k,0.21
84.84,;hk,0.21
85.05,i,0.21
85.26,l,0.21
85.47,k,0.21
85.68,;,0.21
85.89,pu,0.21
86.10,l,0.42
86.52,ipuy,0.42
86.94,k,0.21
87.15,l,0.21
87.36,;hkoy,0.42
87.78,ky,0.21
87.99,o,0.21
88.20,hk,0.21
88.41,o,0.21
88.62,my,0.21
88.83,o,0.21
89.04,;jpu,0.42
89.46,ku,0.21
89.67,p,0.21
89.88,jk,0.21
90.09,p,0.21
90.30,jm,0.21
90.51,p,0.21
90.72,;ijp,0.42
91.14,ik,0.21
91.35,p,0.21
91.56,jl,0.21
91.77,p,0.21
91.98,;j,0.21
92.19,;p,0.21
92.40,hi,0.21
92.61,i,0.21
92.82,h,0.21
93.03,k,0.21
93.24,;,0.21
93.45,l,0.21
93.66,k,0.21
93.87,u,0.10
93.97,o,0.10
94.08,hl,0.84
94.92,ho,0.42
95.34,op,0.32
95.66,jp,0.10
95.76,;,0.84
96.60,jl,0.42
97.02,lp,0.42
97.44,y,0.21
97.65,k,0.21
97.86,y,0.21
98.07,p,0.21
98.28,k,0.21
98.49,p,0.21
98.70,n,0.21
98.91,p,0.21
99.12,k,0.10
99.22,;,1.57
100.80,py,0.21
